,r_A_numeric,r_B_numeric_repeat,r_T_anchored,empirical_noise,signal
actrolga,0.6236654605239246,0.7372703091694992,0.7371583622638241,0.11360484864557463,0.11349290173989957
aesfdrk,-0.457857225220302,-0.5205651168349269,0.3460582539722598,0.06270789161462492,0.8039154791925618
cptppola,0.5037036087357335,0.5010776443176506,0.531354793346417,0.002625964418082938,0.0276511846106835
freehms,-0.8203273958001768,-0.8079933083631338,0.6341530445346447,0.012334087437043006,1.4544804403348215
gincdif,0.34594629805091426,0.25832011850267605,0.1819872336035359,0.0876261795482382,-0.16395906444737837
happy,0.6906642065373667,0.7118387689387959,0.6976805806890053,0.02117456240142923,0.0070163741516385825
health,-0.3323367599094139,-0.27466962593072464,0.2501153059178866,0.05766713397868928,0.5824520658273005
hincfel,-0.6725922375814659,-0.5769810571722807,0.7848556879700236,0.09561118040918526,1.4574479255514894
hmsacld,-0.7256979707079046,-0.6306705330900221,0.7533693853425104,0.09502743761788257,1.479067356050415
hmsfmlsh,0.24821441725012938,0.06280315822949835,0.053046893083024675,0.18541125902063105,-0.1951675241671047
imdfetn,-0.35853229917974416,-0.44153663202077686,0.4776136007475721,0.0830043328410327,0.8361458999273162
impcntr,-0.35738415421342296,-0.26881223831188567,0.4182231620032625,0.08857191590153729,0.7756073162166854
imsmetn,-0.25490391315794514,-0.22442620981084585,0.3842811881741916,0.03047770334709929,0.6391851013321368
inprdsc,0.4270652175604479,0.5415198037154321,0.7238607597280416,0.11445458615498416,0.29679554216759374
polintr,-0.6840742122514161,-0.659405332960119,0.7771780323662474,0.02466887929129702,1.4612522446176635
psppipla,0.7068442767617874,0.6672841332020385,0.797675040175703,0.039560143559748906,0.0908307634139156
psppsgva,0.5481602761083125,0.5764291165616225,0.57646164902696,0.028268840453310018,0.028301372918647427
rlgatnd,0.34673238497804765,0.4631520670741608,0.6659784149951081,0.11641968209611314,0.3192460300170605
sclmeet,0.2951718581002278,0.39150947833828403,0.2587807237884761,0.09633762023805625,-0.03639113431175167
stfdem,0.7319242006667535,0.7251014726193543,0.7486763826357359,0.00682272804739914,0.016752181968982427
stflife,0.7746784904273362,0.7879589400451728,0.7772559438013961,0.013280449617836587,0.0025774533740599015
trstplc,0.8187003794113819,0.8070200712746203,0.8449103083734365,0.011680308136761575,0.02620992896205465
