contrast,level,arm_a,arm_b,group,n,median_dr,mean_dr,median_dz,mean_dz,n_a_higher,wilcoxon_p,n_undefined
country label effect (rich baseline),r_bc,qwen_1p_full_noregion,qwen_1p_full_nocountry,all,42,0.09120325856702574,0.030518365527834147,0.13039666172008418,0.05334939178259545,28,0.16682579851931223,0
country label effect (rich baseline),r_bc,qwen_1p_full_noregion,qwen_1p_full_nocountry,forward,29,0.13518355374039698,0.13447866662093289,0.19669905930602594,0.19316679310386853,27,2.384185791015625e-06,0
country label effect (rich baseline),r_bc,qwen_1p_full_noregion,qwen_1p_full_nocountry,reverse,13,-0.17556434441393726,-0.20139307537215537,-0.17616084830120923,-0.2585509650110137,1,0.000732421875,0
country label effect (sparse baseline),r_bc,qwen_1p_minimal,qwen_1p_demo_only,all,42,0.5372941478158562,0.28330895029185593,0.6601080524727948,0.3280660104497334,29,0.001381615853006224,0
country label effect (sparse baseline),r_bc,qwen_1p_minimal,qwen_1p_demo_only,forward,29,0.6401840319576082,0.5768592654518232,0.7307038968211481,0.6843840979670514,28,1.1175870895385742e-08,0
country label effect (sparse baseline),r_bc,qwen_1p_minimal,qwen_1p_demo_only,reverse,13,-0.3569751659645709,-0.37153406044960957,-0.4389655822604178,-0.4667974155504375,1,0.000732421875,0
NUTS region code effect,r_bc,qwen_1p,qwen_1p_full_noregion,all,42,0.010309159923321765,0.018732214521875463,0.017602769040629018,0.025294645691527,25,0.13456975331382637,0
NUTS region code effect,r_bc,qwen_1p,qwen_1p_full_noregion,forward,29,0.019820801456267634,0.020997491499415558,0.032464434366765965,0.03308416100128822,21,0.038631681352853775,0
NUTS region code effect,r_bc,qwen_1p,qwen_1p_full_noregion,reverse,13,-0.007101400832826232,0.013678904341209084,-0.01684384301676234,0.0079180346159058,4,0.786865234375,0
political-identity variables (full minus nopolitical),r_bc,qwen_1p,qwen_1p_full_nopolitical,all,42,0.012840640998229819,0.008140420094414489,0.02480468995453458,0.0038045070852628675,24,0.49555560536464327,0
political-identity variables (full minus nopolitical),r_bc,qwen_1p,qwen_1p_full_nopolitical,forward,29,-0.002903827311010465,-0.015260167141769587,-0.004624172143638083,-0.03011718717242976,13,0.46793800592422485,0
political-identity variables (full minus nopolitical),r_bc,qwen_1p,qwen_1p_full_nopolitical,reverse,13,0.04151897283010775,0.06034173008282511,0.060982620495114825,0.07947597889088488,11,0.026611328125,0
all enrichment beyond country (full minus minimal),r_bc,qwen_1p,qwen_1p_minimal,all,42,0.007235567016961875,0.02546737096205281,0.008407339188249319,0.04065391413838267,22,0.6116942574235509,0
all enrichment beyond country (full minus minimal),r_bc,qwen_1p,qwen_1p_minimal,forward,29,-0.02253399033486958,-0.010322233875783555,-0.024870983112309508,-0.0009483664760219377,14,0.6544641703367233,0
all enrichment beyond country (full minus minimal),r_bc,qwen_1p,qwen_1p_minimal,reverse,13,0.06259785192674283,0.10530572021568775,0.16321722887839504,0.1334590016628237,8,0.21630859375,0
