model,level,arm_a,arm_b,group,n,median_dr,mean_dr,median_dz,mean_dz,n_a_higher,wilcoxon_p,n_undefined,caveat
qwen,r_bc,qwen_1p,qwen_3p,all,42,0.003800584890000347,0.06021415987692017,0.008582983890909612,0.07436175704539452,23,0.1828587281356704,0,
qwen,r_bc,qwen_1p,qwen_3p,forward,29,0.01963237129278761,0.054719559644137515,0.026160719406211674,0.07190498398411686,19,0.09195835143327713,0,
qwen,r_bc,qwen_1p,qwen_3p,reverse,13,-0.006741327720962864,0.07247134501158917,-0.007714476191025665,0.07984225079747549,4,0.786865234375,0,
qwen,r_pw,qwen_1p,qwen_3p,all,42,-0.005862847475363201,-0.0033053314947009025,-0.005891225502534417,-0.003394806541705395,18,0.33926705757858144,0,
qwen,r_pw,qwen_1p,qwen_3p,forward,29,-0.0066070594471519944,-0.008360646120638396,-0.0066212801055113915,-0.008521206960847844,12,0.22136975452303886,0,
qwen,r_pw,qwen_1p,qwen_3p,reverse,13,-0.00010731081025148331,0.007971908824698126,-0.00010731943411498857,0.008041009777920074,6,0.892578125,0,
llama,r_bc,llama_1p,llama_3p,all,42,0.11188820121937647,0.05049840142427852,0.14612649929467905,0.06994951226786819,26,0.19128168950237523,0,"llama_3p parses only 77.28 per cent of scheduled responses, concentrated on the 0-10 items; treat as provisional"
llama,r_bc,llama_1p,llama_3p,forward,29,0.17265342366701564,0.16748687674332163,0.26824096882427495,0.2052841998289322,23,0.002152439206838608,0,"llama_3p parses only 77.28 per cent of scheduled responses, concentrated on the 0-10 items; treat as provisional"
llama,r_bc,llama_1p,llama_3p,reverse,13,-0.11281704332446683,-0.21047588967204836,-0.13419617783746357,-0.2319509445991207,3,0.006103515625,0,"llama_3p parses only 77.28 per cent of scheduled responses, concentrated on the 0-10 items; treat as provisional"
llama,r_pw,llama_1p,llama_3p,all,42,0.004692308903673823,0.003943377971662344,0.004693121004883945,0.003945992508967884,24,0.2911272097630899,0,"llama_3p parses only 77.28 per cent of scheduled responses, concentrated on the 0-10 items; treat as provisional"
llama,r_pw,llama_1p,llama_3p,forward,29,0.01304565018335642,0.009689605936287848,0.013053303642778475,0.009693665343441642,20,0.006451543420553207,0,"llama_3p parses only 77.28 per cent of scheduled responses, concentrated on the 0-10 items; treat as provisional"
llama,r_pw,llama_1p,llama_3p,reverse,13,-0.013725741547212685,-0.008875130564809933,-0.013726063862022025,-0.008875739198704345,4,0.09423828125,0,"llama_3p parses only 77.28 per cent of scheduled responses, concentrated on the 0-10 items; treat as provisional"
