variable,human_var_between,human_var_sampling,human_reliability,silicon_var_between,silicon_var_sampling,silicon_reliability,attenuation_factor
ppltrst,0.7757140383755257,0.007825798019826313,0.9899114910486668,0.13932236717307964,0.003835200155977608,0.9724724734886743,0.981153237896588
pplfair,0.6205588566160556,0.006817583248761483,0.989013800744158,0.011695403070482467,0.0011636440204993838,0.9005041541974509,0.9437219061401109
pplhlp,0.6830730349405225,0.00717525326408498,0.9894956279972174,0.023665090698253583,0.002648263576620291,0.88809408717729,0.9374247791220947
sclmeet,0.3054460708482464,0.0033304303188676125,0.9890965029943952,0.003918963595921027,0.0007549254439264594,0.8073660483317048,0.8936234861737313
inprdsc,0.3295739179294789,0.002563412033718333,0.9922220421754768,0.0009799994243381261,0.00037687972977563033,0.6154286212666216,0.7814357576963096
stfdem,1.144638684589959,0.008895786970061647,0.9922283013060594,0.13027223211351519,0.0024875562747143647,0.9809049385708937,0.986550374254109
polintr,0.060419965612805646,0.0011888830766698276,0.9803230097102563,0.003380178736887614,0.0002614081699805623,0.9226643943032253,0.9510568521260064
psppipla,0.13589299929789184,0.0012073363231891391,0.9911155370075942,0.003318120849799414,0.00048010428282448624,0.8553083794842766,0.9207113683666853
psppsgva,0.11655782863642353,0.0013009706016618718,0.9888384107967559,0.006767044882641528,0.000693321359112049,0.8975444420517261,0.9420862060861999
vote,0.011677121635961907,0.0005842797969554516,0.9499637140752177,0.0017563419260054037,0.0005912668566715468,0.6633532184611031,0.7938271141458062
actrolga,0.07187158504957047,0.0016178499433443347,0.9774897138802701,0.0033182397030687085,0.000279792702441964,0.9156803825283594,0.9460804168375023
cptppola,0.10832106127184034,0.001576790609510818,0.9854433607740075,0.0033360129536169625,0.00030612564303959035,0.9082360748306797,0.946052435099312
trstprl,1.2206589219382302,0.009138607543883265,0.9925133816010024,0.39019244800035513,0.0051848107233200685,0.9867121704946085,0.9896085251272185
trstplt,0.9475388258279301,0.0078735724511431,0.9916905015008083,0.33152346960924534,0.0053604365127820726,0.9838308988528015,0.9877528827977804
trstlgl,1.33941565456782,0.00930802444684442,0.993050682650228,0.25470996093058473,0.0027721997498605763,0.9891162491653944,0.9910815135265757
trstprt,0.9659267634075552,0.007633486461506064,0.9920972409599906,0.26779593595024875,0.00545596977116047,0.9796263907000662,0.9858420965779101
trstplc,1.0644377957138837,0.008435897957488283,0.9920747854017804,0.10749962215999344,0.0018420802453896685,0.9828643095819624,0.9874588087650008
trstep,0.4911752387223469,0.010155297187053583,0.9793244927951382,0.13857108355364783,0.004093907075378967,0.970456267134593,0.9748802960320043
trstun,0.9709949400238976,0.010402189527761332,0.9892870816324694,0.08011186321048204,0.002720503332942789,0.9660411926034592,0.9775950450812578
happy,0.2606304435036427,0.0049362448102473,0.9810603675307857,0.04790403905888481,0.001001006639175301,0.9791039198606022,0.9800816555110474
stflife,0.4521489014271491,0.006001699764272997,0.9867262759119187,0.046621271588085746,0.0009133303374844155,0.9804095790103284,0.9835628565400553
stfeco,0.8773055535979554,0.007416176106406535,0.9915466440671762,0.1560690128144902,0.002295481931754966,0.9852918789556037,0.9884143139418162
stfgov,0.598979302710211,0.00902654726609692,0.9849301182440622,0.1634309496839447,0.0027961312807323942,0.9828910540742757,0.983910057937415
stfhlth,1.1918474569065416,0.00785824522849929,0.9934066686277996,0.0796128921743222,0.001334838634235988,0.9832333859783263,0.9883069373673143
stfedu,0.9459801360406764,0.00751866667994622,0.9920519824957266,0.0860082594800069,0.0026414463553866966,0.9692884570463757,0.9806041685731715
imueclt,0.9276987865058386,0.00925728994370484,0.9900212331002692,0.054529909179753526,0.002976762693153828,0.9454104593620143,0.9674587478355205
imwbcnt,0.7104410561565532,0.008300541534265373,0.988316354379671,0.26048288616123044,0.008378694935938699,0.9678339907108041,0.9780215546418343
imbgeco,0.7964614795650626,0.009206091095295061,0.9884412600841382,0.06417931196092665,0.00238872915212187,0.9627803870260223,0.9755264521971179
imsmetn,0.08399165067710329,0.000989460855113934,0.9882195331662452,0.004455209525611748,0.000506315626845334,0.8863542502468924,0.9359020159177462
impcntr,0.1519581524553952,0.00110890093954562,0.9927025900116078,0.014290537159892524,0.0009092661751535253,0.936372848341527,0.9641264189748044
imdfetn,0.13721766150654474,0.0010646634341134578,0.9922410612276563,0.011374003844686415,0.0006393939196187975,0.9437846225172939,0.9677095925001998
gincdif,0.05297013052082698,0.001381868892503974,0.9739122996504483,0.00327943147265943,0.0005128902065332096,0.8436039262264916,0.9064194612790425
freehms,0.3863908637842099,0.0016023527347386413,0.9958530263395837,0.04255186942709268,0.0011855346971923891,0.9721390690196666,0.9839246078364848
hmsfmlsh,0.4748414554405002,0.0019276587918836325,0.9959404159645342,0.00040303295229682674,0.00030206179522178995,0.25052829179256114,0.4995110120295323
hmsacld,0.712216109608416,0.002217562207200269,0.9968863913954158,0.01187218457472663,0.0008001945707975297,0.9325992140906422,0.9642071692084752
euftf,0.29381909856134264,0.011123826042290832,0.9621405616695524,0.031453506658759754,0.0030971313256600414,0.9015330354335073,0.9313439220157348
atchctr,0.30412900803175347,0.00716346829015842,0.9764459551671227,0.009238553550522131,0.0014926117179618595,0.8384366438101664,0.9048138314108237
atcherp,1.015760454412893,0.009346129239215576,0.9907988845218259,0.06244222718628259,0.002776950097071801,0.955527689798966,0.9730034785048473
health,0.05216563661704422,0.0011587014000315583,0.9777880329816012,0.004098375803621275,0.00046205451323480084,0.8872591154704419,0.9314243636822256
rlgatnd,0.3710698493269993,0.0028770730880873854,0.9922465457829424,0.0010015224419331712,0.0005609172120221842,0.4399354537283423,0.6606999578699844
aesfdrk,0.059786830266839716,0.0007820504167904688,0.986919353086624,0.0033213362949299514,0.00039799110840313715,0.880171390951686,0.9320183366025542
hincfel,0.133916931806441,0.0008941461433251884,0.993323128515089,0.005925386259930941,0.0003595763573376296,0.9393159632867849,0.9659421676871724
