condition,within_mean_of_ratios,within_median_of_ratios,within_ratio_of_means,within_iqr_lo,within_iqr_hi,between_median_of_ratios,between_mean_of_ratios,between_iqr_lo,between_iqr_hi
llama_1p,0.833475285695488,0.805080386859308,0.7879939435856934,0.7186639589127296,0.9304938216254646,0.1674257636421807,0.18022468563848898,0.13040831260057562,0.21396714047709137
llama_3p,1.4061928401636081,1.4149536269411866,1.4493330149670494,1.1556451909872285,1.630600692706575,0.6000034989014328,0.5895032202460586,0.3578539342360184,0.7277705487548252
qwen_1p,0.6052410634456243,0.5726900885798539,0.5859034215506257,0.45930175734121986,0.7089811746025102,0.2820805217828207,0.2951726527291226,0.2114792354014933,0.37520894337486116
qwen_1p_anchored,0.4910534629212951,0.4643601302080528,0.46940343722840755,0.363995416535214,0.5851473719302689,0.3197225171647987,0.2988118681711908,0.16443222199497298,0.4348408682203876
qwen_1p_demo_only,0.499740201529576,0.4805878368892872,0.4528315122591543,0.3606166287695769,0.5928711899327,0.04606869385360629,0.056544926076217014,0.037061448453049595,0.06704895668479757
qwen_1p_full_nocountry,0.6069134229483731,0.572150598889797,0.5929010470608823,0.46430420381470733,0.7119021197725757,0.20432973345798577,0.2090985664861052,0.14047944676055613,0.24866027196521587
qwen_1p_full_nocountry_anchored,0.5033333792670789,0.4773831154506927,0.4875861307512015,0.36475876050299727,0.6030003994705293,0.21021475180740684,0.196932694069875,0.11200731809010606,0.2541651161748315
qwen_1p_full_nopolitical,0.5884444738547393,0.5585355288516947,0.567328596105887,0.45954130418057004,0.6786340672918592,0.31294830590445777,0.3289822683718472,0.2364273639629216,0.42749922240249816
qwen_1p_full_noregion,0.6020322997641119,0.5718740756510015,0.5819259367386578,0.45827403183482607,0.7103192005103037,0.24623075375735437,0.2736018695028567,0.1845974348630817,0.33556744215430867
qwen_1p_full_noregion_anchored,0.48821618272847933,0.46164903410079283,0.46784462177423836,0.357696697636481,0.5840342963205566,0.29848733422633034,0.2858642060761525,0.15169994324211059,0.4053429841442446
qwen_1p_minimal,0.5242385219261334,0.5093108299387467,0.4716618876866015,0.38493378040482007,0.6182942730104397,0.22206327331552492,0.2432539592248391,0.15417761348504191,0.2970054463029575
qwen_1p_political,0.6176850119754592,0.591333231550315,0.6068415545620403,0.4870256097519573,0.7259770137068924,0.2737113122588646,0.28795135501207936,0.17894748416531392,0.3961198085381932
qwen_1p_rep,0.5938238318499606,0.5519995562708393,0.5511735584185511,0.44405017836731586,0.7128923118229707,0.23317270099930504,0.22791789867856707,0.17238230572282442,0.30368160572674485
qwen_1p_ses,0.6100310811140948,0.5771966744080741,0.5935948951734215,0.49393352951907804,0.6936048784665155,0.3644386279002537,0.36812953373138957,0.24847332173441175,0.5053103904449893
qwen_3p,0.5559314850328837,0.5399232753116809,0.5146862625895533,0.3996260897010401,0.6971799804207937,0.26290907329564606,0.29801552540077714,0.18127205248597916,0.37073453945502377
