contrast,group,released_median_z,corrected_median_z,released_mean_z,corrected_mean_z,median_z_shift
country label effect (rich baseline),all,0.0914591683087195,0.13039666172008418,0.0287735455579536,0.05334939178259545,0.03893749341136468
country label effect (rich baseline),forward,0.1360161773195251,0.19669905930602594,0.1367520280524097,0.19316679310386853,0.06068288198650085
country label effect (rich baseline),reverse,-0.1774022529823263,-0.17616084830120923,-0.212101530775833,-0.2585509650110137,0.0012414046811170532
country label effect (sparse baseline),all,0.6008192485617019,0.6601080524727948,0.4302724309472895,0.3280660104497334,0.059288803911092924
country label effect (sparse baseline),forward,0.7584855141351248,0.7307038968211481,0.8341178605640591,0.6843840979670514,-0.02778161731397666
country label effect (sparse baseline),reverse,-0.3734150066735943,-0.4389655822604178,-0.4706135274285809,-0.4667974155504375,-0.06555057558682353
political-identity variables (full minus nopolitical),all,0.0128413478737421,0.02480468995453458,0.0082646870874987,0.0038045070852628675,0.01196334208079248
political-identity variables (full minus nopolitical),forward,-0.0029038354729486,-0.004624172143638083,-0.0154357776675001,-0.03011718717242976,-0.0017203366706894834
political-identity variables (full minus nopolitical),reverse,0.0415428546850939,0.060982620495114825,0.0611349546178808,0.07947597889088488,0.019439765810020923
all enrichment beyond country (full minus minimal),all,0.0072360414519067,0.008407339188249319,0.029118870390037,0.04065391413838267,0.0011712977363426188
all enrichment beyond country (full minus minimal),forward,-0.022537805605945,-0.024870983112309508,-0.0105393488061963,-0.0009483664760219377,-0.002333177506364508
all enrichment beyond country (full minus minimal),reverse,0.0626798077402519,0.16321722887839504,0.1175872055200961,0.1334590016628237,0.10053742113814314
