,silicon_between_country_sd,reverse,screened_out,silicon_country_mean_reliability
hmsfmlsh,0.020075680618520178,True,True,0.25052829179256114
inprdsc,0.03130494249057369,False,False,0.6154286212666216
rlgatnd,0.03164683936719702,True,True,0.4399354537283423
gincdif,0.05726632057902297,True,False,0.8436039262264916
psppipla,0.05760313229156392,False,False,0.8553083794842766
actrolga,0.057604163938631284,False,False,0.9156803825283594
aesfdrk,0.05763103586549483,True,False,0.880171390951686
cptppola,0.05775822844943362,False,False,0.9082360748306797
polintr,0.0581393045786378,True,False,0.9226643943032253
sclmeet,0.06260162614438244,False,False,0.8073660483317048
health,0.06401855827509141,True,False,0.8872591154704419
imsmetn,0.06674735594472449,True,False,0.8863542502468924
hincfel,0.07697653057868314,True,False,0.9393159632867849
psppsgva,0.08226205007560612,False,False,0.8975444420517261
imdfetn,0.10664897488811796,True,False,0.9437846225172939
hmsacld,0.10895955476564058,True,False,0.9325992140906422
impcntr,0.11954303476109565,True,False,0.936372848341527
freehms,0.20628104475955292,True,False,0.9721390690196666
stflife,0.21591959519248305,False,False,0.9804095790103284
happy,0.21886991355342747,False,False,0.9791039198606022
trstplc,0.3278713500139856,False,False,0.9828643095819624
stfdem,0.3609324481305542,False,False,0.9809049385708937
