condition,label,median_r_bc,n_gt50,n_gt70,n_negative,within_sd_ratio,between_sd_ratio,n_items,within_sd_ratio_mean,within_sd_ratio_median,within_sd_ratio_of_means,between_sd_ratio_median,between_sd_ratio_mean
qwen_1p,"main_qwen_1p (full_clean, top rung)",0.44330308573014837,20,9,11,0.6052410634456243,0.2820805217828207,42,0.6052410634456243,0.5726900885798539,0.5859034215506257,0.2820805217828207,0.2951726527291226
qwen_3p,main_qwen_3p,0.44256727373028687,17,5,13,0.5559314850328837,0.26290907329564606,42,0.5559314850328837,0.5399232753116809,0.5146862625895533,0.26290907329564606,0.29801552540077714
llama_1p,main_llama_1p,0.34863359870536736,13,2,15,0.833475285695488,0.1674257636421807,42,0.833475285695488,0.805080386859308,0.7879939435856934,0.1674257636421807,0.18022468563848898
llama_3p,main_llama_3p,0.1728877273051982,3,1,15,1.4061928401636081,0.6000034989014328,42,1.4061928401636081,1.4149536269411866,1.4493330149670494,0.6000034989014328,0.5895032202460586
qwen_1p_demo_only,rung: demo_only,-0.028606178617098986,0,0,25,0.499740201529576,0.04606869385360629,42,0.499740201529576,0.4805878368892872,0.4528315122591543,0.04606869385360629,0.056544926076217014
qwen_1p_minimal,rung: minimal,0.5232431078756588,21,7,12,0.5242385219261334,0.22206327331552492,42,0.5242385219261334,0.5093108299387467,0.4716618876866015,0.22206327331552492,0.2432539592248391
qwen_1p_ses,rung: ses,0.3967139616070948,17,5,12,0.6100310811140948,0.3644386279002537,42,0.6100310811140948,0.5771966744080741,0.5935948951734215,0.3644386279002537,0.36812953373138957
qwen_1p_political,rung: political,0.28695004951779013,12,4,14,0.6176850119754592,0.2737113122588646,42,0.6176850119754592,0.591333231550315,0.6068415545620403,0.2737113122588646,0.28795135501207936
qwen_1p_full_noregion,contrast: full_noregion,0.41568846604464527,18,8,12,0.6020322997641119,0.24623075375735437,42,0.6020322997641119,0.5718740756510015,0.5819259367386578,0.24623075375735437,0.2736018695028567
qwen_1p_full_nocountry,contrast: full_nocountry,0.34407777613638846,13,1,12,0.6069134229483731,0.20432973345798577,42,0.6069134229483731,0.572150598889797,0.5929010470608823,0.20432973345798577,0.2090985664861052
qwen_1p_full_nopolitical,LOGO: full_nopolitical,0.5230873677092931,22,11,11,0.5884444738547393,0.31294830590445777,42,0.5884444738547393,0.5585355288516947,0.567328596105887,0.31294830590445777,0.3289822683718472
qwen_1p_anchored,anchored (22 items),0.6500657297648764,14,9,0,0.4910534629212951,0.3197225171647987,22,0.4910534629212951,0.4643601302080528,0.46940343722840755,0.3197225171647987,0.2988118681711908
qwen_1p_rep,"replicate (22 items, numeric)",0.32491479842048004,9,5,9,0.5938238318499606,0.23317270099930504,22,0.5938238318499606,0.5519995562708393,0.5511735584185511,0.23317270099930504,0.22791789867856707
qwen_1p_full_noregion_anchored,2x2: full_noregion + anchored,0.636892242151291,15,9,1,0.48821618272847933,0.29848733422633034,22,0.48821618272847933,0.46164903410079283,0.46784462177423836,0.29848733422633034,0.2858642060761525
qwen_1p_full_nocountry_anchored,2x2: full_nocountry + anchored,0.3890657567703878,9,2,1,0.5033333792670789,0.21021475180740684,22,0.5033333792670789,0.4773831154506927,0.4875861307512015,0.21021475180740684,0.196932694069875
