condition,cntry,profile_r,norm_mae
qwen_1p,AT,0.8823730677705127,0.16368735609982132
qwen_1p,BE,0.8508384950701526,0.2117114567198064
qwen_1p,BG,0.6854503192912444,0.2188820914747261
qwen_1p,CH,0.9051582931790576,0.16054607580942273
qwen_1p,CY,0.7870157211406633,0.19876506513418057
qwen_1p,DE,0.8300726310692906,0.20452463426718565
qwen_1p,EE,0.843115145117026,0.19894744258143923
qwen_1p,ES,0.8290401786416228,0.20528476063332032
qwen_1p,FI,0.9107118528348479,0.1652642657567283
qwen_1p,FR,0.7989817384900312,0.21999988100192652
qwen_1p,GB,0.8197768716174378,0.20357116793779872
qwen_1p,GR,0.7679404907030946,0.21510762853947205
qwen_1p,HR,0.7946389946133416,0.21251941281425724
qwen_1p,HU,0.7798983692020902,0.18177896628476442
qwen_1p,IE,0.8935144552479544,0.1728308241503198
qwen_1p,IL,0.7548493557251168,0.21239497865846302
qwen_1p,IS,0.8544743279425585,0.20354024197165527
qwen_1p,IT,0.8641004530725265,0.19387482686645172
qwen_1p,LT,0.8626392872316171,0.17626433987998602
qwen_1p,LV,0.7597205566273624,0.21401095238931386
qwen_1p,ME,0.8451443676693915,0.18594412964437848
qwen_1p,NL,0.873628791112841,0.2013652672168773
qwen_1p,NO,0.8906927910475326,0.18279242529234435
qwen_1p,PL,0.8374900952904407,0.18632214204933092
qwen_1p,PT,0.8007374572286252,0.18487195088179462
qwen_1p,RS,0.7276701955981768,0.21237828852813975
qwen_1p,SE,0.8585370051014429,0.2099199788363035
qwen_1p,SI,0.8574021817056523,0.1938651011869282
qwen_1p,SK,0.8265866004521504,0.17270210975233904
qwen_1p,UA,0.7500397363579364,0.17828159588963302
qwen_3p,AT,0.8610895407627515,0.15390047705216386
qwen_3p,BE,0.8291070423449912,0.1868629014917523
qwen_3p,BG,0.7191523664226326,0.19903975432869353
qwen_3p,CH,0.8560408957427487,0.15632104414673073
qwen_3p,CY,0.7694260527264373,0.1875608811227349
qwen_3p,DE,0.8164477639538241,0.17935152848999522
qwen_3p,EE,0.8304935033711135,0.17549725183728396
qwen_3p,ES,0.8291525892136808,0.1825348364482127
qwen_3p,FI,0.8675734516776039,0.1655548673384252
qwen_3p,FR,0.782551227008624,0.19556171783732484
qwen_3p,GB,0.8272392504462799,0.17392301771753196
qwen_3p,GR,0.7719305800651174,0.19319182599895343
qwen_3p,HR,0.8119356284393539,0.19229085624865366
qwen_3p,HU,0.7122155162452033,0.19436176511245776
qwen_3p,IE,0.8682127707922616,0.15153283319000013
qwen_3p,IL,0.7406827188161121,0.20710650768539848
qwen_3p,IS,0.8238311421674557,0.18587862929228208
qwen_3p,IT,0.8408057276786938,0.16968567275505447
qwen_3p,LT,0.8612455890456727,0.15547547597479255
qwen_3p,LV,0.7614979428786786,0.19709693161699043
qwen_3p,ME,0.8294422279353167,0.15949360289906475
qwen_3p,NL,0.8363434251762477,0.18509272013686667
qwen_3p,NO,0.8553804837356694,0.17478113737817688
qwen_3p,PL,0.839835672196449,0.16822714732032273
qwen_3p,PT,0.7838420364359653,0.17040340711214558
qwen_3p,RS,0.7369057184803706,0.1877970566248511
qwen_3p,SE,0.8187790517386342,0.19555012439855704
qwen_3p,SI,0.8444038074328639,0.1759836967458779
qwen_3p,SK,0.7687841602121964,0.176192321164378
qwen_3p,UA,0.7762166841314335,0.1560947540260121
llama_1p,AT,0.9073867147623147,0.1832013574910659
llama_1p,BE,0.8958604029881202,0.20624513756749852
llama_1p,BG,0.6829680014267808,0.23208237446857233
llama_1p,CH,0.9418665591871784,0.15773136860708162
llama_1p,CY,0.7805492843513051,0.2229112925289718
llama_1p,DE,0.8696664593649914,0.20051405452364482
llama_1p,EE,0.8607647752368857,0.197159191305181
llama_1p,ES,0.8479732408809373,0.21797812958667653
llama_1p,FI,0.931421560200471,0.17343715800606146
llama_1p,FR,0.8286476360204342,0.22475353504851178
llama_1p,GB,0.8362663809474904,0.2184400989324437
llama_1p,GR,0.7517738763103488,0.22493942670884456
llama_1p,HR,0.8092051570748382,0.2311877546058642
llama_1p,HU,0.7813516976091617,0.20151190919322634
llama_1p,IE,0.9176509814094396,0.19167353762915443
llama_1p,IL,0.7943804685171881,0.22570662542837824
llama_1p,IS,0.890434560479519,0.20068063080573456
llama_1p,IT,0.8695234574148054,0.21198466565341217
llama_1p,LT,0.8663431797796898,0.1943231928167694
llama_1p,LV,0.7588691600462442,0.22988958408194202
llama_1p,ME,0.8534984250591939,0.19152791684180914
llama_1p,NL,0.9157933304109285,0.18890401008322755
llama_1p,NO,0.9269408573164241,0.1841268479508644
llama_1p,PL,0.8724721223270901,0.19263933987373516
llama_1p,PT,0.794567765622702,0.21074802365840895
llama_1p,RS,0.7686158496177627,0.22932468733201108
llama_1p,SE,0.902766970445405,0.19397796785215857
llama_1p,SI,0.8849305944488305,0.21090741430528268
llama_1p,SK,0.841165918329066,0.18924236239826137
llama_1p,UA,0.743583226074574,0.2261932843116324
llama_3p,AT,0.7244836586003557,0.15760903808487065
llama_3p,BE,0.6850768542493466,0.17118940882230754
llama_3p,BG,0.5377869912274094,0.16088044472933846
llama_3p,CH,0.7376410368827943,0.19001169686822397
llama_3p,CY,0.5366457596900661,0.16028215874753077
llama_3p,DE,0.7500150546279744,0.13477865323634802
llama_3p,EE,0.6015715500547879,0.19303848504832152
llama_3p,ES,0.7032928013731967,0.17013391489577026
llama_3p,FI,0.6830193243264271,0.2114426989145293
llama_3p,FR,0.6655861042937449,0.1530730313608766
llama_3p,GB,0.7970547449946837,0.13939689288298296
llama_3p,GR,0.6072067070205772,0.15934050782784825
llama_3p,HR,0.7053709284959163,0.14804230076233116
llama_3p,HU,0.5033505616587195,0.18576045385903656
llama_3p,IE,0.8192285404576133,0.13333254783235468
llama_3p,IL,0.7080896679592016,0.1413280802373742
llama_3p,IS,0.667734661580374,0.1738266947157951
llama_3p,IT,0.6307038350965917,0.15265875396722284
llama_3p,LT,0.5752160854102051,0.19233718206155842
llama_3p,LV,0.6338745008385015,0.15994053162674213
llama_3p,ME,0.5238952112814944,0.15771340247120805
llama_3p,NL,0.6808349030444705,0.1843941849235819
llama_3p,NO,0.6166725405277628,0.21570530652499856
llama_3p,PL,0.7068550885028437,0.15221141198266613
llama_3p,PT,0.6482553546192762,0.16886926467360974
llama_3p,RS,0.6431772862632192,0.14714210754224202
llama_3p,SE,0.7334153093085518,0.1671540693541825
llama_3p,SI,0.6573999407448159,0.1582824384742214
