country_a,country_b,profile_r_a,profile_r_b,within_r_a,within_r_b,profile_gap,within_gap,severity
CH,IL,0.9051582931790576,0.7548493557251168,0.0142840839509112,0.0773792754789644,0.1503089374539408,-0.0630951915280532,0.009483771197034562
IL,NO,0.7548493557251168,0.8906927910475326,0.0773792754789644,0.0177433721476182,-0.13584343532241583,0.05963590333134619,0.00810114597708557
IE,IL,0.8935144552479544,0.7548493557251168,0.0231370742572151,0.0773792754789644,0.13866509952283756,-0.05424220122174929,0.0075215002307516465
BG,CH,0.6854503192912444,0.9051582931790576,0.0468655160241971,0.0142840839509112,-0.21970797388781316,0.0325814320732859,0.007158400427185056
FI,IL,0.910711852834848,0.7548493557251168,0.0321216874233562,0.0773792754789644,0.1558624971097312,-0.04525758805560819,0.007053960687510638
AT,IL,0.8823730677705127,0.7548493557251168,0.0226218363036761,0.0773792754789644,0.12752371204539592,-0.05475743917528829,0.006982871905732746
IL,SI,0.7548493557251168,0.8574021817056523,0.0773792754789644,0.0112352493302409,-0.1025528259805355,0.0661440261487235,0.006783256803282031
BG,SI,0.6854503192912444,0.8574021817056523,0.0468655160241971,0.0112352493302409,-0.17195186241440785,0.0356302666939562,0.006126690716347815
IL,NL,0.7548493557251168,0.873628791112841,0.0773792754789644,0.0265766906080034,-0.11877943538772417,0.050802584870960996,0.0060343023472096856
IL,ME,0.7548493557251168,0.8451443676693915,0.0773792754789644,0.0109959217807353,-0.0902950119442747,0.06638335369822909,0.005994085715082607
BG,NO,0.6854503192912444,0.8906927910475326,0.0468655160241971,0.0177433721476182,-0.20524247175628818,0.0291221438765789,0.005977100792071305
BG,ME,0.6854503192912444,0.8451443676693915,0.0468655160241971,0.0109959217807353,-0.15969404837814705,0.0358695942434618,0.005728160718419893
BG,DE,0.6854503192912444,0.8300726310692906,0.0468655160241971,0.0075398289640195,-0.1446223117780462,0.0393256870601776,0.005687371774902881
IL,SE,0.7548493557251168,0.8585370051014429,0.0773792754789644,0.0254155745113755,-0.10368764937632613,0.05196370096758889,0.005387994006223616
DE,IL,0.8300726310692906,0.7548493557251168,0.0075398289640195,0.0773792754789644,0.07522327534417383,-0.06983944651494489,0.0052535519150784015
BG,IE,0.6854503192912444,0.8935144552479544,0.0468655160241971,0.0231370742572151,-0.20806413595670992,0.023728441766981998,0.0049370377338462165
IL,PL,0.7548493557251168,0.8374900952904407,0.0773792754789644,0.0176441899044248,-0.08264073956532392,0.05973508557453959,0.004936551649877864
BE,IL,0.8508384950701526,0.7548493557251168,0.0262566106310072,0.0773792754789644,0.09598913934503583,-0.05112266484795719,0.004907220599780128
