,r_with_silicon_euftf
hincfel,-0.572584472438081
freehms,-0.4858582109718243
health,-0.45478535694640815
hmsacld,-0.42661335091537794
polintr,-0.4013232159677793
euftf,-0.23135690156298802
aesfdrk,-0.21222019134865192
atchctr,-0.21017179457959628
imsmetn,-0.0951236433317516
imdfetn,-0.0662863891433364
impcntr,-0.05764233759320901
atcherp,-0.05695604258577002
trstep,0.01584542034137551
vote,0.06356739653347972
imbgeco,0.14093592415802653
trstun,0.1743230577312491
sclmeet,0.20875777541157822
imwbcnt,0.2577469478469079
stfedu,0.2618917597848481
gincdif,0.34299522329706955
imueclt,0.34555518434818583
stfgov,0.3840978520385633
rlgatnd,0.38849936873407487
pplhlp,0.3912361638420565
psppsgva,0.3977493863529226
stfhlth,0.4107695370838665
actrolga,0.41144820471251026
cptppola,0.4125495679548796
psppipla,0.4221323141859558
trstplt,0.4323534821222853
trstprt,0.4384290323393897
trstprl,0.44601629089901423
stfdem,0.4461751575060086
inprdsc,0.4600491114791887
stfeco,0.47285913947597236
pplfair,0.47845823291479
ppltrst,0.49031094131045405
trstlgl,0.534347967008139
trstplc,0.5422145613725843
hmsfmlsh,0.5564284750453581
happy,0.6056829220455996
stflife,0.6369813729453317
