,r_full_clean,r_nopolitical,delta
actrolga,0.6236654605239246,0.785769613036231,-0.16210415251230648
aesfdrk,-0.457857225220302,-0.5104103186446566,0.0525530934243546
atchctr,0.22548823677081906,0.05991651442519628,0.16557172234562278
atcherp,0.31032344464203326,0.35558205301425977,-0.045258608372226505
cptppola,0.5037036087357335,0.6007214783805653,-0.09701786964483183
euftf,-0.23135690156298802,-0.15084565442698963,-0.08051124713599839
freehms,-0.8203273958001768,-0.8769743328148766,0.056646937014699805
gincdif,0.34594629805091426,0.09230878411946995,0.2536375139314443
happy,0.6906642065373667,0.6670973000269572,0.02356690651040949
health,-0.3323367599094139,-0.35395215764114024,0.021615397731726327
hincfel,-0.6725922375814659,-0.6505995346208564,-0.02199270296060951
hmsacld,-0.7256979707079046,-0.7672169435380124,0.04151897283010775
hmsfmlsh,0.24821441725012938,0.023591711224873843,0.22462270602525553
imbgeco,0.3587398351517705,0.22874725606530735,0.12999257908646314
imdfetn,-0.35853229917974416,-0.41047580394255895,0.051943504762814785
impcntr,-0.35738415421342296,-0.39022804534777794,0.032843891134354986
imsmetn,-0.25490391315794514,-0.3875280789416097,0.13262416578366454
imueclt,0.647708781503356,0.5719402170852751,0.07576856441808089
imwbcnt,0.6372038328158683,0.5490423937518838,0.08816143906398455
inprdsc,0.4270652175604479,0.5460427973506272,-0.11897757979017931
polintr,-0.6840742122514161,-0.6972041787382014,0.013129966486785327
pplfair,0.5716268771955936,0.6192131131981099,-0.047586236002516324
pplhlp,0.3607805898689944,0.5837094235613047,-0.2229288336923103
ppltrst,0.7760821195535936,0.7989546757051827,-0.02287255615158912
psppipla,0.7068442767617874,0.7964725879041528,-0.08962831114236536
psppsgva,0.5481602761083125,0.70204977908811,-0.15388950297979742
rlgatnd,0.34673238497804765,0.43398465557559385,-0.0872522705975462
sclmeet,0.2951718581002278,0.229227782523873,0.06594407557635479
stfdem,0.7319242006667535,0.7099237423953395,0.022000458271413947
stfeco,0.669174494519849,0.6349748876470229,0.03419960687282608
stfedu,0.5224447501709363,0.46162955175755405,0.06081519841338223
stfgov,0.5092888027092058,0.5214036579717932,-0.012114855262587376
stfhlth,0.6084912597963015,0.6113950871073119,-0.002903827311010465
stflife,0.7746784904273362,0.7663592416806043,0.008319248746731844
trstep,0.38880337746492666,0.36500260926364747,0.023800768201279188
trstlgl,0.7779125340382167,0.7789997267176939,-0.0010871926794772113
trstplc,0.8187003794113819,0.8090980403745707,0.00960233903681118
trstplt,0.7458525648734162,0.7756822698487662,-0.02982970497534998
trstprl,0.7860431453403899,0.7676841287572957,0.018359016583094134
trstprt,0.7310128585264873,0.7477190275647694,-0.016706169038282037
trstun,0.45954095389984884,0.524771077446793,-0.06523012354694413
vote,-0.1499410429377972,-0.1624923584474715,0.01255131550967431
