,r_with_country,r_without_country,delta
actrolga,0.6930003564039132,0.664883211288011,0.028117145115902242
aesfdrk,-0.4811095073468451,-0.33485723643804094,-0.14625227090880416
atchctr,0.20342490302916527,-0.0522534513094499,0.2556783543386152
atcherp,0.3447281785905224,-0.04364990494845258,0.38837808353897496
cptppola,0.5094186689601546,0.3155285798756514,0.19389008908450323
euftf,-0.26184395006374483,-0.26167691870965604,-0.000167031354088798
freehms,-0.8147417473097885,-0.2704189865783478,-0.5443227607314407
gincdif,0.22984249235073004,0.469570640577513,-0.23972814822678298
happy,0.7174796637808942,0.5747940616572538,0.14268560212364045
health,-0.2504175836478113,-0.2599897071925697,0.009572123544758393
hincfel,-0.6710028023676821,-0.6556019203484167,-0.015400882019265372
hmsacld,-0.6611106255873318,-0.184990105310408,-0.4761205202769238
hmsfmlsh,-0.015514680855099624,0.2515541132280448,-0.2670687940831444
imbgeco,0.34958081390047824,0.18698171937454636,0.16259909452593188
imdfetn,-0.4742096450349351,-0.2789676259660396,-0.19524201906889554
impcntr,-0.3502827533805967,-0.24957874114709136,-0.10070401223350536
imsmetn,-0.23904929345178633,-0.10805701301946258,-0.13099228043232375
imueclt,0.56421306173582,0.3430498487674764,0.22116321296834357
imwbcnt,0.5609205370930979,0.34510570350530045,0.2158148335877974
inprdsc,0.6349807418146436,0.5390622457665768,0.09591849604806679
polintr,-0.6408355598532086,-0.6398852012461806,-0.0009503586070279679
pplfair,0.4949136389480677,0.1894386705096252,0.3054749684384425
pplhlp,0.430266480701861,0.32125202859291324,0.10901445210894778
ppltrst,0.7313668626306028,0.6185166117474574,0.11285025088314538
psppipla,0.5304086804062376,0.44376219226606867,0.0866464881401689
psppsgva,0.40111045138742946,0.2833854642312267,0.11772498715620278
rlgatnd,0.37728054494080804,0.7126162573215346,-0.3353357123807265
sclmeet,0.17431655222971246,0.3644182820823302,-0.19010172985261772
stfdem,0.6926354674488764,0.5454855469428292,0.14714992050604714
stfeco,0.6493536930635814,0.5208866246321703,0.1284670684314111
stfedu,0.544667132927111,0.39003731011265924,0.15462982281445176
stfgov,0.4984361390802142,0.4028730400325911,0.09556309904762311
stfhlth,0.6229899488934536,0.4878063951530566,0.13518355374039698
stflife,0.7423786118600065,0.6555351937735782,0.08684341808642837
trstep,0.34247188223934194,0.2981424637559352,0.04432941848340671
trstlgl,0.7749700929720896,0.6065353244833597,0.16843476848872996
trstplc,0.8075575221236413,0.6219416748538468,0.18561584726979452
trstplt,0.7143637057761596,0.6335589851584227,0.08080472061773691
trstprl,0.7838341789420142,0.5058757631704626,0.27795841577155167
trstprt,0.7212472023088354,0.5817899551322319,0.13945724717660357
trstun,0.3936210594446587,0.38386432472376364,0.009756734720895055
vote,-0.059428705572668473,0.11613563884126878,-0.17556434441393726
