variable,scale,direction,low_value,low_label,high_value,high_label,ess_question,note
ppltrst,0-10,forward,0,You can't be too careful,10,Most people can be trusted,"Using this card, generally speaking, would you say that most people can be trusted, or that you can't be too careful in dealing with people? Please tell me on a score of 0 to 10, where 0 means you can't be too careful and 10 means that most people can be trusted.",
pplfair,0-10,forward,0,Most people try to take advantage of me,10,Most people try to be fair,"Using this card, do you think that most people would try to take advantage of you if they got the chance, or would they try to be fair?",
pplhlp,0-10,forward,0,People mostly look out for themselves,10,People mostly try to be helpful,Would you say that most of the time people try to be helpful or that they are mostly looking out for themselves?,
sclmeet,1-7,forward,1,Never,7,Every day,"Using this card, how often do you meet socially with friends, relatives or work colleagues?",
inprdsc,0-6,forward,0,None,6,10 or more,"How many people, if any, are there with whom you can discuss intimate and personal matters?",
stfdem,0-10,forward,0,Extremely dissatisfied,10,Extremely satisfied,"And on the whole, how satisfied are you with the way democracy works in [country]?",
polintr,1-4,reverse,1,Very interested,4,Not at all interested,How interested would you say you are in politics - are you...,
psppipla,1-5,forward,1,Not at all,5,A great deal,And how much would you say that the political system in [country] allows people like you to have an influence on politics?,
psppsgva,1-5,forward,1,Not at all,5,A great deal,How much would you say the political system in [country] allows people like you to have a say in what the government does?,
vote,1-3,reverse,1,Yes,3,Not eligible to vote,Some people don't vote nowadays for one reason or another. Did you vote in the last [country] national election in [month/year]?,"Categorical (1=Yes, 2=No, 3=Not eligible); value 3 excluded in analysis per existing vote-robustness rule."
actrolga,1-5,forward,1,Not at all able,5,Completely able,How able do you think you are to take an active role in a group involved with political issues?,
cptppola,1-5,forward,1,Not at all confident,5,Completely confident,And how confident are you in your own ability to participate in politics?,
trstprl,0-10,forward,0,No trust at all,10,Complete trust,"Using this card, please tell me on a score of 0-10 how much you personally trust each of the institutions I read out. 0 means you do not trust an institution at all, and 10 means you have complete trust. Firstly... ...[country]'s parliament?",
trstplt,0-10,forward,0,No trust at all,10,Complete trust,"Using this card, please tell me on a score of 0-10 how much you personally trust each of the institutions I read out. 0 means you do not trust an institution at all, and 10 means you have complete trust. Firstly... ...politicians?",
trstlgl,0-10,forward,0,No trust at all,10,Complete trust,"Using this card, please tell me on a score of 0-10 how much you personally trust each of the institutions I read out. 0 means you do not trust an institution at all, and 10 means you have complete trust. Firstly... ...the legal system?",
trstprt,0-10,forward,0,No trust at all,10,Complete trust,"Using this card, please tell me on a score of 0-10 how much you personally trust each of the institutions I read out. 0 means you do not trust an institution at all, and 10 means you have complete trust. Firstly... ...political parties?",
trstplc,0-10,forward,0,No trust at all,10,Complete trust,"Using this card, please tell me on a score of 0-10 how much you personally trust each of the institutions I read out. 0 means you do not trust an institution at all, and 10 means you have complete trust. Firstly... ...the police?",
trstep,0-10,forward,0,No trust at all,10,Complete trust,"Using this card, please tell me on a score of 0-10 how much you personally trust each of the institutions I read out. 0 means you do not trust an institution at all, and 10 means you have complete trust. Firstly... ...the European Parliament?",
trstun,0-10,forward,0,No trust at all,10,Complete trust,"Using this card, please tell me on a score of 0-10 how much you personally trust each of the institutions I read out. 0 means you do not trust an institution at all, and 10 means you have complete trust. Firstly... ...the United Nations?",
happy,0-10,forward,0,Extremely unhappy,10,Extremely happy,"Taking all things together, how happy would you say you are?",
stflife,0-10,forward,0,Extremely dissatisfied,10,Extremely satisfied,"All things considered, how satisfied are you with your life as a whole nowadays? Please answer using this card, where 0 means extremely dissatisfied and 10 means extremely satisfied.",
stfeco,0-10,forward,0,Extremely dissatisfied,10,Extremely satisfied,On the whole how satisfied are you with the present state of the economy in [country]?,
stfgov,0-10,forward,0,Extremely dissatisfied,10,Extremely satisfied,"Now thinking about the [country] government, how satisfied are you with the way it is doing its job?",
stfhlth,0-10,forward,0,Extremely bad,10,Extremely good,"Still using this card, please say what you think overall about the state of health services in [country] nowadays?",
stfedu,0-10,forward,0,Extremely bad,10,Extremely good,"Now, using this card, please say what you think overall about the state of education in [country] nowadays?",
imueclt,0-10,forward,0,Cultural life undermined,10,Cultural life enriched,"And, using this card, would you say that [country]'s cultural life is generally undermined or enriched by people coming to live here from other countries?",
imwbcnt,0-10,forward,0,Worse place to live,10,Better place to live,Is [country] made a worse or a better place to live by people coming to live here from other countries?,
imbgeco,0-10,forward,0,Bad for the economy,10,Good for the economy,Would you say it is generally bad or good for [country]'s economy that people come to live here from other countries?,
imsmetn,1-4,reverse,1,Allow many to come and live here,4,Allow none,"Now, using this card, to what extent do you think [country] should allow people of the same race or ethnic group as most [country]'s people to come and live here?",
impcntr,1-4,reverse,1,Allow many to come and live here,4,Allow none,How about people from the poorer countries outside Europe?,
imdfetn,1-4,reverse,1,Allow many to come and live here,4,Allow none,How about people of a different race or ethnic group from most [country] people?,
gincdif,1-5,reverse,1,Agree strongly,5,Disagree strongly,"Using this card, please say to what extent you agree or disagree with each of the following statements. The government should take measures to reduce differences in income levels.",Agree-disagree endorsement item; as-coded r_bc was positive in the data - report as exception to the reverse pattern.
freehms,1-5,reverse,1,Agree strongly,5,Disagree strongly,"Using this card, please say to what extent you agree or disagree with each of the following statements. Gay men and lesbians should be free to live their own life as they wish.",
hmsfmlsh,1-5,reverse,1,Agree strongly,5,Disagree strongly,"Using this card, please say to what extent you agree or disagree with each of the following statements. If a close family member was a gay man or a lesbian, I would feel ashamed.","Statement itself is negative (shame): reverse w.r.t. the stated proposition, forward w.r.t. an underlying tolerance construct. Classified as-prompted."
hmsacld,1-5,reverse,1,Agree strongly,5,Disagree strongly,"Using this card, please say to what extent you agree or disagree with each of the following statements. Gay male and lesbian couples should have the same rights to adopt children as straight couples.",
euftf,0-10,forward,0,Unification already gone too far,10,Unification go further,"Now thinking about the European Union, some say European unification should go further. Others say it has already gone too far. Using this card, what number on the scale best describes your position?","Bipolar policy item (0=gone too far, 10=go further); forward is a convention, not a substantive direction."
atchctr,0-10,forward,0,Not at all emotionally attached,10,Very emotionally attached,"How emotionally attached do you feel to [country]? Please choose a number from 0 to 10, where 0 means not at all emotionally attached and 10 means very emotionally attached.",
atcherp,0-10,forward,0,Not at all emotionally attached,10,Very emotionally attached,And how emotionally attached do you feel to Europe?,
health,1-5,reverse,1,Very good,5,Very bad,How is your health in general? Would you say it is...,
rlgatnd,1-7,reverse,1,Every day,7,Never,"Apart from special occasions such as weddings and funerals, about how often do you attend religious services nowadays?",Frequency scale runs 1=Every day to 7=Never; silicon cross-national variance is near zero (noise-dominated) - interpret r_bc with caution.
aesfdrk,1-4,reverse,1,Very safe,4,Very unsafe,How safe do you - or would you - feel walking alone in this area after dark? Do - or would - you feel...,
hincfel,1-4,reverse,1,Living comfortably on present income,4,Very difficult on present income,Which of the descriptions on this card comes closest to how you feel about your household's income nowadays?,
