variable,domain,cntry,country_name,survey_mean,survey_sd,silicon_mean,silicon_sd,model
ppltrst,social_trust,AT,Austria,6.071829184018286,2.0976862462724717,6.2734306569343055,1.7981294853638325,llama
ppltrst,social_trust,BE,Belgium,5.458173187943939,2.195522494698598,6.468321167883212,1.8260551581373543,llama
ppltrst,social_trust,BG,Bulgaria,3.728913646176717,2.3711881162028385,6.273722627737226,1.8162791343051825,llama
ppltrst,social_trust,CH,Switzerland,5.855593288087151,2.1151913454264175,6.415474452554745,1.7603727554174329,llama
ppltrst,social_trust,CY,Cyprus,4.092466358118389,2.456123517842882,6.396934306569342,1.8721346769402138,llama
ppltrst,social_trust,DE,Germany,5.213421360673227,2.329440069370058,6.420437956204379,1.7966073732254304,llama
ppltrst,social_trust,EE,Estonia,5.597881429421257,1.9956320359719784,6.692992700729927,1.7110692106147822,llama
ppltrst,social_trust,ES,Spain,5.30377052791885,2.170845887878443,6.359416058394159,1.7539061528532833,llama
ppltrst,social_trust,FI,Finland,6.920840954305089,1.8140828898597425,6.477664233576642,1.804059855747441,llama
ppltrst,social_trust,FR,France,4.472588263453334,2.150595521187708,6.335182481751826,1.8409419873701214,llama
ppltrst,social_trust,GB,United Kingdom,5.418093170478824,2.2752091003472237,6.2700729927007295,1.8082561210577,llama
ppltrst,social_trust,GR,Greece,4.5659732232376244,1.9203750141942668,6.388613138686131,1.7065796229523678,llama
ppltrst,social_trust,HR,Croatia,4.710634171131117,2.3881561272203213,6.349781021897811,1.7885979297532657,llama
ppltrst,social_trust,HU,Hungary,4.5774672280159825,2.4378724365986537,6.2519708029197085,1.7988340275843704,llama
ppltrst,social_trust,IE,Ireland,5.414850386746617,2.381842777024013,6.30029197080292,1.7452776474461607,llama
ppltrst,social_trust,IL,Israel,5.174017172464776,2.389764509965967,6.504817518248175,1.8000057270010341,llama
ppltrst,social_trust,IS,Iceland,6.354200470157306,2.061858353889841,6.319416058394161,1.773436122871499,llama
ppltrst,social_trust,IT,Italy,4.498938379325662,2.3475202051401065,6.331532846715329,1.7560833657024113,llama
ppltrst,social_trust,LT,Lithuania,5.1342718600800605,2.4545179848769294,6.405401459854015,1.784988580318992,llama
ppltrst,social_trust,LV,Latvia,3.853969529445196,2.5315340747124133,6.325401459854014,1.756907010505996,llama
ppltrst,social_trust,ME,Montenegro,4.214523037104412,2.5013155012698616,6.2969343065693435,1.8000583007305462,llama
ppltrst,social_trust,NL,Netherlands,6.1705777782591795,1.958424103278812,6.51956204379562,1.7845412652029626,llama
ppltrst,social_trust,NO,Norway,6.4876535997464035,1.9510974667031853,6.476788321167883,1.7308775342178015,llama
ppltrst,social_trust,PL,Poland,4.5337215889785645,2.3334421200904445,6.482627737226278,1.7363095526661754,llama
ppltrst,social_trust,PT,Portugal,4.15405019735004,2.4020558131627445,6.3509489051094885,1.8183405628089189,llama
ppltrst,social_trust,RS,Serbia,4.4015442985461535,2.769641531820987,6.4121167883211685,1.738264506659581,llama
ppltrst,social_trust,SE,Sweden,6.173553003500404,2.0369372146641576,6.436934306569343,1.754282796940954,llama
ppltrst,social_trust,SI,Slovenia,4.671985358795646,2.386686330953043,6.34948905109489,1.7817923827636832,llama
ppltrst,social_trust,SK,Slovakia,4.032077870148862,2.846323197813735,6.2757664233576635,1.7975689084009847,llama
ppltrst,social_trust,UA,Ukraine,3.823509033700963,2.792401452672258,6.072700729927006,1.8308274355883394,llama
pplfair,social_trust,AT,Austria,6.356658702906922,2.007590140567435,6.450656934306569,1.624975125486434,llama
pplfair,social_trust,BE,Belgium,5.898274055320637,2.038526524185433,6.572116788321168,1.637310513413598,llama
pplfair,social_trust,BG,Bulgaria,4.28774413732007,2.2021907496756565,6.62014598540146,1.5968728511167423,llama
pplfair,social_trust,CH,Switzerland,6.400660288273514,1.8848948256164268,6.616788321167883,1.6159099939771817,llama
pplfair,social_trust,CY,Cyprus,4.423461465515083,2.2078122491415186,6.531240875912408,1.681535189188369,llama
pplfair,social_trust,DE,Germany,6.186403696050097,1.9898562079629318,6.663795620437956,1.6399980973578951,llama
pplfair,social_trust,EE,Estonia,6.111731028208338,2.0677934266941755,6.760583941605839,1.5565724484162797,llama
pplfair,social_trust,ES,Spain,5.541573467263106,2.1802436948843513,6.483941605839416,1.6743172465811764,llama
pplfair,social_trust,FI,Finland,7.084249691343838,1.7336838763693212,6.627591240875912,1.6238214464594454,llama
pplfair,social_trust,FR,France,6.088517879920214,1.9971480895774854,6.53970802919708,1.6495524564078845,llama
pplfair,social_trust,GB,United Kingdom,5.981753215098941,2.1060601678344897,6.478686131386861,1.6689058718924819,llama
pplfair,social_trust,GR,Greece,4.935914237527794,2.005204614994723,6.676058394160584,1.572259221920044,llama
