variable,domain,cntry,country_name,survey_mean,survey_sd,silicon_mean,silicon_sd,model
sclmeet,social_trust,AT,Austria,4.97855907049627,1.1862131472556947,5.334306569343066,0.9384912269546346,llama
sclmeet,social_trust,BE,Belgium,5.115008561601236,1.4064923799551072,5.369343065693431,0.9393572864815743,llama
sclmeet,social_trust,BG,Bulgaria,4.99618382149749,1.6848498871293636,5.343065693430657,0.9415518188338913,llama
sclmeet,social_trust,CH,Switzerland,5.120404033218849,1.3015620048223844,5.328467153284672,0.9040963393386132,llama
sclmeet,social_trust,CY,Cyprus,4.063565729120625,1.6808260299062987,5.356204379562044,0.9949331660727526,llama
sclmeet,social_trust,DE,Germany,4.750274005473209,1.4910419350395807,5.3934306569343065,0.9210187262417732,llama
sclmeet,social_trust,EE,Estonia,4.268464111365069,1.5064569734447395,5.395620437956205,0.9206745408166748,llama
sclmeet,social_trust,ES,Spain,5.250413100298126,1.4669300296384136,5.339416058394161,0.914739414546775,llama
sclmeet,social_trust,FI,Finland,4.91015506669888,1.3723429550400144,5.369343065693431,0.9299721780875511,llama
sclmeet,social_trust,FR,France,5.227998279869101,1.4417715646805522,5.369343065693431,0.9283987696074982,llama
sclmeet,social_trust,GB,United Kingdom,4.825888880970069,1.545839796639787,5.388321167883212,0.9541434489959002,llama
sclmeet,social_trust,GR,Greece,4.23068100764633,1.5663897051020776,5.324087591240876,0.9113101509074543,llama
sclmeet,social_trust,HR,Croatia,5.355922756611965,1.5433309288591155,5.305109489051095,0.9994385242352908,llama
sclmeet,social_trust,HU,Hungary,3.4073398053512745,1.5184246921707605,5.25036496350365,0.9376095715766609,llama
sclmeet,social_trust,IE,Ireland,4.3086014206280145,1.5764076371688671,5.312408759124088,0.9846367554961792,llama
sclmeet,social_trust,IL,Israel,5.37946729389215,1.566948729077005,5.412408759124087,0.9433861227150591,llama
sclmeet,social_trust,IS,Iceland,5.278807458651748,1.4394663497959697,5.34014598540146,0.8932380688612376,llama
sclmeet,social_trust,IT,Italy,4.706546679320957,1.5752412935391051,5.351824817518248,0.9598749758516635,llama
sclmeet,social_trust,LT,Lithuania,4.364283230788744,1.5622693395152705,5.358394160583941,0.962957367277452,llama
sclmeet,social_trust,LV,Latvia,4.3429616960030435,1.6424937139788904,5.281021897810219,0.9681728168673991,llama
sclmeet,social_trust,ME,Montenegro,4.834985214387212,1.6015829359800529,5.36058394160584,0.9255437523213309,llama
sclmeet,social_trust,NL,Netherlands,5.398005102386256,1.2576971589608217,5.3934306569343065,0.8985209076996474,llama
sclmeet,social_trust,NO,Norway,5.688076208039842,1.3525075883274424,5.435036496350365,0.9147580801268154,llama
sclmeet,social_trust,PL,Poland,3.896722824683607,1.4430229733040592,5.370802919708029,0.9079055474180111,llama
sclmeet,social_trust,PT,Portugal,5.685409759425016,1.576563523208556,5.24963503649635,0.9973007493908552,llama
sclmeet,social_trust,RS,Serbia,5.185660516605247,1.5942757921749648,5.275912408759124,0.9645413377956167,llama
sclmeet,social_trust,SE,Sweden,5.514484949240079,1.3608053671737674,5.3802919708029195,0.896862580180395,llama
sclmeet,social_trust,SI,Slovenia,4.631734240685188,1.4881140484001878,5.363503649635036,0.9524419148847613,llama
sclmeet,social_trust,SK,Slovakia,4.72857259415562,1.5838908117692216,5.308029197080292,0.9733329123227117,llama
sclmeet,social_trust,UA,Ukraine,4.403961647625363,1.7492302415514074,5.194160583941605,1.0296600261721023,llama
inprdsc,social_trust,AT,Austria,3.118780630553028,1.1742953866443435,4.027007299270073,1.2639573777903348,llama
inprdsc,social_trust,BE,Belgium,3.249005581858395,1.392119874792085,4.155474452554745,1.2028790820232849,llama
inprdsc,social_trust,BG,Bulgaria,2.077287035540825,1.2654833628886588,4.004379562043796,1.236025310894693,llama
inprdsc,social_trust,CH,Switzerland,3.5672430918798415,1.2546165765107025,4.040875912408759,1.2129632860932633,llama
inprdsc,social_trust,CY,Cyprus,2.429658750415173,1.2914148054142078,4.05985401459854,1.2713360296532668,llama
inprdsc,social_trust,DE,Germany,3.508134966369809,1.1978906541310246,4.116788321167883,1.2058925344083393,llama
inprdsc,social_trust,EE,Estonia,2.5808046896837573,1.3664122962604637,4.201459854014598,1.2004498061374886,llama
inprdsc,social_trust,ES,Spain,2.889223323462987,1.3851422121984767,3.9836496350364965,1.2228674455334996,llama
inprdsc,social_trust,FI,Finland,3.2591695206650804,1.2740084057461003,4.158394160583941,1.2360710685537297,llama
inprdsc,social_trust,FR,France,2.834623969006955,1.4605348263872133,4.186131386861314,1.2148678412079001,llama
inprdsc,social_trust,GB,United Kingdom,3.16034956015881,1.3832269727107982,4.107299270072993,1.2491889202807147,llama
inprdsc,social_trust,GR,Greece,2.3001774709007434,1.208559756779504,4.149635036496351,1.2570923988933531,llama
inprdsc,social_trust,HR,Croatia,2.2941152783671246,1.422859648476235,4.056934306569343,1.2743416842174644,llama
inprdsc,social_trust,HU,Hungary,2.598329752384808,1.230743088053047,4.108759124087591,1.263608638506865,llama
inprdsc,social_trust,IE,Ireland,2.7380058098736266,1.332686531536047,4.021167883211679,1.2330387662060767,llama
inprdsc,social_trust,IL,Israel,2.4812293357499633,1.4132878598805871,4.261313868613139,1.2426537448963977,llama
inprdsc,social_trust,IS,Iceland,3.671481858006674,1.317456305642698,4.187591240875912,1.2248311290377984,llama
inprdsc,social_trust,IT,Italy,2.183433433926192,1.2779320478931364,4.065693430656935,1.2304279408294252,llama
inprdsc,social_trust,LT,Lithuania,2.1369766166296262,1.3544109428510231,4.169343065693431,1.1587174072200181,llama
inprdsc,social_trust,LV,Latvia,1.8116237136593292,1.2881659791877138,4.193430656934306,1.2984023234356996,llama
inprdsc,social_trust,ME,Montenegro,2.1663481487525504,1.1666499399605834,4.065693430656935,1.2280492516008328,llama
inprdsc,social_trust,NL,Netherlands,3.7088828570517682,1.283208311296253,4.197080291970803,1.2177981764293024,llama
inprdsc,social_trust,NO,Norway,3.227762827620148,1.4498231395247019,4.153284671532846,1.2166036450206617,llama
inprdsc,social_trust,PL,Poland,3.1281270388376403,1.4096043170643204,4.083211678832117,1.2680030659671142,llama
inprdsc,social_trust,PT,Portugal,2.2558309190788615,1.3613593845490315,3.978102189781022,1.2811450543793608,llama
inprdsc,social_trust,RS,Serbia,2.567237857631098,1.4134188192546682,4.1197080291970805,1.22007090533445,llama
inprdsc,social_trust,SE,Sweden,3.8066124907958425,1.2668089879502242,4.224817518248175,1.2219831584186192,llama
inprdsc,social_trust,SI,Slovenia,2.795537682887412,1.3412053782065898,4.155474452554745,1.222170901183699,llama
inprdsc,social_trust,SK,Slovakia,1.9473222705088136,1.1682652569916379,4.04963503649635,1.2709141669771726,llama
inprdsc,social_trust,UA,Ukraine,2.211819332304769,1.3882518522667766,4.032846715328467,1.2713158841714562,llama
stfdem,political,AT,Austria,5.795551925183848,2.5244039995514704,7.262189781021898,1.3976749256707142,llama
stfdem,political,BE,Belgium,5.182805903196197,2.3865646291443854,7.365547445255474,1.398614038126072,llama
stfdem,political,BG,Bulgaria,3.345957593389132,2.389999712039281,7.388175182481751,1.3472379254407008,llama
stfdem,political,CH,Switzerland,7.56247036533076,1.683445748396554,7.292700729927008,1.359794179283794,llama
stfdem,political,CY,Cyprus,4.406779475086675,2.347149478693197,7.212992700729926,1.5161770777957277,llama
stfdem,political,DE,Germany,5.545818977658347,2.7185355902907555,7.394014598540146,1.2931587080598481,llama
stfdem,political,EE,Estonia,5.22721288753493,2.5582260200437856,7.434744525547444,1.2518834233625813,llama
stfdem,political,ES,Spain,4.778082098901733,2.5349581336364486,7.266715328467153,1.332280894666712,llama
stfdem,political,FI,Finland,6.741465913056558,1.9636296674315314,7.421751824817518,1.3111230721213238,llama
stfdem,political,FR,France,4.305012268811358,2.514246595893705,7.267007299270072,1.4290298333367732,llama
stfdem,political,GB,United Kingdom,4.494947856238885,2.617061205631026,7.300729927007299,1.4341234231206936,llama
