variable,domain,cntry,country_name,survey_mean,survey_sd,silicon_mean,silicon_sd,model
ppltrst,social_trust,AT,Austria,6.071829184018286,2.0976862462724717,6.3321167883211675,1.7623803640939875,llama
ppltrst,social_trust,BE,Belgium,5.458173187943939,2.195522494698598,6.514452554744525,1.7105481661774122,llama
ppltrst,social_trust,BG,Bulgaria,3.728913646176717,2.3711881162028385,6.374744525547445,1.870794730696948,llama
ppltrst,social_trust,CH,Switzerland,5.855593288087151,2.1151913454264175,6.625693430656935,1.6618209362041654,llama
ppltrst,social_trust,CY,Cyprus,4.092466358118389,2.456123517842882,6.508905109489052,1.8307620241134135,llama
ppltrst,social_trust,DE,Germany,5.213421360673227,2.329440069370058,6.503503649635036,1.6569769165000898,llama
ppltrst,social_trust,EE,Estonia,5.597881429421257,1.9956320359719784,6.586131386861314,1.7145653329511445,llama
ppltrst,social_trust,ES,Spain,5.30377052791885,2.170845887878443,6.501459854014598,1.7775724872932328,llama
ppltrst,social_trust,FI,Finland,6.920840954305089,1.8140828898597425,6.4366423357664235,1.7675313497026497,llama
ppltrst,social_trust,FR,France,4.472588263453334,2.150595521187708,6.5633576642335765,1.7031834131555936,llama
ppltrst,social_trust,GB,United Kingdom,5.418093170478824,2.2752091003472237,6.478102189781022,1.7605868293537892,llama
ppltrst,social_trust,GR,Greece,4.5659732232376244,1.9203750141942668,6.5792700729927,1.7163837422436024,llama
ppltrst,social_trust,HR,Croatia,4.710634171131117,2.3881561272203213,6.492554744525547,1.839277456816569,llama
ppltrst,social_trust,HU,Hungary,4.5774672280159825,2.4378724365986537,6.3893430656934305,1.8096040908074882,llama
ppltrst,social_trust,IE,Ireland,5.414850386746617,2.381842777024013,6.447591240875911,1.7110957663323791,llama
ppltrst,social_trust,IL,Israel,5.174017172464776,2.389764509965967,6.5011678832116795,1.8902253438225274,llama
ppltrst,social_trust,IS,Iceland,6.354200470157306,2.061858353889841,6.511094890510949,1.7727038846406509,llama
ppltrst,social_trust,IT,Italy,4.498938379325662,2.3475202051401065,6.445401459854014,1.692612955709049,llama
ppltrst,social_trust,LT,Lithuania,5.1342718600800605,2.4545179848769294,6.4513868613138685,1.7849071521062343,llama
ppltrst,social_trust,LV,Latvia,3.853969529445196,2.5315340747124133,6.432262773722628,1.7666405959267735,llama
ppltrst,social_trust,ME,Montenegro,4.214523037104412,2.5013155012698616,6.489197080291971,1.7803344429197658,llama
ppltrst,social_trust,NL,Netherlands,6.1705777782591795,1.958424103278812,6.682043795620439,1.7367582301880489,llama
ppltrst,social_trust,NO,Norway,6.4876535997464035,1.9510974667031853,6.473138686131388,1.8013501076332166,llama
ppltrst,social_trust,PL,Poland,4.5337215889785645,2.3334421200904445,6.361897810218977,1.8408440779616677,llama
ppltrst,social_trust,PT,Portugal,4.15405019735004,2.4020558131627445,6.474452554744525,1.7521010443888734,llama
ppltrst,social_trust,RS,Serbia,4.4015442985461535,2.769641531820987,6.321897810218978,1.6953891430191264,llama
ppltrst,social_trust,SE,Sweden,6.173553003500404,2.0369372146641576,6.536058394160584,1.644474781359282,llama
ppltrst,social_trust,SI,Slovenia,4.671985358795646,2.386686330953043,6.36058394160584,1.7683605610051245,llama
ppltrst,social_trust,SK,Slovakia,4.032077870148862,2.846323197813735,6.251094890510949,1.8083996991751516,llama
ppltrst,social_trust,UA,Ukraine,3.823509033700963,2.792401452672258,6.063649635036497,1.771230812320974,llama
pplfair,social_trust,AT,Austria,6.356658702906922,2.007590140567435,6.737956204379562,1.5844701083942636,llama
pplfair,social_trust,BE,Belgium,5.898274055320637,2.038526524185433,6.646861313868613,1.618698195370929,llama
pplfair,social_trust,BG,Bulgaria,4.28774413732007,2.2021907496756565,6.42948905109489,1.699718036974428,llama
pplfair,social_trust,CH,Switzerland,6.400660288273514,1.8848948256164268,6.951824817518248,1.4616392198597823,llama
pplfair,social_trust,CY,Cyprus,4.423461465515083,2.2078122491415186,6.5559124087591245,1.7071181192343756,llama
pplfair,social_trust,DE,Germany,6.186403696050097,1.9898562079629318,6.644963503649634,1.5090347424526802,llama
pplfair,social_trust,EE,Estonia,6.111731028208338,2.0677934266941755,6.70087591240876,1.5705809045874117,llama
pplfair,social_trust,ES,Spain,5.541573467263106,2.1802436948843513,6.575620437956204,1.6829306715357333,llama
pplfair,social_trust,FI,Finland,7.084249691343838,1.7336838763693212,6.580729927007299,1.5801702639016006,llama
pplfair,social_trust,FR,France,6.088517879920214,1.9971480895774854,6.768759124087592,1.5404162521557816,llama
pplfair,social_trust,GB,United Kingdom,5.981753215098941,2.1060601678344897,6.450656934306569,1.5918708899843217,llama
pplfair,social_trust,GR,Greece,4.935914237527794,2.005204614994723,6.62014598540146,1.5788264505996994,llama
pplfair,social_trust,HR,Croatia,5.182213320213709,2.439485398002121,6.677810218978102,1.5790953047471097,llama
pplfair,social_trust,HU,Hungary,5.124484568640466,2.073835982532519,6.414306569343066,1.6904702776680232,llama
pplfair,social_trust,IE,Ireland,6.168494894931351,2.106787750467679,6.643211678832118,1.5640707002622871,llama
pplfair,social_trust,IL,Israel,5.314318458840991,2.3022335286898072,6.373868613138686,1.6323673513785917,llama
