variable,domain,cntry,country_name,survey_mean,survey_sd,silicon_mean,silicon_sd,model
sclmeet,social_trust,AT,Austria,4.97855907049627,1.1862131472556947,5.356934306569343,0.9303048940914271,llama
sclmeet,social_trust,BE,Belgium,5.115008561601236,1.4064923799551072,5.391970802919708,0.927177253800479,llama
sclmeet,social_trust,BG,Bulgaria,4.99618382149749,1.6848498871293636,5.364963503649635,0.9309172393724406,llama
sclmeet,social_trust,CH,Switzerland,5.120404033218849,1.3015620048223844,5.424817518248175,0.9298321723292382,llama
sclmeet,social_trust,CY,Cyprus,4.063565729120625,1.6808260299062987,5.383941605839416,0.9566811522103347,llama
sclmeet,social_trust,DE,Germany,4.750274005473209,1.4910419350395807,5.417518248175183,0.9101360519575907,llama
sclmeet,social_trust,EE,Estonia,4.268464111365069,1.5064569734447395,5.392700729927007,0.9392073176102722,llama
sclmeet,social_trust,ES,Spain,5.250413100298126,1.4669300296384136,5.361313868613139,0.9293971018783602,llama
sclmeet,social_trust,FI,Finland,4.91015506669888,1.3723429550400144,5.423357664233577,0.9483952877831443,llama
sclmeet,social_trust,FR,France,5.227998279869101,1.4417715646805522,5.370802919708029,0.9534609612720519,llama
sclmeet,social_trust,GB,United Kingdom,4.825888880970069,1.545839796639787,5.395620437956205,0.930153465701826,llama
sclmeet,social_trust,GR,Greece,4.23068100764633,1.5663897051020776,5.340875912408759,0.9229493425783039,llama
sclmeet,social_trust,HR,Croatia,5.355922756611965,1.5433309288591155,5.288321167883212,0.9972964692495313,llama
sclmeet,social_trust,HU,Hungary,3.4073398053512745,1.5184246921707605,5.268613138686131,0.9974933367419887,llama
sclmeet,social_trust,IE,Ireland,4.3086014206280145,1.5764076371688671,5.274452554744525,0.953910786733658,llama
sclmeet,social_trust,IL,Israel,5.37946729389215,1.566948729077005,5.454744525547445,0.9517582070239186,llama
sclmeet,social_trust,IS,Iceland,5.278807458651748,1.4394663497959697,5.42992700729927,0.8939665341918116,llama
sclmeet,social_trust,IT,Italy,4.706546679320957,1.5752412935391051,5.357664233576642,0.9282539280457384,llama
sclmeet,social_trust,LT,Lithuania,4.364283230788744,1.5622693395152705,5.299270072992701,0.9394299900438075,llama
sclmeet,social_trust,LV,Latvia,4.3429616960030435,1.6424937139788904,5.240875912408759,0.9514958018276003,llama
sclmeet,social_trust,ME,Montenegro,4.834985214387212,1.6015829359800529,5.385401459854014,0.9273728965088166,llama
sclmeet,social_trust,NL,Netherlands,5.398005102386256,1.2576971589608217,5.413138686131387,0.9016568179123058,llama
sclmeet,social_trust,NO,Norway,5.688076208039842,1.3525075883274424,5.456934306569343,0.8983249210651559,llama
sclmeet,social_trust,PL,Poland,3.896722824683607,1.4430229733040592,5.376642335766423,0.9858844971761723,llama
sclmeet,social_trust,PT,Portugal,5.685409759425016,1.576563523208556,5.330656934306569,0.9698346488803905,llama
sclmeet,social_trust,RS,Serbia,5.185660516605247,1.5942757921749648,5.278832116788321,0.9457067236485835,llama
sclmeet,social_trust,SE,Sweden,5.514484949240079,1.3608053671737674,5.412408759124087,0.8973193717366886,llama
sclmeet,social_trust,SI,Slovenia,4.631734240685188,1.4881140484001878,5.327007299270073,0.8989519278916382,llama
sclmeet,social_trust,SK,Slovakia,4.72857259415562,1.5838908117692216,5.261313868613139,0.9734973557410754,llama
sclmeet,social_trust,UA,Ukraine,4.403961647625363,1.7492302415514074,5.227737226277372,0.9400704470777195,llama
inprdsc,social_trust,AT,Austria,3.118780630553028,1.1742953866443435,4.02043795620438,1.2942257437364637,llama
inprdsc,social_trust,BE,Belgium,3.249005581858395,1.392119874792085,4.138686131386861,1.2359294733270076,llama
inprdsc,social_trust,BG,Bulgaria,2.077287035540825,1.2654833628886588,4.067153284671533,1.2465806735194738,llama
inprdsc,social_trust,CH,Switzerland,3.5672430918798415,1.2546165765107025,4.004379562043796,1.2024505079807164,llama
inprdsc,social_trust,CY,Cyprus,2.429658750415173,1.2914148054142078,4.073722627737227,1.2764895022161127,llama
inprdsc,social_trust,DE,Germany,3.508134966369809,1.1978906541310246,4.074452554744526,1.221878359215573,llama
inprdsc,social_trust,EE,Estonia,2.5808046896837573,1.3664122962604637,4.1547445255474456,1.2289734937662709,llama
inprdsc,social_trust,ES,Spain,2.889223323462987,1.3851422121984767,4.025547445255475,1.27550180453589,llama
inprdsc,social_trust,FI,Finland,3.2591695206650804,1.2740084057461003,4.1474452554744525,1.2019161292981622,llama
inprdsc,social_trust,FR,France,2.834623969006955,1.4605348263872133,4.116788321167883,1.2055894037315198,llama
inprdsc,social_trust,GB,United Kingdom,3.16034956015881,1.3832269727107982,4.0854014598540145,1.2572910256170926,llama
inprdsc,social_trust,GR,Greece,2.3001774709007434,1.208559756779504,4.054744525547445,1.234670375484636,llama
inprdsc,social_trust,HR,Croatia,2.2941152783671246,1.422859648476235,4.1671532846715325,1.25604442044005,llama
inprdsc,social_trust,HU,Hungary,2.598329752384808,1.230743088053047,4.001459854014598,1.2513142448620633,llama
inprdsc,social_trust,IE,Ireland,2.7380058098736266,1.332686531536047,4.052554744525548,1.2176264114142354,llama
inprdsc,social_trust,IL,Israel,2.4812293357499633,1.4132878598805871,4.2087591240875915,1.313530266902673,llama
inprdsc,social_trust,IS,Iceland,3.671481858006674,1.317456305642698,4.2569343065693435,1.2044505444803935,llama
inprdsc,social_trust,IT,Italy,2.183433433926192,1.2779320478931364,4.029197080291971,1.1855711841724228,llama
inprdsc,social_trust,LT,Lithuania,2.1369766166296262,1.3544109428510231,4.027737226277372,1.2655309963722126,llama
inprdsc,social_trust,LV,Latvia,1.8116237136593292,1.2881659791877138,4.031386861313869,1.2598008652174204,llama
inprdsc,social_trust,ME,Montenegro,2.1663481487525504,1.1666499399605834,4.192700729927007,1.2413816955745938,llama
inprdsc,social_trust,NL,Netherlands,3.7088828570517682,1.283208311296253,4.19051094890511,1.203909519175923,llama
inprdsc,social_trust,NO,Norway,3.227762827620148,1.4498231395247019,4.194160583941605,1.2010452576889858,llama
inprdsc,social_trust,PL,Poland,3.1281270388376403,1.4096043170643204,3.986861313868613,1.2312225606672142,llama
inprdsc,social_trust,PT,Portugal,2.2558309190788615,1.3613593845490315,3.9802919708029196,1.2460369584257616,llama
inprdsc,social_trust,RS,Serbia,2.567237857631098,1.4134188192546682,4.124817518248175,1.278807296904674,llama
inprdsc,social_trust,SE,Sweden,3.8066124907958425,1.2668089879502242,4.254014598540146,1.2041603440943798,llama
inprdsc,social_trust,SI,Slovenia,2.795537682887412,1.3412053782065898,4.148905109489051,1.2512050792493419,llama
inprdsc,social_trust,SK,Slovakia,1.9473222705088136,1.1682652569916379,4.016058394160584,1.2535466396874457,llama
inprdsc,social_trust,UA,Ukraine,2.211819332304769,1.3882518522667766,4.108029197080292,1.2761910154511409,llama
stfdem,political,AT,Austria,5.795551925183848,2.5244039995514704,7.3166423357664225,1.287700632963612,llama
stfdem,political,BE,Belgium,5.182805903196197,2.3865646291443854,7.307007299270073,1.3277439671654712,llama
stfdem,political,BG,Bulgaria,3.345957593389132,2.389999712039281,7.1678832116788325,1.4517047000158638,llama
stfdem,political,CH,Switzerland,7.56247036533076,1.683445748396554,7.545985401459854,1.2368616315873833,llama
stfdem,political,CY,Cyprus,4.406779475086675,2.347149478693197,7.317956204379563,1.3986674624776825,llama
stfdem,political,DE,Germany,5.545818977658347,2.7185355902907555,7.3623357664233575,1.3103993982761586,llama
stfdem,political,EE,Estonia,5.22721288753493,2.5582260200437856,7.402919708029197,1.2772149437544265,llama
stfdem,political,ES,Spain,4.778082098901733,2.5349581336364486,7.4581021897810205,1.2951707043029776,llama
stfdem,political,FI,Finland,6.741465913056558,1.9636296674315314,7.406861313868613,1.2774001327536684,llama
stfdem,political,FR,France,4.305012268811358,2.514246595893705,7.363795620437956,1.3333235369085623,llama
stfdem,political,GB,United Kingdom,4.494947856238885,2.617061205631026,7.241459854014598,1.4420494574182707,llama
stfdem,political,GR,Greece,4.182779495226115,2.157520501595945,7.367591240875913,1.358738517518177,llama
