variable,domain,cntry,country_name,survey_mean,survey_sd,silicon_mean,silicon_sd,model
ppltrst,social_trust,AT,Austria,6.071829184018286,2.0976862462724717,6.732574430823117,3.0797454085899756,llama
ppltrst,social_trust,BE,Belgium,5.458173187943939,2.195522494698598,6.191312384473198,3.4024634779673826,llama
ppltrst,social_trust,BG,Bulgaria,3.728913646176717,2.3711881162028385,5.400354609929078,3.658305213088453,llama
ppltrst,social_trust,CH,Switzerland,5.855593288087151,2.1151913454264175,6.221189591078067,3.401905052516113,llama
ppltrst,social_trust,CY,Cyprus,4.092466358118389,2.456123517842882,6.14349376114082,3.4056672180950733,llama
ppltrst,social_trust,DE,Germany,5.213421360673227,2.329440069370058,6.590989399293286,3.0203041650543985,llama
ppltrst,social_trust,EE,Estonia,5.597881429421257,1.9956320359719784,5.461389961389961,3.667972049241781,llama
ppltrst,social_trust,ES,Spain,5.30377052791885,2.170845887878443,6.434704830053668,3.294223989936429,llama
ppltrst,social_trust,FI,Finland,6.920840954305089,1.8140828898597425,5.960923623445826,3.456424293441341,llama
ppltrst,social_trust,FR,France,4.472588263453334,2.150595521187708,6.657804459691252,3.101097796338307,llama
ppltrst,social_trust,GB,United Kingdom,5.418093170478824,2.2752091003472237,7.039837398373984,2.462181040947973,llama
ppltrst,social_trust,GR,Greece,4.5659732232376244,1.9203750141942668,6.140595903165735,3.473012963871858,llama
ppltrst,social_trust,HR,Croatia,4.710634171131117,2.3881561272203213,6.2091254752851714,3.5124258874319545,llama
ppltrst,social_trust,HU,Hungary,4.5774672280159825,2.4378724365986537,5.8466796875,3.477552943168743,llama
ppltrst,social_trust,IE,Ireland,5.414850386746617,2.381842777024013,6.455284552845528,3.0471379013070354,llama
ppltrst,social_trust,IL,Israel,5.174017172464776,2.389764509965967,6.5808243727598565,3.1483559360655113,llama
ppltrst,social_trust,IS,Iceland,6.354200470157306,2.061858353889841,6.272396694214876,3.3235186972717456,llama
ppltrst,social_trust,IT,Italy,4.498938379325662,2.3475202051401065,6.588235294117647,3.2162011340384122,llama
ppltrst,social_trust,LT,Lithuania,5.1342718600800605,2.4545179848769294,4.529191321499014,3.853161519138895,llama
ppltrst,social_trust,LV,Latvia,3.853969529445196,2.5315340747124133,5.406191369606003,3.6951018097423876,llama
ppltrst,social_trust,ME,Montenegro,4.214523037104412,2.5013155012698616,5.716512059369202,3.539218153078071,llama
ppltrst,social_trust,NL,Netherlands,6.1705777782591795,1.958424103278812,6.768156424581005,3.0497692214074017,llama
ppltrst,social_trust,NO,Norway,6.4876535997464035,1.9510974667031853,5.912431444241316,3.5074581620555203,llama
ppltrst,social_trust,PL,Poland,4.5337215889785645,2.3334421200904445,5.777777777777778,3.500244555815937,llama
ppltrst,social_trust,PT,Portugal,4.15405019735004,2.4020558131627445,6.642342342342342,3.1512002626914337,llama
ppltrst,social_trust,RS,Serbia,4.4015442985461535,2.769641531820987,5.493613138686132,3.662704879054812,llama
ppltrst,social_trust,SE,Sweden,6.173553003500404,2.0369372146641576,6.421654929577465,3.238945014179564,llama
ppltrst,social_trust,SI,Slovenia,4.671985358795646,2.386686330953043,5.92513966480447,3.5902621756336552,llama
ppltrst,social_trust,SK,Slovakia,4.032077870148862,2.846323197813735,5.950187969924812,3.4792714081335703,llama
ppltrst,social_trust,UA,Ukraine,3.823509033700963,2.792401452672258,5.617481203007519,3.659059243530857,llama
pplfair,social_trust,AT,Austria,6.356658702906922,2.007590140567435,5.843511450381679,3.684411879339518,llama
pplfair,social_trust,BE,Belgium,5.898274055320637,2.038526524185433,5.789628180039139,3.667059255993695,llama
pplfair,social_trust,BG,Bulgaria,4.28774413732007,2.2021907496756565,4.318265682656826,3.913304754684276,llama
pplfair,social_trust,CH,Switzerland,6.400660288273514,1.8848948256164268,5.355852156057495,3.8893441059907534,llama
pplfair,social_trust,CY,Cyprus,4.423461465515083,2.2078122491415186,4.760223048327138,4.000714268917015,llama
pplfair,social_trust,DE,Germany,6.186403696050097,1.9898562079629318,5.909572301425662,3.688306123628917,llama
pplfair,social_trust,EE,Estonia,6.111731028208338,2.0677934266941755,5.3297029702970296,3.7663280651236404,llama
pplfair,social_trust,ES,Spain,5.541573467263106,2.1802436948843513,5.481409001956947,3.817162837562451,llama
pplfair,social_trust,FI,Finland,7.084249691343838,1.7336838763693212,6.319626168224299,3.4540439104973073,llama
pplfair,social_trust,FR,France,6.088517879920214,1.9971480895774854,5.927902621722846,3.5979914792399863,llama
pplfair,social_trust,GB,United Kingdom,5.981753215098941,2.1060601678344897,7.098106712564544,2.6978305196455032,llama
pplfair,social_trust,GR,Greece,4.935914237527794,2.005204614994723,5.106463878326996,3.9179776179660872,llama
pplfair,social_trust,HR,Croatia,5.182213320213709,2.439485398002121,5.062022900763359,3.904753747343156,llama
pplfair,social_trust,HU,Hungary,5.124484568640466,2.073835982532519,4.901717557251908,3.914279504895441,llama
pplfair,social_trust,IE,Ireland,6.168494894931351,2.106787750467679,6.506514657980456,3.327421769221705,llama
pplfair,social_trust,IL,Israel,5.314318458840991,2.3022335286898072,5.785420944558521,3.727008114149325,llama
pplfair,social_trust,IS,Iceland,6.576929478670769,1.9072991814569054,6.244000000000001,3.474034295414236,llama
pplfair,social_trust,IT,Italy,4.588315451551168,2.2539241028190062,5.415384615384616,3.881500247040862,llama
pplfair,social_trust,LT,Lithuania,5.4409183956236085,2.235114984941725,4.484031936127744,3.93341384944148,llama
pplfair,social_trust,LV,Latvia,5.663738367059401,2.247497646406504,5.158869395711501,3.8606847838806173,llama
pplfair,social_trust,ME,Montenegro,4.36938040692145,2.2653311034681702,5.105671077504726,3.922039268084011,llama
pplfair,social_trust,NL,Netherlands,6.542182923142853,1.634480715869356,6.21881390593047,3.4846228104748493,llama
pplfair,social_trust,NO,Norway,6.757639034501647,1.8971193298633304,5.488729508196721,3.778026823385984,llama
pplfair,social_trust,PL,Poland,5.225422873831028,2.2838780429825127,5.079218106995885,3.8574336062410794,llama
pplfair,social_trust,PT,Portugal,5.2347667924699675,2.2103944076408926,5.433018867924528,3.9292832503711295,llama
pplfair,social_trust,RS,Serbia,4.739201854594089,2.8499587721633626,4.692160611854685,3.938569926036228,llama
pplfair,social_trust,SE,Sweden,6.592569867878159,1.8020303379041651,6.163740458015267,3.4490808675893243,llama
pplfair,social_trust,SI,Slovenia,5.418600199352892,2.258280124051613,5.1039927404718695,3.8727794144095626,llama
pplfair,social_trust,SK,Slovakia,4.8643116719235655,2.5431197557800247,5.205202312138728,3.742920203287798,llama
pplfair,social_trust,UA,Ukraine,4.693212458739193,2.43492351369049,4.464876033057851,3.9907768647971764,llama
pplhlp,social_trust,AT,Austria,6.318627057316925,2.061005753294836,4.8247685185185185,3.929431152295552,llama
pplhlp,social_trust,BE,Belgium,5.060544624005849,2.1956473479694956,4.675878220140515,3.916889379044303,llama
pplhlp,social_trust,BG,Bulgaria,3.550500715225844,2.3080899941553548,4.219473684210526,3.782853935803294,llama
pplhlp,social_trust,CH,Switzerland,5.8985149650676005,1.884854676878496,4.278186274509804,3.9372148257849955,llama
pplhlp,social_trust,CY,Cyprus,4.108040391083219,2.1954327810505894,4.42718253968254,3.8668231496653647,llama
pplhlp,social_trust,DE,Germany,5.359509661907016,2.0965802980361574,4.2524390243902435,3.8258618604819605,llama
pplhlp,social_trust,EE,Estonia,5.026836971472983,2.0167271854085875,4.30718954248366,3.8420468169285997,llama
pplhlp,social_trust,ES,Spain,4.799287732107402,2.2984435948613826,4.704016913319239,3.9747781005819527,llama
pplhlp,social_trust,FI,Finland,6.367163416606128,1.957104421735069,4.727253668763103,3.9431159303447854,llama
pplhlp,social_trust,FR,France,4.606344443975376,2.24002307315973,4.754620123203286,3.893628620821222,llama
pplhlp,social_trust,GB,United Kingdom,5.990719000699621,1.942504544742161,5.956603773584906,3.2704213399237196,llama
pplhlp,social_trust,GR,Greece,4.337120313457906,1.9778120001939348,4.366438356164384,3.9291309628458087,llama
pplhlp,social_trust,HR,Croatia,4.343355311541862,2.4112502202938684,4.673719376391982,3.859256581075507,llama
pplhlp,social_trust,HU,Hungary,4.605214910806596,2.2470109750370364,4.369815668202765,3.8826298155567205,llama
pplhlp,social_trust,IE,Ireland,5.939084968682108,2.240485078040839,5.625708884688091,3.596054856190007,llama
pplhlp,social_trust,IL,Israel,5.100096960518647,2.336648940608769,4.584598698481562,3.86559536186219,llama
pplhlp,social_trust,IS,Iceland,6.299077774742755,1.791363854697011,5.189068100358423,3.877339061319143,llama
pplhlp,social_trust,IT,Italy,4.184164039738798,2.273457502775936,4.573008849557522,3.8659898346027615,llama
pplhlp,social_trust,LT,Lithuania,5.032521343524122,2.3988190229998003,3.9240088105726874,3.872022334955547,llama
pplhlp,social_trust,LV,Latvia,4.838484340024971,2.2962432351850475,4.315040650406504,3.843864288235033,llama
pplhlp,social_trust,ME,Montenegro,4.194717188555699,2.2559179621884984,4.5296875,3.8643867933167826,llama
pplhlp,social_trust,NL,Netherlands,5.65817291172352,1.7643307067812635,5.733990147783251,3.766083513022937,llama
pplhlp,social_trust,NO,Norway,6.003298800640809,1.9932155036957901,4.4260485651214125,3.962984881957962,llama
pplhlp,social_trust,PL,Poland,4.546993964205541,2.4182053882140755,4.574647887323944,3.9505073976964464,llama
pplhlp,social_trust,PT,Portugal,4.213744814045952,2.1791089434587874,4.556795131845842,3.9475498566256713,llama
pplhlp,social_trust,RS,Serbia,3.72835672703553,2.720929475579113,4.493801652892562,3.8589202957272555,llama
pplhlp,social_trust,SE,Sweden,5.946359746894595,1.936482154823752,4.771694214876033,3.8367359668586465,llama
pplhlp,social_trust,SI,Slovenia,5.349566794505421,2.236529461060724,4.385106382978724,3.9301729711987563,llama
