variable,domain,cntry,country_name,survey_mean,survey_sd,silicon_mean,silicon_sd,model
sclmeet,social_trust,AT,Austria,4.97855907049627,1.1862131472556947,4.467153284671533,0.6472060385178894,qwen
sclmeet,social_trust,BE,Belgium,5.115008561601236,1.4064923799551072,4.628029197080291,0.543787130769687,qwen
sclmeet,social_trust,BG,Bulgaria,4.99618382149749,1.6848498871293636,4.424817518248175,0.6747081914074495,qwen
sclmeet,social_trust,CH,Switzerland,5.120404033218849,1.3015620048223844,4.655474452554745,0.5443650343726564,qwen
sclmeet,social_trust,CY,Cyprus,4.063565729120625,1.6808260299062987,4.489489051094891,0.67056352443592,qwen
sclmeet,social_trust,DE,Germany,4.750274005473209,1.4910419350395807,4.569343065693431,0.5540338574264196,qwen
sclmeet,social_trust,EE,Estonia,4.268464111365069,1.5064569734447395,4.656934306569343,0.5163688474469933,qwen
sclmeet,social_trust,ES,Spain,5.250413100298126,1.4669300296384136,4.502189781021897,0.6297297240356503,qwen
sclmeet,social_trust,FI,Finland,4.91015506669888,1.3723429550400144,4.683211678832117,0.5218289561844266,qwen
sclmeet,social_trust,FR,France,5.227998279869101,1.4417715646805522,4.591240875912408,0.5843317836763942,qwen
sclmeet,social_trust,GB,United Kingdom,4.825888880970069,1.545839796639787,4.435036496350365,0.6193270306455962,qwen
sclmeet,social_trust,GR,Greece,4.23068100764633,1.5663897051020776,4.607299270072993,0.5611229129739568,qwen
sclmeet,social_trust,HR,Croatia,5.355922756611965,1.5433309288591155,4.458394160583942,0.6819136231514483,qwen
sclmeet,social_trust,HU,Hungary,3.4073398053512745,1.5184246921707605,4.487591240875912,0.6591068357829382,qwen
sclmeet,social_trust,IE,Ireland,4.3086014206280145,1.5764076371688671,4.491970802919708,0.6273561895924582,qwen
sclmeet,social_trust,IL,Israel,5.37946729389215,1.566948729077005,4.706569343065693,0.5214975595478217,qwen
sclmeet,social_trust,IS,Iceland,5.278807458651748,1.4394663497959697,4.757309941520468,0.4587101565790233,qwen
sclmeet,social_trust,IT,Italy,4.706546679320957,1.5752412935391051,4.465693430656934,0.6448670423963853,qwen
sclmeet,social_trust,LT,Lithuania,4.364283230788744,1.5622693395152705,4.52043795620438,0.6042174734997048,qwen
sclmeet,social_trust,LV,Latvia,4.3429616960030435,1.6424937139788904,4.468613138686131,0.6242834283800344,qwen
sclmeet,social_trust,ME,Montenegro,4.834985214387212,1.6015829359800529,4.554744525547445,0.5962812146769052,qwen
sclmeet,social_trust,NL,Netherlands,5.398005102386256,1.2576971589608217,4.604817518248176,0.5381825900913718,qwen
sclmeet,social_trust,NO,Norway,5.688076208039842,1.3525075883274424,4.724087591240876,0.4819134539643809,qwen
sclmeet,social_trust,PL,Poland,3.896722824683607,1.4430229733040592,4.601459854014599,0.5901215804777797,qwen
sclmeet,social_trust,PT,Portugal,5.685409759425016,1.576563523208556,4.372262773722627,0.6776216067689486,qwen
sclmeet,social_trust,RS,Serbia,5.185660516605247,1.5942757921749648,4.449635036496351,0.6369614555423843,qwen
sclmeet,social_trust,SE,Sweden,5.514484949240079,1.3608053671737674,4.713868613138686,0.4954740304758643,qwen
