variable,domain,cntry,country_name,survey_mean,survey_sd,silicon_mean,silicon_sd,model
sclmeet,social_trust,AT,Austria,5.819607659190745,0.38451390636310184,5.0,0.0,qwen
sclmeet,social_trust,DE,Germany,4.813232327871706,0.3897249142357621,4.5,0.7071067811865476,qwen
sclmeet,social_trust,FI,Finland,5.698144302885236,0.4590629970212412,4.5,0.7071067811865476,qwen
inprdsc,social_trust,AT,Austria,3.6392153183814906,0.7690278127262038,4.0,0.0,qwen
inprdsc,social_trust,DE,Germany,4.186767672128294,0.3897249142357621,4.0,0.0,qwen
inprdsc,social_trust,FI,Finland,3.6981443028852357,0.4590629970212412,4.0,0.0,qwen
stfdem,political,AT,Austria,6.63921531838149,0.7690278127262037,7.5,0.7071067811865476,qwen
stfdem,political,DE,Germany,8.439696983615118,1.1691747427072863,7.5,0.7071067811865476,qwen
stfdem,political,FI,Finland,7.301855697114765,0.4590629970212412,7.75,0.3535533905932738,qwen
polintr,political,AT,Austria,3.0,0.0,2.0,0.0,qwen
polintr,political,DE,Germany,1.186767672128294,0.3897249142357621,2.0,0.0,qwen
polintr,political,FI,Finland,1.6981443028852354,0.4590629970212412,2.0,0.0,qwen
psppipla,political,AT,Austria,2.1803923408092545,0.3845139063631019,3.0,0.0,qwen
psppipla,political,DE,Germany,1.813232327871706,0.3897249142357621,3.5,0.7071067811865476,qwen
psppipla,political,FI,Finland,2.301855697114765,0.4590629970212412,4.0,1.4142135623730951,qwen
psppsgva,political,AT,Austria,2.0,0.0,4.0,0.0,qwen
psppsgva,political,DE,Germany,1.813232327871706,0.3897249142357621,4.5,0.7071067811865476,qwen
psppsgva,political,FI,Finland,2.6981443028852357,0.4590629970212412,4.0,0.0,qwen
actrolga,efficacy,AT,Austria,2.1803923408092545,0.3845139063631019,3.0,0.0,qwen
actrolga,efficacy,DE,Germany,3.626464655743412,0.7794498284715242,3.0,0.0,qwen
actrolga,efficacy,FI,Finland,2.301855697114765,0.4590629970212412,4.0,1.4142135623730951,qwen
cptppola,efficacy,AT,Austria,2.0,0.0,3.0,0.0,qwen
cptppola,efficacy,DE,Germany,4.439696983615118,1.1691747427072863,4.0,1.4142135623730951,qwen
cptppola,efficacy,FI,Finland,2.301855697114765,0.4590629970212412,4.0,0.0,qwen
trstplc,inst_trust,AT,Austria,8.360784681618508,0.7690278127262038,7.25,0.3535533905932738,qwen
trstplc,inst_trust,DE,Germany,9.813232327871706,0.3897249142357621,8.0,1.4142135623730951,qwen
trstplc,inst_trust,FI,Finland,9.0,0.0,8.75,1.0606601717798212,qwen
happy,wellbeing,AT,Austria,6.180392340809254,0.3845139063631019,8.0,0.0,qwen
happy,wellbeing,DE,Germany,7.373535344256589,0.7794498284715242,7.5,0.7071067811865476,qwen
happy,wellbeing,FI,Finland,6.905567091344295,1.3771889910637236,8.0,0.0,qwen
stflife,wellbeing,AT,Austria,6.180392340809254,0.3845139063631019,7.25,0.3535533905932738,qwen
stflife,wellbeing,DE,Germany,8.186767672128294,0.3897249142357621,8.25,0.3535533905932738,qwen
stflife,wellbeing,FI,Finland,6.905567091344295,1.3771889910637236,7.5,0.7071067811865476,qwen
imsmetn,immigration,AT,Austria,2.0,0.0,2.0,0.0,qwen
imsmetn,immigration,DE,Germany,2.0,0.0,2.0,0.0,qwen
imsmetn,immigration,FI,Finland,2.396288605770471,0.9181259940424824,2.0,0.0,qwen
impcntr,immigration,AT,Austria,2.8196076591907455,0.3845139063631019,2.0,0.0,qwen
impcntr,immigration,DE,Germany,2.0,0.0,1.5,0.7071067811865476,qwen
impcntr,immigration,FI,Finland,2.6981443028852357,0.4590629970212412,2.0,0.0,qwen
imdfetn,immigration,AT,Austria,3.0,0.0,2.0,0.0,qwen
imdfetn,immigration,DE,Germany,2.0,0.0,1.5,0.7071067811865476,qwen
imdfetn,immigration,FI,Finland,2.396288605770471,0.9181259940424824,1.5,0.7071067811865476,qwen
gincdif,values,AT,Austria,1.8196076591907453,0.3845139063631019,3.0,0.0,qwen
gincdif,values,DE,Germany,2.0,0.0,3.0,0.0,qwen
gincdif,values,FI,Finland,3.301855697114765,0.4590629970212412,3.0,0.0,qwen
freehms,values,AT,Austria,2.0,0.0,3.0,0.0,qwen
freehms,values,DE,Germany,2.0,0.0,2.0,1.4142135623730951,qwen
freehms,values,FI,Finland,1.0,0.0,1.0,0.0,qwen
hmsfmlsh,values,AT,Austria,4.180392340809254,0.3845139063631019,3.0,0.0,qwen
hmsfmlsh,values,DE,Germany,3.813232327871706,0.3897249142357621,3.0,0.0,qwen
hmsfmlsh,values,FI,Finland,4.999999999999999,8.881784197001252e-16,3.0,0.0,qwen
hmsacld,values,AT,Austria,3.8196076591907455,0.3845139063631019,3.0,0.0,qwen
hmsacld,values,DE,Germany,2.0,0.0,3.0,0.0,qwen
hmsacld,values,FI,Finland,1.3018556971147646,0.4590629970212412,3.0,0.0,qwen
health,health,AT,Austria,1.360784681618509,0.7690278127262038,3.0,0.0,qwen
health,health,DE,Germany,1.373535344256588,0.7794498284715242,2.5,0.7071067811865476,qwen
health,health,FI,Finland,2.0,0.0,2.0,1.4142135623730951,qwen
rlgatnd,religion,AT,Austria,5.819607659190745,0.38451390636310184,5.5,2.1213203435596424,qwen
rlgatnd,religion,DE,Germany,6.0,0.0,4.5,0.7071067811865476,qwen
rlgatnd,religion,FI,Finland,6.0,0.0,6.0,1.4142135623730951,qwen
aesfdrk,safety,AT,Austria,2.1803923408092545,0.3845139063631019,2.0,0.0,qwen
aesfdrk,safety,DE,Germany,1.0,0.0,1.5,0.7071067811865476,qwen
aesfdrk,safety,FI,Finland,1.6981443028852354,0.4590629970212412,2.0,0.0,qwen
hincfel,income,AT,Austria,1.1803923408092545,0.3845139063631019,2.5,0.7071067811865476,qwen
hincfel,income,DE,Germany,1.813232327871706,0.3897249142357621,2.0,1.4142135623730951,qwen
hincfel,income,FI,Finland,1.6981443028852354,0.4590629970212412,1.5,0.7071067811865476,qwen
