variable,domain,cntry,country_name,survey_mean,survey_sd,silicon_mean,silicon_sd,model
ppltrst,social_trust,AT,Austria,6.071829184018286,2.0976862462724717,6.971300448430494,1.2746896819791513,qwen
ppltrst,social_trust,BE,Belgium,5.458173187943939,2.195522494698598,7.12406015037594,1.0800177357939524,qwen
ppltrst,social_trust,BG,Bulgaria,3.728913646176717,2.3711881162028385,7.052114803625377,1.248267809958304,qwen
ppltrst,social_trust,CH,Switzerland,5.855593288087151,2.1151913454264175,7.156906906906907,1.0908734365078925,qwen
ppltrst,social_trust,CY,Cyprus,4.092466358118389,2.456123517842882,7.0094879518072295,1.2349426290273005,qwen
ppltrst,social_trust,DE,Germany,5.213421360673227,2.329440069370058,7.091185410334346,1.1297343307665484,qwen
ppltrst,social_trust,EE,Estonia,5.597881429421257,1.9956320359719784,7.11404833836858,1.1223485146246417,qwen
ppltrst,social_trust,ES,Spain,5.30377052791885,2.170845887878443,7.089665653495441,1.126483278179447,qwen
ppltrst,social_trust,FI,Finland,6.920840954305089,1.8140828898597425,7.024024024024024,1.2998644322694277,qwen
ppltrst,social_trust,FR,France,4.472588263453334,2.150595521187708,7.0885022692889565,1.1184219248069047,qwen
ppltrst,social_trust,GB,United Kingdom,5.418093170478824,2.2752091003472237,6.991666666666666,1.2713751570980096,qwen
ppltrst,social_trust,GR,Greece,4.5659732232376244,1.9203750141942668,7.029061102831594,1.2064400007316356,qwen
ppltrst,social_trust,HR,Croatia,4.710634171131117,2.3881561272203213,7.058421851289833,1.26683241786849,qwen
ppltrst,social_trust,HU,Hungary,4.5774672280159825,2.4378724365986537,7.032440476190477,1.1518357004379356,qwen
ppltrst,social_trust,IE,Ireland,5.414850386746617,2.381842777024013,7.042944785276074,1.2145416575016545,qwen
ppltrst,social_trust,IL,Israel,5.174017172464776,2.389764509965967,7.120751879699249,1.2001465924894683,qwen
ppltrst,social_trust,IS,Iceland,6.354200470157306,2.061858353889841,7.120272314674735,1.0785008892701962,qwen
ppltrst,social_trust,IT,Italy,4.498938379325662,2.3475202051401065,7.034182908545727,1.1181418450775598,qwen
ppltrst,social_trust,LT,Lithuania,5.1342718600800605,2.4545179848769294,7.090468986384266,1.19818673268618,qwen
ppltrst,social_trust,LV,Latvia,3.853969529445196,2.5315340747124133,6.9328828828828835,1.358177607432336,qwen
ppltrst,social_trust,ME,Montenegro,4.214523037104412,2.5013155012698616,7.1852409638554215,1.0128997257219972,qwen
ppltrst,social_trust,NL,Netherlands,6.1705777782591795,1.958424103278812,7.0621212121212125,1.2122622291172005,qwen
ppltrst,social_trust,NO,Norway,6.4876535997464035,1.9510974667031853,7.03921568627451,1.1149765907049505,qwen
ppltrst,social_trust,PL,Poland,4.5337215889785645,2.3334421200904445,7.098802395209581,1.1101136818726771,qwen
ppltrst,social_trust,PT,Portugal,4.15405019735004,2.4020558131627445,7.029007633587787,1.2769713158610312,qwen
ppltrst,social_trust,RS,Serbia,4.4015442985461535,2.769641531820987,7.06544901065449,1.2204967579604034,qwen
ppltrst,social_trust,SE,Sweden,6.173553003500404,2.0369372146641576,6.988601823708207,1.1623629122801802,qwen
ppltrst,social_trust,SI,Slovenia,4.671985358795646,2.386686330953043,7.15187969924812,1.0682014994078874,qwen
ppltrst,social_trust,SK,Slovakia,4.032077870148862,2.846323197813735,7.113050075872534,1.1087026354991496,qwen
ppltrst,social_trust,UA,Ukraine,3.823509033700963,2.792401452672258,7.087613293051359,1.1825882720476306,qwen
pplfair,social_trust,AT,Austria,6.356658702906922,2.007590140567435,7.203083700440529,0.7588725424147276,qwen
pplfair,social_trust,BE,Belgium,5.898274055320637,2.038526524185433,7.152810650887575,0.7322260931578479,qwen
pplfair,social_trust,BG,Bulgaria,4.28774413732007,2.2021907496756565,7.1674041297935105,0.6829314163597703,qwen
pplfair,social_trust,CH,Switzerland,6.400660288273514,1.8848948256164268,7.205014749262537,0.6799545447624733,qwen
pplfair,social_trust,CY,Cyprus,4.423461465515083,2.2078122491415186,7.233529411764706,0.6448567666558696,qwen
pplfair,social_trust,DE,Germany,6.186403696050097,1.9898562079629318,7.175,0.7025883138320986,qwen
pplfair,social_trust,EE,Estonia,6.111731028208338,2.0677934266941755,7.165588235294118,0.7068305126735587,qwen
pplfair,social_trust,ES,Spain,5.541573467263106,2.1802436948843513,7.199264705882353,0.7135854338194308,qwen
pplfair,social_trust,FI,Finland,7.084249691343838,1.7336838763693212,7.2114243323442135,0.725897541103231,qwen
pplfair,social_trust,FR,France,6.088517879920214,1.9971480895774854,7.197050147492626,0.7462897892076549,qwen
pplfair,social_trust,GB,United Kingdom,5.981753215098941,2.1060601678344897,7.2221238938053105,0.7461651260028218,qwen
pplfair,social_trust,GR,Greece,4.935914237527794,2.005204614994723,7.1617429837518465,0.7318202394297476,qwen
pplfair,social_trust,HR,Croatia,5.182213320213709,2.439485398002121,7.185168869309839,0.818247953916341,qwen
pplfair,social_trust,HU,Hungary,5.124484568640466,2.073835982532519,7.162775330396476,0.7511548507088647,qwen
pplfair,social_trust,IE,Ireland,6.168494894931351,2.106787750467679,7.228843338213763,0.6457869170889637,qwen
pplfair,social_trust,IL,Israel,5.314318458840991,2.3022335286898072,7.1899852724594995,0.6204383975001178,qwen
pplfair,social_trust,IS,Iceland,6.576929478670769,1.9072991814569054,7.206942392909897,0.6967139382596501,qwen
pplfair,social_trust,IT,Italy,4.588315451551168,2.2539241028190062,7.224188790560472,0.6879671678070941,qwen
pplfair,social_trust,LT,Lithuania,5.4409183956236085,2.235114984941725,7.218343195266272,0.7410228610245668,qwen
pplfair,social_trust,LV,Latvia,5.663738367059401,2.247497646406504,7.211964549483013,0.7411540329220031,qwen
pplfair,social_trust,ME,Montenegro,4.36938040692145,2.2653311034681702,7.234356725146199,0.6899430419327149,qwen
pplfair,social_trust,NL,Netherlands,6.542182923142853,1.634480715869356,7.182794117647059,0.7296262597419065,qwen
pplfair,social_trust,NO,Norway,6.757639034501647,1.8971193298633304,7.140675477239355,0.7469184628313442,qwen
pplfair,social_trust,PL,Poland,5.225422873831028,2.2838780429825127,7.211340206185567,0.7331415816739004,qwen
pplfair,social_trust,PT,Portugal,5.2347667924699675,2.2103944076408926,7.198377581120944,0.6483340944220075,qwen
pplfair,social_trust,RS,Serbia,4.739201854594089,2.8499587721633626,7.1382352941176475,0.7321824482230657,qwen
pplfair,social_trust,SE,Sweden,6.592569867878159,1.8020303379041651,7.227058823529411,0.6757553104039321,qwen
pplfair,social_trust,SI,Slovenia,5.418600199352892,2.258280124051613,7.158088235294118,0.7711242244428937,qwen
pplfair,social_trust,SK,Slovakia,4.8643116719235655,2.5431197557800247,7.171554252199414,0.7239637918723869,qwen
pplfair,social_trust,UA,Ukraine,4.693212458739193,2.43492351369049,7.237518463810931,0.7460418542235133,qwen
pplhlp,social_trust,AT,Austria,6.318627057316925,2.061005753294836,7.092985074626866,1.0217346762520219,qwen
pplhlp,social_trust,BE,Belgium,5.060544624005849,2.1956473479694956,7.241158989598811,0.8434356962992702,qwen
pplhlp,social_trust,BG,Bulgaria,3.550500715225844,2.3080899941553548,7.17042042042042,0.9705492455401062,qwen
pplhlp,social_trust,CH,Switzerland,5.8985149650676005,1.884854676878496,7.141925925925926,1.029493477119067,qwen
pplhlp,social_trust,CY,Cyprus,4.108040391083219,2.1954327810505894,7.1254491017964074,1.012239464522809,qwen
pplhlp,social_trust,DE,Germany,5.359509661907016,2.0965802980361574,7.199258160237389,0.9178190029949915,qwen
pplhlp,social_trust,EE,Estonia,5.026836971472983,2.0167271854085875,7.284984984984984,0.8905939978167059,qwen
pplhlp,social_trust,ES,Spain,4.799287732107402,2.2984435948613826,7.20297619047619,0.9444591317750152,qwen
pplhlp,social_trust,FI,Finland,6.367163416606128,1.957104421735069,7.1895522388059705,0.9837444599279461,qwen
pplhlp,social_trust,FR,France,4.606344443975376,2.24002307315973,7.1937685459940655,0.9835752383370575,qwen
pplhlp,social_trust,GB,United Kingdom,5.990719000699621,1.942504544742161,7.094038748137109,1.0873740482853178,qwen
pplhlp,social_trust,GR,Greece,4.337120313457906,1.9778120001939348,7.168796433878158,0.9442847547654796,qwen
pplhlp,social_trust,HR,Croatia,4.343355311541862,2.4112502202938684,7.182466567607727,0.8989354695523492,qwen
pplhlp,social_trust,HU,Hungary,4.605214910806596,2.2470109750370364,7.193154761904762,0.9727038474380615,qwen
pplhlp,social_trust,IE,Ireland,5.939084968682108,2.240485078040839,7.190461997019375,1.0217770273904536,qwen
pplhlp,social_trust,IL,Israel,5.100096960518647,2.336648940608769,7.25832083958021,0.7900291925844452,qwen
pplhlp,social_trust,IS,Iceland,6.299077774742755,1.791363854697011,7.151769911504425,1.0186248413253687,qwen
pplhlp,social_trust,IT,Italy,4.184164039738798,2.273457502775936,7.148367952522255,0.971865139590328,qwen
pplhlp,social_trust,LT,Lithuania,5.032521343524122,2.3988190229998003,7.195776772247361,0.8555207023494396,qwen
pplhlp,social_trust,LV,Latvia,4.838484340024971,2.2962432351850475,7.155029585798816,0.9952426835317021,qwen
pplhlp,social_trust,ME,Montenegro,4.194717188555699,2.2559179621884984,7.224626865671642,0.8887636537134378,qwen
pplhlp,social_trust,NL,Netherlands,5.65817291172352,1.7643307067812635,7.179315476190476,0.8876050640937331,qwen
pplhlp,social_trust,NO,Norway,6.003298800640809,1.9932155036957901,7.1755555555555555,0.9458221947779193,qwen
pplhlp,social_trust,PL,Poland,4.546993964205541,2.4182053882140755,7.233333333333333,0.8609367695784176,qwen
pplhlp,social_trust,PT,Portugal,4.213744814045952,2.1791089434587874,7.164094955489615,1.0341358689397198,qwen
pplhlp,social_trust,RS,Serbia,3.72835672703553,2.720929475579113,7.091988130563799,1.0124020954298125,qwen
pplhlp,social_trust,SE,Sweden,5.946359746894595,1.936482154823752,7.166815476190477,1.0065582155593666,qwen
pplhlp,social_trust,SI,Slovenia,5.349566794505421,2.236529461060724,7.195703703703704,0.9647169760240524,qwen
pplhlp,social_trust,SK,Slovakia,4.195429337358618,2.5609256122451742,7.16094674556213,0.9497984145443045,qwen
pplhlp,social_trust,UA,Ukraine,4.165704117573958,2.6358905892713516,7.170614692653674,0.9586214200564313,qwen
sclmeet,social_trust,AT,Austria,4.97855907049627,1.1862131472556947,3.618463810930576,1.029691746229668,qwen
sclmeet,social_trust,BE,Belgium,5.115008561601236,1.4064923799551072,3.6597938144329896,1.0149417431978922,qwen
sclmeet,social_trust,BG,Bulgaria,4.99618382149749,1.6848498871293636,3.627687776141384,1.0297345290450273,qwen
sclmeet,social_trust,CH,Switzerland,5.120404033218849,1.3015620048223844,3.6255506607929515,1.0272145506618733,qwen
sclmeet,social_trust,CY,Cyprus,4.063565729120625,1.6808260299062987,3.627581120943953,1.0349963664857107,qwen
sclmeet,social_trust,DE,Germany,4.750274005473209,1.4910419350395807,3.6828908554572273,1.04324622182635,qwen
sclmeet,social_trust,EE,Estonia,4.268464111365069,1.5064569734447395,3.6292466765140325,0.9805361078936201,qwen
sclmeet,social_trust,ES,Spain,5.250413100298126,1.4669300296384136,3.6436950146627565,0.9877501456911301,qwen
sclmeet,social_trust,FI,Finland,4.91015506669888,1.3723429550400144,3.7025036818851254,1.0112973528596216,qwen
sclmeet,social_trust,FR,France,5.227998279869101,1.4417715646805522,3.689807976366322,1.0109311390031004,qwen
sclmeet,social_trust,GB,United Kingdom,4.825888880970069,1.545839796639787,3.633480825958702,1.0638202009118598,qwen
sclmeet,social_trust,GR,Greece,4.23068100764633,1.5663897051020776,3.635294117647059,1.010659637592266,qwen
sclmeet,social_trust,HR,Croatia,5.355922756611965,1.5433309288591155,3.6614243323442137,1.0140740897470018,qwen
sclmeet,social_trust,HU,Hungary,3.4073398053512745,1.5184246921707605,3.613235294117647,1.0822444919847964,qwen
sclmeet,social_trust,IE,Ireland,4.3086014206280145,1.5764076371688671,3.6558823529411764,0.992962327325578,qwen
sclmeet,social_trust,IL,Israel,5.37946729389215,1.566948729077005,3.6804123711340204,1.0664842334791962,qwen
sclmeet,social_trust,IS,Iceland,5.278807458651748,1.4394663497959697,3.6992592592592595,0.9774532626965482,qwen
