variable,domain,cntry,country_name,survey_mean,survey_sd,silicon_mean,silicon_sd,model
ppltrst,social_trust,AT,Austria,6.071829184018286,2.0976862462724717,6.702196193265008,1.5988021110164843,qwen
ppltrst,social_trust,BE,Belgium,5.458173187943939,2.195522494698598,7.109064327485381,1.3510170785971536,qwen
ppltrst,social_trust,BG,Bulgaria,3.728913646176717,2.3711881162028385,6.494868035190616,1.8851892164905744,qwen
ppltrst,social_trust,CH,Switzerland,5.855593288087151,2.1151913454264175,7.13080291970803,1.4028792752087318,qwen
ppltrst,social_trust,CY,Cyprus,4.092466358118389,2.456123517842882,6.765350877192983,1.8426732823429197,qwen
ppltrst,social_trust,DE,Germany,5.213421360673227,2.329440069370058,6.819089574155653,1.5118414149716546,qwen
ppltrst,social_trust,EE,Estonia,5.597881429421257,1.9956320359719784,7.4600877192982455,1.086803845430904,qwen
ppltrst,social_trust,ES,Spain,5.30377052791885,2.170845887878443,6.7090775988286975,1.6343919739365236,qwen
ppltrst,social_trust,FI,Finland,6.920840954305089,1.8140828898597425,7.359562043795621,1.344106623349312,qwen
ppltrst,social_trust,FR,France,4.472588263453334,2.150595521187708,6.866617862371888,1.6800183664257884,qwen
ppltrst,social_trust,GB,United Kingdom,5.418093170478824,2.2752091003472237,6.684897360703813,1.639640393767512,qwen
ppltrst,social_trust,GR,Greece,4.5659732232376244,1.9203750141942668,6.9606149341142025,1.3716176964345932,qwen
ppltrst,social_trust,HR,Croatia,4.710634171131117,2.3881561272203213,6.795321637426901,1.7473615455238924,qwen
ppltrst,social_trust,HU,Hungary,4.5774672280159825,2.4378724365986537,6.7947058823529405,1.8276476511985218,qwen
ppltrst,social_trust,IE,Ireland,5.414850386746617,2.381842777024013,6.929197080291971,1.4264707493747888,qwen
ppltrst,social_trust,IL,Israel,5.174017172464776,2.389764509965967,6.927232796486091,1.8598132651452413,qwen
ppltrst,social_trust,IS,Iceland,6.354200470157306,2.061858353889841,7.26632503660322,1.370577652819219,qwen
ppltrst,social_trust,IT,Italy,4.498938379325662,2.3475202051401065,6.393557833089312,1.7906369606994221,qwen
ppltrst,social_trust,LT,Lithuania,5.1342718600800605,2.4545179848769294,6.725110132158591,1.6695722491722278,qwen
ppltrst,social_trust,LV,Latvia,3.853969529445196,2.5315340747124133,6.664421669106882,1.8201887718154284,qwen
ppltrst,social_trust,ME,Montenegro,4.214523037104412,2.5013155012698616,6.924233576642337,1.5786855711308354,qwen
ppltrst,social_trust,NL,Netherlands,6.1705777782591795,1.958424103278812,7.328550512445094,1.301416589454323,qwen
ppltrst,social_trust,NO,Norway,6.4876535997464035,1.9510974667031853,7.440029325513197,1.1003785221202067,qwen
ppltrst,social_trust,PL,Poland,4.5337215889785645,2.3334421200904445,7.108370044052863,1.5546147105183794,qwen
ppltrst,social_trust,PT,Portugal,4.15405019735004,2.4020558131627445,6.46041055718475,1.864117891662077,qwen
ppltrst,social_trust,RS,Serbia,4.4015442985461535,2.769641531820987,6.564671532846716,1.633720438863685,qwen
ppltrst,social_trust,SE,Sweden,6.173553003500404,2.0369372146641576,7.397080291970803,1.1225976042067232,qwen
ppltrst,social_trust,SI,Slovenia,4.671985358795646,2.386686330953043,6.963396778916545,1.6695851414892537,qwen
ppltrst,social_trust,SK,Slovakia,4.032077870148862,2.846323197813735,6.59194729136164,1.823183107199882,qwen
ppltrst,social_trust,UA,Ukraine,3.823509033700963,2.792401452672258,5.826144756277696,1.9650523721184807,qwen
pplfair,social_trust,AT,Austria,6.356658702906922,2.007590140567435,7.049343065693431,0.8058378049002027,qwen
pplfair,social_trust,BE,Belgium,5.898274055320637,2.038526524185433,7.163941605839416,0.9018170073323034,qwen
pplfair,social_trust,BG,Bulgaria,4.28774413732007,2.2021907496756565,7.087591240875913,0.9367766414394401,qwen
pplfair,social_trust,CH,Switzerland,6.400660288273514,1.8848948256164268,7.297518248175183,0.8107517457932903,qwen
pplfair,social_trust,CY,Cyprus,4.423461465515083,2.2078122491415186,7.131240875912408,0.9548058230500199,qwen
pplfair,social_trust,DE,Germany,6.186403696050097,1.9898562079629318,7.107737226277372,0.7867590199104323,qwen
pplfair,social_trust,EE,Estonia,6.111731028208338,2.0677934266941755,7.325693430656935,0.7495298678751218,qwen
pplfair,social_trust,ES,Spain,5.541573467263106,2.1802436948843513,7.043941605839416,1.0023418176411452,qwen
pplfair,social_trust,FI,Finland,7.084249691343838,1.7336838763693212,7.305839416058395,0.8899016325951791,qwen
pplfair,social_trust,FR,France,6.088517879920214,1.9971480895774854,7.2821897810218985,0.8631869375035205,qwen
pplfair,social_trust,GB,United Kingdom,5.981753215098941,2.1060601678344897,7.024087591240876,0.8701117044848151,qwen
pplfair,social_trust,GR,Greece,4.935914237527794,2.005204614994723,7.156642335766423,0.7950709606164653,qwen
pplfair,social_trust,HR,Croatia,5.182213320213709,2.439485398002121,7.12014598540146,0.8470813197579298,qwen
pplfair,social_trust,HU,Hungary,5.124484568640466,2.073835982532519,7.175182481751825,0.8946544484597406,qwen
pplfair,social_trust,IE,Ireland,6.168494894931351,2.106787750467679,7.1401459854014595,0.7869048715713477,qwen
pplfair,social_trust,IL,Israel,5.314318458840991,2.3022335286898072,7.192700729927007,0.9662154903316219,qwen
pplfair,social_trust,IS,Iceland,6.576929478670769,1.9072991814569054,7.227445255474453,0.9626838923571531,qwen
pplfair,social_trust,IT,Italy,4.588315451551168,2.2539241028190062,7.160583941605839,0.8423510040768257,qwen
pplfair,social_trust,LT,Lithuania,5.4409183956236085,2.235114984941725,7.159562043795621,0.7898755070806255,qwen
pplfair,social_trust,LV,Latvia,5.663738367059401,2.247497646406504,7.125985401459855,0.8405976882378285,qwen
pplfair,social_trust,ME,Montenegro,4.36938040692145,2.2653311034681702,7.061459854014599,0.9547071288975563,qwen
pplfair,social_trust,NL,Netherlands,6.542182923142853,1.634480715869356,7.387427301072233,0.8249254619631569,qwen
pplfair,social_trust,NO,Norway,6.757639034501647,1.8971193298633304,7.334306569343066,0.8182349742765187,qwen
pplfair,social_trust,PL,Poland,5.225422873831028,2.2838780429825127,7.082189781021898,0.9494248145853313,qwen
pplfair,social_trust,PT,Portugal,5.2347667924699675,2.2103944076408926,7.006715328467154,0.9645387267462875,qwen
pplfair,social_trust,RS,Serbia,4.739201854594089,2.8499587721633626,7.072700729927008,0.7945533737989261,qwen
pplfair,social_trust,SE,Sweden,6.592569867878159,1.8020303379041651,7.346423357664234,0.8449919003956924,qwen
pplfair,social_trust,SI,Slovenia,5.418600199352892,2.258280124051613,7.1474452554744525,0.7952784914374963,qwen
pplfair,social_trust,SK,Slovakia,4.8643116719235655,2.5431197557800247,7.0,1.0699237552766379,qwen
pplfair,social_trust,UA,Ukraine,4.693212458739193,2.43492351369049,6.914306569343066,0.9838311226057336,qwen
pplhlp,social_trust,AT,Austria,6.318627057316925,2.061005753294836,6.653010279001468,1.3180959579279314,qwen
pplhlp,social_trust,BE,Belgium,5.060544624005849,2.1956473479694956,6.854890510948906,1.3177466794092243,qwen
pplhlp,social_trust,BG,Bulgaria,3.550500715225844,2.3080899941553548,6.636310395314788,1.515240030246456,qwen
pplhlp,social_trust,CH,Switzerland,5.8985149650676005,1.884854676878496,6.82932551319648,1.2650930152961315,qwen
pplhlp,social_trust,CY,Cyprus,4.108040391083219,2.1954327810505894,6.719236417033772,1.5520659869504003,qwen
pplhlp,social_trust,DE,Germany,5.359509661907016,2.0965802980361574,6.70791788856305,1.2794875783472934,qwen
pplhlp,social_trust,EE,Estonia,5.026836971472983,2.0167271854085875,7.0860499265785615,1.1162156880323593,qwen
pplhlp,social_trust,ES,Spain,4.799287732107402,2.2984435948613826,6.687481590574374,1.350365182510094,qwen
pplhlp,social_trust,FI,Finland,6.367163416606128,1.957104421735069,6.979270072992701,1.2531513696742764,qwen
pplhlp,social_trust,FR,France,4.606344443975376,2.24002307315973,6.960029282576866,1.22325871179163,qwen
pplhlp,social_trust,GB,United Kingdom,5.990719000699621,1.942504544742161,6.7043923865300155,1.3782702102611337,qwen
pplhlp,social_trust,GR,Greece,4.337120313457906,1.9778120001939348,6.809264705882351,1.1945825383259445,qwen
pplhlp,social_trust,HR,Croatia,4.343355311541862,2.4112502202938684,6.7184480234260615,1.3758215646901024,qwen
pplhlp,social_trust,HU,Hungary,4.605214910806596,2.2470109750370364,6.683406754772393,1.464362186157654,qwen
pplhlp,social_trust,IE,Ireland,5.939084968682108,2.240485078040839,6.650584795321637,1.3428896129484975,qwen
pplhlp,social_trust,IL,Israel,5.100096960518647,2.336648940608769,6.898684210526316,1.329080537199433,qwen
pplhlp,social_trust,IS,Iceland,6.299077774742755,1.791363854697011,6.856725146198831,1.3482047410929627,qwen
pplhlp,social_trust,IT,Italy,4.184164039738798,2.273457502775936,6.682258064516129,1.4011822795726183,qwen
pplhlp,social_trust,LT,Lithuania,5.032521343524122,2.3988190229998003,6.712865497076024,1.3963384368406992,qwen
pplhlp,social_trust,LV,Latvia,4.838484340024971,2.2962432351850475,6.784457478005865,1.2587521786998381,qwen
pplhlp,social_trust,ME,Montenegro,4.194717188555699,2.2559179621884984,6.779032258064516,1.3724744052564968,qwen
pplhlp,social_trust,NL,Netherlands,5.65817291172352,1.7643307067812635,7.073430656934307,1.1486684625156542,qwen
pplhlp,social_trust,NO,Norway,6.003298800640809,1.9932155036957901,7.09692082111437,1.1539522418168087,qwen
pplhlp,social_trust,PL,Poland,4.546993964205541,2.4182053882140755,6.835043988269795,1.18358352839739,qwen
pplhlp,social_trust,PT,Portugal,4.213744814045952,2.1791089434587874,6.580409356725146,1.5967011588273066,qwen
pplhlp,social_trust,RS,Serbia,3.72835672703553,2.720929475579113,6.69692082111437,1.2432156765385085,qwen
pplhlp,social_trust,SE,Sweden,5.946359746894595,1.936482154823752,6.9434846266471455,1.2675388363844264,qwen
pplhlp,social_trust,SI,Slovenia,5.349566794505421,2.236529461060724,6.780588235294119,1.3554579380979324,qwen
