variable,domain,cntry,country_name,survey_mean,survey_sd,silicon_mean,silicon_sd,model
ppltrst,social_trust,AT,Austria,6.071829184018286,2.0976862462724717,6.335777126099707,1.8491602404590355,qwen
ppltrst,social_trust,BE,Belgium,5.458173187943939,2.195522494698598,6.9489051094890515,1.5343111293239784,qwen
ppltrst,social_trust,BG,Bulgaria,3.728913646176717,2.3711881162028385,6.326686217008798,1.9340272860275345,qwen
ppltrst,social_trust,CH,Switzerland,5.855593288087151,2.1151913454264175,6.899415204678363,1.6008049613485071,qwen
ppltrst,social_trust,CY,Cyprus,4.092466358118389,2.456123517842882,6.781021897810219,1.9761565880847842,qwen
ppltrst,social_trust,DE,Germany,5.213421360673227,2.329440069370058,6.5671554252199416,1.6679866791166564,qwen
ppltrst,social_trust,EE,Estonia,5.597881429421257,1.9956320359719784,7.424122807017544,1.0917580042304187,qwen
ppltrst,social_trust,ES,Spain,5.30377052791885,2.170845887878443,6.508479532163743,1.8798814714175438,qwen
ppltrst,social_trust,FI,Finland,6.920840954305089,1.8140828898597425,7.234452554744526,1.495229705068145,qwen
ppltrst,social_trust,FR,France,4.472588263453334,2.150595521187708,6.390350877192983,1.882444252241143,qwen
ppltrst,social_trust,GB,United Kingdom,5.418093170478824,2.2752091003472237,6.452631578947369,1.76883102540193,qwen
ppltrst,social_trust,GR,Greece,4.5659732232376244,1.9203750141942668,6.622140762463343,1.5829096772198117,qwen
ppltrst,social_trust,HR,Croatia,4.710634171131117,2.3881561272203213,6.5307467057101025,1.92218652958454,qwen
ppltrst,social_trust,HU,Hungary,4.5774672280159825,2.4378724365986537,6.3936950146627565,2.028447786790256,qwen
ppltrst,social_trust,IE,Ireland,5.414850386746617,2.381842777024013,6.818155197657394,1.6020308205749096,qwen
ppltrst,social_trust,IL,Israel,5.174017172464776,2.389764509965967,6.791800878477306,1.9605097207064708,qwen
ppltrst,social_trust,IS,Iceland,6.354200470157306,2.061858353889841,7.181725146198831,1.4846710962441052,qwen
ppltrst,social_trust,IT,Italy,4.498938379325662,2.3475202051401065,6.156204379562044,1.915154297063226,qwen
ppltrst,social_trust,LT,Lithuania,5.1342718600800605,2.4545179848769294,6.5560583941605834,1.804829193480028,qwen
ppltrst,social_trust,LV,Latvia,3.853969529445196,2.5315340747124133,6.556076134699854,1.8053530227401515,qwen
ppltrst,social_trust,ME,Montenegro,4.214523037104412,2.5013155012698616,6.650073206442167,1.850088171133276,qwen
ppltrst,social_trust,NL,Netherlands,6.1705777782591795,1.958424103278812,6.990364963503649,1.6297025563465446,qwen
ppltrst,social_trust,NO,Norway,6.4876535997464035,1.9510974667031853,7.362371888726208,1.2363998901955062,qwen
ppltrst,social_trust,PL,Poland,4.5337215889785645,2.3334421200904445,6.816520467836257,1.7884955760755878,qwen
ppltrst,social_trust,PT,Portugal,4.15405019735004,2.4020558131627445,6.185483870967742,1.9419952386866492,qwen
ppltrst,social_trust,RS,Serbia,4.4015442985461535,2.769641531820987,6.357686676427526,1.8506981899400674,qwen
ppltrst,social_trust,SE,Sweden,6.173553003500404,2.0369372146641576,7.27434017595308,1.287749207781818,qwen
ppltrst,social_trust,SI,Slovenia,4.671985358795646,2.386686330953043,6.691520467836257,1.7799562478021675,qwen
