variable,domain,cntry,country_name,survey_mean,survey_sd,silicon_mean,silicon_sd,model
ppltrst,social_trust,AT,Austria,6.071829184018286,2.0976862462724717,6.388321167883212,1.7616390599104412,qwen
ppltrst,social_trust,BE,Belgium,5.458173187943939,2.195522494698598,6.697664233576642,1.7452761065990894,qwen
ppltrst,social_trust,BG,Bulgaria,3.728913646176717,2.3711881162028385,6.533040935672515,1.941393619850039,qwen
ppltrst,social_trust,CH,Switzerland,5.855593288087151,2.1151913454264175,6.597664233576642,1.7124143649454486,qwen
ppltrst,social_trust,CY,Cyprus,4.092466358118389,2.456123517842882,6.41374269005848,2.0416278417209077,qwen
ppltrst,social_trust,DE,Germany,5.213421360673227,2.329440069370058,6.573099415204679,1.6627628885335046,qwen
ppltrst,social_trust,EE,Estonia,5.597881429421257,1.9956320359719784,6.965643274853801,1.5117609296067944,qwen
ppltrst,social_trust,ES,Spain,5.30377052791885,2.170845887878443,6.185818713450293,1.9411972130848871,qwen
ppltrst,social_trust,FI,Finland,6.920840954305089,1.8140828898597425,6.9709489051094895,1.6897748401912576,qwen
ppltrst,social_trust,FR,France,4.472588263453334,2.150595521187708,6.706715328467154,1.698644587583145,qwen
ppltrst,social_trust,GB,United Kingdom,5.418093170478824,2.2752091003472237,6.262518301610542,1.8707191477601668,qwen
ppltrst,social_trust,GR,Greece,4.5659732232376244,1.9203750141942668,6.267302052785924,1.8455649246257895,qwen
ppltrst,social_trust,HR,Croatia,4.710634171131117,2.3881561272203213,6.494598540145986,1.8690578413535923,qwen
ppltrst,social_trust,HU,Hungary,4.5774672280159825,2.4378724365986537,6.586383601756955,1.9468386915091593,qwen
ppltrst,social_trust,IE,Ireland,5.414850386746617,2.381842777024013,6.3383601756954615,1.8288719675259706,qwen
ppltrst,social_trust,IL,Israel,5.174017172464776,2.389764509965967,6.814598540145985,1.9068030003546796,qwen
ppltrst,social_trust,IS,Iceland,6.354200470157306,2.061858353889841,6.786988304093567,1.6810694305461884,qwen
ppltrst,social_trust,IT,Italy,4.498938379325662,2.3475202051401065,6.219648093841642,1.9360695289841663,qwen
ppltrst,social_trust,LT,Lithuania,5.1342718600800605,2.4545179848769294,6.481140350877194,1.8659257573538501,qwen
ppltrst,social_trust,LV,Latvia,3.853969529445196,2.5315340747124133,6.504538799414349,1.8184521509785616,qwen
ppltrst,social_trust,ME,Montenegro,4.214523037104412,2.5013155012698616,6.338157894736843,1.9770180597088354,qwen
ppltrst,social_trust,NL,Netherlands,6.1705777782591795,1.958424103278812,6.911988304093567,1.5026290751516544,qwen
ppltrst,social_trust,NO,Norway,6.4876535997464035,1.9510974667031853,6.814473684210527,1.6462774506144564,qwen
ppltrst,social_trust,PL,Poland,4.5337215889785645,2.3334421200904445,6.710818713450292,1.8718301429930484,qwen
ppltrst,social_trust,PT,Portugal,4.15405019735004,2.4020558131627445,5.956076134699853,2.03873137917278,qwen
ppltrst,social_trust,RS,Serbia,4.4015442985461535,2.769641531820987,6.432846715328467,1.8255059976680685,qwen
ppltrst,social_trust,SE,Sweden,6.173553003500404,2.0369372146641576,6.904970760233918,1.6151837646472595,qwen
ppltrst,social_trust,SI,Slovenia,4.671985358795646,2.386686330953043,6.584502923976609,1.7811670261660604,qwen
ppltrst,social_trust,SK,Slovakia,4.032077870148862,2.846323197813735,6.208029197080292,1.9631494863048593,qwen
ppltrst,social_trust,UA,Ukraine,3.823509033700963,2.792401452672258,5.939035087719298,2.0422864068084796,qwen
pplfair,social_trust,AT,Austria,6.356658702906922,2.007590140567435,7.146861313868613,0.9181453399331511,qwen
pplfair,social_trust,BE,Belgium,5.898274055320637,2.038526524185433,7.204087591240876,0.9152769008240375,qwen
pplfair,social_trust,BG,Bulgaria,4.28774413732007,2.2021907496756565,7.331094890510949,0.8527112580004081,qwen
pplfair,social_trust,CH,Switzerland,6.400660288273514,1.8848948256164268,7.237956204379562,0.8162397189434571,qwen
pplfair,social_trust,CY,Cyprus,4.423461465515083,2.2078122491415186,7.191240875912409,1.0177140458048475,qwen
pplfair,social_trust,DE,Germany,6.186403696050097,1.9898562079629318,7.132992700729927,0.8115705344594413,qwen
pplfair,social_trust,EE,Estonia,6.111731028208338,2.0677934266941755,7.337226277372263,0.7522876708144082,qwen
pplfair,social_trust,ES,Spain,5.541573467263106,2.1802436948843513,7.089197080291972,0.9666818347223176,qwen
pplfair,social_trust,FI,Finland,7.084249691343838,1.7336838763693212,7.402627737226277,0.8086658477536248,qwen
pplfair,social_trust,FR,France,6.088517879920214,1.9971480895774854,7.278540145985402,0.81944081288856,qwen
pplfair,social_trust,GB,United Kingdom,5.981753215098941,2.1060601678344897,7.091970802919708,0.9190207725796157,qwen
pplfair,social_trust,GR,Greece,4.935914237527794,2.005204614994723,7.2308029197080295,0.7975108006694613,qwen
pplfair,social_trust,HR,Croatia,5.182213320213709,2.439485398002121,7.1556204379562045,0.922660516561452,qwen
pplfair,social_trust,HU,Hungary,5.124484568640466,2.073835982532519,7.345109489051095,0.813479384345329,qwen
pplfair,social_trust,IE,Ireland,6.168494894931351,2.106787750467679,7.151824817518248,0.8304425465180604,qwen
pplfair,social_trust,IL,Israel,5.314318458840991,2.3022335286898072,7.245839416058393,0.9294724674471797,qwen
pplfair,social_trust,IS,Iceland,6.576929478670769,1.9072991814569054,7.194598540145986,0.8737982679976886,qwen
pplfair,social_trust,IT,Italy,4.588315451551168,2.2539241028190062,7.24963503649635,0.844930192589658,qwen
pplfair,social_trust,LT,Lithuania,5.4409183956236085,2.235114984941725,7.2610218978102194,0.8456711966902962,qwen
pplfair,social_trust,LV,Latvia,5.663738367059401,2.247497646406504,7.298394160583941,0.8339718900635343,qwen
pplfair,social_trust,ME,Montenegro,4.36938040692145,2.2653311034681702,7.127007299270073,0.9516455162207901,qwen
pplfair,social_trust,NL,Netherlands,6.542182923142853,1.634480715869356,7.203649635036497,0.8826138048585652,qwen
pplfair,social_trust,NO,Norway,6.757639034501647,1.8971193298633304,7.281021897810219,0.887826444922323,qwen
pplfair,social_trust,PL,Poland,5.225422873831028,2.2838780429825127,7.298540145985402,0.8417978360061619,qwen
pplfair,social_trust,PT,Portugal,5.2347667924699675,2.2103944076408926,7.075328467153285,1.0619640382610804,qwen
pplfair,social_trust,RS,Serbia,4.739201854594089,2.8499587721633626,7.212846715328467,0.7708191785377567,qwen
pplfair,social_trust,SE,Sweden,6.592569867878159,1.8020303379041651,7.269051094890512,0.8886087779506753,qwen
pplfair,social_trust,SI,Slovenia,5.418600199352892,2.258280124051613,7.169051094890511,0.9254079890599091,qwen
pplfair,social_trust,SK,Slovakia,4.8643116719235655,2.5431197557800247,7.17094890510949,0.8955803463353919,qwen
pplfair,social_trust,UA,Ukraine,4.693212458739193,2.43492351369049,7.105255474452555,0.8885571130303985,qwen
pplhlp,social_trust,AT,Austria,6.318627057316925,2.061005753294836,6.749343065693431,1.2684038205622465,qwen
pplhlp,social_trust,BE,Belgium,5.060544624005849,2.1956473479694956,6.782748538011695,1.3371789280880113,qwen
pplhlp,social_trust,BG,Bulgaria,3.550500715225844,2.3080899941553548,6.834699853587116,1.4145492497145562,qwen
pplhlp,social_trust,CH,Switzerland,5.8985149650676005,1.884854676878496,6.9054172767203506,1.2164018113602715,qwen
pplhlp,social_trust,CY,Cyprus,4.108040391083219,2.1954327810505894,6.662280701754386,1.5741259128838425,qwen
pplhlp,social_trust,DE,Germany,5.359509661907016,2.0965802980361574,6.689197080291971,1.3496480255881231,qwen
pplhlp,social_trust,EE,Estonia,5.026836971472983,2.0167271854085875,7.063011695906433,1.0560528985835809,qwen
pplhlp,social_trust,ES,Spain,4.799287732107402,2.2984435948613826,6.8165446559297225,1.2425868423117188,qwen
pplhlp,social_trust,FI,Finland,6.367163416606128,1.957104421735069,7.0077712609970675,1.1763384368196836,qwen
pplhlp,social_trust,FR,France,4.606344443975376,2.24002307315973,6.852785923753666,1.279511945055687,qwen
pplhlp,social_trust,GB,United Kingdom,5.990719000699621,1.942504544742161,6.71956204379562,1.3258550527035158,qwen
pplhlp,social_trust,GR,Greece,4.337120313457906,1.9778120001939348,6.902346041055718,1.1737562520006395,qwen
pplhlp,social_trust,HR,Croatia,4.343355311541862,2.4112502202938684,6.778394160583941,1.3522021423899535,qwen
pplhlp,social_trust,HU,Hungary,4.605214910806596,2.2470109750370364,6.863396778916545,1.3855480084373202,qwen
pplhlp,social_trust,IE,Ireland,5.939084968682108,2.240485078040839,6.685526315789473,1.284167988973339,qwen
pplhlp,social_trust,IL,Israel,5.100096960518647,2.336648940608769,6.900877192982457,1.3446055519421418,qwen
pplhlp,social_trust,IS,Iceland,6.299077774742755,1.791363854697011,6.815271659324522,1.3416523913920393,qwen
pplhlp,social_trust,IT,Italy,4.184164039738798,2.273457502775936,6.789882697947214,1.3352776887388673,qwen
pplhlp,social_trust,LT,Lithuania,5.032521343524122,2.3988190229998003,6.913157894736843,1.1716024859092893,qwen
pplhlp,social_trust,LV,Latvia,4.838484340024971,2.2962432351850475,6.89546783625731,1.212113065031197,qwen
pplhlp,social_trust,ME,Montenegro,4.194717188555699,2.2559179621884984,6.730938416422287,1.4204181301071137,qwen
pplhlp,social_trust,NL,Netherlands,5.65817291172352,1.7643307067812635,6.915982404692082,1.2160187511770448,qwen
pplhlp,social_trust,NO,Norway,6.003298800640809,1.9932155036957901,6.933187134502925,1.2319185076290242,qwen
pplhlp,social_trust,PL,Poland,4.546993964205541,2.4182053882140755,6.921929824561403,1.2964141628910975,qwen
pplhlp,social_trust,PT,Portugal,4.213744814045952,2.1791089434587874,6.626461988304094,1.5089828820204978,qwen
pplhlp,social_trust,RS,Serbia,3.72835672703553,2.720929475579113,6.809051094890511,1.256028668618413,qwen
pplhlp,social_trust,SE,Sweden,5.946359746894595,1.936482154823752,7.01409691629956,1.2053463436873557,qwen
pplhlp,social_trust,SI,Slovenia,5.349566794505421,2.236529461060724,6.83186490455213,1.3210393254439625,qwen
pplhlp,social_trust,SK,Slovakia,4.195429337358618,2.5609256122451742,6.647422680412371,1.4638580927699332,qwen
