variable,domain,cntry,country_name,survey_mean,survey_sd,silicon_mean,silicon_sd,model
sclmeet,social_trust,AT,Austria,4.97855907049627,1.1862131472556947,4.487591240875912,0.6226059710963291,qwen
sclmeet,social_trust,BE,Belgium,5.115008561601236,1.4064923799551072,4.634014598540146,0.5505678353364268,qwen
sclmeet,social_trust,BG,Bulgaria,4.99618382149749,1.6848498871293636,4.528467153284671,0.6696150706579598,qwen
sclmeet,social_trust,CH,Switzerland,5.120404033218849,1.3015620048223844,4.58978102189781,0.5376585406784229,qwen
sclmeet,social_trust,CY,Cyprus,4.063565729120625,1.6808260299062987,4.506569343065693,0.676701275966756,qwen
sclmeet,social_trust,DE,Germany,4.750274005473209,1.4910419350395807,4.665693430656934,0.5331740381907584,qwen
sclmeet,social_trust,EE,Estonia,4.268464111365069,1.5064569734447395,4.699270072992701,0.5044388275649602,qwen
sclmeet,social_trust,ES,Spain,5.250413100298126,1.4669300296384136,4.550364963503649,0.5966676575007995,qwen
sclmeet,social_trust,FI,Finland,4.91015506669888,1.3723429550400144,4.686131386861314,0.5123022342362789,qwen
sclmeet,social_trust,FR,France,5.227998279869101,1.4417715646805522,4.603211678832117,0.5750577574685946,qwen
sclmeet,social_trust,GB,United Kingdom,4.825888880970069,1.545839796639787,4.506569343065693,0.6203428098159576,qwen
sclmeet,social_trust,GR,Greece,4.23068100764633,1.5663897051020776,4.6408759124087595,0.561503144571234,qwen
sclmeet,social_trust,HR,Croatia,5.355922756611965,1.5433309288591155,4.532846715328467,0.65170822421571,qwen
sclmeet,social_trust,HU,Hungary,3.4073398053512745,1.5184246921707605,4.5372262773722625,0.6625980341534721,qwen
sclmeet,social_trust,IE,Ireland,4.3086014206280145,1.5764076371688671,4.521167883211679,0.6152818325531219,qwen
sclmeet,social_trust,IL,Israel,5.37946729389215,1.566948729077005,4.7226277372262775,0.49455998233794274,qwen
sclmeet,social_trust,IS,Iceland,5.278807458651748,1.4394663497959697,4.694890510948905,0.5061494890307443,qwen
sclmeet,social_trust,IT,Italy,4.706546679320957,1.5752412935391051,4.464233576642336,0.6537942817936301,qwen
sclmeet,social_trust,LT,Lithuania,4.364283230788744,1.5622693395152705,4.566423357664234,0.5999850597875265,qwen
sclmeet,social_trust,LV,Latvia,4.3429616960030435,1.6424937139788904,4.513868613138686,0.6295805809095877,qwen
sclmeet,social_trust,ME,Montenegro,4.834985214387212,1.6015829359800529,4.510948905109489,0.6035565681949178,qwen
sclmeet,social_trust,NL,Netherlands,5.398005102386256,1.2576971589608217,4.689489051094891,0.5339967381242274,qwen
sclmeet,social_trust,NO,Norway,5.688076208039842,1.3525075883274424,4.7153284671532845,0.48589618638130755,qwen
sclmeet,social_trust,PL,Poland,3.896722824683607,1.4430229733040592,4.656934306569343,0.5466264989037714,qwen
