variable,domain,cntry,country_name,survey_mean,survey_sd,silicon_mean,silicon_sd,model
ppltrst,social_trust,AT,Austria,6.071829184018286,2.0976862462724717,6.702489019033675,1.6324629075951351,qwen
ppltrst,social_trust,BE,Belgium,5.458173187943939,2.195522494698598,7.062043795620438,1.4687849230319336,qwen
ppltrst,social_trust,BG,Bulgaria,3.728913646176717,2.3711881162028385,6.47733918128655,1.9397584630660893,qwen
ppltrst,social_trust,CH,Switzerland,5.855593288087151,2.1151913454264175,7.19051094890511,1.3849062718553884,qwen
ppltrst,social_trust,CY,Cyprus,4.092466358118389,2.456123517842882,6.955783308931186,1.8085025058539301,qwen
ppltrst,social_trust,DE,Germany,5.213421360673227,2.329440069370058,6.833089311859443,1.5497479605660263,qwen
ppltrst,social_trust,EE,Estonia,5.597881429421257,1.9956320359719784,7.510964912280702,1.1189619242550195,qwen
ppltrst,social_trust,ES,Spain,5.30377052791885,2.170845887878443,6.733480176211454,1.6857432694696788,qwen
ppltrst,social_trust,FI,Finland,6.920840954305089,1.8140828898597425,7.388888888888889,1.3498850640057114,qwen
ppltrst,social_trust,FR,France,4.472588263453334,2.150595521187708,6.734795321637427,1.766647183613356,qwen
ppltrst,social_trust,GB,United Kingdom,5.418093170478824,2.2752091003472237,6.636695906432749,1.723988418034653,qwen
ppltrst,social_trust,GR,Greece,4.5659732232376244,1.9203750141942668,6.7503660322108345,1.6388284423568953,qwen
ppltrst,social_trust,HR,Croatia,4.710634171131117,2.3881561272203213,6.703958944281525,1.8248807861815268,qwen
ppltrst,social_trust,HU,Hungary,4.5774672280159825,2.4378724365986537,6.7090775988286975,1.9134052948644573,qwen
ppltrst,social_trust,IE,Ireland,5.414850386746617,2.381842777024013,6.952415812591508,1.5025411095176902,qwen
ppltrst,social_trust,IL,Israel,5.174017172464776,2.389764509965967,6.988321167883211,1.9627028778597304,qwen
ppltrst,social_trust,IS,Iceland,6.354200470157306,2.061858353889841,7.35453216374269,1.358653169064955,qwen
ppltrst,social_trust,IT,Italy,4.498938379325662,2.3475202051401065,6.332602339181286,1.8478284385372057,qwen
ppltrst,social_trust,LT,Lithuania,5.1342718600800605,2.4545179848769294,6.774193548387097,1.6987625307142282,qwen
ppltrst,social_trust,LV,Latvia,3.853969529445196,2.5315340747124133,6.909795321637427,1.627735616644804,qwen
ppltrst,social_trust,ME,Montenegro,4.214523037104412,2.5013155012698616,6.8201754385964914,1.6403949007409222,qwen
ppltrst,social_trust,NL,Netherlands,6.1705777782591795,1.958424103278812,7.307456140350878,1.227152528810756,qwen
ppltrst,social_trust,NO,Norway,6.4876535997464035,1.9510974667031853,7.515328467153284,1.1642136185227923,qwen
ppltrst,social_trust,PL,Poland,4.5337215889785645,2.3334421200904445,7.101167883211679,1.6960907346759353,qwen
ppltrst,social_trust,PT,Portugal,4.15405019735004,2.4020558131627445,6.353001464128844,1.91257658386466,qwen
ppltrst,social_trust,RS,Serbia,4.4015442985461535,2.769641531820987,6.569750367107195,1.7177434143642576,qwen
ppltrst,social_trust,SE,Sweden,6.173553003500404,2.0369372146641576,7.440497076023392,1.1440649771873,qwen
ppltrst,social_trust,SI,Slovenia,4.671985358795646,2.386686330953043,6.936764705882353,1.6810390583472956,qwen
ppltrst,social_trust,SK,Slovakia,4.032077870148862,2.846323197813735,6.481671554252199,1.9629538465942735,qwen
ppltrst,social_trust,UA,Ukraine,3.823509033700963,2.792401452672258,5.7992647058823525,1.9896083614713556,qwen
pplfair,social_trust,AT,Austria,6.356658702906922,2.007590140567435,7.049781021897811,0.9108126208727344,qwen
pplfair,social_trust,BE,Belgium,5.898274055320637,2.038526524185433,7.237664233576643,0.832146754142212,qwen
pplfair,social_trust,BG,Bulgaria,4.28774413732007,2.2021907496756565,7.1858394160583945,0.9116149816451529,qwen
pplfair,social_trust,CH,Switzerland,6.400660288273514,1.8848948256164268,7.3157664233576645,0.8226416963459044,qwen
pplfair,social_trust,CY,Cyprus,4.423461465515083,2.2078122491415186,7.2953284671532845,0.9152261816562183,qwen
pplfair,social_trust,DE,Germany,6.186403696050097,1.9898562079629318,7.094160583941606,0.8348027766661315,qwen
pplfair,social_trust,EE,Estonia,6.111731028208338,2.0677934266941755,7.323503649635037,0.7861107826717934,qwen
pplfair,social_trust,ES,Spain,5.541573467263106,2.1802436948843513,7.091240875912408,0.9830786506757412,qwen
pplfair,social_trust,FI,Finland,7.084249691343838,1.7336838763693212,7.381021897810219,0.8016369260554876,qwen
pplfair,social_trust,FR,France,6.088517879920214,1.9971480895774854,7.222043795620438,0.9022852230919742,qwen
pplfair,social_trust,GB,United Kingdom,5.981753215098941,2.1060601678344897,7.075912408759124,0.8723770668137276,qwen
pplfair,social_trust,GR,Greece,4.935914237527794,2.005204614994723,7.245693430656934,0.7262212899786016,qwen
pplfair,social_trust,HR,Croatia,5.182213320213709,2.439485398002121,7.182189781021898,0.8948379540064825,qwen
pplfair,social_trust,HU,Hungary,5.124484568640466,2.073835982532519,7.205547445255474,1.014081354589063,qwen
pplfair,social_trust,IE,Ireland,6.168494894931351,2.106787750467679,7.215766423357665,0.8437504365411365,qwen
pplfair,social_trust,IL,Israel,5.314318458840991,2.3022335286898072,7.249781021897811,0.9251145552214494,qwen
pplfair,social_trust,IS,Iceland,6.576929478670769,1.9072991814569054,7.2569343065693435,0.8207644792956049,qwen
pplfair,social_trust,IT,Italy,4.588315451551168,2.2539241028190062,7.208771929824562,0.899835163383101,qwen
pplfair,social_trust,LT,Lithuania,5.4409183956236085,2.235114984941725,7.203065693430657,0.8260059984169327,qwen
pplfair,social_trust,LV,Latvia,5.663738367059401,2.247497646406504,7.258394160583942,0.7796425121486623,qwen
pplfair,social_trust,ME,Montenegro,4.36938040692145,2.2653311034681702,7.186277372262774,0.832992041778071,qwen
pplfair,social_trust,NL,Netherlands,6.542182923142853,1.634480715869356,7.288321167883212,0.8252295173765365,qwen
pplfair,social_trust,NO,Norway,6.757639034501647,1.8971193298633304,7.375730994152047,0.881680425451916,qwen
pplfair,social_trust,PL,Poland,5.225422873831028,2.2838780429825127,7.239124087591241,0.8304084410843876,qwen
pplfair,social_trust,PT,Portugal,5.2347667924699675,2.2103944076408926,7.164087591240875,0.9002733135554911,qwen
pplfair,social_trust,RS,Serbia,4.739201854594089,2.8499587721633626,7.08,0.842889072360114,qwen
pplfair,social_trust,SE,Sweden,6.592569867878159,1.8020303379041651,7.38978102189781,0.8056166748722915,qwen
pplfair,social_trust,SI,Slovenia,5.418600199352892,2.258280124051613,7.174890510948905,0.8672805828217595,qwen
pplfair,social_trust,SK,Slovakia,4.8643116719235655,2.5431197557800247,7.074890510948905,0.9652955466491009,qwen
pplfair,social_trust,UA,Ukraine,4.693212458739193,2.43492351369049,6.971240875912409,1.065901209212374,qwen
pplhlp,social_trust,AT,Austria,6.318627057316925,2.061005753294836,6.699414348462664,1.30810678139211,qwen
pplhlp,social_trust,BE,Belgium,5.060544624005849,2.1956473479694956,6.847947214076245,1.2199528926774148,qwen
pplhlp,social_trust,BG,Bulgaria,3.550500715225844,2.3080899941553548,6.730588235294117,1.3944365391501536,qwen
pplhlp,social_trust,CH,Switzerland,5.8985149650676005,1.884854676878496,6.924011713030746,1.1727516130467097,qwen
