variable,domain,cntry,country_name,survey_mean,survey_sd,silicon_mean,silicon_sd,model
ppltrst,social_trust,AT,Austria,6.071829184018286,2.0976862462724717,7.16950146627566,1.3024801995944453,qwen
ppltrst,social_trust,BE,Belgium,5.458173187943939,2.195522494698598,7.430723781388479,1.1450181165378481,qwen
ppltrst,social_trust,BG,Bulgaria,3.728913646176717,2.3711881162028385,6.869897209985315,1.7348897629009965,qwen
ppltrst,social_trust,CH,Switzerland,5.855593288087151,2.1151913454264175,7.540729927007299,1.0989319875275503,qwen
ppltrst,social_trust,CY,Cyprus,4.092466358118389,2.456123517842882,7.128070175438597,1.7751171996989457,qwen
ppltrst,social_trust,DE,Germany,5.213421360673227,2.329440069370058,7.273538011695907,1.2306785127619961,qwen
ppltrst,social_trust,EE,Estonia,5.597881429421257,1.9956320359719784,7.705571847507331,0.96885328693245,qwen
ppltrst,social_trust,ES,Spain,5.30377052791885,2.170845887878443,7.194160583941605,1.3747283848345586,qwen
ppltrst,social_trust,FI,Finland,6.920840954305089,1.8140828898597425,7.78,0.9263333996199543,qwen
ppltrst,social_trust,FR,France,4.472588263453334,2.150595521187708,7.126354319180088,1.5392164010969362,qwen
ppltrst,social_trust,GB,United Kingdom,5.418093170478824,2.2752091003472237,7.043631039531479,1.5095200316122521,qwen
ppltrst,social_trust,GR,Greece,4.5659732232376244,1.9203750141942668,7.197810218978102,1.3058834002921462,qwen
ppltrst,social_trust,HR,Croatia,4.710634171131117,2.3881561272203213,7.192521994134897,1.4914892488375748,qwen
ppltrst,social_trust,HU,Hungary,4.5774672280159825,2.4378724365986537,7.044640234948605,1.7156129657705275,qwen
ppltrst,social_trust,IE,Ireland,5.414850386746617,2.381842777024013,7.252846715328467,1.3730206108483904,qwen
ppltrst,social_trust,IL,Israel,5.174017172464776,2.389764509965967,7.281578947368422,1.7022712821158423,qwen
ppltrst,social_trust,IS,Iceland,6.354200470157306,2.061858353889841,7.639619883040936,0.9929593295379883,qwen
ppltrst,social_trust,IT,Italy,4.498938379325662,2.3475202051401065,6.777923976608188,1.7611375982281459,qwen
ppltrst,social_trust,LT,Lithuania,5.1342718600800605,2.4545179848769294,7.1156661786237185,1.4585486559093679,qwen
ppltrst,social_trust,LV,Latvia,3.853969529445196,2.5315340747124133,7.004239766081871,1.5557279534423922,qwen
ppltrst,social_trust,ME,Montenegro,4.214523037104412,2.5013155012698616,7.177485380116958,1.4791242684585029,qwen
ppltrst,social_trust,NL,Netherlands,6.1705777782591795,1.958424103278812,7.601319648093842,0.9956062154024019,qwen
ppltrst,social_trust,NO,Norway,6.4876535997464035,1.9510974667031853,7.771783625730993,0.8274618744687153,qwen
ppltrst,social_trust,PL,Poland,4.5337215889785645,2.3334421200904445,7.326754385964913,1.4433775638094168,qwen
ppltrst,social_trust,PT,Portugal,4.15405019735004,2.4020558131627445,6.928508771929825,1.7166116643179032,qwen
ppltrst,social_trust,RS,Serbia,4.4015442985461535,2.769641531820987,6.889574155653451,1.595783035020895,qwen
