variable,domain,cntry,country_name,survey_mean,survey_sd,silicon_mean,silicon_sd,model
ppltrst,social_trust,AT,Austria,6.071829184018286,2.0976862462724717,6.61374269005848,1.6172527085007244,qwen
ppltrst,social_trust,BE,Belgium,5.458173187943939,2.195522494698598,6.907737226277373,1.4727589738910116,qwen
ppltrst,social_trust,BG,Bulgaria,3.728913646176717,2.3711881162028385,6.229575402635432,1.8998157716158426,qwen
ppltrst,social_trust,CH,Switzerland,5.855593288087151,2.1151913454264175,6.8753284671532855,1.6073811157620086,qwen
ppltrst,social_trust,CY,Cyprus,4.092466358118389,2.456123517842882,6.859356725146199,1.7951089058423857,qwen
ppltrst,social_trust,DE,Germany,5.213421360673227,2.329440069370058,6.359064327485381,1.6850882478029852,qwen
ppltrst,social_trust,EE,Estonia,5.597881429421257,1.9956320359719784,7.245029239766082,1.2955115099258,qwen
ppltrst,social_trust,ES,Spain,5.30377052791885,2.170845887878443,6.582672540381791,1.7563898200472037,qwen
ppltrst,social_trust,FI,Finland,6.920840954305089,1.8140828898597425,7.303357664233577,1.3211628081916786,qwen
ppltrst,social_trust,FR,France,4.472588263453334,2.150595521187708,6.257017543859649,1.926298050988927,qwen
ppltrst,social_trust,GB,United Kingdom,5.418093170478824,2.2752091003472237,6.581140350877193,1.6745650035129163,qwen
ppltrst,social_trust,GR,Greece,4.5659732232376244,1.9203750141942668,6.667349926793558,1.5232132956157554,qwen
ppltrst,social_trust,HR,Croatia,4.710634171131117,2.3881561272203213,6.565592972181552,1.8809125487123575,qwen
ppltrst,social_trust,HU,Hungary,4.5774672280159825,2.4378724365986537,6.460468521229868,1.9043986166284703,qwen
ppltrst,social_trust,IE,Ireland,5.414850386746617,2.381842777024013,6.870614035087719,1.523509925173253,qwen
ppltrst,social_trust,IL,Israel,5.174017172464776,2.389764509965967,6.825292397660819,1.9510377317290049,qwen
ppltrst,social_trust,IS,Iceland,6.354200470157306,2.061858353889841,7.2098096632503665,1.287273753862981,qwen
ppltrst,social_trust,IT,Italy,4.498938379325662,2.3475202051401065,6.121961932650073,1.8787008719566527,qwen
ppltrst,social_trust,LT,Lithuania,5.1342718600800605,2.4545179848769294,6.515789473684211,1.7255166534557593,qwen
ppltrst,social_trust,LV,Latvia,3.853969529445196,2.5315340747124133,6.640058479532164,1.779714224209827,qwen
ppltrst,social_trust,ME,Montenegro,4.214523037104412,2.5013155012698616,6.581140350877193,1.7919809623537404,qwen
ppltrst,social_trust,NL,Netherlands,6.1705777782591795,1.958424103278812,7.043649635036496,1.4422432555082643,qwen
ppltrst,social_trust,NO,Norway,6.4876535997464035,1.9510974667031853,7.46029197080292,1.076774980705284,qwen
ppltrst,social_trust,PL,Poland,4.5337215889785645,2.3334421200904445,6.88782991202346,1.7552810972050257,qwen
ppltrst,social_trust,PT,Portugal,4.15405019735004,2.4020558131627445,6.306725146198831,1.8971308630298669,qwen
ppltrst,social_trust,RS,Serbia,4.4015442985461535,2.769641531820987,6.309104258443465,1.8022386216614907,qwen
ppltrst,social_trust,SE,Sweden,6.173553003500404,2.0369372146641576,7.206442166910688,1.3294496769332553,qwen
ppltrst,social_trust,SI,Slovenia,4.671985358795646,2.386686330953043,6.641727672035139,1.7186320522460092,qwen
ppltrst,social_trust,SK,Slovakia,4.032077870148862,2.846323197813735,6.34108187134503,1.8181272037892249,qwen
ppltrst,social_trust,UA,Ukraine,3.823509033700963,2.792401452672258,6.10233918128655,1.7687859106795152,qwen
pplfair,social_trust,AT,Austria,6.356658702906922,2.007590140567435,7.137956204379562,0.7226627365705786,qwen
pplfair,social_trust,BE,Belgium,5.898274055320637,2.038526524185433,7.12963503649635,0.8616491130920327,qwen
pplfair,social_trust,BG,Bulgaria,4.28774413732007,2.2021907496756565,7.113138686131387,0.9646392470436126,qwen
pplfair,social_trust,CH,Switzerland,6.400660288273514,1.8848948256164268,7.234306569343065,0.8644572001591941,qwen
pplfair,social_trust,CY,Cyprus,4.423461465515083,2.2078122491415186,7.188759124087592,0.9288925095150407,qwen
pplfair,social_trust,DE,Germany,6.186403696050097,1.9898562079629318,7.035036496350365,0.8538347657161783,qwen
pplfair,social_trust,EE,Estonia,6.111731028208338,2.0677934266941755,7.257372262773723,0.7735723221093261,qwen
pplfair,social_trust,ES,Spain,5.541573467263106,2.1802436948843513,7.0902189781021905,0.9550301326752302,qwen
pplfair,social_trust,FI,Finland,7.084249691343838,1.7336838763693212,7.2773722627737225,0.837096127698187,qwen
pplfair,social_trust,FR,France,6.088517879920214,1.9971480895774854,7.152262773722628,0.8977790926893281,qwen
pplfair,social_trust,GB,United Kingdom,5.981753215098941,2.1060601678344897,7.04014598540146,0.9029240878842841,qwen
pplfair,social_trust,GR,Greece,4.935914237527794,2.005204614994723,7.144233576642336,0.836126654053977,qwen
pplfair,social_trust,HR,Croatia,5.182213320213709,2.439485398002121,7.105109489051095,0.8240111181227735,qwen
pplfair,social_trust,HU,Hungary,5.124484568640466,2.073835982532519,7.298394160583941,0.7927192758210494,qwen
pplfair,social_trust,IE,Ireland,6.168494894931351,2.106787750467679,7.274452554744525,0.8037766481790433,qwen
pplfair,social_trust,IL,Israel,5.314318458840991,2.3022335286898072,7.177080291970803,0.9610165796440724,qwen
pplfair,social_trust,IS,Iceland,6.576929478670769,1.9072991814569054,7.159562043795621,0.9464073871313925,qwen
pplfair,social_trust,IT,Italy,4.588315451551168,2.2539241028190062,7.201751824817518,0.8242291257710601,qwen
pplfair,social_trust,LT,Lithuania,5.4409183956236085,2.235114984941725,7.108759124087591,0.8874098630246252,qwen
pplfair,social_trust,LV,Latvia,5.663738367059401,2.247497646406504,7.218248175182482,0.7619629714743236,qwen
pplfair,social_trust,ME,Montenegro,4.36938040692145,2.2653311034681702,7.086277372262774,0.8655449955527548,qwen
pplfair,social_trust,NL,Netherlands,6.542182923142853,1.634480715869356,7.295036496350366,0.8074969665610208,qwen
pplfair,social_trust,NO,Norway,6.757639034501647,1.8971193298633304,7.290510948905109,0.7939724695536905,qwen
pplfair,social_trust,PL,Poland,5.225422873831028,2.2838780429825127,7.111386861313869,0.953211854671144,qwen
pplfair,social_trust,PT,Portugal,5.2347667924699675,2.2103944076408926,7.144233576642336,0.8678717352644691,qwen
pplfair,social_trust,RS,Serbia,4.739201854594089,2.8499587721633626,7.078540145985402,0.8457103144020083,qwen
pplfair,social_trust,SE,Sweden,6.592569867878159,1.8020303379041651,7.271970802919708,0.8511446020795809,qwen
pplfair,social_trust,SI,Slovenia,5.418600199352892,2.258280124051613,7.175912408759124,0.8002672751117612,qwen
pplfair,social_trust,SK,Slovakia,4.8643116719235655,2.5431197557800247,7.061313868613139,0.9477773456653746,qwen
pplfair,social_trust,UA,Ukraine,4.693212458739193,2.43492351369049,7.156642335766423,0.851454103123316,qwen
pplhlp,social_trust,AT,Austria,6.318627057316925,2.061005753294836,6.5071847507331375,1.3580860218567574,qwen
pplhlp,social_trust,BE,Belgium,5.060544624005849,2.1956473479694956,6.653812316715542,1.2826843456812405,qwen
pplhlp,social_trust,BG,Bulgaria,3.550500715225844,2.3080899941553548,6.636842105263159,1.399786419049926,qwen
pplhlp,social_trust,CH,Switzerland,5.8985149650676005,1.884854676878496,6.7364963503649635,1.2554487043215137,qwen
pplhlp,social_trust,CY,Cyprus,4.108040391083219,2.1954327810505894,6.711436950146627,1.4021018372779397,qwen
pplhlp,social_trust,DE,Germany,5.359509661907016,2.0965802980361574,6.468713450292397,1.3193072785448658,qwen
pplhlp,social_trust,EE,Estonia,5.026836971472983,2.0167271854085875,6.917397660818714,1.1199527859716443,qwen
pplhlp,social_trust,ES,Spain,4.799287732107402,2.2984435948613826,6.577013177159589,1.3730379800091166,qwen
pplhlp,social_trust,FI,Finland,6.367163416606128,1.957104421735069,6.8460526315789485,1.25164567635143,qwen
pplhlp,social_trust,FR,France,4.606344443975376,2.24002307315973,6.73338213762811,1.2783551606680232,qwen
pplhlp,social_trust,GB,United Kingdom,5.990719000699621,1.942504544742161,6.52514619883041,1.4264431624586082,qwen
pplhlp,social_trust,GR,Greece,4.337120313457906,1.9778120001939348,6.706176470588235,1.2969058333338583,qwen
pplhlp,social_trust,HR,Croatia,4.343355311541862,2.4112502202938684,6.630205278592374,1.3743922812722893,qwen
pplhlp,social_trust,HU,Hungary,4.605214910806596,2.2470109750370364,6.670588235294118,1.4123960801924431,qwen
pplhlp,social_trust,IE,Ireland,5.939084968682108,2.240485078040839,6.625036603221083,1.3119358858011931,qwen
pplhlp,social_trust,IL,Israel,5.100096960518647,2.336648940608769,6.889458272327965,1.306482876538125,qwen
pplhlp,social_trust,IS,Iceland,6.299077774742755,1.791363854697011,6.748462664714495,1.2666173378894494,qwen
pplhlp,social_trust,IT,Italy,4.184164039738798,2.273457502775936,6.639677891654465,1.38009239837733,qwen
pplhlp,social_trust,LT,Lithuania,5.032521343524122,2.3988190229998003,6.583431085043988,1.3734544223634924,qwen
pplhlp,social_trust,LV,Latvia,4.838484340024971,2.2962432351850475,6.677631578947368,1.344729837371315,qwen
pplhlp,social_trust,ME,Montenegro,4.194717188555699,2.2559179621884984,6.667107195301028,1.4165114569285757,qwen
pplhlp,social_trust,NL,Netherlands,5.65817291172352,1.7643307067812635,6.8718475073313785,1.1731701295734105,qwen
pplhlp,social_trust,NO,Norway,6.003298800640809,1.9932155036957901,6.932210834553442,1.1632642927216281,qwen
pplhlp,social_trust,PL,Poland,4.546993964205541,2.4182053882140755,6.683480825958702,1.3671040159132197,qwen
pplhlp,social_trust,PT,Portugal,4.213744814045952,2.1791089434587874,6.6682819383259915,1.3311841753225502,qwen
pplhlp,social_trust,RS,Serbia,3.72835672703553,2.720929475579113,6.656111929307806,1.3047746081273286,qwen
pplhlp,social_trust,SE,Sweden,5.946359746894595,1.936482154823752,6.774122807017544,1.298806735653963,qwen
pplhlp,social_trust,SI,Slovenia,5.349566794505421,2.236529461060724,6.5587719298245615,1.4475188892483155,qwen
pplhlp,social_trust,SK,Slovakia,4.195429337358618,2.5609256122451742,6.420527859237535,1.4975911200833598,qwen
pplhlp,social_trust,UA,Ukraine,4.165704117573958,2.6358905892713516,6.395007342143906,1.587424396052079,qwen
sclmeet,social_trust,AT,Austria,4.97855907049627,1.1862131472556947,3.783941605839416,0.6644957610611054,qwen
sclmeet,social_trust,BE,Belgium,5.115008561601236,1.4064923799551072,3.8916788321167886,0.6896292856826403,qwen
sclmeet,social_trust,BG,Bulgaria,4.99618382149749,1.6848498871293636,3.8043795620437955,0.762121213857034,qwen
sclmeet,social_trust,CH,Switzerland,5.120404033218849,1.3015620048223844,3.8671532846715326,0.7213443315075772,qwen
sclmeet,social_trust,CY,Cyprus,4.063565729120625,1.6808260299062987,3.8124087591240876,0.7677190770130148,qwen
sclmeet,social_trust,DE,Germany,4.750274005473209,1.4910419350395807,3.8697810218978104,0.6548564272285795,qwen
sclmeet,social_trust,EE,Estonia,4.268464111365069,1.5064569734447395,3.8773722627737226,0.6847324893548279,qwen
sclmeet,social_trust,ES,Spain,5.250413100298126,1.4669300296384136,3.8744525547445257,0.7175768594936325,qwen
sclmeet,social_trust,FI,Finland,4.91015506669888,1.3723429550400144,3.8435036496350365,0.7061380752702051,qwen
sclmeet,social_trust,FR,France,5.227998279869101,1.4417715646805522,3.855766423357664,0.7242557408199999,qwen
sclmeet,social_trust,GB,United Kingdom,4.825888880970069,1.545839796639787,3.835036496350365,0.7110850823073877,qwen
sclmeet,social_trust,GR,Greece,4.23068100764633,1.5663897051020776,3.935182481751825,0.7081419784767504,qwen
