variable,domain,cntry,country_name,survey_mean,survey_sd,silicon_mean,silicon_sd,model
ppltrst,social_trust,AT,Austria,6.071829184018286,2.0976862462724717,7.0435672514619885,1.4091011931831614,qwen
ppltrst,social_trust,BE,Belgium,5.458173187943939,2.195522494698598,7.2402046783625735,1.3494342241283732,qwen
ppltrst,social_trust,BG,Bulgaria,3.728913646176717,2.3711881162028385,7.1761695906432745,1.4001785936742952,qwen
ppltrst,social_trust,CH,Switzerland,5.855593288087151,2.1151913454264175,7.378623718887263,1.1962599992354925,qwen
ppltrst,social_trust,CY,Cyprus,4.092466358118389,2.456123517842882,7.318823529411765,1.4508740237283846,qwen
ppltrst,social_trust,DE,Germany,5.213421360673227,2.329440069370058,7.051098096632503,1.3767479832651015,qwen
ppltrst,social_trust,EE,Estonia,5.597881429421257,1.9956320359719784,7.636788321167883,0.9900771828163606,qwen
ppltrst,social_trust,ES,Spain,5.30377052791885,2.170845887878443,7.055131964809385,1.539641164843426,qwen
ppltrst,social_trust,FI,Finland,6.920840954305089,1.8140828898597425,7.586131386861314,1.138197924297878,qwen
ppltrst,social_trust,FR,France,4.472588263453334,2.150595521187708,7.10073206442167,1.5158060842326628,qwen
ppltrst,social_trust,GB,United Kingdom,5.418093170478824,2.2752091003472237,6.875402635431917,1.514285234579205,qwen
ppltrst,social_trust,GR,Greece,4.5659732232376244,1.9203750141942668,7.189051094890511,1.17557245182539,qwen
ppltrst,social_trust,HR,Croatia,4.710634171131117,2.3881561272203213,7.3919590643274855,1.242868838617159,qwen
ppltrst,social_trust,HU,Hungary,4.5774672280159825,2.4378724365986537,7.28625730994152,1.4324163914406023,qwen
ppltrst,social_trust,IE,Ireland,5.414850386746617,2.381842777024013,7.273430656934307,1.1874566399939814,qwen
ppltrst,social_trust,IL,Israel,5.174017172464776,2.389764509965967,6.909795321637427,1.9805512533071739,qwen
ppltrst,social_trust,IS,Iceland,6.354200470157306,2.061858353889841,7.273430656934307,1.420905134243932,qwen
ppltrst,social_trust,IT,Italy,4.498938379325662,2.3475202051401065,6.992093704245974,1.4891283964910362,qwen
ppltrst,social_trust,LT,Lithuania,5.1342718600800605,2.4545179848769294,7.2300586510263924,1.360483738391871,qwen
ppltrst,social_trust,LV,Latvia,3.853969529445196,2.5315340747124133,7.205847953216375,1.4280994179556794,qwen
ppltrst,social_trust,ME,Montenegro,4.214523037104412,2.5013155012698616,7.065497076023392,1.5709225176183572,qwen
ppltrst,social_trust,NL,Netherlands,6.1705777782591795,1.958424103278812,7.503216374269005,1.0440186772762365,qwen
