variable,domain,cntry,country_name,survey_mean,survey_sd,silicon_mean,silicon_sd,model
ppltrst,social_trust,AT,Austria,6.071829184018286,2.0976862462724717,6.834214390602057,1.6377498932354129,qwen
ppltrst,social_trust,BE,Belgium,5.458173187943939,2.195522494698598,7.219152046783625,1.4101800494510939,qwen
ppltrst,social_trust,BG,Bulgaria,3.728913646176717,2.3711881162028385,6.381551976573939,1.8677489528539026,qwen
ppltrst,social_trust,CH,Switzerland,5.855593288087151,2.1151913454264175,7.428175182481752,1.1417170682805233,qwen
ppltrst,social_trust,CY,Cyprus,4.092466358118389,2.456123517842882,6.500438596491228,1.9996302251215587,qwen
ppltrst,social_trust,DE,Germany,5.213421360673227,2.329440069370058,7.205847953216375,1.3740198733205593,qwen
ppltrst,social_trust,EE,Estonia,5.597881429421257,1.9956320359719784,7.457748538011696,1.1401169526897013,qwen
ppltrst,social_trust,ES,Spain,5.30377052791885,2.170845887878443,6.826861313868613,1.6582179505944656,qwen
ppltrst,social_trust,FI,Finland,6.920840954305089,1.8140828898597425,7.5057017543859645,1.1893547859937215,qwen
ppltrst,social_trust,FR,France,4.472588263453334,2.150595521187708,6.932650073206442,1.5873408218473668,qwen
ppltrst,social_trust,GB,United Kingdom,5.418093170478824,2.2752091003472237,6.803801169590644,1.6498414303143336,qwen
ppltrst,social_trust,GR,Greece,4.5659732232376244,1.9203750141942668,6.810672514619883,1.4808351540614044,qwen
ppltrst,social_trust,HR,Croatia,4.710634171131117,2.3881561272203213,6.631478770131772,1.8823276001261644,qwen
ppltrst,social_trust,HU,Hungary,4.5774672280159825,2.4378724365986537,6.587299270072993,1.8690771965703377,qwen
ppltrst,social_trust,IE,Ireland,5.414850386746617,2.381842777024013,7.027859237536657,1.6128479542335918,qwen
ppltrst,social_trust,IL,Israel,5.174017172464776,2.389764509965967,6.371970802919709,1.6048910255293494,qwen
ppltrst,social_trust,IS,Iceland,6.354200470157306,2.061858353889841,7.574707602339182,1.0837630617966674,qwen
ppltrst,social_trust,IT,Italy,4.498938379325662,2.3475202051401065,6.6647058823529415,1.7280297468088803,qwen
ppltrst,social_trust,LT,Lithuania,5.1342718600800605,2.4545179848769294,6.767302052785924,1.6691292390664358,qwen
ppltrst,social_trust,LV,Latvia,3.853969529445196,2.5315340747124133,6.652046783625731,1.7568886108061232,qwen
ppltrst,social_trust,ME,Montenegro,4.214523037104412,2.5013155012698616,7.13582966226138,1.4182039989744393,qwen
ppltrst,social_trust,NL,Netherlands,6.1705777782591795,1.958424103278812,7.537080291970803,1.18622586960461,qwen
ppltrst,social_trust,NO,Norway,6.4876535997464035,1.9510974667031853,7.6795321637426905,0.8982604388193179,qwen
ppltrst,social_trust,PL,Poland,4.5337215889785645,2.3334421200904445,6.914619883040936,1.5937716443772834,qwen
ppltrst,social_trust,PT,Portugal,4.15405019735004,2.4020558131627445,6.520735294117648,1.8909666790755444,qwen
ppltrst,social_trust,RS,Serbia,4.4015442985461535,2.769641531820987,6.515905743740795,1.6922381445899712,qwen
ppltrst,social_trust,SE,Sweden,6.173553003500404,2.0369372146641576,7.67514619883041,0.8991271881164128,qwen
ppltrst,social_trust,SI,Slovenia,4.671985358795646,2.386686330953043,7.042105263157895,1.58817342545246,qwen
ppltrst,social_trust,SK,Slovakia,4.032077870148862,2.846323197813735,6.671010248901903,1.8303269594493716,qwen
ppltrst,social_trust,UA,Ukraine,3.823509033700963,2.792401452672258,5.882697947214076,2.064530124273792,qwen
pplfair,social_trust,AT,Austria,6.356658702906922,2.007590140567435,7.335036496350365,0.6843692662048159,qwen
pplfair,social_trust,BE,Belgium,5.898274055320637,2.038526524185433,7.412408759124087,0.7109672654593491,qwen
pplfair,social_trust,BG,Bulgaria,4.28774413732007,2.2021907496756565,7.341313868613139,0.7077689366712395,qwen
pplfair,social_trust,CH,Switzerland,6.400660288273514,1.8848948256164268,7.481751824817518,0.6622903483899607,qwen
pplfair,social_trust,CY,Cyprus,4.423461465515083,2.2078122491415186,7.439854014598541,0.6468117776703888,qwen
pplfair,social_trust,DE,Germany,6.186403696050097,1.9898562079629318,7.351094890510949,0.651484672877515,qwen
pplfair,social_trust,EE,Estonia,6.111731028208338,2.0677934266941755,7.456204379562044,0.694786486815549,qwen
pplfair,social_trust,ES,Spain,5.541573467263106,2.1802436948843513,7.333430656934306,0.8074619448207031,qwen
pplfair,social_trust,FI,Finland,7.084249691343838,1.7336838763693212,7.474452554744525,0.723764241957086,qwen
pplfair,social_trust,FR,France,6.088517879920214,1.9971480895774854,7.327737226277372,0.7271600135011449,qwen
pplfair,social_trust,GB,United Kingdom,5.981753215098941,2.1060601678344897,7.3043795620437955,0.7120381557572557,qwen
