variable,domain,cntry,country_name,survey_mean,survey_sd,silicon_mean,silicon_sd,model
ppltrst,social_trust,AT,Austria,6.071829184018286,2.0976862462724717,6.4325547445255475,1.69585150393174,qwen
ppltrst,social_trust,BE,Belgium,5.458173187943939,2.195522494698598,6.775912408759124,1.5035788469653675,qwen
ppltrst,social_trust,BG,Bulgaria,3.728913646176717,2.3711881162028385,6.135964912280702,1.9378541146787334,qwen
ppltrst,social_trust,CH,Switzerland,5.855593288087151,2.1151913454264175,6.6154970760233915,1.6074842029258491,qwen
ppltrst,social_trust,CY,Cyprus,4.092466358118389,2.456123517842882,6.694890510948905,1.8155968670408793,qwen
ppltrst,social_trust,DE,Germany,5.213421360673227,2.329440069370058,6.204379562043796,1.6855885801612396,qwen
ppltrst,social_trust,EE,Estonia,5.597881429421257,1.9956320359719784,7.1080409356725145,1.3079807819665594,qwen
ppltrst,social_trust,ES,Spain,5.30377052791885,2.170845887878443,6.585043988269795,1.6522433682245259,qwen
ppltrst,social_trust,FI,Finland,6.920840954305089,1.8140828898597425,7.245839416058393,1.339689150869978,qwen
ppltrst,social_trust,FR,France,4.472588263453334,2.150595521187708,6.116398243045388,1.8244013760023783,qwen
ppltrst,social_trust,GB,United Kingdom,5.418093170478824,2.2752091003472237,6.500877192982457,1.6444055179882948,qwen
ppltrst,social_trust,GR,Greece,4.5659732232376244,1.9203750141942668,6.600439238653002,1.5186957420540639,qwen
ppltrst,social_trust,HR,Croatia,4.710634171131117,2.3881561272203213,6.381551976573939,1.818021367698643,qwen
ppltrst,social_trust,HU,Hungary,4.5774672280159825,2.4378724365986537,6.284795321637427,1.996542352069978,qwen
ppltrst,social_trust,IE,Ireland,5.414850386746617,2.381842777024013,6.86058394160584,1.4524307949328383,qwen
ppltrst,social_trust,IL,Israel,5.174017172464776,2.389764509965967,6.593430656934307,1.9336661986424206,qwen
ppltrst,social_trust,IS,Iceland,6.354200470157306,2.061858353889841,7.230701754385965,1.362021613013574,qwen
ppltrst,social_trust,IT,Italy,4.498938379325662,2.3475202051401065,6.07584187408492,1.7554320348331567,qwen
ppltrst,social_trust,LT,Lithuania,5.1342718600800605,2.4545179848769294,6.13103953147877,1.7693305897914124,qwen
ppltrst,social_trust,LV,Latvia,3.853969529445196,2.5315340747124133,6.383040935672515,1.7117042934939848,qwen
ppltrst,social_trust,ME,Montenegro,4.214523037104412,2.5013155012698616,6.199120234604106,1.7918068847119024,qwen
ppltrst,social_trust,NL,Netherlands,6.1705777782591795,1.958424103278812,6.926423357664234,1.4899133267042914,qwen
ppltrst,social_trust,NO,Norway,6.4876535997464035,1.9510974667031853,7.334014598540146,1.2657877027995261,qwen
ppltrst,social_trust,PL,Poland,4.5337215889785645,2.3334421200904445,6.633674963396779,1.737032169064921,qwen
ppltrst,social_trust,PT,Portugal,4.15405019735004,2.4020558131627445,6.251824817518248,1.8593883084355813,qwen
ppltrst,social_trust,RS,Serbia,4.4015442985461535,2.769641531820987,6.193997071742313,1.703689883732589,qwen
ppltrst,social_trust,SE,Sweden,6.173553003500404,2.0369372146641576,7.117664233576643,1.358746984036487,qwen
ppltrst,social_trust,SI,Slovenia,4.671985358795646,2.386686330953043,6.330656934306569,1.8882741448658746,qwen
ppltrst,social_trust,SK,Slovakia,4.032077870148862,2.846323197813735,6.001461988304094,1.959322251875263,qwen
ppltrst,social_trust,UA,Ukraine,3.823509033700963,2.792401452672258,5.976573938506589,1.8242522201658995,qwen
pplfair,social_trust,AT,Austria,6.356658702906922,2.007590140567435,7.152116788321168,0.8809297243952001,qwen
pplfair,social_trust,BE,Belgium,5.898274055320637,2.038526524185433,7.130072992700731,0.8742921082628556,qwen
pplfair,social_trust,BG,Bulgaria,4.28774413732007,2.2021907496756565,7.120291970802919,0.9728837744587111,qwen
pplfair,social_trust,CH,Switzerland,6.400660288273514,1.8848948256164268,7.341751824817519,0.7892052203574819,qwen
pplfair,social_trust,CY,Cyprus,4.423461465515083,2.2078122491415186,7.273868613138687,0.9227487605572364,qwen
pplfair,social_trust,DE,Germany,6.186403696050097,1.9898562079629318,7.050072992700731,0.8160241800955004,qwen
pplfair,social_trust,EE,Estonia,6.111731028208338,2.0677934266941755,7.242335766423357,0.8220928423736886,qwen
pplfair,social_trust,ES,Spain,5.541573467263106,2.1802436948843513,7.174160583941606,0.9282857261532009,qwen
pplfair,social_trust,FI,Finland,7.084249691343838,1.7336838763693212,7.304525547445256,0.8846117617407744,qwen
pplfair,social_trust,FR,France,6.088517879920214,1.9971480895774854,7.1785401459854015,0.897734754964911,qwen
pplfair,social_trust,GB,United Kingdom,5.981753215098941,2.1060601678344897,7.055912408759123,1.0151545807047884,qwen
pplfair,social_trust,GR,Greece,4.935914237527794,2.005204614994723,7.148905109489051,0.9565193960488803,qwen
pplfair,social_trust,HR,Croatia,5.182213320213709,2.439485398002121,7.174160583941606,0.8718406977454497,qwen
pplfair,social_trust,HU,Hungary,5.124484568640466,2.073835982532519,7.274452554744525,0.9223531117370597,qwen
pplfair,social_trust,IE,Ireland,6.168494894931351,2.106787750467679,7.260875912408759,0.8292809138012058,qwen
pplfair,social_trust,IL,Israel,5.314318458840991,2.3022335286898072,7.2340145985401465,0.9472007542186709,qwen
pplfair,social_trust,IS,Iceland,6.576929478670769,1.9072991814569054,7.231386861313869,0.9060995246977739,qwen
pplfair,social_trust,IT,Italy,4.588315451551168,2.2539241028190062,7.282919708029198,0.8773549434294815,qwen
pplfair,social_trust,LT,Lithuania,5.4409183956236085,2.235114984941725,7.152777777777778,0.8231503265271896,qwen
pplfair,social_trust,LV,Latvia,5.663738367059401,2.247497646406504,7.237080291970803,0.7362960095771353,qwen
pplfair,social_trust,ME,Montenegro,4.36938040692145,2.2653311034681702,7.13941605839416,0.9550847046291784,qwen
pplfair,social_trust,NL,Netherlands,6.542182923142853,1.634480715869356,7.348029197080291,0.8104307563525651,qwen
pplfair,social_trust,NO,Norway,6.757639034501647,1.8971193298633304,7.3992700729927,0.7492195110809324,qwen
pplfair,social_trust,PL,Poland,5.225422873831028,2.2838780429825127,7.169343065693431,0.8916901983938371,qwen
pplfair,social_trust,PT,Portugal,5.2347667924699675,2.2103944076408926,7.2110948905109495,0.9464891101959225,qwen
pplfair,social_trust,RS,Serbia,4.739201854594089,2.8499587721633626,7.045985401459854,0.9340860528733612,qwen
pplfair,social_trust,SE,Sweden,6.592569867878159,1.8020303379041651,7.294598540145985,0.8802495115758058,qwen
pplfair,social_trust,SI,Slovenia,5.418600199352892,2.258280124051613,7.164087591240875,0.9379713666814242,qwen
pplfair,social_trust,SK,Slovakia,4.8643116719235655,2.5431197557800247,7.12043795620438,0.9325293126894492,qwen
pplfair,social_trust,UA,Ukraine,4.693212458739193,2.43492351369049,7.12043795620438,0.9191385082715388,qwen
pplhlp,social_trust,AT,Austria,6.318627057316925,2.061005753294836,6.32624633431085,1.4688944120854475,qwen
pplhlp,social_trust,BE,Belgium,5.060544624005849,2.1956473479694956,6.486988304093567,1.4299731211607494,qwen
pplhlp,social_trust,BG,Bulgaria,3.550500715225844,2.3080899941553548,6.278038067349926,1.6028615224442595,qwen
pplhlp,social_trust,CH,Switzerland,5.8985149650676005,1.884854676878496,6.6419590643274855,1.2838367728140432,qwen
pplhlp,social_trust,CY,Cyprus,4.108040391083219,2.1954327810505894,6.40846715328467,1.597307168582637,qwen
pplhlp,social_trust,DE,Germany,5.359509661907016,2.0965802980361574,6.259649122807017,1.4534586991134324,qwen
pplhlp,social_trust,EE,Estonia,5.026836971472983,2.0167271854085875,6.7242335766423365,1.2810116402887102,qwen
pplhlp,social_trust,ES,Spain,4.799287732107402,2.2984435948613826,6.4709677419354845,1.5093857904624028,qwen
pplhlp,social_trust,FI,Finland,6.367163416606128,1.957104421735069,6.642543859649122,1.4129975891508575,qwen
pplhlp,social_trust,FR,France,4.606344443975376,2.24002307315973,6.5706140350877185,1.3656952396889372,qwen
pplhlp,social_trust,GB,United Kingdom,5.990719000699621,1.942504544742161,6.364525547445257,1.5148330784478612,qwen
pplhlp,social_trust,GR,Greece,4.337120313457906,1.9778120001939348,6.536111111111112,1.314864926094477,qwen
pplhlp,social_trust,HR,Croatia,4.343355311541862,2.4112502202938684,6.46220588235294,1.501701877530491,qwen
pplhlp,social_trust,HU,Hungary,4.605214910806596,2.2470109750370364,6.4515328467153275,1.548169495661476,qwen
pplhlp,social_trust,IE,Ireland,5.939084968682108,2.240485078040839,6.4674486803519065,1.4243103082511972,qwen
pplhlp,social_trust,IL,Israel,5.100096960518647,2.336648940608769,6.7039416058394155,1.3937094250586877,qwen
pplhlp,social_trust,IS,Iceland,6.299077774742755,1.791363854697011,6.572035139092241,1.4717355999576787,qwen
pplhlp,social_trust,IT,Italy,4.184164039738798,2.273457502775936,6.5338213762811135,1.4548678156480954,qwen
pplhlp,social_trust,LT,Lithuania,5.032521343524122,2.3988190229998003,6.394590643274855,1.5460571801726077,qwen
pplhlp,social_trust,LV,Latvia,4.838484340024971,2.2962432351850475,6.508345534407029,1.4221243199209677,qwen
pplhlp,social_trust,ME,Montenegro,4.194717188555699,2.2559179621884984,6.398684210526317,1.4770517981211935,qwen
pplhlp,social_trust,NL,Netherlands,5.65817291172352,1.7643307067812635,6.72406015037594,1.238023666744072,qwen
pplhlp,social_trust,NO,Norway,6.003298800640809,1.9932155036957901,6.627445255474451,1.3620611473063826,qwen
pplhlp,social_trust,PL,Poland,4.546993964205541,2.4182053882140755,6.518686131386861,1.4949235822742057,qwen
pplhlp,social_trust,PT,Portugal,4.213744814045952,2.1791089434587874,6.42087591240876,1.548934492502875,qwen
pplhlp,social_trust,RS,Serbia,3.72835672703553,2.720929475579113,6.496345029239766,1.4062925217638091,qwen
pplhlp,social_trust,SE,Sweden,5.946359746894595,1.936482154823752,6.568394160583942,1.441814074999421,qwen
pplhlp,social_trust,SI,Slovenia,5.349566794505421,2.236529461060724,6.509516837481699,1.4857031968349483,qwen
pplhlp,social_trust,SK,Slovakia,4.195429337358618,2.5609256122451742,6.215912408759124,1.663346058183811,qwen
pplhlp,social_trust,UA,Ukraine,4.165704117573958,2.6358905892713516,6.219883040935672,1.6995174539687647,qwen
sclmeet,social_trust,AT,Austria,4.97855907049627,1.1862131472556947,3.7689781021897812,0.7016618584153428,qwen
sclmeet,social_trust,BE,Belgium,5.115008561601236,1.4064923799551072,3.8635036496350366,0.7324831507561327,qwen
sclmeet,social_trust,BG,Bulgaria,4.99618382149749,1.6848498871293636,3.7744525547445256,0.7554895780201859,qwen
sclmeet,social_trust,CH,Switzerland,5.120404033218849,1.3015620048223844,3.8781021897810217,0.7662198667998785,qwen
sclmeet,social_trust,CY,Cyprus,4.063565729120625,1.6808260299062987,3.8474452554744527,0.7654911174356789,qwen
sclmeet,social_trust,DE,Germany,4.750274005473209,1.4910419350395807,3.794160583941606,0.6791341261559458,qwen
sclmeet,social_trust,EE,Estonia,4.268464111365069,1.5064569734447395,3.858394160583942,0.7262458881290351,qwen
sclmeet,social_trust,ES,Spain,5.250413100298126,1.4669300296384136,3.9182481751824816,0.7462595790820142,qwen
sclmeet,social_trust,FI,Finland,4.91015506669888,1.3723429550400144,3.8175182481751824,0.7170539355747533,qwen
sclmeet,social_trust,FR,France,5.227998279869101,1.4417715646805522,3.8795620437956204,0.7397584051380728,qwen
sclmeet,social_trust,GB,United Kingdom,4.825888880970069,1.545839796639787,3.7982456140350878,0.7261663458465827,qwen
sclmeet,social_trust,GR,Greece,4.23068100764633,1.5663897051020776,3.8817518248175182,0.7881819870764506,qwen
sclmeet,social_trust,HR,Croatia,5.355922756611965,1.5433309288591155,3.7985401459854016,0.7762921129689991,qwen
sclmeet,social_trust,HU,Hungary,3.4073398053512745,1.5184246921707605,3.8518248175182483,0.769683441971554,qwen
sclmeet,social_trust,IE,Ireland,4.3086014206280145,1.5764076371688671,3.7635036496350365,0.747009233016438,qwen
sclmeet,social_trust,IL,Israel,5.37946729389215,1.566948729077005,3.9846715328467153,0.6973100478053559,qwen
sclmeet,social_trust,IS,Iceland,5.278807458651748,1.4394663497959697,3.9072992700729925,0.7298596993767502,qwen
sclmeet,social_trust,IT,Italy,4.706546679320957,1.5752412935391051,3.8145985401459854,0.7882117730157757,qwen
sclmeet,social_trust,LT,Lithuania,4.364283230788744,1.5622693395152705,3.7489051094890513,0.6864516769047309,qwen
sclmeet,social_trust,LV,Latvia,4.3429616960030435,1.6424937139788904,3.7518248175182483,0.7626230309890243,qwen
sclmeet,social_trust,ME,Montenegro,4.834985214387212,1.6015829359800529,3.836131386861314,0.7442943282329515,qwen
sclmeet,social_trust,NL,Netherlands,5.398005102386256,1.2576971589608217,3.860672514619883,0.7034864968909279,qwen
sclmeet,social_trust,NO,Norway,5.688076208039842,1.3525075883274424,3.875912408759124,0.6881968076921946,qwen
sclmeet,social_trust,PL,Poland,3.896722824683607,1.4430229733040592,3.8781021897810217,0.717443003468702,qwen
sclmeet,social_trust,PT,Portugal,5.685409759425016,1.576563523208556,3.807299270072993,0.7419780576838251,qwen
sclmeet,social_trust,RS,Serbia,5.185660516605247,1.5942757921749648,3.807299270072993,0.7459084335899655,qwen
sclmeet,social_trust,SE,Sweden,5.514484949240079,1.3608053671737674,3.852481751824817,0.6892509929761176,qwen
sclmeet,social_trust,SI,Slovenia,4.631734240685188,1.4881140484001878,3.858394160583942,0.7678330501797298,qwen
sclmeet,social_trust,SK,Slovakia,4.72857259415562,1.5838908117692216,3.781751824817518,0.7813823200789093,qwen
sclmeet,social_trust,UA,Ukraine,4.403961647625363,1.7492302415514074,3.72953216374269,0.7604455139176496,qwen
inprdsc,social_trust,AT,Austria,3.118780630553028,1.1742953866443435,2.8233576642335767,0.5429320945718475,qwen
inprdsc,social_trust,BE,Belgium,3.249005581858395,1.392119874792085,2.854014598540146,0.5399283305455942,qwen
inprdsc,social_trust,BG,Bulgaria,2.077287035540825,1.2654833628886588,2.8116788321167885,0.5782441780501784,qwen
inprdsc,social_trust,CH,Switzerland,3.5672430918798415,1.2546165765107025,2.8306569343065693,0.5330539350112132,qwen
inprdsc,social_trust,CY,Cyprus,2.429658750415173,1.2914148054142078,2.845255474452555,0.5180895521554058,qwen
inprdsc,social_trust,DE,Germany,3.508134966369809,1.1978906541310246,2.8364963503649636,0.5182172420918476,qwen
inprdsc,social_trust,EE,Estonia,2.5808046896837573,1.3664122962604637,2.8423357664233575,0.49995944685503696,qwen
inprdsc,social_trust,ES,Spain,2.889223323462987,1.3851422121984767,2.8686131386861313,0.5328056359814105,qwen
inprdsc,social_trust,FI,Finland,3.2591695206650804,1.2740084057461003,2.8554744525547444,0.4755605661228149,qwen
inprdsc,social_trust,FR,France,2.834623969006955,1.4605348263872133,2.8744525547445257,0.5231524434668215,qwen
inprdsc,social_trust,GB,United Kingdom,3.16034956015881,1.3832269727107982,2.846715328467153,0.5310602732956794,qwen
inprdsc,social_trust,GR,Greece,2.3001774709007434,1.208559756779504,2.8686131386861313,0.5382655468724796,qwen
inprdsc,social_trust,HR,Croatia,2.2941152783671246,1.422859648476235,2.8145985401459854,0.5427001134657707,qwen
inprdsc,social_trust,HU,Hungary,2.598329752384808,1.230743088053047,2.824561403508772,0.5397078658047307,qwen
inprdsc,social_trust,IE,Ireland,2.7380058098736266,1.332686531536047,2.8248175182481754,0.5527418395717211,qwen
inprdsc,social_trust,IL,Israel,2.4812293357499633,1.4132878598805871,2.8773722627737226,0.4862123421172917,qwen
inprdsc,social_trust,IS,Iceland,3.671481858006674,1.317456305642698,2.8671532846715326,0.5227443172396047,qwen
