variable,domain,cntry,country_name,survey_mean,survey_sd,silicon_mean,silicon_sd,model
ppltrst,social_trust,AT,Austria,6.071829184018286,2.0976862462724717,6.850757575757576,1.2984463817931358,qwen
ppltrst,social_trust,BE,Belgium,5.458173187943939,2.195522494698598,7.051724137931035,1.0262804331124404,qwen
ppltrst,social_trust,BG,Bulgaria,3.728913646176717,2.3711881162028385,6.269578313253012,1.4764340279216657,qwen
ppltrst,social_trust,CH,Switzerland,5.855593288087151,2.1151913454264175,7.310401188707281,1.0427807316422273,qwen
ppltrst,social_trust,CY,Cyprus,4.092466358118389,2.456123517842882,7.043219076005961,1.2138790952579337,qwen
ppltrst,social_trust,DE,Germany,5.213421360673227,2.329440069370058,6.902098950524738,1.2109467305328034,qwen
ppltrst,social_trust,EE,Estonia,5.597881429421257,1.9956320359719784,7.307726597325409,0.8879985367838283,qwen
ppltrst,social_trust,ES,Spain,5.30377052791885,2.170845887878443,6.893253373313343,1.1262894780020467,qwen
ppltrst,social_trust,FI,Finland,6.920840954305089,1.8140828898597425,7.272378138847857,1.0512696403870367,qwen
ppltrst,social_trust,FR,France,4.472588263453334,2.150595521187708,6.767933130699088,1.2307905349943118,qwen
ppltrst,social_trust,GB,United Kingdom,5.418093170478824,2.2752091003472237,6.872563718140929,1.3342721447362933,qwen
ppltrst,social_trust,GR,Greece,4.5659732232376244,1.9203750141942668,6.752994011976048,1.2057732263686063,qwen
ppltrst,social_trust,HR,Croatia,4.710634171131117,2.3881561272203213,6.875565610859729,1.216070738332392,qwen
ppltrst,social_trust,HU,Hungary,4.5774672280159825,2.4378724365986537,6.528443113772455,1.3258244476643477,qwen
ppltrst,social_trust,IE,Ireland,5.414850386746617,2.381842777024013,7.196212121212121,1.0548971933188434,qwen
ppltrst,social_trust,IL,Israel,5.174017172464776,2.389764509965967,6.9156626506024095,1.031390506902263,qwen
ppltrst,social_trust,IS,Iceland,6.354200470157306,2.061858353889841,7.4563165905631665,0.9261086682842813,qwen
ppltrst,social_trust,IT,Italy,4.498938379325662,2.3475202051401065,6.854191616766467,1.198811420032017,qwen
ppltrst,social_trust,LT,Lithuania,5.1342718600800605,2.4545179848769294,6.776923076923078,1.2299982334112305,qwen
ppltrst,social_trust,LV,Latvia,3.853969529445196,2.5315340747124133,6.668188736681888,1.2991349986864216,qwen
ppltrst,social_trust,ME,Montenegro,4.214523037104412,2.5013155012698616,7.1683976261127595,0.898766588739521,qwen
ppltrst,social_trust,NL,Netherlands,6.1705777782591795,1.958424103278812,7.194887218045113,0.9958669231007398,qwen
ppltrst,social_trust,NO,Norway,6.4876535997464035,1.9510974667031853,7.534684684684685,0.8241913638143396,qwen
ppltrst,social_trust,PL,Poland,4.5337215889785645,2.3334421200904445,6.740121580547113,1.2116637556405498,qwen
ppltrst,social_trust,PT,Portugal,4.15405019735004,2.4020558131627445,7.022692889561271,1.1399492324265899,qwen
ppltrst,social_trust,RS,Serbia,4.4015442985461535,2.769641531820987,6.647368421052631,1.1681374158009148,qwen
ppltrst,social_trust,SE,Sweden,6.173553003500404,2.0369372146641576,7.463813813813814,0.9088519676587393,qwen
ppltrst,social_trust,SI,Slovenia,4.671985358795646,2.386686330953043,6.899405646359584,1.1334863531973984,qwen
ppltrst,social_trust,SK,Slovakia,4.032077870148862,2.846323197813735,6.617734724292101,1.3277738955046032,qwen
ppltrst,social_trust,UA,Ukraine,3.823509033700963,2.792401452672258,5.398461538461539,1.5720000223177863,qwen
pplfair,social_trust,AT,Austria,6.356658702906922,2.007590140567435,7.1546783625731,0.7851802949128456,qwen
pplfair,social_trust,BE,Belgium,5.898274055320637,2.038526524185433,7.267647058823529,0.6521610561379991,qwen
pplfair,social_trust,BG,Bulgaria,4.28774413732007,2.2021907496756565,7.031710914454277,0.8477690031064558,qwen
pplfair,social_trust,CH,Switzerland,6.400660288273514,1.8848948256164268,7.459736456808199,0.6732670298573956,qwen
pplfair,social_trust,CY,Cyprus,4.423461465515083,2.2078122491415186,7.258064516129032,0.759743991545257,qwen
pplfair,social_trust,DE,Germany,6.186403696050097,1.9898562079629318,7.157079646017699,0.7677212321212699,qwen
pplfair,social_trust,EE,Estonia,6.111731028208338,2.0677934266941755,7.302046783625731,0.6654814025019958,qwen
pplfair,social_trust,ES,Spain,5.541573467263106,2.1802436948843513,7.201470588235294,0.6933287503985796,qwen
pplfair,social_trust,FI,Finland,7.084249691343838,1.7336838763693212,7.301174743024964,0.7063358851532779,qwen
pplfair,social_trust,FR,France,6.088517879920214,1.9971480895774854,7.1475,0.7260113052264697,qwen
pplfair,social_trust,GB,United Kingdom,5.981753215098941,2.1060601678344897,7.14485294117647,0.7980849550178221,qwen
pplfair,social_trust,GR,Greece,4.935914237527794,2.005204614994723,7.110898379970545,0.7911189864489953,qwen
pplfair,social_trust,HR,Croatia,5.182213320213709,2.439485398002121,7.163676470588236,0.7718088930166023,qwen
pplfair,social_trust,HU,Hungary,5.124484568640466,2.073835982532519,6.995588235294117,0.8653761853260287,qwen
pplfair,social_trust,IE,Ireland,6.168494894931351,2.106787750467679,7.386873156342183,0.6323541291048326,qwen
pplfair,social_trust,IL,Israel,5.314318458840991,2.3022335286898072,7.239411764705882,0.6949891817488858,qwen
pplfair,social_trust,IS,Iceland,6.576929478670769,1.9072991814569054,7.543923865300147,0.7231836221733448,qwen
pplfair,social_trust,IT,Italy,4.588315451551168,2.2539241028190062,7.261094674556213,0.6865553199267672,qwen
pplfair,social_trust,LT,Lithuania,5.4409183956236085,2.235114984941725,7.200441826215022,0.7568272029473728,qwen
pplfair,social_trust,LV,Latvia,5.663738367059401,2.247497646406504,7.091310751104565,0.84520051680995,qwen
pplfair,social_trust,ME,Montenegro,4.36938040692145,2.2653311034681702,7.249413489736071,0.7417730528683728,qwen
pplfair,social_trust,NL,Netherlands,6.542182923142853,1.634480715869356,7.279735682819383,0.6877717136039309,qwen
pplfair,social_trust,NO,Norway,6.757639034501647,1.8971193298633304,7.5504411764705885,0.648051193962073,qwen
pplfair,social_trust,PL,Poland,5.225422873831028,2.2838780429825127,7.013696612665685,0.8488779871241258,qwen
pplfair,social_trust,PT,Portugal,5.2347667924699675,2.2103944076408926,7.260709010339734,0.7865688913382353,qwen
pplfair,social_trust,RS,Serbia,4.739201854594089,2.8499587721633626,7.035714285714286,0.7755992415683479,qwen
pplfair,social_trust,SE,Sweden,6.592569867878159,1.8020303379041651,7.4628865979381445,0.6807560674751203,qwen
pplfair,social_trust,SI,Slovenia,5.418600199352892,2.258280124051613,7.128655834564254,0.7946977364518392,qwen
pplfair,social_trust,SK,Slovakia,4.8643116719235655,2.5431197557800247,7.076911764705883,0.8056021766473652,qwen
pplfair,social_trust,UA,Ukraine,4.693212458739193,2.43492351369049,6.810930576070901,1.2045274023137322,qwen
pplhlp,social_trust,AT,Austria,6.318627057316925,2.061005753294836,6.790881913303439,1.2464166480698,qwen
pplhlp,social_trust,BE,Belgium,5.060544624005849,2.1956473479694956,6.938059701492537,1.0617549547208858,qwen
pplhlp,social_trust,BG,Bulgaria,3.550500715225844,2.3080899941553548,6.57370820668693,1.2214316225178474,qwen
pplhlp,social_trust,CH,Switzerland,5.8985149650676005,1.884854676878496,7.105943536404161,1.0726137870141481,qwen
pplhlp,social_trust,CY,Cyprus,4.108040391083219,2.1954327810505894,6.896251874062969,1.1963788140862954,qwen
pplhlp,social_trust,DE,Germany,5.359509661907016,2.0965802980361574,6.893665158371041,1.1432538193973831,qwen
pplhlp,social_trust,EE,Estonia,5.026836971472983,2.0167271854085875,7.0995522388059715,1.0639983434411462,qwen
pplhlp,social_trust,ES,Spain,4.799287732107402,2.2984435948613826,6.790743550834598,1.1777919269512878,qwen
pplhlp,social_trust,FI,Finland,6.367163416606128,1.957104421735069,6.909239940387482,1.1548746215916317,qwen
pplhlp,social_trust,FR,France,4.606344443975376,2.24002307315973,6.896641221374046,1.201548828889803,qwen
pplhlp,social_trust,GB,United Kingdom,5.990719000699621,1.942504544742161,6.8106060606060606,1.2555344898482153,qwen
pplhlp,social_trust,GR,Greece,4.337120313457906,1.9778120001939348,6.856606606606607,1.1016432912923857,qwen
pplhlp,social_trust,HR,Croatia,4.343355311541862,2.4112502202938684,6.888989441930618,1.090088290810185,qwen
pplhlp,social_trust,HU,Hungary,4.605214910806596,2.2470109750370364,6.598950524737631,1.3520473105557198,qwen
pplhlp,social_trust,IE,Ireland,5.939084968682108,2.240485078040839,7.074962742175857,1.055489823383674,qwen
pplhlp,social_trust,IL,Israel,5.100096960518647,2.336648940608769,6.984730538922156,1.0359246147002386,qwen
pplhlp,social_trust,IS,Iceland,6.299077774742755,1.791363854697011,7.303647416413374,0.9894967789212848,qwen
pplhlp,social_trust,IT,Italy,4.184164039738798,2.273457502775936,6.825263157894737,1.1930620085502834,qwen
pplhlp,social_trust,LT,Lithuania,5.032521343524122,2.3988190229998003,6.80579268292683,1.1206854417025718,qwen
pplhlp,social_trust,LV,Latvia,4.838484340024971,2.2962432351850475,6.704242424242424,1.2007888916814713,qwen
pplhlp,social_trust,ME,Montenegro,4.194717188555699,2.2559179621884984,7.097901049475262,0.9200772436802447,qwen
pplhlp,social_trust,NL,Netherlands,5.65817291172352,1.7643307067812635,7.143862275449102,0.94027400017033,qwen
pplhlp,social_trust,NO,Norway,6.003298800640809,1.9932155036957901,7.370746268656716,0.8736523911411188,qwen
pplhlp,social_trust,PL,Poland,4.546993964205541,2.4182053882140755,6.728310502283105,1.1901868990460596,qwen
pplhlp,social_trust,PT,Portugal,4.213744814045952,2.1791089434587874,6.942365269461078,1.1770105850640005,qwen
pplhlp,social_trust,RS,Serbia,3.72835672703553,2.720929475579113,6.780211480362538,1.1268090315732395,qwen
pplhlp,social_trust,SE,Sweden,5.946359746894595,1.936482154823752,7.114220877458396,1.0521452283037067,qwen
pplhlp,social_trust,SI,Slovenia,5.349566794505421,2.236529461060724,6.891337386018237,1.0941108600014284,qwen
pplhlp,social_trust,SK,Slovakia,4.195429337358618,2.5609256122451742,6.749392097264439,1.2823024127267282,qwen
pplhlp,social_trust,UA,Ukraine,4.165704117573958,2.6358905892713516,6.520186335403727,1.5517198493562179,qwen
sclmeet,social_trust,AT,Austria,4.97855907049627,1.1862131472556947,3.7191176470588236,0.901113262205634,qwen
sclmeet,social_trust,BE,Belgium,5.115008561601236,1.4064923799551072,3.691851851851852,0.9450049732062512,qwen
sclmeet,social_trust,BG,Bulgaria,4.99618382149749,1.6848498871293636,3.5180722891566263,1.080321116253593,qwen
sclmeet,social_trust,CH,Switzerland,5.120404033218849,1.3015620048223844,3.7496318114874816,0.8786532735679805,qwen
sclmeet,social_trust,CY,Cyprus,4.063565729120625,1.6808260299062987,3.7098674521354935,0.9835249711297772,qwen
sclmeet,social_trust,DE,Germany,4.750274005473209,1.4910419350395807,3.6557377049180326,0.918690997566131,qwen
sclmeet,social_trust,EE,Estonia,4.268464111365069,1.5064569734447395,3.6078286558345645,0.965475408022988,qwen
sclmeet,social_trust,ES,Spain,5.250413100298126,1.4669300296384136,3.71165191740413,0.9865251296303517,qwen
sclmeet,social_trust,FI,Finland,4.91015506669888,1.3723429550400144,3.6967455621301775,0.8767218742537971,qwen
sclmeet,social_trust,FR,France,5.227998279869101,1.4417715646805522,3.662202380952381,1.0083998483056593,qwen
sclmeet,social_trust,GB,United Kingdom,4.825888880970069,1.545839796639787,3.682422451994092,0.8827076646717814,qwen
sclmeet,social_trust,GR,Greece,4.23068100764633,1.5663897051020776,3.7066666666666666,1.0263010126400511,qwen
sclmeet,social_trust,HR,Croatia,5.355922756611965,1.5433309288591155,3.6920236336779912,1.0885613759743216,qwen
sclmeet,social_trust,HU,Hungary,3.4073398053512745,1.5184246921707605,3.5914454277286136,1.000613093801589,qwen
sclmeet,social_trust,IE,Ireland,4.3086014206280145,1.5764076371688671,3.705357142857143,0.9531973915154325,qwen
sclmeet,social_trust,IL,Israel,5.37946729389215,1.566948729077005,3.6568047337278107,0.963311186385062,qwen
sclmeet,social_trust,IS,Iceland,5.278807458651748,1.4394663497959697,3.685496183206107,1.0544881606489058,qwen
sclmeet,social_trust,IT,Italy,4.706546679320957,1.5752412935391051,3.704579025110783,1.0567588923409408,qwen
sclmeet,social_trust,LT,Lithuania,4.364283230788744,1.5622693395152705,3.687593423019432,0.9299628360122055,qwen
sclmeet,social_trust,LV,Latvia,4.3429616960030435,1.6424937139788904,3.568862275449102,0.9931039096219281,qwen
sclmeet,social_trust,ME,Montenegro,4.834985214387212,1.6015829359800529,3.7866868381240546,0.9002717133408414,qwen
sclmeet,social_trust,NL,Netherlands,5.398005102386256,1.2576971589608217,3.7459138187221397,0.8552631722178918,qwen
sclmeet,social_trust,NO,Norway,5.688076208039842,1.3525075883274424,3.762536873156342,0.8937402830891117,qwen
sclmeet,social_trust,PL,Poland,3.896722824683607,1.4430229733040592,3.6346153846153846,1.002773930432755,qwen
sclmeet,social_trust,PT,Portugal,5.685409759425016,1.576563523208556,3.6325478645066274,1.020852420285883,qwen
sclmeet,social_trust,RS,Serbia,5.185660516605247,1.5942757921749648,3.690828402366864,1.0127945468920794,qwen
sclmeet,social_trust,SE,Sweden,5.514484949240079,1.3608053671737674,3.6463595839524516,0.9416247206581764,qwen
sclmeet,social_trust,SI,Slovenia,4.631734240685188,1.4881140484001878,3.695588235294118,0.9693284229888058,qwen
sclmeet,social_trust,SK,Slovakia,4.72857259415562,1.5838908117692216,3.6335311572700295,0.939857246159511,qwen
sclmeet,social_trust,UA,Ukraine,4.403961647625363,1.7492302415514074,3.4375,1.0238402620845088,qwen
inprdsc,social_trust,AT,Austria,3.118780630553028,1.1742953866443435,3.031111111111111,0.5871354120533376,qwen
inprdsc,social_trust,BE,Belgium,3.249005581858395,1.392119874792085,3.033724340175953,0.5686684090364563,qwen
inprdsc,social_trust,BG,Bulgaria,2.077287035540825,1.2654833628886588,2.988970588235294,0.6514595366194114,qwen
inprdsc,social_trust,CH,Switzerland,3.5672430918798415,1.2546165765107025,3.066813509544787,0.5398937604039393,qwen
inprdsc,social_trust,CY,Cyprus,2.429658750415173,1.2914148054142078,3.052052785923754,0.5891856124369069,qwen
inprdsc,social_trust,DE,Germany,3.508134966369809,1.1978906541310246,2.9926686217008798,0.6307855195482952,qwen
inprdsc,social_trust,EE,Estonia,2.5808046896837573,1.3664122962604637,3.064610866372981,0.5465898584426321,qwen
inprdsc,social_trust,ES,Spain,2.889223323462987,1.3851422121984767,3.0439882697947214,0.5455471218177038,qwen
inprdsc,social_trust,FI,Finland,3.2591695206650804,1.2740084057461003,3.041176470588235,0.5830788461519936,qwen
inprdsc,social_trust,FR,France,2.834623969006955,1.4605348263872133,2.998531571218796,0.5517332736493171,qwen
inprdsc,social_trust,GB,United Kingdom,3.16034956015881,1.3832269727107982,3.0278184480234263,0.6503680995695927,qwen
inprdsc,social_trust,GR,Greece,2.3001774709007434,1.208559756779504,3.072378138847858,0.5723581853196896,qwen
inprdsc,social_trust,HR,Croatia,2.2941152783671246,1.422859648476235,3.002932551319648,0.6480447661534314,qwen
inprdsc,social_trust,HU,Hungary,2.598329752384808,1.230743088053047,2.9977941176470586,0.5577763171691695,qwen
inprdsc,social_trust,IE,Ireland,2.7380058098736266,1.332686531536047,3.0994152046783627,0.5691427965052948,qwen
inprdsc,social_trust,IL,Israel,2.4812293357499633,1.4132878598805871,3.0628654970760234,0.6244139666876679,qwen
inprdsc,social_trust,IS,Iceland,3.671481858006674,1.317456305642698,3.138438880706922,0.6011134521210362,qwen
inprdsc,social_trust,IT,Italy,2.183433433926192,1.2779320478931364,3.0412979351032448,0.657693541409883,qwen
inprdsc,social_trust,LT,Lithuania,2.1369766166296262,1.3544109428510231,3.0212922173274595,0.5915349709327419,qwen
inprdsc,social_trust,LV,Latvia,1.8116237136593292,1.2881659791877138,3.0486725663716814,0.6308113053588915,qwen
inprdsc,social_trust,ME,Montenegro,2.1663481487525504,1.1666499399605834,3.1088235294117648,0.5480546112231512,qwen
inprdsc,social_trust,NL,Netherlands,3.7088828570517682,1.283208311296253,3.0719530102790014,0.5602970620918148,qwen
inprdsc,social_trust,NO,Norway,3.227762827620148,1.4498231395247019,3.0647058823529414,0.7067452636643795,qwen
inprdsc,social_trust,PL,Poland,3.1281270388376403,1.4096043170643204,3.0162721893491122,0.5641394704321759,qwen
inprdsc,social_trust,PT,Portugal,2.2558309190788615,1.3613593845490315,3.0584795321637426,0.5873991844759919,qwen
inprdsc,social_trust,RS,Serbia,2.567237857631098,1.4134188192546682,3.0102489019033674,0.5639828225877207,qwen
inprdsc,social_trust,SE,Sweden,3.8066124907958425,1.2668089879502242,3.06140350877193,0.5969922815528222,qwen
inprdsc,social_trust,SI,Slovenia,2.795537682887412,1.3412053782065898,3.025,0.6218588221598899,qwen
inprdsc,social_trust,SK,Slovakia,1.9473222705088136,1.1682652569916379,3.04860088365243,0.5368379105848485,qwen
inprdsc,social_trust,UA,Ukraine,2.211819332304769,1.3882518522667766,3.0205580029368577,0.593732198443833,qwen
