variable,domain,cntry,country_name,survey_mean,survey_sd,silicon_mean,silicon_sd,model
ppltrst,social_trust,AT,Austria,6.071829184018286,2.0976862462724717,7.164697193500738,0.9988056943056137,qwen
ppltrst,social_trust,BE,Belgium,5.458173187943939,2.195522494698598,7.284830633284241,0.8942901104541456,qwen
ppltrst,social_trust,BG,Bulgaria,3.728913646176717,2.3711881162028385,6.809701492537314,1.1875581586252315,qwen
ppltrst,social_trust,CH,Switzerland,5.855593288087151,2.1151913454264175,7.404093567251461,0.918835390260339,qwen
ppltrst,social_trust,CY,Cyprus,4.092466358118389,2.456123517842882,7.19344262295082,1.108536178487826,qwen
ppltrst,social_trust,DE,Germany,5.213421360673227,2.329440069370058,7.163056379821958,1.0365892349370938,qwen
ppltrst,social_trust,EE,Estonia,5.597881429421257,1.9956320359719784,7.426872246696035,0.8727224458432483,qwen
ppltrst,social_trust,ES,Spain,5.30377052791885,2.170845887878443,7.119970414201184,1.0366615929910026,qwen
ppltrst,social_trust,FI,Finland,6.920840954305089,1.8140828898597425,7.586518518518518,0.6995837237429068,qwen
ppltrst,social_trust,FR,France,4.472588263453334,2.150595521187708,7.12414307004471,1.067042839482772,qwen
ppltrst,social_trust,GB,United Kingdom,5.418093170478824,2.2752091003472237,7.023031203566122,1.1471970346140499,qwen
ppltrst,social_trust,GR,Greece,4.5659732232376244,1.9203750141942668,7.105530642750375,0.9142333726207484,qwen
ppltrst,social_trust,HR,Croatia,4.710634171131117,2.3881561272203213,7.14381520119225,0.9610875626663069,qwen
ppltrst,social_trust,HU,Hungary,4.5774672280159825,2.4378724365986537,6.890532544378698,1.1365310497683037,qwen
ppltrst,social_trust,IE,Ireland,5.414850386746617,2.381842777024013,7.322794117647059,0.8162530607416182,qwen
ppltrst,social_trust,IL,Israel,5.174017172464776,2.389764509965967,7.178962962962963,0.9060637092466289,qwen
ppltrst,social_trust,IS,Iceland,6.354200470157306,2.061858353889841,7.617037037037037,0.6551033103953232,qwen
ppltrst,social_trust,IT,Italy,4.498938379325662,2.3475202051401065,7.1011851851851855,1.0366281878186583,qwen
ppltrst,social_trust,LT,Lithuania,5.1342718600800605,2.4545179848769294,7.132100591715977,1.0455503014342633,qwen
ppltrst,social_trust,LV,Latvia,3.853969529445196,2.5315340747124133,7.008320726172466,1.1554903432493506,qwen
ppltrst,social_trust,ME,Montenegro,4.214523037104412,2.5013155012698616,7.312094395280236,0.8187615625114777,qwen
