variable,domain,cntry,country_name,survey_mean,survey_sd,silicon_mean,silicon_sd,model
ppltrst,social_trust,AT,Austria,6.071829184018286,2.0976862462724717,6.799551569506726,1.3212846823386368,qwen
ppltrst,social_trust,BE,Belgium,5.458173187943939,2.195522494698598,7.096587537091989,0.8762527871604212,qwen
ppltrst,social_trust,BG,Bulgaria,3.728913646176717,2.3711881162028385,6.227653213751869,1.2862227200400758,qwen
ppltrst,social_trust,CH,Switzerland,5.855593288087151,2.1151913454264175,7.320998531571219,0.9665050142885444,qwen
ppltrst,social_trust,CY,Cyprus,4.092466358118389,2.456123517842882,6.956101190476191,1.2939472673678918,qwen
ppltrst,social_trust,DE,Germany,5.213421360673227,2.329440069370058,6.816468842729969,1.2358483895566772,qwen
ppltrst,social_trust,EE,Estonia,5.597881429421257,1.9956320359719784,7.205530642750373,0.8583767724988859,qwen
ppltrst,social_trust,ES,Spain,5.30377052791885,2.170845887878443,6.905572289156627,1.1331221850132096,qwen
ppltrst,social_trust,FI,Finland,6.920840954305089,1.8140828898597425,7.332496307237815,0.9320755940791816,qwen
ppltrst,social_trust,FR,France,4.472588263453334,2.150595521187708,6.857807807807808,1.1339759047176883,qwen
ppltrst,social_trust,GB,United Kingdom,5.418093170478824,2.2752091003472237,6.838002980625932,1.1979964144129676,qwen
ppltrst,social_trust,GR,Greece,4.5659732232376244,1.9203750141942668,6.669597615499255,1.103481459011598,qwen
ppltrst,social_trust,HR,Croatia,4.710634171131117,2.3881561272203213,6.704626865671642,1.2469248611851402,qwen
ppltrst,social_trust,HU,Hungary,4.5774672280159825,2.4378724365986537,6.49103139013453,1.3722802106560068,qwen
ppltrst,social_trust,IE,Ireland,5.414850386746617,2.381842777024013,7.283682634730539,0.8735597619790931,qwen
ppltrst,social_trust,IL,Israel,5.174017172464776,2.389764509965967,6.86602658788774,0.9855003621455853,qwen
ppltrst,social_trust,IS,Iceland,6.354200470157306,2.061858353889841,7.386904761904762,0.9488441175037936,qwen
ppltrst,social_trust,IT,Italy,4.498938379325662,2.3475202051401065,6.759850746268658,1.2432117532784697,qwen
ppltrst,social_trust,LT,Lithuania,5.1342718600800605,2.4545179848769294,6.756342182890855,1.0761876258015899,qwen
ppltrst,social_trust,LV,Latvia,3.853969529445196,2.5315340747124133,6.744329896907216,1.0949304406073352,qwen
ppltrst,social_trust,ME,Montenegro,4.214523037104412,2.5013155012698616,7.032835820895523,0.895744474911944,qwen
ppltrst,social_trust,NL,Netherlands,6.1705777782591795,1.958424103278812,7.218074074074074,0.94943329676673,qwen
ppltrst,social_trust,NO,Norway,6.4876535997464035,1.9510974667031853,7.509763313609468,0.8434633734875971,qwen
ppltrst,social_trust,PL,Poland,4.5337215889785645,2.3334421200904445,6.66385911179173,1.2099200621558375,qwen
ppltrst,social_trust,PT,Portugal,4.15405019735004,2.4020558131627445,6.994477611940299,1.09221293661086,qwen
ppltrst,social_trust,RS,Serbia,4.4015442985461535,2.769641531820987,6.524849397590361,1.1769146878227452,qwen
ppltrst,social_trust,SE,Sweden,6.173553003500404,2.0369372146641576,7.383209509658246,0.8593327521729001,qwen
ppltrst,social_trust,SI,Slovenia,4.671985358795646,2.386686330953043,6.9676602086438155,1.0220612962659004,qwen
ppltrst,social_trust,SK,Slovakia,4.032077870148862,2.846323197813735,6.5912912912912915,1.2096662619903593,qwen
ppltrst,social_trust,UA,Ukraine,3.823509033700963,2.792401452672258,5.544494720965309,1.5903966926769655,qwen
pplfair,social_trust,AT,Austria,6.356658702906922,2.007590140567435,7.306451612903226,0.7127449089899418,qwen
pplfair,social_trust,BE,Belgium,5.898274055320637,2.038526524185433,7.302627737226278,0.6913788981509842,qwen
pplfair,social_trust,BG,Bulgaria,4.28774413732007,2.2021907496756565,6.969444444444445,0.9348400391577314,qwen
