variable,domain,cntry,country_name,survey_mean,survey_sd,silicon_mean,silicon_sd,model
ppltrst,social_trust,AT,Austria,6.071829184018286,2.0976862462724717,6.374183976261127,1.811179908649663,qwen
ppltrst,social_trust,BE,Belgium,5.458173187943939,2.195522494698598,6.8854411764705885,1.258318926518686,qwen
ppltrst,social_trust,BG,Bulgaria,3.728913646176717,2.3711881162028385,5.828293413173653,1.8493060631704226,qwen
ppltrst,social_trust,CH,Switzerland,5.855593288087151,2.1151913454264175,7.082474226804123,1.3450342646220315,qwen
ppltrst,social_trust,CY,Cyprus,4.092466358118389,2.456123517842882,6.179615952732645,1.9961644805362613,qwen
ppltrst,social_trust,DE,Germany,5.213421360673227,2.329440069370058,6.635311572700297,1.4688542525080712,qwen
ppltrst,social_trust,EE,Estonia,5.597881429421257,1.9956320359719784,7.083333333333333,1.261804667284333,qwen
ppltrst,social_trust,ES,Spain,5.30377052791885,2.170845887878443,6.504277286135693,1.613485266701996,qwen
ppltrst,social_trust,FI,Finland,6.920840954305089,1.8140828898597425,7.122928994082841,1.3625219539334734,qwen
ppltrst,social_trust,FR,France,4.472588263453334,2.150595521187708,6.536904761904762,1.4973024735585436,qwen
ppltrst,social_trust,GB,United Kingdom,5.418093170478824,2.2752091003472237,6.699113737075333,1.5362000052010327,qwen
ppltrst,social_trust,GR,Greece,4.5659732232376244,1.9203750141942668,6.343666169895679,1.668331269773651,qwen
ppltrst,social_trust,HR,Croatia,4.710634171131117,2.3881561272203213,6.044444444444444,1.9177705074095832,qwen
ppltrst,social_trust,HU,Hungary,4.5774672280159825,2.4378724365986537,5.974068554396423,1.916981766684478,qwen
ppltrst,social_trust,IE,Ireland,5.414850386746617,2.381842777024013,6.642750373692078,1.7245659608903587,qwen
ppltrst,social_trust,IL,Israel,5.174017172464776,2.389764509965967,6.671068249258159,1.317538471492993,qwen
ppltrst,social_trust,IS,Iceland,6.354200470157306,2.061858353889841,7.523031203566122,0.954386034523733,qwen
ppltrst,social_trust,IT,Italy,4.498938379325662,2.3475202051401065,6.243639053254437,1.7508443033889736,qwen
ppltrst,social_trust,LT,Lithuania,5.1342718600800605,2.4545179848769294,6.404579025110782,1.6126147521308902,qwen
ppltrst,social_trust,LV,Latvia,3.853969529445196,2.5315340747124133,6.183258594917788,1.7584324198683696,qwen
ppltrst,social_trust,ME,Montenegro,4.214523037104412,2.5013155012698616,6.687369985141159,1.4377472069394026,qwen
ppltrst,social_trust,NL,Netherlands,6.1705777782591795,1.958424103278812,7.141568047337278,1.0649026649103055,qwen
ppltrst,social_trust,NO,Norway,6.4876535997464035,1.9510974667031853,7.56165191740413,1.0095284227867678,qwen
ppltrst,social_trust,PL,Poland,4.5337215889785645,2.3334421200904445,6.282074074074074,1.6726163766585316,qwen
ppltrst,social_trust,PT,Portugal,4.15405019735004,2.4020558131627445,6.161607142857143,1.9852021351903697,qwen
ppltrst,social_trust,RS,Serbia,4.4015442985461535,2.769641531820987,5.976831091180867,1.7879297908463752,qwen
ppltrst,social_trust,SE,Sweden,6.173553003500404,2.0369372146641576,7.390532544378698,1.2972331857451664,qwen
ppltrst,social_trust,SI,Slovenia,4.671985358795646,2.386686330953043,6.434167893961708,1.7260998822862044,qwen
ppltrst,social_trust,SK,Slovakia,4.032077870148862,2.846323197813735,5.854776119402985,1.8840768204873237,qwen
ppltrst,social_trust,UA,Ukraine,3.823509033700963,2.792401452672258,5.656696428571429,1.7745887481734208,qwen
pplfair,social_trust,AT,Austria,6.356658702906922,2.007590140567435,7.306725146198831,0.6660443140647091,qwen
pplfair,social_trust,BE,Belgium,5.898274055320637,2.038526524185433,7.25985401459854,0.6457757307661683,qwen
pplfair,social_trust,BG,Bulgaria,4.28774413732007,2.2021907496756565,7.182017543859649,0.7884495746439235,qwen
pplfair,social_trust,CH,Switzerland,6.400660288273514,1.8848948256164268,7.481021897810219,0.6227336507787117,qwen
pplfair,social_trust,CY,Cyprus,4.423461465515083,2.2078122491415186,7.349120234604106,0.7499431913294393,qwen
pplfair,social_trust,DE,Germany,6.186403696050097,1.9898562079629318,7.272700729927007,0.5928416843016905,qwen
pplfair,social_trust,EE,Estonia,6.111731028208338,2.0677934266941755,7.332700729927007,0.6319323188666025,qwen
pplfair,social_trust,ES,Spain,5.541573467263106,2.1802436948843513,7.292408759124088,0.6633916547880775,qwen
pplfair,social_trust,FI,Finland,7.084249691343838,1.7336838763693212,7.446783625730995,0.657363877849498,qwen
pplfair,social_trust,FR,France,6.088517879920214,1.9971480895774854,7.3071742313323576,0.7429974623979032,qwen
pplfair,social_trust,GB,United Kingdom,5.981753215098941,2.1060601678344897,7.31566617862372,0.6439686016834548,qwen
pplfair,social_trust,GR,Greece,4.935914237527794,2.005204614994723,7.262573099415206,0.7086806161678949,qwen
pplfair,social_trust,HR,Croatia,5.182213320213709,2.439485398002121,7.230746705710103,0.7007686596447538,qwen
pplfair,social_trust,HU,Hungary,5.124484568640466,2.073835982532519,7.169794721407625,0.7832476641950208,qwen
pplfair,social_trust,IE,Ireland,6.168494894931351,2.106787750467679,7.447800586510263,0.6492531582928597,qwen
pplfair,social_trust,IL,Israel,5.314318458840991,2.3022335286898072,7.314055636896047,0.6740531165554539,qwen
pplfair,social_trust,IS,Iceland,6.576929478670769,1.9072991814569054,7.6181021897810215,0.6661352408727711,qwen
pplfair,social_trust,IT,Italy,4.588315451551168,2.2539241028190062,7.301610541727672,0.744351386060216,qwen
pplfair,social_trust,LT,Lithuania,5.4409183956236085,2.235114984941725,7.227046783625731,0.7570359423521884,qwen
pplfair,social_trust,LV,Latvia,5.663738367059401,2.247497646406504,7.214641288433382,0.708363927122759,qwen
pplfair,social_trust,ME,Montenegro,4.36938040692145,2.2653311034681702,7.294298245614035,0.6079605673690422,qwen
pplfair,social_trust,NL,Netherlands,6.542182923142853,1.634480715869356,7.370760233918129,0.6789614029123803,qwen
pplfair,social_trust,NO,Norway,6.757639034501647,1.8971193298633304,7.577046783625731,0.6131187041611724,qwen
pplfair,social_trust,PL,Poland,5.225422873831028,2.2838780429825127,7.143759177679882,0.6881304344820822,qwen
pplfair,social_trust,PT,Portugal,5.2347667924699675,2.2103944076408926,7.317474302496328,0.7143714388520097,qwen
