variable,domain,cntry,country_name,survey_mean,survey_sd,silicon_mean,silicon_sd,model
ppltrst,social_trust,AT,Austria,6.071829184018286,2.0976862462724717,6.286885245901639,1.531278165827555,qwen
ppltrst,social_trust,BE,Belgium,5.458173187943939,2.195522494698598,6.605457227138643,1.2305862038517141,qwen
ppltrst,social_trust,BG,Bulgaria,3.728913646176717,2.3711881162028385,5.760740740740741,1.6244650475910978,qwen
ppltrst,social_trust,CH,Switzerland,5.855593288087151,2.1151913454264175,6.745735294117647,1.2594079729563452,qwen
ppltrst,social_trust,CY,Cyprus,4.092466358118389,2.456123517842882,6.144560357675112,1.6850872005894293,qwen
ppltrst,social_trust,DE,Germany,5.213421360673227,2.329440069370058,6.443906020558003,1.3265375152592445,qwen
ppltrst,social_trust,EE,Estonia,5.597881429421257,1.9956320359719784,6.654005934718101,1.251895551743783,qwen
ppltrst,social_trust,ES,Spain,5.30377052791885,2.170845887878443,6.287425149700598,1.465400238145623,qwen
ppltrst,social_trust,FI,Finland,6.920840954305089,1.8140828898597425,6.991124260355029,1.361886896680963,qwen
ppltrst,social_trust,FR,France,4.472588263453334,2.150595521187708,6.319940476190476,1.3630818929265454,qwen
ppltrst,social_trust,GB,United Kingdom,5.418093170478824,2.2752091003472237,6.612166172106826,1.3338658010900382,qwen
ppltrst,social_trust,GR,Greece,4.5659732232376244,1.9203750141942668,6.169139465875371,1.4323362294276671,qwen
ppltrst,social_trust,HR,Croatia,4.710634171131117,2.3881561272203213,6.000739644970414,1.6321989848633378,qwen
ppltrst,social_trust,HU,Hungary,4.5774672280159825,2.4378724365986537,5.785714285714286,1.6752528813012921,qwen
ppltrst,social_trust,IE,Ireland,5.414850386746617,2.381842777024013,6.486470588235294,1.4479763591609163,qwen
ppltrst,social_trust,IL,Israel,5.174017172464776,2.389764509965967,6.377466863033874,1.3295735576263767,qwen
ppltrst,social_trust,IS,Iceland,6.354200470157306,2.061858353889841,7.379234167893962,0.9472029945746202,qwen
