variable,domain,cntry,country_name,survey_mean,survey_sd,silicon_mean,silicon_sd,model
ppltrst,social_trust,AT,Austria,6.071829184018286,2.0976862462724717,7.136904761904762,1.1257749521014753,qwen
ppltrst,social_trust,BE,Belgium,5.458173187943939,2.195522494698598,7.0517751479289945,1.237493206758749,qwen
ppltrst,social_trust,BG,Bulgaria,3.728913646176717,2.3711881162028385,6.91678939617084,1.262722045010397,qwen
ppltrst,social_trust,CH,Switzerland,5.855593288087151,2.1151913454264175,7.287205882352941,1.193439782415125,qwen
ppltrst,social_trust,CY,Cyprus,4.092466358118389,2.456123517842882,7.279049034175334,1.1980481344309586,qwen
ppltrst,social_trust,DE,Germany,5.213421360673227,2.329440069370058,7.013670133729569,1.3088152555533492,qwen
ppltrst,social_trust,EE,Estonia,5.597881429421257,1.9956320359719784,7.234904270986745,1.2365994197963739,qwen
ppltrst,social_trust,ES,Spain,5.30377052791885,2.170845887878443,7.266273932253314,1.1016196664240403,qwen
ppltrst,social_trust,FI,Finland,6.920840954305089,1.8140828898597425,7.2920236336779904,1.2673511301192686,qwen
ppltrst,social_trust,FR,France,4.472588263453334,2.150595521187708,6.865973254086182,1.4558741787268539,qwen
ppltrst,social_trust,GB,United Kingdom,5.418093170478824,2.2752091003472237,7.046805349182764,1.4261459633504796,qwen
ppltrst,social_trust,GR,Greece,4.5659732232376244,1.9203750141942668,7.282794117647059,0.9410525013380632,qwen
ppltrst,social_trust,HR,Croatia,4.710634171131117,2.3881561272203213,7.115259259259259,1.1249614761815738,qwen
ppltrst,social_trust,HU,Hungary,4.5774672280159825,2.4378724365986537,6.965578635014837,1.1532893871868573,qwen
ppltrst,social_trust,IE,Ireland,5.414850386746617,2.381842777024013,7.463072378138848,1.0445525141479615,qwen
ppltrst,social_trust,IL,Israel,5.174017172464776,2.389764509965967,6.444444444444445,1.6735269295050013,qwen
ppltrst,social_trust,IS,Iceland,6.354200470157306,2.061858353889841,7.244329896907216,1.5010004874345968,qwen
ppltrst,social_trust,IT,Italy,4.498938379325662,2.3475202051401065,7.276070901033973,1.1163605469136089,qwen
ppltrst,social_trust,LT,Lithuania,5.1342718600800605,2.4545179848769294,7.010279001468429,1.2095988925537409,qwen
ppltrst,social_trust,LV,Latvia,3.853969529445196,2.5315340747124133,6.799851411589897,1.365622778488527,qwen
ppltrst,social_trust,ME,Montenegro,4.214523037104412,2.5013155012698616,7.282058823529412,0.9898908150373082,qwen
ppltrst,social_trust,NL,Netherlands,6.1705777782591795,1.958424103278812,7.287243401759531,1.1713033627919271,qwen
ppltrst,social_trust,NO,Norway,6.4876535997464035,1.9510974667031853,7.44903988183161,1.1347730502730586,qwen
ppltrst,social_trust,PL,Poland,4.5337215889785645,2.3334421200904445,7.0016296296296305,1.1141311150641189,qwen
ppltrst,social_trust,PT,Portugal,4.15405019735004,2.4020558131627445,7.365430267062314,0.8913356467124908,qwen
ppltrst,social_trust,RS,Serbia,4.4015442985461535,2.769641531820987,7.021481481481482,1.0948615609128707,qwen
ppltrst,social_trust,SE,Sweden,6.173553003500404,2.0369372146641576,7.333333333333333,1.2324793775358702,qwen
ppltrst,social_trust,SI,Slovenia,4.671985358795646,2.386686330953043,7.145722713864307,1.1362449466701237,qwen
ppltrst,social_trust,SK,Slovakia,4.032077870148862,2.846323197813735,7.124815361890694,1.1796493699301844,qwen
ppltrst,social_trust,UA,Ukraine,3.823509033700963,2.792401452672258,6.16248153618907,1.5718149117794726,qwen
pplfair,social_trust,AT,Austria,6.356658702906922,2.007590140567435,7.766960352422908,0.5538722085695923,qwen
pplfair,social_trust,BE,Belgium,5.898274055320637,2.038526524185433,7.7332357247437775,0.6329602159442611,qwen
pplfair,social_trust,BG,Bulgaria,4.28774413732007,2.2021907496756565,7.64882697947214,0.7882619606608774,qwen
pplfair,social_trust,CH,Switzerland,6.400660288273514,1.8848948256164268,7.741605839416058,0.7206886667291337,qwen
pplfair,social_trust,CY,Cyprus,4.423461465515083,2.2078122491415186,7.7371888726207905,0.7871543859527687,qwen
pplfair,social_trust,DE,Germany,6.186403696050097,1.9898562079629318,7.644052863436124,0.6872776796652524,qwen
pplfair,social_trust,EE,Estonia,6.111731028208338,2.0677934266941755,7.719033674963398,0.7320807150520615,qwen
pplfair,social_trust,ES,Spain,5.541573467263106,2.1802436948843513,7.734306569343065,0.7144537393309067,qwen
pplfair,social_trust,FI,Finland,7.084249691343838,1.7336838763693212,7.687865497076023,0.8113482115522683,qwen
pplfair,social_trust,FR,France,6.088517879920214,1.9971480895774854,7.644574780058652,0.7872188696490933,qwen
pplfair,social_trust,GB,United Kingdom,5.981753215098941,2.1060601678344897,7.738304093567251,0.6738760858897008,qwen
pplfair,social_trust,GR,Greece,4.935914237527794,2.005204614994723,7.766129032258065,0.5505938332648774,qwen
pplfair,social_trust,HR,Croatia,5.182213320213709,2.439485398002121,7.75036496350365,0.6773404397238283,qwen
pplfair,social_trust,HU,Hungary,5.124484568640466,2.073835982532519,7.728404099560762,0.5905772320049607,qwen
pplfair,social_trust,IE,Ireland,6.168494894931351,2.106787750467679,7.87701317715959,0.5376841659277786,qwen
pplfair,social_trust,IL,Israel,5.314318458840991,2.3022335286898072,7.373900293255132,1.1060874312681217,qwen
pplfair,social_trust,IS,Iceland,6.576929478670769,1.9072991814569054,7.780701754385965,0.9208065590114137,qwen
pplfair,social_trust,IT,Italy,4.588315451551168,2.2539241028190062,7.818686131386862,0.5458787881411661,qwen
pplfair,social_trust,LT,Lithuania,5.4409183956236085,2.235114984941725,7.782672540381792,0.6489080601700707,qwen
pplfair,social_trust,LV,Latvia,5.663738367059401,2.247497646406504,7.565885797950219,0.8815767824202296,qwen
pplfair,social_trust,ME,Montenegro,4.36938040692145,2.2653311034681702,7.734356725146199,0.672425535628262,qwen
pplfair,social_trust,NL,Netherlands,6.542182923142853,1.634480715869356,7.698540145985401,0.7541295087734617,qwen
