variable,domain,cntry,country_name,survey_mean,survey_sd,silicon_mean,silicon_sd,model
ppltrst,social_trust,AT,Austria,6.071829184018286,2.0976862462724717,6.341581259150805,1.4656872579721738,qwen
ppltrst,social_trust,BE,Belgium,5.458173187943939,2.195522494698598,6.574596182085169,1.3779409798841986,qwen
ppltrst,social_trust,BG,Bulgaria,3.728913646176717,2.3711881162028385,6.266568483063328,1.6602018147595434,qwen
ppltrst,social_trust,CH,Switzerland,5.855593288087151,2.1151913454264175,6.665345080763584,1.366167968263366,qwen
ppltrst,social_trust,CY,Cyprus,4.092466358118389,2.456123517842882,6.657540263543193,1.4710444090628676,qwen
ppltrst,social_trust,DE,Germany,5.213421360673227,2.329440069370058,6.208823529411765,1.467792195959858,qwen
ppltrst,social_trust,EE,Estonia,5.597881429421257,1.9956320359719784,6.909197080291971,1.1080461033923295,qwen
ppltrst,social_trust,ES,Spain,5.30377052791885,2.170845887878443,6.5077712609970675,1.4691386251897898,qwen
ppltrst,social_trust,FI,Finland,6.920840954305089,1.8140828898597425,6.8263929618768335,1.2385895812525618,qwen
ppltrst,social_trust,FR,France,4.472588263453334,2.150595521187708,6.34306784660767,1.5146173151468891,qwen
ppltrst,social_trust,GB,United Kingdom,5.418093170478824,2.2752091003472237,6.314055636896047,1.474308360077705,qwen
ppltrst,social_trust,GR,Greece,4.5659732232376244,1.9203750141942668,6.483601756954612,1.4252932710914654,qwen
ppltrst,social_trust,HR,Croatia,4.710634171131117,2.3881561272203213,6.4888070692194395,1.4253990455742538,qwen
ppltrst,social_trust,HU,Hungary,4.5774672280159825,2.4378724365986537,6.368575624082232,1.6406990611767038,qwen
ppltrst,social_trust,IE,Ireland,5.414850386746617,2.381842777024013,6.695125553914329,1.219876020914521,qwen
ppltrst,social_trust,IL,Israel,5.174017172464776,2.389764509965967,6.617673048600883,1.5428529311899435,qwen
ppltrst,social_trust,IS,Iceland,6.354200470157306,2.061858353889841,6.807669616519175,1.2915474087317218,qwen
ppltrst,social_trust,IT,Italy,4.498938379325662,2.3475202051401065,6.462261380323053,1.410214896783206,qwen
ppltrst,social_trust,LT,Lithuania,5.1342718600800605,2.4545179848769294,6.382717872968981,1.4519767178648233,qwen
ppltrst,social_trust,LV,Latvia,3.853969529445196,2.5315340747124133,6.538518518518519,1.3761957404028131,qwen
ppltrst,social_trust,ME,Montenegro,4.214523037104412,2.5013155012698616,6.357879234167894,1.6200874671829626,qwen
ppltrst,social_trust,NL,Netherlands,6.1705777782591795,1.958424103278812,6.650807635829662,1.2811541532587702,qwen
ppltrst,social_trust,NO,Norway,6.4876535997464035,1.9510974667031853,6.788676470588236,1.3086451013215372,qwen
ppltrst,social_trust,PL,Poland,4.5337215889785645,2.3334421200904445,6.428064992614476,1.64149536978456,qwen
ppltrst,social_trust,PT,Portugal,4.15405019735004,2.4020558131627445,6.473274596182085,1.431347368971809,qwen
ppltrst,social_trust,RS,Serbia,4.4015442985461535,2.769641531820987,6.222008862629247,1.5901983743369323,qwen
ppltrst,social_trust,SE,Sweden,6.173553003500404,2.0369372146641576,6.611143695014662,1.497582637492919,qwen
ppltrst,social_trust,SI,Slovenia,4.671985358795646,2.386686330953043,6.455066079295154,1.5243827207924638,qwen
ppltrst,social_trust,SK,Slovakia,4.032077870148862,2.846323197813735,6.078414096916299,1.7656579706862945,qwen
ppltrst,social_trust,UA,Ukraine,3.823509033700963,2.792401452672258,5.678783382789318,1.7075162059035662,qwen
pplfair,social_trust,AT,Austria,6.356658702906922,2.007590140567435,7.062335766423358,0.9201197026545214,qwen
pplfair,social_trust,BE,Belgium,5.898274055320637,2.038526524185433,7.075474452554745,0.9251268055985715,qwen
pplfair,social_trust,BG,Bulgaria,4.28774413732007,2.2021907496756565,6.924853801169591,1.1048392722656244,qwen
pplfair,social_trust,CH,Switzerland,6.400660288273514,1.8848948256164268,7.169489051094891,0.9649200199924786,qwen
pplfair,social_trust,CY,Cyprus,4.423461465515083,2.2078122491415186,7.108613138686131,1.0815702133635658,qwen
pplfair,social_trust,DE,Germany,6.186403696050097,1.9898562079629318,7.002485380116958,0.9443565712204911,qwen
pplfair,social_trust,EE,Estonia,6.111731028208338,2.0677934266941755,7.139854014598541,0.8358225851589459,qwen
pplfair,social_trust,ES,Spain,5.541573467263106,2.1802436948843513,7.050364963503649,1.0502801135408135,qwen
