variable,domain,cntry,country_name,survey_mean,survey_sd,silicon_mean,silicon_sd,model
ppltrst,social_trust,AT,Austria,6.071829184018286,2.0976862462724717,6.74813153961136,1.2270712444511336,qwen
ppltrst,social_trust,BE,Belgium,5.458173187943939,2.195522494698598,6.988438438438439,0.9283350574610668,qwen
ppltrst,social_trust,BG,Bulgaria,3.728913646176717,2.3711881162028385,6.248108925869894,1.4194589964710613,qwen
ppltrst,social_trust,CH,Switzerland,5.855593288087151,2.1151913454264175,7.422026431718061,0.8130639251369848,qwen
ppltrst,social_trust,CY,Cyprus,4.092466358118389,2.456123517842882,7.181791044776119,1.0937366532151835,qwen
ppltrst,social_trust,DE,Germany,5.213421360673227,2.329440069370058,6.948125937031484,1.0281511712597993,qwen
ppltrst,social_trust,EE,Estonia,5.597881429421257,1.9956320359719784,7.186814814814816,0.985858955979928,qwen
ppltrst,social_trust,ES,Spain,5.30377052791885,2.170845887878443,6.86951951951952,0.995245272407759,qwen
ppltrst,social_trust,FI,Finland,6.920840954305089,1.8140828898597425,7.370789865871833,0.939742328427024,qwen
ppltrst,social_trust,FR,France,4.472588263453334,2.150595521187708,6.718918918918919,1.2209460288833605,qwen
ppltrst,social_trust,GB,United Kingdom,5.418093170478824,2.2752091003472237,6.937687687687688,1.202856274290515,qwen
ppltrst,social_trust,GR,Greece,4.5659732232376244,1.9203750141942668,6.769578313253012,1.0001851125255834,qwen
ppltrst,social_trust,HR,Croatia,4.710634171131117,2.3881561272203213,6.864661654135339,1.1550175694122033,qwen
ppltrst,social_trust,HU,Hungary,4.5774672280159825,2.4378724365986537,6.374068554396423,1.4179598508338882,qwen
ppltrst,social_trust,IE,Ireland,5.414850386746617,2.381842777024013,7.1431818181818185,1.092267843180906,qwen
ppltrst,social_trust,IL,Israel,5.174017172464776,2.389764509965967,6.979191616766467,0.9646998612513799,qwen
ppltrst,social_trust,IS,Iceland,6.354200470157306,2.061858353889841,7.541867469879518,0.842387689912825,qwen
ppltrst,social_trust,IT,Italy,4.498938379325662,2.3475202051401065,6.891304347826087,1.2540442475450728,qwen
ppltrst,social_trust,LT,Lithuania,5.1342718600800605,2.4545179848769294,6.761619190404797,1.1896686464725983,qwen
