variable,domain,cntry,country_name,survey_mean,survey_sd,silicon_mean,silicon_sd,model
ppltrst,social_trust,AT,Austria,6.071829184018286,2.0976862462724717,6.508592592592593,1.7216073862895254,qwen
ppltrst,social_trust,BE,Belgium,5.458173187943939,2.195522494698598,7.040648011782033,1.5295795954292197,qwen
ppltrst,social_trust,BG,Bulgaria,3.728913646176717,2.3711881162028385,6.774446085672083,1.5567413608620193,qwen
ppltrst,social_trust,CH,Switzerland,5.855593288087151,2.1151913454264175,7.015657311669129,1.5744417778936082,qwen
ppltrst,social_trust,CY,Cyprus,4.092466358118389,2.456123517842882,6.413333333333333,1.92136975126295,qwen
ppltrst,social_trust,DE,Germany,5.213421360673227,2.329440069370058,6.876592592592592,1.556659934848983,qwen
ppltrst,social_trust,EE,Estonia,5.597881429421257,1.9956320359719784,7.402058823529411,1.1319415968004254,qwen
ppltrst,social_trust,ES,Spain,5.30377052791885,2.170845887878443,6.426190476190476,1.8134121313975,qwen
ppltrst,social_trust,FI,Finland,6.920840954305089,1.8140828898597425,7.204698972099853,1.552173506110857,qwen
ppltrst,social_trust,FR,France,4.472588263453334,2.150595521187708,6.948826979472141,1.5755772135706398,qwen
ppltrst,social_trust,GB,United Kingdom,5.418093170478824,2.2752091003472237,6.192995529061103,2.0079160798106255,qwen
ppltrst,social_trust,GR,Greece,4.5659732232376244,1.9203750141942668,6.6906804733727805,1.4987853289233666,qwen
ppltrst,social_trust,HR,Croatia,4.710634171131117,2.3881561272203213,6.645333333333334,1.6961174025766736,qwen
ppltrst,social_trust,HU,Hungary,4.5774672280159825,2.4378724365986537,6.408160237388724,1.7710924251563789,qwen
ppltrst,social_trust,IE,Ireland,5.414850386746617,2.381842777024013,6.543823529411765,1.8114079906054712,qwen
ppltrst,social_trust,IL,Israel,5.174017172464776,2.389764509965967,6.739821693907874,1.5452080200744764,qwen
ppltrst,social_trust,IS,Iceland,6.354200470157306,2.061858353889841,7.270147058823529,1.5047220643229307,qwen
ppltrst,social_trust,IT,Italy,4.498938379325662,2.3475202051401065,6.360475482912333,1.826201760161692,qwen
ppltrst,social_trust,LT,Lithuania,5.1342718600800605,2.4545179848769294,6.863165680473373,1.5751744526283487,qwen
ppltrst,social_trust,LV,Latvia,3.853969529445196,2.5315340747124133,6.720527859237536,1.6666164206687435,qwen
ppltrst,social_trust,ME,Montenegro,4.214523037104412,2.5013155012698616,6.824112426035503,1.5179015570751915,qwen
ppltrst,social_trust,NL,Netherlands,6.1705777782591795,1.958424103278812,7.122666666666666,1.5140211163166843,qwen
ppltrst,social_trust,NO,Norway,6.4876535997464035,1.9510974667031853,7.420790629575402,1.3420695561841816,qwen
ppltrst,social_trust,PL,Poland,4.5337215889785645,2.3334421200904445,6.670728083209509,1.590687811342506,qwen
ppltrst,social_trust,PT,Portugal,4.15405019735004,2.4020558131627445,6.159204712812961,1.9749985887545531,qwen
ppltrst,social_trust,RS,Serbia,4.4015442985461535,2.769641531820987,6.633580980683506,1.6167193182254742,qwen
ppltrst,social_trust,SE,Sweden,6.173553003500404,2.0369372146641576,7.504258443465493,1.2285558538584749,qwen
ppltrst,social_trust,SI,Slovenia,4.671985358795646,2.386686330953043,6.821879588839941,1.6402133981168987,qwen
ppltrst,social_trust,SK,Slovakia,4.032077870148862,2.846323197813735,6.544395280235989,1.6975495859756877,qwen
ppltrst,social_trust,UA,Ukraine,3.823509033700963,2.792401452672258,4.710606060606061,1.8980965457742283,qwen
pplfair,social_trust,AT,Austria,6.356658702906922,2.007590140567435,7.148023426061494,0.8623476376327397,qwen
pplfair,social_trust,BE,Belgium,5.898274055320637,2.038526524185433,7.349051094890512,0.8090062158766247,qwen
pplfair,social_trust,BG,Bulgaria,4.28774413732007,2.2021907496756565,7.150292397660819,0.8662282062486948,qwen
pplfair,social_trust,CH,Switzerland,6.400660288273514,1.8848948256164268,7.325255474452555,0.8838818888343136,qwen
pplfair,social_trust,CY,Cyprus,4.423461465515083,2.2078122491415186,7.150584795321637,1.0072866050229545,qwen
pplfair,social_trust,DE,Germany,6.186403696050097,1.9898562079629318,7.294436310395315,0.7870085702875255,qwen
pplfair,social_trust,EE,Estonia,6.111731028208338,2.0677934266941755,7.415766423357663,0.8750352729964204,qwen
pplfair,social_trust,ES,Spain,5.541573467263106,2.1802436948843513,7.174160583941606,0.9175933452649448,qwen
pplfair,social_trust,FI,Finland,7.084249691343838,1.7336838763693212,7.398394160583941,0.9298086906108385,qwen
pplfair,social_trust,FR,France,6.088517879920214,1.9971480895774854,7.280234260614933,0.8589558915531538,qwen
pplfair,social_trust,GB,United Kingdom,5.981753215098941,2.1060601678344897,7.0886131386861315,1.0263567418412707,qwen
pplfair,social_trust,GR,Greece,4.935914237527794,2.005204614994723,7.089912280701754,0.815049149895275,qwen
pplfair,social_trust,HR,Croatia,5.182213320213709,2.439485398002121,7.08,0.909305370769326,qwen
pplfair,social_trust,HU,Hungary,5.124484568640466,2.073835982532519,6.981286549707602,0.990452569579194,qwen
pplfair,social_trust,IE,Ireland,6.168494894931351,2.106787750467679,7.19021897810219,0.8621376831614683,qwen
pplfair,social_trust,IL,Israel,5.314318458840991,2.3022335286898072,7.118035190615836,0.9154796750723205,qwen
pplfair,social_trust,IS,Iceland,6.576929478670769,1.9072991814569054,7.462865497076024,0.8416646543454365,qwen
pplfair,social_trust,IT,Italy,4.588315451551168,2.2539241028190062,7.071847507331379,0.978085480546132,qwen
pplfair,social_trust,LT,Lithuania,5.4409183956236085,2.235114984941725,7.273245614035087,0.8277758613464639,qwen
pplfair,social_trust,LV,Latvia,5.663738367059401,2.247497646406504,7.153430656934307,0.8165005541374307,qwen
pplfair,social_trust,ME,Montenegro,4.36938040692145,2.2653311034681702,7.2700729927007295,0.8420912567666023,qwen
pplfair,social_trust,NL,Netherlands,6.542182923142853,1.634480715869356,7.413576642335767,0.9100830060034057,qwen
pplfair,social_trust,NO,Norway,6.757639034501647,1.8971193298633304,7.496925329428989,0.8231114910352029,qwen
pplfair,social_trust,PL,Poland,5.225422873831028,2.2838780429825127,7.181605839416058,0.8670615105768138,qwen
pplfair,social_trust,PT,Portugal,5.2347667924699675,2.2103944076408926,6.9638888888888895,1.0446111142539003,qwen
