variable,domain,cntry,country_name,survey_mean,survey_sd,silicon_mean,silicon_sd,model
ppltrst,social_trust,AT,Austria,6.071829184018286,2.0976862462724717,6.473568281938326,1.4542150849669475,qwen
ppltrst,social_trust,BE,Belgium,5.458173187943939,2.195522494698598,6.635798816568047,1.31248910747596,qwen
ppltrst,social_trust,BG,Bulgaria,3.728913646176717,2.3711881162028385,6.001917404129793,1.5527587815370805,qwen
ppltrst,social_trust,CH,Switzerland,5.855593288087151,2.1151913454264175,6.753010279001469,1.268333974926561,qwen
ppltrst,social_trust,CY,Cyprus,4.092466358118389,2.456123517842882,6.447214076246334,1.4554569485700273,qwen
ppltrst,social_trust,DE,Germany,5.213421360673227,2.329440069370058,6.292341678939617,1.4503687745529952,qwen
ppltrst,social_trust,EE,Estonia,5.597881429421257,1.9956320359719784,6.652366863905326,1.2653830999566607,qwen
ppltrst,social_trust,ES,Spain,5.30377052791885,2.170845887878443,6.415565345080764,1.382344027656383,qwen
ppltrst,social_trust,FI,Finland,6.920840954305089,1.8140828898597425,7.168768328445748,1.0194184842853473,qwen
ppltrst,social_trust,FR,France,4.472588263453334,2.150595521187708,6.310914454277286,1.4670176103868529,qwen
ppltrst,social_trust,GB,United Kingdom,5.418093170478824,2.2752091003472237,6.260798816568047,1.5286455726795116,qwen
ppltrst,social_trust,GR,Greece,4.5659732232376244,1.9203750141942668,6.139380530973451,1.4019286882740938,qwen
ppltrst,social_trust,HR,Croatia,4.710634171131117,2.3881561272203213,6.255970149253732,1.4374611813322293,qwen
ppltrst,social_trust,HU,Hungary,4.5774672280159825,2.4378724365986537,6.189169139465875,1.4315127415256297,qwen
ppltrst,social_trust,IE,Ireland,5.414850386746617,2.381842777024013,6.557206537890044,1.3169835824283322,qwen
ppltrst,social_trust,IL,Israel,5.174017172464776,2.389764509965967,6.3240058910162,1.426011364942298,qwen
ppltrst,social_trust,IS,Iceland,6.354200470157306,2.061858353889841,7.369436201780416,0.8307879374207705,qwen
ppltrst,social_trust,IT,Italy,4.498938379325662,2.3475202051401065,6.293685756240822,1.4393436253007397,qwen
ppltrst,social_trust,LT,Lithuania,5.1342718600800605,2.4545179848769294,6.332106038291605,1.361263559497136,qwen
ppltrst,social_trust,LV,Latvia,3.853969529445196,2.5315340747124133,6.548219584569733,1.2747886014774705,qwen
ppltrst,social_trust,ME,Montenegro,4.214523037104412,2.5013155012698616,6.568483063328424,1.2798446264217282,qwen
ppltrst,social_trust,NL,Netherlands,6.1705777782591795,1.958424103278812,6.714749262536873,1.2269815657700343,qwen
ppltrst,social_trust,NO,Norway,6.4876535997464035,1.9510974667031853,7.121861152141802,1.0093471841191233,qwen
ppltrst,social_trust,PL,Poland,4.5337215889785645,2.3334421200904445,5.986686390532545,1.4691293352614054,qwen
ppltrst,social_trust,PT,Portugal,4.15405019735004,2.4020558131627445,6.293685756240822,1.4947274238783055,qwen
ppltrst,social_trust,RS,Serbia,4.4015442985461535,2.769641531820987,6.143805309734513,1.441743662798086,qwen
ppltrst,social_trust,SE,Sweden,6.173553003500404,2.0369372146641576,7.206774668630338,1.0417457809656516,qwen
ppltrst,social_trust,SI,Slovenia,4.671985358795646,2.386686330953043,6.570190895741557,1.2969902235467365,qwen
ppltrst,social_trust,SK,Slovakia,4.032077870148862,2.846323197813735,6.352154531946508,1.3404975177641922,qwen
ppltrst,social_trust,UA,Ukraine,3.823509033700963,2.792401452672258,6.035820895522388,1.576708411472889,qwen
pplfair,social_trust,AT,Austria,6.356658702906922,2.007590140567435,7.201023391812866,0.7489468287582726,qwen
pplfair,social_trust,BE,Belgium,5.898274055320637,2.038526524185433,7.268713450292398,0.7044623172477331,qwen
pplfair,social_trust,BG,Bulgaria,4.28774413732007,2.2021907496756565,7.062773722627737,0.7815496021335049,qwen
pplfair,social_trust,CH,Switzerland,6.400660288273514,1.8848948256164268,7.288450292397661,0.7084294357669753,qwen
pplfair,social_trust,CY,Cyprus,4.423461465515083,2.2078122491415186,7.274160583941606,0.7389068921235805,qwen
pplfair,social_trust,DE,Germany,6.186403696050097,1.9898562079629318,7.172287390029325,0.7301019095598626,qwen
pplfair,social_trust,EE,Estonia,6.111731028208338,2.0677934266941755,7.1919472913616405,0.7265046173938323,qwen
pplfair,social_trust,ES,Spain,5.541573467263106,2.1802436948843513,7.184604105571847,0.7053689041262237,qwen
pplfair,social_trust,FI,Finland,7.084249691343838,1.7336838763693212,7.513177159590044,0.6686106371506378,qwen
pplfair,social_trust,FR,France,6.088517879920214,1.9971480895774854,7.146559297218156,0.7728526341155405,qwen
pplfair,social_trust,GB,United Kingdom,5.981753215098941,2.1060601678344897,7.233284457478006,0.7445489058148871,qwen
pplfair,social_trust,GR,Greece,4.935914237527794,2.005204614994723,7.102919708029197,0.8258383659661671,qwen
pplfair,social_trust,HR,Croatia,5.182213320213709,2.439485398002121,7.128362573099415,0.7810622399447142,qwen
pplfair,social_trust,HU,Hungary,5.124484568640466,2.073835982532519,7.032106038291605,0.8481631100830006,qwen
pplfair,social_trust,IE,Ireland,6.168494894931351,2.106787750467679,7.40483870967742,0.6439074370255217,qwen
pplfair,social_trust,IL,Israel,5.314318458840991,2.3022335286898072,7.203362573099415,0.7627321105393656,qwen
pplfair,social_trust,IS,Iceland,6.576929478670769,1.9072991814569054,7.686111111111112,0.5782769067680747,qwen
pplfair,social_trust,IT,Italy,4.588315451551168,2.2539241028190062,7.202335766423358,0.7702777872639364,qwen
pplfair,social_trust,LT,Lithuania,5.4409183956236085,2.235114984941725,7.037664233576643,0.8006469083756006,qwen
pplfair,social_trust,LV,Latvia,5.663738367059401,2.247497646406504,7.17584187408492,0.7225031744771926,qwen
pplfair,social_trust,ME,Montenegro,4.36938040692145,2.2653311034681702,7.1381578947368425,0.6884256222749404,qwen
pplfair,social_trust,NL,Netherlands,6.542182923142853,1.634480715869356,7.244590643274854,0.7495923590876002,qwen
pplfair,social_trust,NO,Norway,6.757639034501647,1.8971193298633304,7.571994134897361,0.6141922670749878,qwen
pplfair,social_trust,PL,Poland,5.225422873831028,2.2838780429825127,6.998676470588236,0.8046521662954136,qwen
pplfair,social_trust,PT,Portugal,5.2347667924699675,2.2103944076408926,7.233528550512445,0.736563109556558,qwen
pplfair,social_trust,RS,Serbia,4.739201854594089,2.8499587721633626,7.030453879941435,0.8215450711646107,qwen
pplfair,social_trust,SE,Sweden,6.592569867878159,1.8020303379041651,7.571114369501466,0.6879505765031251,qwen
pplfair,social_trust,SI,Slovenia,5.418600199352892,2.258280124051613,7.181231671554253,0.6784708614468599,qwen
pplfair,social_trust,SK,Slovakia,4.8643116719235655,2.5431197557800247,7.072474377745242,0.8182867072973903,qwen
pplfair,social_trust,UA,Ukraine,4.693212458739193,2.43492351369049,6.986988304093567,1.0369556437879346,qwen
pplhlp,social_trust,AT,Austria,6.318627057316925,2.061005753294836,6.978832116788321,1.1462136151689104,qwen
pplhlp,social_trust,BE,Belgium,5.060544624005849,2.1956473479694956,7.090455212922173,1.114877966735264,qwen
pplhlp,social_trust,BG,Bulgaria,3.550500715225844,2.3080899941553548,6.877481481481482,1.1891308688791338,qwen
pplhlp,social_trust,CH,Switzerland,5.8985149650676005,1.884854676878496,7.029221732745961,1.1901485865702772,qwen
pplhlp,social_trust,CY,Cyprus,4.108040391083219,2.1954327810505894,7.019033674963397,1.1974756943060585,qwen
pplhlp,social_trust,DE,Germany,5.359509661907016,2.0965802980361574,6.888693098384728,1.2155989427012575,qwen
pplhlp,social_trust,EE,Estonia,5.026836971472983,2.0167271854085875,7.040588235294118,1.0733481432788894,qwen
pplhlp,social_trust,ES,Spain,4.799287732107402,2.2984435948613826,6.936229749631811,1.2008777199072773,qwen
pplhlp,social_trust,FI,Finland,6.367163416606128,1.957104421735069,7.125806451612903,1.115401329992051,qwen
pplhlp,social_trust,FR,France,4.606344443975376,2.24002307315973,6.882865583456425,1.2257839182147832,qwen
pplhlp,social_trust,GB,United Kingdom,5.990719000699621,1.942504544742161,6.920029455081001,1.222977892435021,qwen
pplhlp,social_trust,GR,Greece,4.337120313457906,1.9778120001939348,7.007624633431085,1.1423758327191842,qwen
pplhlp,social_trust,HR,Croatia,4.343355311541862,2.4112502202938684,6.966666666666666,1.119827130219472,qwen
pplhlp,social_trust,HU,Hungary,4.605214910806596,2.2470109750370364,6.779763663220088,1.2652810117664997,qwen
pplhlp,social_trust,IE,Ireland,5.939084968682108,2.240485078040839,7.0819117647058825,0.982053628608817,qwen
pplhlp,social_trust,IL,Israel,5.100096960518647,2.336648940608769,7.064117647058824,1.0827231192020164,qwen
pplhlp,social_trust,IS,Iceland,6.299077774742755,1.791363854697011,7.399113737075332,0.877580276880802,qwen
pplhlp,social_trust,IT,Italy,4.184164039738798,2.273457502775936,6.864940828402367,1.3700387113390662,qwen
pplhlp,social_trust,LT,Lithuania,5.032521343524122,2.3988190229998003,6.806351550960118,1.2322003028275361,qwen
pplhlp,social_trust,LV,Latvia,4.838484340024971,2.2962432351850475,6.910995542347697,1.1570813504106765,qwen
pplhlp,social_trust,ME,Montenegro,4.194717188555699,2.2559179621884984,7.067547723935389,0.9874899885560806,qwen
pplhlp,social_trust,NL,Netherlands,5.65817291172352,1.7643307067812635,7.05014705882353,1.127981230908329,qwen
pplhlp,social_trust,NO,Norway,6.003298800640809,1.9932155036957901,7.360735294117648,0.9248664532445611,qwen
pplhlp,social_trust,PL,Poland,4.546993964205541,2.4182053882140755,6.853687315634217,1.2049416846403485,qwen
pplhlp,social_trust,PT,Portugal,4.213744814045952,2.1791089434587874,6.872754050073638,1.2204537274212184,qwen
pplhlp,social_trust,RS,Serbia,3.72835672703553,2.720929475579113,6.9251479289940825,1.1258132765428506,qwen
