variable,domain,cntry,country_name,survey_mean,survey_sd,silicon_mean,silicon_sd,model
ppltrst,social_trust,AT,Austria,6.071829184018286,2.0976862462724717,6.270863836017569,1.7154166368641832,qwen
ppltrst,social_trust,BE,Belgium,5.458173187943939,2.195522494698598,6.3934306569343065,1.7791927821560884,qwen
ppltrst,social_trust,BG,Bulgaria,3.728913646176717,2.3711881162028385,6.035441176470589,1.9515395031794502,qwen
ppltrst,social_trust,CH,Switzerland,5.855593288087151,2.1151913454264175,6.649779735682819,1.6939435658703212,qwen
ppltrst,social_trust,CY,Cyprus,4.092466358118389,2.456123517842882,6.1320588235294125,2.0434100111595344,qwen
ppltrst,social_trust,DE,Germany,5.213421360673227,2.329440069370058,6.21776798825257,1.7373471186833305,qwen
ppltrst,social_trust,EE,Estonia,5.597881429421257,1.9956320359719784,6.986090775988287,1.496877425488892,qwen
ppltrst,social_trust,ES,Spain,5.30377052791885,2.170845887878443,6.036549707602339,1.9145685809374007,qwen
ppltrst,social_trust,FI,Finland,6.920840954305089,1.8140828898597425,6.896637426900585,1.5831665111950954,qwen
ppltrst,social_trust,FR,France,4.472588263453334,2.150595521187708,6.430600292825769,1.8012257368939577,qwen
ppltrst,social_trust,GB,United Kingdom,5.418093170478824,2.2752091003472237,5.888304093567252,1.9039707420933476,qwen
ppltrst,social_trust,GR,Greece,4.5659732232376244,1.9203750141942668,6.363049853372434,1.653407843892488,qwen
ppltrst,social_trust,HR,Croatia,4.710634171131117,2.3881561272203213,6.324188790560473,1.8780325761858803,qwen
ppltrst,social_trust,HU,Hungary,4.5774672280159825,2.4378724365986537,6.177891654465593,1.9274358713320154,qwen
ppltrst,social_trust,IE,Ireland,5.414850386746617,2.381842777024013,6.109677419354839,1.8557906868687557,qwen
ppltrst,social_trust,IL,Israel,5.174017172464776,2.389764509965967,6.37701317715959,1.9703331613430957,qwen
ppltrst,social_trust,IS,Iceland,6.354200470157306,2.061858353889841,6.553362573099415,1.8159462303951868,qwen
ppltrst,social_trust,IT,Italy,4.498938379325662,2.3475202051401065,6.169603524229075,1.8323726153267317,qwen
ppltrst,social_trust,LT,Lithuania,5.1342718600800605,2.4545179848769294,6.507017543859649,1.761681911229592,qwen
ppltrst,social_trust,LV,Latvia,3.853969529445196,2.5315340747124133,6.58438880706922,1.77708891638761,qwen
ppltrst,social_trust,ME,Montenegro,4.214523037104412,2.5013155012698616,5.975806451612903,2.0596290124190464,qwen
ppltrst,social_trust,NL,Netherlands,6.1705777782591795,1.958424103278812,6.765255474452554,1.562776562795264,qwen
ppltrst,social_trust,NO,Norway,6.4876535997464035,1.9510974667031853,6.77891654465593,1.6605728078617161,qwen
