variable,domain,cntry,country_name,survey_mean,survey_sd,silicon_mean,silicon_sd,model
sclmeet,social_trust,AT,Austria,4.97855907049627,1.1862131472556947,3.7883211678832116,0.7130842421947566,qwen
sclmeet,social_trust,BE,Belgium,5.115008561601236,1.4064923799551072,3.867883211678832,0.6996170952083709,qwen
sclmeet,social_trust,BG,Bulgaria,4.99618382149749,1.6848498871293636,3.90978102189781,0.7539995377025633,qwen
sclmeet,social_trust,CH,Switzerland,5.120404033218849,1.3015620048223844,3.8427007299270075,0.6792814224971553,qwen
sclmeet,social_trust,CY,Cyprus,4.063565729120625,1.6808260299062987,3.8291970802919706,0.7732895276406595,qwen
sclmeet,social_trust,DE,Germany,4.750274005473209,1.4910419350395807,3.8272992700729924,0.6996861280962655,qwen
sclmeet,social_trust,EE,Estonia,4.268464111365069,1.5064569734447395,3.8664233576642335,0.7009055725815312,qwen
sclmeet,social_trust,ES,Spain,5.250413100298126,1.4669300296384136,3.907591240875912,0.7319369935289955,qwen
sclmeet,social_trust,FI,Finland,4.91015506669888,1.3723429550400144,3.87985401459854,0.6720201557752685,qwen
sclmeet,social_trust,FR,France,5.227998279869101,1.4417715646805522,3.856934306569343,0.7050149951163326,qwen
sclmeet,social_trust,GB,United Kingdom,4.825888880970069,1.545839796639787,3.832408759124087,0.7186941186488696,qwen
sclmeet,social_trust,GR,Greece,4.23068100764633,1.5663897051020776,3.8762043795620436,0.7360219169708828,qwen
sclmeet,social_trust,HR,Croatia,5.355922756611965,1.5433309288591155,3.9007299270072995,0.7678191519188338,qwen
sclmeet,social_trust,HU,Hungary,3.4073398053512745,1.5184246921707605,3.8131386861313867,0.7345700813552426,qwen
sclmeet,social_trust,IE,Ireland,4.3086014206280145,1.5764076371688671,3.8036496350364963,0.6864827678210265,qwen
sclmeet,social_trust,IL,Israel,5.37946729389215,1.566948729077005,3.9386861313868615,0.7398680314583453,qwen
sclmeet,social_trust,IS,Iceland,5.278807458651748,1.4394663497959697,3.870802919708029,0.7273038193255263,qwen
sclmeet,social_trust,IT,Italy,4.706546679320957,1.5752412935391051,3.8508029197080296,0.7667163012100175,qwen
sclmeet,social_trust,LT,Lithuania,4.364283230788744,1.5622693395152705,3.7576023391812865,0.751524042390045,qwen
sclmeet,social_trust,LV,Latvia,4.3429616960030435,1.6424937139788904,3.7635036496350365,0.7331813949866001,qwen
sclmeet,social_trust,ME,Montenegro,4.834985214387212,1.6015829359800529,3.805109489051095,0.7796123988114777,qwen
sclmeet,social_trust,NL,Netherlands,5.398005102386256,1.2576971589608217,3.868759124087591,0.6383589217255446,qwen
sclmeet,social_trust,NO,Norway,5.688076208039842,1.3525075883274424,3.867883211678832,0.6832300207063127,qwen
sclmeet,social_trust,PL,Poland,3.896722824683607,1.4430229733040592,3.8518248175182483,0.6995301461742603,qwen
sclmeet,social_trust,PT,Portugal,5.685409759425016,1.576563523208556,3.7846715328467155,0.7803218063618099,qwen
sclmeet,social_trust,RS,Serbia,5.185660516605247,1.5942757921749648,3.80036496350365,0.7739947345189416,qwen
sclmeet,social_trust,SE,Sweden,5.514484949240079,1.3608053671737674,3.8911678832116787,0.7187841684666886,qwen
