variable,domain,cntry,country_name,survey_mean,survey_sd,silicon_mean,silicon_sd,model
ppltrst,social_trust,AT,Austria,6.071829184018286,2.0976862462724717,6.761967694566813,1.5584140520985923,qwen
ppltrst,social_trust,BE,Belgium,5.458173187943939,2.195522494698598,6.961313868613138,1.5259570946954049,qwen
ppltrst,social_trust,BG,Bulgaria,3.728913646176717,2.3711881162028385,6.474231332357247,1.6271912685399765,qwen
ppltrst,social_trust,CH,Switzerland,5.855593288087151,2.1151913454264175,7.193088235294118,1.3777302601271155,qwen
ppltrst,social_trust,CY,Cyprus,4.092466358118389,2.456123517842882,6.587518355359766,1.8305672160243593,qwen
ppltrst,social_trust,DE,Germany,5.213421360673227,2.329440069370058,6.9184750733137825,1.5026590303988223,qwen
ppltrst,social_trust,EE,Estonia,5.597881429421257,1.9956320359719784,7.3590909090909085,1.1892374908479098,qwen
ppltrst,social_trust,ES,Spain,5.30377052791885,2.170845887878443,6.516568914956012,1.7521971821518734,qwen
ppltrst,social_trust,FI,Finland,6.920840954305089,1.8140828898597425,7.268128654970759,1.486072582305613,qwen
ppltrst,social_trust,FR,France,4.472588263453334,2.150595521187708,6.892625368731563,1.593906012420685,qwen
ppltrst,social_trust,GB,United Kingdom,5.418093170478824,2.2752091003472237,6.317888563049854,1.854716478378847,qwen
ppltrst,social_trust,GR,Greece,4.5659732232376244,1.9203750141942668,6.701617647058824,1.4116015307349479,qwen
ppltrst,social_trust,HR,Croatia,4.710634171131117,2.3881561272203213,6.853382352941177,1.6211835076635306,qwen
ppltrst,social_trust,HU,Hungary,4.5774672280159825,2.4378724365986537,6.614766081871345,1.7140966069620118,qwen
ppltrst,social_trust,IE,Ireland,5.414850386746617,2.381842777024013,6.667155425219941,1.7089830388867338,qwen
ppltrst,social_trust,IL,Israel,5.174017172464776,2.389764509965967,6.691911764705883,1.4577028727596264,qwen
ppltrst,social_trust,IS,Iceland,6.354200470157306,2.061858353889841,7.2123167155425225,1.4453817992671114,qwen
ppltrst,social_trust,IT,Italy,4.498938379325662,2.3475202051401065,6.605441176470588,1.6150752740552352,qwen
ppltrst,social_trust,LT,Lithuania,5.1342718600800605,2.4545179848769294,6.750441176470589,1.6389226802271586,qwen
ppltrst,social_trust,LV,Latvia,3.853969529445196,2.5315340747124133,6.850439882697947,1.537225253574728,qwen
ppltrst,social_trust,ME,Montenegro,4.214523037104412,2.5013155012698616,6.973391812865497,1.5341193891408356,qwen
ppltrst,social_trust,NL,Netherlands,6.1705777782591795,1.958424103278812,7.280555555555555,1.4131423448494398,qwen
ppltrst,social_trust,NO,Norway,6.4876535997464035,1.9510974667031853,7.48963503649635,1.1832137379391106,qwen
ppltrst,social_trust,PL,Poland,4.5337215889785645,2.3334421200904445,6.8163742690058475,1.5106535330467052,qwen
ppltrst,social_trust,PT,Portugal,4.15405019735004,2.4020558131627445,6.421732745961821,1.83468956957452,qwen
ppltrst,social_trust,RS,Serbia,4.4015442985461535,2.769641531820987,6.4791483113069015,1.6235599528870093,qwen
ppltrst,social_trust,SE,Sweden,6.173553003500404,2.0369372146641576,7.494306569343066,1.136005489920403,qwen
ppltrst,social_trust,SI,Slovenia,4.671985358795646,2.386686330953043,6.9450292397660816,1.5473271241117739,qwen
