variable,domain,cntry,country_name,survey_mean,survey_sd,silicon_mean,silicon_sd,model
ppltrst,social_trust,AT,Austria,6.071829184018286,2.0976862462724717,6.87956204379562,0.889603588547197,qwen
ppltrst,social_trust,BE,Belgium,5.458173187943939,2.195522494698598,6.746715328467153,0.9368239156643051,qwen
ppltrst,social_trust,BG,Bulgaria,3.728913646176717,2.3711881162028385,6.661313868613139,1.2951917475950712,qwen
ppltrst,social_trust,CH,Switzerland,5.855593288087151,2.1151913454264175,6.8525547445255475,0.8373657081798237,qwen
ppltrst,social_trust,CY,Cyprus,4.092466358118389,2.456123517842882,6.705109489051095,1.5045895268900984,qwen
ppltrst,social_trust,DE,Germany,5.213421360673227,2.329440069370058,6.837956204379562,0.775175078022966,qwen
ppltrst,social_trust,EE,Estonia,5.597881429421257,1.9956320359719784,6.680291970802919,0.973691911243096,qwen
ppltrst,social_trust,ES,Spain,5.30377052791885,2.170845887878443,6.86058394160584,1.0533542680737742,qwen
ppltrst,social_trust,FI,Finland,6.920840954305089,1.8140828898597425,6.649635036496351,1.1765946058889214,qwen
ppltrst,social_trust,FR,France,4.472588263453334,2.150595521187708,6.613138686131387,1.266113540256129,qwen
ppltrst,social_trust,GB,United Kingdom,5.418093170478824,2.2752091003472237,6.870802919708029,0.774045401899649,qwen
ppltrst,social_trust,GR,Greece,4.5659732232376244,1.9203750141942668,6.762773722627737,0.9738546503509876,qwen
ppltrst,social_trust,HR,Croatia,4.710634171131117,2.3881561272203213,6.830656934306569,1.2474278825616902,qwen
ppltrst,social_trust,HU,Hungary,4.5774672280159825,2.4378724365986537,6.787591240875912,1.3063858707127916,qwen
ppltrst,social_trust,IE,Ireland,5.414850386746617,2.381842777024013,6.945985401459854,0.9084572262634678,qwen
ppltrst,social_trust,IL,Israel,5.174017172464776,2.389764509965967,6.569343065693431,1.381771578974379,qwen
ppltrst,social_trust,IS,Iceland,6.354200470157306,2.061858353889841,6.657664233576642,0.9585505190767994,qwen
ppltrst,social_trust,IT,Italy,4.498938379325662,2.3475202051401065,6.8452554744525544,1.098641559054025,qwen
ppltrst,social_trust,LT,Lithuania,5.1342718600800605,2.4545179848769294,6.767883211678832,1.1171139655700044,qwen
ppltrst,social_trust,LV,Latvia,3.853969529445196,2.5315340747124133,6.830656934306569,1.1460306556601398,qwen
ppltrst,social_trust,ME,Montenegro,4.214523037104412,2.5013155012698616,6.846715328467154,1.0237709144227096,qwen
ppltrst,social_trust,NL,Netherlands,6.1705777782591795,1.958424103278812,6.926277372262773,0.7676071722602426,qwen
ppltrst,social_trust,NO,Norway,6.4876535997464035,1.9510974667031853,6.723357664233577,1.0013341081568523,qwen
