variable,domain,r_pearson,p_pearson,r_spearman,p_spearman,r_boot_mean,r_ci_lo,r_ci_hi,var_ratio,human_mean,silicon_mean,n_valid,model
ppltrst,social_trust,0.025347762222916678,0.00028482601775525854,0.022860726066150583,0.0010656790862193007,0.024942139583141013,0.011569571064573542,0.03907240064842466,0.49548464499183176,5.072474377745242,6.502569343065693,20490,llama
pplfair,social_trust,0.04881397916356525,3.009051888034543e-12,0.04692707496382525,1.9827243885320804e-11,0.04853385438909626,0.03422267949057185,0.06392120795330443,0.5069019762456765,5.636777892106424,6.591338199513382,20409,llama
pplhlp,social_trust,0.035763488705144265,3.0613721140515524e-07,0.03057522441433068,1.2057826503486966e-05,0.03614859361435552,0.022729678903225897,0.04974472285278248,0.44512881611417315,5.043355141099502,6.704024330900244,20482,llama
sclmeet,social_trust,0.040303513200244084,7.832910444742895e-09,0.028606233656243527,4.203896373363005e-05,0.04035737514735446,0.026375895173764312,0.0538587210128726,0.4214866626099509,4.801034348165496,4.946666666666666,20496,llama
inprdsc,social_trust,0.026992919826324915,0.00011480575029766606,0.02313824408077807,0.0009463327286278913,0.027050590684741707,0.012972151890032722,0.04114766268273828,0.6912588117942375,2.73557362594298,4.168614950360133,20412,llama
stfdem,political,0.06353727033672099,3.3402111389691353e-19,0.05595779882780244,3.1053256510599836e-15,0.06410666819018104,0.049323716405846034,0.07819395831913303,0.3877826249404499,5.042601462062011,6.767756690997567,19835,llama
polintr,political,-0.034913751299856785,5.675710764135059e-07,-0.03374802237614356,1.3325846781857317e-06,-0.035112674879721785,-0.04917094259126807,-0.021769050777864538,0.6538787003108151,2.634170119424811,2.941094890510949,20515,llama
psppipla,political,0.030753426417086817,1.2578294486108588e-05,0.029156466447791875,3.4665381968889075e-05,0.030597063494610808,0.017994992614697013,0.04508965911100583,0.9428630715675019,2.1431972620405735,3.795221178646163,20160,llama
psppsgva,political,0.02555553956368961,0.0002898454081368491,0.02340653332248991,0.0009022483100854849,0.0253750886313894,0.011054403073947165,0.038445689947141835,0.8967325126457232,2.198478217624826,3.855742092457421,20108,llama
vote,political,0.00240140650248142,0.732052320095359,0.0020209773562249915,0.7732285604799702,0.0026395339047403667,-0.011160093956782599,0.015954999189826843,0.5421081149122364,1.327316545347236,2.2187834549878347,20332,llama
actrolga,efficacy,0.04508623607953756,1.480909940759429e-10,0.044194539022295816,3.3752428950279706e-10,0.044805621422799397,0.03139108858319105,0.05837722635274244,0.8386275206235856,2.096441669144613,3.7270559610705596,20178,llama
cptppola,efficacy,0.027273876695763435,0.00010734029086949768,0.030130175839395756,1.8757369327810603e-05,0.027428606129831074,0.013554649214361463,0.04188509010144693,0.7367993478380082,2.1460947185717827,3.7856100053530586,20164,llama
