variable,domain,r_pearson,p_pearson,r_spearman,p_spearman,r_boot_mean,r_ci_lo,r_ci_hi,var_ratio,human_mean,silicon_mean,n_valid,model
ppltrst,social_trust,0.033301656657486085,1.8611914036258376e-06,0.03363361103301217,1.4683606464360498e-06,0.03299615366149594,0.018074970276629153,0.04708383142217416,0.5196709603468188,5.072474377745242,6.374491484184914,20490,llama
pplfair,social_trust,0.05250584203356403,6.109833545174708e-14,0.04847604882275505,4.240023847988827e-12,0.05292122993228199,0.03915925145776462,0.06697728199810006,0.5068331973830912,5.636777892106424,6.540111922141119,20409,llama
pplhlp,social_trust,0.015129899124222117,0.030363769138584715,0.013532463677169924,0.05278525662328893,0.014876721507815445,0.0008062017940541409,0.029038782510997806,0.43287594275287783,5.043355141099502,6.697323600973236,20482,llama
sclmeet,social_trust,0.028870446333950847,3.567750747379225e-05,0.020970169690467857,0.0026792557784804456,0.028811609012528015,0.01497202257827591,0.04262717316266176,0.42244522457097,4.801034348165496,4.964574209245742,20496,llama
inprdsc,social_trust,0.024510867297506032,0.00046159341421126685,0.021869633083985207,0.0017802717835733507,0.024114898920783532,0.010292425985208208,0.03816102334340064,0.6947968300521445,2.73557362594298,4.227648805178371,20411,llama
stfdem,political,0.05112236087823234,5.840026096247438e-13,0.048612266700335895,7.38429696865729e-12,0.05108485063979432,0.03716780706214612,0.06447772480490059,0.3914577254551193,5.042601462062011,6.794491484184914,19835,llama
polintr,political,-0.03520211541158718,4.576301783820593e-07,-0.03567205416463644,3.210620930982758e-07,-0.03511542917602469,-0.049545651119439454,-0.02148310645051392,0.6707337896694616,2.634170119424811,2.976958637469586,20515,llama
psppipla,political,0.017845621116942576,0.011278986492718695,0.014544484358142973,0.038909347764967864,0.01783653544747781,0.004772149119329056,0.03226571925643769,0.9740911602340872,2.1431972620405735,3.78014598540146,20161,llama
psppsgva,political,0.01774160226710218,0.011874626763999802,0.014814789216968414,0.03566190850726065,0.017859738628655978,0.004590652185550174,0.03150644574117043,0.9208761921893645,2.198478217624826,3.847372262773723,20108,llama
vote,political,-0.009718040529737881,0.16585500860748037,-0.010298388662673956,0.141995815843407,-0.010115049734376276,-0.024057072237552782,0.0027733409426148247,0.5457369455714579,1.327316545347236,2.2382238442822384,20332,llama
actrolga,efficacy,0.04474600490176407,2.0316504123754348e-10,0.04354922250919129,6.066676031226661e-10,0.04440857173576573,0.029877122817387802,0.05819869804844533,0.8384866530780065,2.096441669144613,3.7167639902676397,20178,llama
cptppola,efficacy,0.0384988495049764,4.534492628293969e-08,0.036319475869917114,2.48437199875448e-07,0.03834082483395966,0.02521548157955709,0.05049339075614387,0.7315212440134561,2.1460947185717827,3.8211192214111924,20165,llama
trstprl,inst_trust,0.03490991857977181,7.247963657769295e-07,0.030201451419382474,1.8190283166542078e-05,0.03515571304189362,0.02147477275509266,0.04883848790523095,0.5321568606579791,4.434262156658223,6.020318734793187,20133,llama
trstplt,inst_trust,-0.004938170302449551,0.48263721204318644,-0.005840922570112125,0.40630420444548404,-0.004634946023950102,-0.01907234894633175,0.007909778660482715,0.691947971077934,3.5989611674499136,5.2528345498783455,20215,llama
trstlgl,inst_trust,0.013560324242516013,0.05485338127447976,0.013593330192947823,0.05426570056235043,0.013500502392610612,-0.00012329447201952958,0.027055499787098307,0.4585967045334902,5.292433537832311,6.4316009732360095,20049,llama
trstprt,inst_trust,0.03169571623710424,6.8249717829186456e-06,0.032494475157272,3.9782607317178025e-06,0.03198581008031221,0.018394007657429903,0.045457930227294885,0.7308028263850577,3.5845290700561043,5.2693236009732365,20141,llama
trstplc,inst_trust,0.04991620906892502,1.1212742109520433e-12,0.04529663892356162,1.0780472020537675e-10,0.049647271531172404,0.03531353797749092,0.06296147430284393,0.4965137759801644,6.281821317695758,6.4511338199513375,20293,llama
trstep,inst_trust,0.012792924472800208,0.07706525600277533,0.01277988321589164,0.07736707660806409,0.01308898778241535,-0.0018261197757556608,0.027267923098123172,0.65154244976712,4.614031413612565,5.607695863746958,19100,llama
trstun,inst_trust,0.014211051515531864,0.05022358026441458,0.010266392444373272,0.15721222481944025,0.014463127721188457,-0.00037346198403927135,0.02892763361701027,0.4840480956094624,4.969870950750592,6.380063260340632,18985,llama
happy,wellbeing,0.0730330182168356,1.2888066317073025e-25,0.05989049816127876,9.848324487719348e-18,0.07340979406077149,0.059203193944076436,0.08760896734491844,0.5063377266887341,7.3663588841663,7.128262773722627,20469,llama
stflife,wellbeing,0.08922914720939083,2.2132723487815408e-37,0.07150597513922517,1.4317178091441142e-24,0.08921710610300831,0.07462664258432081,0.10390908305998693,0.4173244190263579,7.055620838229534,7.193610705596107,20424,llama
stfeco,wellbeing,0.0537716083455181,2.184123216565953e-14,0.05022209745867975,9.72387502230453e-13,0.05422798046463471,0.040560284575225314,0.06806558380107709,0.5049164787983311,4.443766433497048,6.651223844282238,20157,llama
stfgov,wellbeing,0.04019831570810812,1.4087515586368313e-08,0.04235478668536949,2.2744563548047535e-09,0.040108285471426953,0.026207195120245958,0.054364730377791416,0.5112944118861801,4.079756759473314,6.372851581508516,19898,llama
stfhlth,wellbeing,0.008914538581302546,0.20315826511505175,0.011733200208677576,0.09393216969286022,0.008821661701755967,-0.004590235502088356,0.02205984042969877,0.4069175262929995,5.169177174819685,6.935503649635035,20381,llama
stfedu,wellbeing,0.013857969225998286,0.05210541375902235,0.01645007744689891,0.02113278746788751,0.013520676081116715,-0.000936189572540055,0.027844635075769723,0.5431106986239588,5.295611891671757,6.892189781021898,19644,llama
imueclt,immigration,0.029444842793212682,3.2075562804940015e-05,0.02723094759886709,0.000120336639641399,0.029925516198754075,0.01706722399035192,0.044022466206024964,0.5028035599828172,5.450468977278427,6.543255474452555,19937,llama
imwbcnt,immigration,0.004850386161633563,0.4941035747622242,0.004273850530842022,0.5468299457904725,0.004937956403462878,-0.009044196397894994,0.01962738889683148,0.5272246025235301,5.119836997534839,6.018749391727495,19877,llama
imbgeco,immigration,0.005734875047262255,0.4185618212020165,0.002409340750328781,0.7339759679800744,0.0060085451166185366,-0.008068414239590696,0.0200931485435249,0.452203423705236,5.385114081817268,6.4114647201946475,19898,llama
imsmetn,immigration,-0.014552548247579834,0.0391510250720497,-0.011987859786861009,0.0893073796598739,-0.0150190516487026,-0.028460615745988804,-0.0010579062597358504,0.8170552254733381,2.028021102926538,2.8769066043704674,20089,llama
impcntr,immigration,-0.02570546215139831,0.00027414275314449935,-0.02437451983453829,0.0005603136040964413,-0.02589725518324984,-0.039906259302554,-0.011195342983329214,0.677798179337228,2.4483532934131738,2.940891831369876,20032,llama
imdfetn,immigration,-0.01360722912596758,0.05398385999232236,-0.012607643614176023,0.07419651506991588,-0.01344212020989251,-0.028079903271550518,0.0006439455387595468,0.6954967872907033,2.3755915317559153,2.8784754018509497,20055,llama
gincdif,values,0.011195633618985389,0.11201104219791277,0.01390337485762634,0.048425462183600394,0.01105561368115265,-0.002037014822382597,0.02554710482095165,0.8370261308503368,2.0931963674259344,3.777469586374696,20151,llama
freehms,values,-0.03428863188551337,1.2135036222682824e-06,-0.03304316120161552,2.91059228071084e-06,-0.034188932485541904,-0.04846140082165457,-0.02009855342975466,0.6594134117053557,2.1362388298137884,3.80850815283524,20026,llama
hmsfmlsh,values,-0.0021156311393019872,0.7665471920476236,2.770841631378477e-05,0.9968974976071286,-0.0022360913297593404,-0.016576313610720237,0.011323121909184048,0.6706020975551853,3.8118399675060926,3.4283941605839416,19696,llama
hmsacld,values,-0.026227008684797888,0.00022055990415462584,-0.026640590851973053,0.00017508036206072709,-0.02647092767506706,-0.04060678916887059,-0.012049018607050068,0.4808362374416395,2.852607709750567,3.594576436222006,19836,llama
euftf,values,-0.004835419062569898,0.5065334510367051,-0.006982035517975378,0.3374915064509114,-0.005094972645892989,-0.019367020762873978,0.008917393846845367,0.45403970477728484,5.438139140571186,6.192233576642336,18873,llama
atchctr,attachment,0.01861794241528222,0.007765291199478629,0.023235566848966792,0.0008920661228861577,0.01870545777260248,0.0050531143727829105,0.031551310948620945,0.5355937012217145,7.8790843279201725,6.980661800486617,20444,llama
atcherp,attachment,0.02699328771408798,0.0001220559269501392,0.027340623944891427,9.96615473664584e-05,0.0270631564135047,0.013801681152411368,0.04124894339282572,0.4142588636608438,5.796030217745519,6.806506082725061,20253,llama
health,health,-0.04506134136394551,1.059904132791784e-10,-0.03885494623506204,2.5778426575649035e-08,-0.044861156045628146,-0.05887484531311122,-0.031023354037027467,0.8628290111612531,2.185986454222092,3.8025256703489223,20522,llama
rlgatnd,religion,-0.030583194312692193,1.2340852145974964e-05,-0.029153976479506225,3.084990371897292e-05,-0.030595708407308082,-0.04348826755368084,-0.016897992689821374,0.6404662076391376,5.397963180571876,4.528846715328467,20424,llama
