variable,domain,r_pearson,p_pearson,r_spearman,p_spearman,r_boot_mean,r_ci_lo,r_ci_hi,var_ratio,human_mean,silicon_mean,n_valid,model
sclmeet,social_trust,0.028797408158610198,3.73381019336675e-05,0.020128960115685837,0.003953309528763878,0.028775987772831337,0.0157596459023695,0.0421888484068987,0.3471991878406821,4.801034348165496,5.341800486618005,20496,llama
inprdsc,social_trust,0.0424644901618757,1.2823775794752956e-09,0.038867295602356175,2.775742908187864e-08,0.04226485649402298,0.028014069777616227,0.05702554149749589,0.7351355418651427,2.73557362594298,4.110501216545012,20414,llama
stfdem,political,0.02121779683294054,0.0028044744028634288,0.01606815012582688,0.023636301659476708,0.021310416890323165,0.006813062939313814,0.035350374199798903,0.28389543024668745,5.042601462062011,7.309654501216545,19835,llama
polintr,political,0.061973292137817486,6.422613054499762e-19,0.06224249613964105,4.532595069955235e-19,0.06151076766056843,0.04756675967552423,0.07459203213683419,0.5321913698188504,2.634170119424811,2.443479318734793,20515,llama
psppipla,political,0.050935294825492555,4.603350939028338e-13,0.04947533934969128,2.0825107707545983e-12,0.05077939590595004,0.03585967013317887,0.06356698393553911,0.7620208555742323,2.1431972620405735,3.950875912408759,20161,llama
psppsgva,political,0.026221529014728462,0.00020025762238633303,0.01937376412449988,0.0060081051254331705,0.026399180134747558,0.012994526664360701,0.0402284627335995,0.6823834832920369,2.198478217624826,4.061435523114355,20108,llama
actrolga,efficacy,0.09412943847434425,6.050344206408056e-41,0.09209479912045776,2.922157024366041e-39,0.09402151532091192,0.08027378599621436,0.1080575628865893,0.5325073103241462,2.096441669144613,3.794666666666666,20178,llama
cptppola,efficacy,0.07029677463946732,1.6169197159909166e-23,0.06704366755191857,1.5642133259107388e-21,0.07033273381699383,0.055659865026063834,0.08310943627418754,0.4728392180890494,2.1460947185717827,3.928345498783455,20165,llama
trstplc,inst_trust,0.037694656518426135,7.816503813469082e-08,0.03405266797908624,1.2220411269121679e-06,0.037619297343487575,0.02366373709058057,0.051998705969153076,0.3672717030406675,6.281821317695758,6.94716788321168,20293,llama
happy,wellbeing,0.0677965680623526,2.7272170395553527e-22,0.05327032145234638,2.4153166057091755e-14,0.0676192431405381,0.05367485210797533,0.08086731684609112,0.3834532215291148,7.3663588841663,7.421192214111922,20469,llama
stflife,wellbeing,0.09485519155067207,4.861310212746028e-42,0.07358859780909838,6.258788096132389e-26,0.09518226461202454,0.08079866752211948,0.1095062042956863,0.3376695748605301,7.055620838229534,7.490472019464719,20424,llama
imsmetn,immigration,-0.0008437029767993033,0.9048124448108151,-0.0021393604708481433,0.7617162574928767,-0.0012188799550897245,-0.015676113079366723,0.013575492483799884,0.6594960831398639,2.028021102926538,2.331474452554745,20092,llama
impcntr,immigration,0.003818559813812785,0.588828878190673,0.0033373161759538868,0.6366331989348005,0.0039493201667062236,-0.009955008441866368,0.018393535746625597,0.5184586999543837,2.4483532934131738,2.4575523114355233,20040,llama
imdfetn,immigration,0.008038759695528653,0.2547326103678701,0.005119746896901323,0.46823277491622606,0.008016975173714183,-0.005836779083693844,0.02172946543165471,0.5109807762929448,2.3755915317559153,2.2818199513381994,20075,llama
gincdif,values,0.016022569653428572,0.022937368042287506,0.016586582382553693,0.01854508732345889,0.015754979989337274,0.003006538499751169,0.030747248981432183,0.9789315979262444,2.0931963674259344,2.906447688564477,20151,llama
freehms,values,0.02402857166324692,0.0006712398283033469,0.024742234689488482,0.0004615913082312669,0.024112037502286198,0.010608918591993706,0.0368308904718086,0.6845493071764731,2.1362388298137884,2.8792700729927008,20031,llama
hmsfmlsh,values,0.022224580340121335,0.0018131877701931915,0.024223463204580513,0.000674196339431949,0.022609524046737113,0.007875137683540355,0.03713222420301676,0.6594727075148016,3.8118399675060926,3.7709732360097323,19696,llama
hmsacld,values,0.005120406155435905,0.4707356636092146,0.006291735602167929,0.3754644564485633,0.004813558297172252,-0.009740139563212062,0.018821794626198655,0.4859363189138709,2.852607709750567,2.924744525547445,19845,llama
health,health,-0.0033998169408248876,0.6262410095425127,-0.0031632842177199134,0.6504472801877139,-0.0033810539741402387,-0.01691352361100597,0.010439969661404678,0.8569847815056844,2.185986454222092,3.015182481751825,20523,llama
rlgatnd,religion,-0.0001539225659107353,0.9824510491197622,0.0024222029240111363,0.7292355922834687,-0.00010555102005781501,-0.013795133816828616,0.013960245453656062,0.6799690296176681,5.397963180571876,4.491396593673966,20424,llama
aesfdrk,safety,0.0017776913986837118,0.7999031562470318,9.516097578764066e-05,0.9891742086320678,0.0020433819526915606,-0.01155903590826154,0.015751740363513893,0.7472262771653102,1.89283430875916,2.452841849148418,20333,llama
hincfel,income,0.06008631415942623,1.1415387787662952e-17,0.05443910324902485,8.971293633459031e-15,0.05992280787726274,0.04680187149186362,0.075086702445993,0.6801894411786052,1.948062206862503,2.6269975669099757,20255,llama
