variable,domain,r_pearson,p_pearson,r_spearman,p_spearman,r_boot_mean,r_ci_lo,r_ci_hi,var_ratio,human_mean,silicon_mean,n_valid,model
ppltrst,social_trust,0.03840632157978194,3.813009523454294e-08,0.03832554522215616,4.071414510956425e-08,0.03875680879236697,0.024511526476577995,0.051694626935854235,0.5073669016460729,5.072474377745242,6.456306569343066,20490,llama
pplfair,social_trust,0.05275844493777006,4.6329379819989326e-14,0.04685325030089968,2.1314028881373028e-11,0.05292499802243511,0.03970453032256434,0.06610756747933871,0.4954154446666732,5.636777892106424,6.582335766423357,20409,llama
pplhlp,social_trust,0.053624397715683544,1.5967225145109545e-14,0.05097998384324236,2.8708568139165087e-13,0.05360556005543087,0.04070170915058076,0.06667980493486869,0.43303112089229684,5.043355141099502,6.739620437956205,20482,llama
sclmeet,social_trust,0.0397503520358336,1.250227538010551e-08,0.026975293130047363,0.0001122947955622889,0.03928258411979194,0.02507346368329404,0.05284856008166721,0.41167674474698557,4.801034348165496,4.977795620437956,20496,llama
inprdsc,social_trust,0.029971833641938464,1.8447496695685874e-05,0.028032991820035952,6.182636075743203e-05,0.029772064436772584,0.016438076024726907,0.04250725857577202,0.685190923708421,2.73557362594298,4.190690544552046,20413,llama
stfdem,political,0.056651384841528894,1.4108336606728138e-15,0.05093464112817841,7.09053686755206e-13,0.05681202413405805,0.04223910049533548,0.0708137234939529,0.3824776320060988,5.042601462062011,6.779975669099756,19835,llama
polintr,political,-0.05383640497305592,1.1990030885939232e-14,-0.0548986680516074,3.5856560377731055e-15,-0.054178866148854456,-0.06782924524763237,-0.04119172634710798,0.6627127321261681,2.634170119424811,2.9560243309002434,20515,llama
psppipla,political,0.03289209533977094,2.9946196909624765e-06,0.028628654930404163,4.794050333903694e-05,0.03280375084033605,0.019871433115984802,0.046830447842630775,0.918979989607676,2.1431972620405735,3.816365759890992,20160,llama
psppsgva,political,0.025425454405926314,0.0003112451411139953,0.02317592093847916,0.0010138863377219239,0.025521233304556884,0.0119915943242122,0.03859706198422628,0.8943943069781148,2.198478217624826,3.872652068126521,20108,llama
vote,political,0.0003158202870154449,0.9640832779377532,-0.002310701062024988,0.741805157586117,0.0007226475869739214,-0.012852597219728102,0.014199348104587058,0.5455182880972016,1.327316545347236,2.2330170316301703,20332,llama
