variable,domain,r_pearson,p_pearson,r_spearman,p_spearman,r_boot_mean,r_ci_lo,r_ci_hi,var_ratio,human_mean,silicon_mean,n_valid,model
sclmeet,social_trust,0.047464731139104765,1.0558973078933883e-11,0.04123178070280931,3.5250220491354157e-09,0.04733344944873117,0.03271687804738929,0.06223313770016217,0.34394654692232535,4.801034348165496,5.356958637469586,20496,llama
inprdsc,social_trust,0.036290469284073285,2.1430042493918943e-07,0.035538723438316204,3.794670440630509e-07,0.03673335808243079,0.02283052291865636,0.05083566429876482,0.7396435133032544,2.73557362594298,4.097834549878345,20414,llama
stfdem,political,0.06945247541546208,1.2134896191365518e-22,0.05985089301904638,3.283089386758312e-17,0.06943238152101179,0.054554913842564556,0.08448719104689426,0.2764326964487762,5.042601462062011,7.305036741447273,19834,llama
polintr,political,0.05585775767071125,1.1820871595239291e-15,0.05527352656757331,2.3290654104280022e-15,0.05589747911557265,0.0419443337659893,0.07074233391692059,0.5383371839630379,2.634170119424811,2.4816301703163015,20515,llama
psppipla,political,0.03989679164856634,1.4546538455710766e-08,0.03546048275778912,4.746522711709227e-07,0.03997031473131462,0.025976599961079518,0.054773299529845006,0.754774251508834,2.1431972620405735,3.9639659367396596,20161,llama
psppsgva,political,0.03488299412342885,7.509545100183613e-07,0.032660777992306905,3.615667838726977e-06,0.03472504739579301,0.021815044672098497,0.048690455777381424,0.6511732923711915,2.198478217624826,4.094209245742093,20108,llama
actrolga,efficacy,0.08473954097339043,1.7571046874372467e-33,0.08125625462532311,6.510118059218649e-31,0.08494472959325455,0.07221460767155588,0.09820560199096248,0.5235820075755654,2.096441669144613,3.8041362530413627,20178,llama
cptppola,efficacy,0.0678841908048947,4.899809114040889e-22,0.06590623875349565,7.355380410017744e-21,0.06815149973723626,0.054232956429047983,0.0831443290989124,0.4621776829374818,2.1460947185717827,3.9524817518248176,20165,llama
trstplc,inst_trust,0.04752731254172678,1.2540591160428523e-11,0.03774964897744563,7.483601325520898e-08,0.04730952890397707,0.03316448099450124,0.06072114483770417,0.34780991916769793,6.281821317695758,6.983450121654501,20293,llama
happy,wellbeing,0.09196320780374831,1.0803864305658413e-39,0.07582743810963881,1.7182973015860648e-27,0.09220342111799201,0.07709215504655513,0.1066889928573942,0.3689533055797201,7.3663588841663,7.4193333333333324,20469,llama
stflife,wellbeing,0.09088740331853999,1.004112993234201e-38,0.07541836308363134,3.7168561205186965e-27,0.09154894686180078,0.07643394076544562,0.10771911938281281,0.3235839237053489,7.055620838229534,7.463878345498784,20424,llama
imsmetn,immigration,0.017784642508690357,0.011703883349535574,0.015210143082981688,0.031085902729266295,0.017795075383906817,0.0040401392737927635,0.032028604370670476,0.6622925080456101,2.028021102926538,2.370004866180049,20092,llama
impcntr,immigration,0.011097300120049202,0.11620257527605891,0.012080007079032607,0.08725954528136015,0.010966249111289617,-0.003435210961680332,0.025809294952990103,0.5067530420211015,2.4483532934131738,2.4998783454987836,20040,llama
imdfetn,immigration,0.02820774576815811,6.409700678261217e-05,0.02709368217673681,0.00012340140062010868,0.027790285743224466,0.012486612083131367,0.041638565481932184,0.5311222091727148,2.3755915317559153,2.3311970802919713,20075,llama
gincdif,values,0.009899383952422812,0.15995986335541876,0.005765513324955091,0.41313169533210875,0.009771176731024506,-0.004338024943841466,0.023656487896857405,0.9740387977290478,2.0931963674259344,2.9678102189781024,20151,llama
freehms,values,0.05092011738034383,5.554289635079812e-13,0.05128462069677315,3.7947967575573297e-13,0.051014578619835375,0.03745615490722232,0.06467491790047074,0.669294853758309,2.1362388298137884,2.934394160583942,20031,llama
hmsfmlsh,values,0.01781940237370315,0.012389277156530714,0.018411005511805283,0.00976899998886273,0.01771415348430986,0.0037084226217377115,0.03226568192554529,0.6509599489436303,3.8118399675060926,3.804574209245742,19696,llama
hmsacld,values,0.028240605583130938,6.9246068209236e-05,0.026936230397861638,0.0001476328831378888,0.028270792520370486,0.014198295080707815,0.04314353025640007,0.48014587178457496,2.852607709750567,2.9780632603406323,19845,llama
health,health,-0.0005749786282338177,0.9343560142457839,-0.0025308457075843877,0.7169457913560613,-2.8074450088279122e-05,-0.013606039886827011,0.013336506107108088,0.8275137548914625,2.185986454222092,3.061941605839416,20523,llama
rlgatnd,religion,0.0167855762980153,0.016444770441346727,0.019236377162681353,0.005973982511911463,0.016740966598308957,0.0037332670954340337,0.03086417148691832,0.7184651098492997,5.397963180571876,4.5713090024330905,20424,llama
aesfdrk,safety,0.011577958918770448,0.09875913427290405,0.008490902374864183,0.22601129705404807,0.011160749849989215,-0.0023102852897948713,0.02451075116681811,0.7849661474238276,1.89283430875916,2.47014598540146,20333,llama
hincfel,income,0.06499042105552932,2.0701651087532854e-20,0.0628003114516569,3.685192197075892e-19,0.06485491463840143,0.05080610170503395,0.0780460250103737,0.6884108484419968,1.948062206862503,2.6462043795620436,20255,llama
