variable,domain,r_pearson,p_pearson,r_spearman,p_spearman,r_boot_mean,r_ci_lo,r_ci_hi,var_ratio,human_mean,silicon_mean,n_valid,model
ppltrst,social_trust,0.1331293808592367,1.627751327606255e-81,0.13245802114860852,1.046587767063994e-80,0.13277983462714904,0.11811607034941138,0.1472226302154967,0.44762574170549263,5.072474377745242,6.895807332293291,20452,qwen
pplfair,social_trust,0.06948638654604643,2.838097459772094e-23,0.07364655351106969,5.970059459333536e-26,0.06965934518152528,0.055618683252640314,0.08424250519399444,0.15201128733134733,5.636777892106424,7.183060827250608,20409,qwen
pplhlp,social_trust,0.036506671434344544,1.8447691477614732e-07,0.03465600294794989,7.427553907815053e-07,0.036338178288080544,0.022427890524862857,0.05022657259618742,0.32796225628969716,5.043355141099502,6.78699286342751,20390,qwen
sclmeet,social_trust,0.049606820743944034,1.1972192104092527e-12,0.04252667391094761,1.1253444999479968e-09,0.04942288935644109,0.03573320816230381,0.06400001663441932,0.20166440602527722,4.801034348165496,3.844503382159716,20495,qwen
inprdsc,social_trust,0.03362774909769764,1.5419871472830215e-06,0.03528312653901318,4.5966030623410596e-07,0.03364374911115778,0.019892594266880653,0.0479095879354448,0.12303701468248981,2.73557362594298,2.8784914841849147,20414,qwen
stfdem,political,0.1359024685987359,2.2138292316052134e-82,0.13289564588818348,7.926677635430317e-79,0.1359868983813818,0.1219986267469294,0.14929679664587406,0.2556567743306452,5.042601462062011,6.578493210687691,19832,qwen
polintr,political,-0.10301052103867411,1.6321648617928311e-49,-0.1119800446652777,3.066366466536461e-58,-0.10317514133443137,-0.11665234974169948,-0.08960580173586186,0.2091936102786006,2.634170119424811,2.8584914841849147,20515,qwen
psppipla,political,0.07465775020045301,2.5442057995726498e-26,0.08169765862848688,3.303204371692969e-31,0.07451398744493236,0.06018626929610845,0.08782754480874867,0.3434668739357647,2.1431972620405735,3.3451849148418487,20161,qwen
psppsgva,political,0.07540605961091007,9.400160118079852e-27,0.08171027184131632,3.8676466436729595e-31,0.07573109562774047,0.06243614664083528,0.08960798381253259,0.4821793798852218,2.198478217624826,3.5707274939172753,20108,qwen
vote,political,-0.03229715550563363,4.1013295755926014e-06,-0.03586348380813296,3.13547061730344e-07,-0.03215581962915723,-0.04553428712861547,-0.01840858920221288,1.144992348689313,1.327316545347236,2.1520194647201945,20332,qwen
actrolga,efficacy,0.10827253626570656,1.1345117505697224e-53,0.11454540973025934,6.769283666647357e-60,0.10839208275449881,0.09512046375517424,0.12161494378690987,0.1635333878275781,2.096441669144613,3.083548277204594,20176,qwen
cptppola,efficacy,0.1046280381653173,3.419858859650444e-50,0.1098704720774043,3.405739823822143e-55,0.1046749976545947,0.09110087405369748,0.11860307675040632,0.1786612450108402,2.1460947185717827,3.1366374695863746,20165,qwen
trstprl,inst_trust,0.16478777490954216,2.4504944831592623e-122,0.1663496355188017,1.1601950081274873e-124,0.1650687820270565,0.1525136592590316,0.1779971053989224,0.5269309242793981,4.434262156658223,5.147002339637356,20099,qwen
trstplt,inst_trust,0.1401562388021005,5.876536841526899e-89,0.1455570043530929,7.2158042167156e-96,0.1400630529046291,0.1259248541876775,0.1535283951181244,0.63210395469979,3.5989611674499136,4.925542921282514,20158,qwen
trstlgl,inst_trust,0.17898532970349823,9.348759940375265e-144,0.16979458500222125,2.31353751943923e-129,0.17865976869523575,0.1644395053288362,0.192947236471973,0.2790776927090052,5.292433537832311,6.840934788965786,20019,qwen
trstprt,inst_trust,0.17282154043096765,1.37631941145364e-134,0.17844430388693416,1.690669268228262e-143,0.17308896994985504,0.15904797315557287,0.18653625027660897,0.6471034650633317,3.5845290700561043,5.42100170606873,20106,qwen
trstplc,inst_trust,0.12757541666125405,2.9371164203907116e-74,0.11850308960659808,2.9523275172190218e-64,0.12731912619846134,0.11223745804219794,0.1422032608158252,0.20331065522962355,6.281821317695758,7.345454102276604,20257,qwen
trstep,inst_trust,0.0862143511950626,9.388395266696072e-33,0.0823403184296682,5.149746078800686e-30,0.08621170850383296,0.07203055417600553,0.10045805061201664,0.3983597038790482,4.614031413612565,6.188871534556814,19045,qwen
trstun,inst_trust,0.07300653902950842,8.539622542162411e-24,0.06061555514848247,7.015132444749572e-17,0.07276034181676047,0.05798765273640464,0.08826035800329954,0.24073860588782264,4.969870950750592,6.836442622150632,18929,qwen
happy,wellbeing,0.18514554427570598,4.005117272401346e-157,0.1569542413926429,6.26303331427769e-113,0.18525481077731099,0.16793702525605822,0.20230216723879288,0.1999146617847354,7.3663588841663,7.458073157664021,20450,qwen
stflife,wellbeing,0.20080887491077476,8.265919985800721e-185,0.18799532650357226,8.08217225870992e-162,0.2006025870654518,0.18400052719134866,0.21688584494858051,0.147802874495999,7.055620838229534,7.555951338199513,20424,qwen
stfeco,wellbeing,0.12717904609627495,1.9186118391384983e-73,0.12293996334935041,1.0263685853518523e-68,0.12722647636739673,0.11252882045794657,0.14164653552362208,0.290875846094887,4.443766433497048,6.205046719875414,20155,qwen
stfgov,wellbeing,0.06787379417339483,9.377118335708048e-22,0.07641108113928748,3.7423602089366044e-27,0.06770992081079112,0.053573086331320366,0.08240161480582184,0.30801502449442897,4.079756759473314,6.64833292771964,19893,qwen
stfhlth,wellbeing,0.0874868849563467,6.661984436942108e-36,0.09059385739977246,2.1987698819148052e-38,0.088018177611304,0.07333730440591882,0.1018543433041932,0.1519288429232057,5.169177174819685,7.052753566733213,20368,qwen
stfedu,wellbeing,0.042840394655613186,1.916023329436755e-09,0.05059378059339534,1.314068258812238e-12,0.04307007719916344,0.027888430948490372,0.0577835622432489,0.3112861478793092,5.295611891671757,6.79518917076496,19631,qwen
imueclt,immigration,0.08480391302132892,3.9836000315800803e-33,0.07377806225915617,1.8671689855023264e-25,0.08498582086348973,0.07133948185674227,0.0981310466950779,0.28641251065700624,5.450468977278427,6.982167031896761,19922,qwen
imwbcnt,immigration,0.09312942538426482,1.7758603598068157e-39,0.096884572733799,1.3491825162072555e-42,0.09297977009418659,0.07907069091996742,0.10693862089757997,0.9461973817475072,5.119836997534839,5.195510164286063,19844,qwen
imbgeco,immigration,0.08629899651016047,3.615402464225493e-34,0.07670978766852352,2.503826781151661e-27,0.08642926929355468,0.07307693040805721,0.10120009530475717,0.24189421829579194,5.385114081817268,6.785972519976612,19873,qwen
imsmetn,immigration,-0.048111001684511476,8.91084577542014e-12,-0.04330217614211741,8.230392205732885e-10,-0.04820715624931349,-0.06293849236256756,-0.03323204132705887,0.46119607089304376,2.028021102926538,2.9492700729927006,20092,qwen
impcntr,immigration,-0.0501404196964738,1.2293057351761028e-12,-0.05189442257303987,1.970098923403862e-13,-0.05015623237249919,-0.06337552867063018,-0.03639506228169449,0.7054994421142798,2.4483532934131738,2.750778588807786,20040,qwen
imdfetn,immigration,-0.06612981598601295,6.6367306548873384e-21,-0.0647451287613731,4.209632767292792e-20,-0.0658851037582527,-0.08041877136609701,-0.05179065006508364,0.5213647679790283,2.3755915317559153,2.855352798053528,20075,qwen
gincdif,values,0.038833695268882626,3.5008170425221246e-08,0.044322399836495406,3.084829034665887e-10,0.038783289161853016,0.024534375477825037,0.05349072851967712,0.3508896904650354,2.0931963674259344,3.4574233576642337,20151,qwen
freehms,values,-0.16757697519234604,4.651789571761534e-126,-0.172440974970179,1.7766423539505858e-133,-0.16749949344983048,-0.18119228206750979,-0.15374826675016237,0.5787457695327601,2.1362388298137884,3.8879368246860704,20027,qwen
hmsfmlsh,values,0.0017316491748699753,0.8080130544376801,-0.006570697032778888,0.3565135356752161,0.002183387108720794,-0.012534389917656513,0.01689438768828323,0.1171585072825001,3.8118399675060926,2.969241251764248,19693,qwen
hmsacld,values,-0.06843158075811007,4.888015982098374e-22,-0.07409963119120436,1.4341573646514291e-25,-0.06805084584363905,-0.08209308788211372,-0.05424957986404623,0.2532128020230438,2.852607709750567,3.172133540977224,19844,qwen
euftf,values,0.013536212493538726,0.06302546597180503,0.007499487840708514,0.30304833228795297,0.013770998254937269,-0.0008102260838940981,0.028690380715373043,0.2697400601821182,5.438139140571186,6.4804907736501285,18862,qwen
atchctr,attachment,0.018165352165721325,0.009402397490054332,0.028962027599335027,3.455348940213762e-05,0.018078893978032622,0.0050684374412555905,0.032231394404981614,0.2044872606285675,7.8790843279201725,7.45480165490387,20439,qwen
atcherp,attachment,0.0765045211056336,1.1297130298172042e-27,0.06328264951203122,1.9951860343150572e-19,0.07660356390762159,0.06219742787570086,0.0917045114029466,0.26749422167230813,5.796030217745519,6.774121483500438,20249,qwen
health,health,-0.08607729324721908,4.6996031343994363e-35,-0.09961971392054797,2.0246364381714046e-46,-0.08587744206059605,-0.09957370549943989,-0.07244754234742239,0.37940337486013737,2.185986454222092,3.282636162379085,20521,qwen
rlgatnd,religion,0.020631585771824036,0.0031916922325138934,0.024704688063358782,0.0004140966366002382,0.02055912460442154,0.006576548048581069,0.03445057995704957,0.1639030153444213,5.397963180571876,3.06323600973236,20424,qwen
aesfdrk,safety,-0.05218571498165769,9.622958893358657e-14,-0.05261872382123635,6.010859524791791e-14,-0.05227527848754601,-0.0670948096846274,-0.038225055572308125,0.46204716860247796,1.89283430875916,2.708272506082725,20333,qwen
hincfel,income,-0.18202679202394054,1.998825311627566e-150,-0.17401139536510313,1.9137077131724836e-137,-0.1819138621295954,-0.19667813450295582,-0.16714251519294313,0.3381699126544696,1.948062206862503,2.8317031630170315,20255,qwen
