variable,domain,r_pearson,p_pearson,r_spearman,p_spearman,r_boot_mean,r_ci_lo,r_ci_hi,var_ratio,human_mean,silicon_mean,n_valid,model
sclmeet,social_trust,0.09505176853454095,2.3885574661619482e-42,0.07127242788446231,1.6851034815313696e-24,0.0952035072948648,0.08147771477333947,0.1097007962279992,0.14569983840579673,4.801034348165496,4.542230765487372,20495,qwen
inprdsc,social_trust,0.06604960144408607,3.495315177890683e-21,0.05673182658276569,4.989905970991454e-16,0.0661412481921259,0.05232482491342129,0.07930835387279714,0.09367714413229483,2.73557362594298,3.8425790754257907,20414,qwen
stfdem,political,0.17256717546682177,2.1049535486999625e-132,0.18334288511012672,1.738882626820471e-149,0.17239083795718865,0.15795558730275383,0.18606442833062115,0.19881277414417928,5.042601462062011,6.683198695800281,19834,qwen
polintr,political,0.16592498123159036,2.7529652923381313e-126,0.1643433122259134,6.774596465063885e-124,0.1663165547582354,0.1536779780118498,0.17895088497835535,0.20932756503068659,2.634170119424811,2.212888910562762,20471,qwen
psppipla,political,0.1777884041819413,7.9231856659147045e-143,0.18676042276606403,1.1685860442860803e-157,0.17791292972647088,0.16442599956648302,0.19058802617403353,0.2970253391053872,2.1431972620405735,3.521333333333333,20161,qwen
psppsgva,political,0.12782408395789024,5.2206229322126446e-74,0.13643383765029954,3.797160093439257e-84,0.127962490399462,0.11407944269305349,0.14141294732457207,0.28491245743985605,2.198478217624826,3.77047201946472,20108,qwen
actrolga,efficacy,0.22889871143304777,4.054002668263406e-238,0.23978669855955823,8.522400340681128e-262,0.22913754160706826,0.21564463472519713,0.24090663741526455,0.23087333457096218,2.096441669144613,3.023520681265207,20178,qwen
cptppola,efficacy,0.18229913131652986,3.237975022834864e-150,0.19052719702041446,3.768751028783168e-164,0.1818195894777635,0.16789016824061276,0.1949466537245944,0.20456282013139954,2.1460947185717827,3.0959245742092456,20165,qwen
trstplc,inst_trust,0.22317147897651518,2.190060051752848e-227,0.20777087983664977,1.0806935537040811e-196,0.22316281901783452,0.20915272823554562,0.23815531478777618,0.24020335432921971,6.281821317695758,7.305553662691652,20289,qwen
happy,wellbeing,0.20282812354224838,5.536874007796067e-189,0.17746611064973028,1.9082553008751662e-144,0.20302701928954014,0.18785590215340048,0.21926209863229432,0.1691955769754485,7.3663588841663,7.524799260304638,20468,qwen
stflife,wellbeing,0.21597473324729533,3.809509118182419e-214,0.19247387354108692,1.1409406887549873e-169,0.21587105540246232,0.20078729982273097,0.2307322491558487,0.11817383683174167,7.055620838229534,7.642092457420924,20424,qwen
imsmetn,immigration,0.05963824771195323,2.662268823602111e-17,0.05656722455769947,1.022577708011964e-15,0.05944376405156479,0.04494604496051145,0.07385060938695678,0.19153334935655505,2.028021102926538,1.9580535279805353,20092,qwen
impcntr,immigration,0.0774598776175751,4.703857639569476e-28,0.07188451904815028,2.2268918779537032e-24,0.07762891079037659,0.06241560108000794,0.09249067893044739,0.22533058102739684,2.4483532934131738,2.0550851581508516,20040,qwen
imdfetn,immigration,0.07426052351337745,5.921074454818233e-26,0.06476792422343707,4.084811852558351e-20,0.07401682557167844,0.05896915730808636,0.08820721857478009,0.25740864248055784,2.3755915317559153,1.92330900243309,20075,qwen
gincdif,values,0.007497291882716901,0.2872285321751418,0.008159778775420306,0.2467569537862022,0.007260758429692004,-0.006650977815871946,0.020673021922306502,0.012635906072536162,2.0931963674259344,3.0030656934306568,20151,qwen
freehms,values,0.08483935878868903,2.5220264855386283e-33,0.08752367088823294,2.2963899556871637e-35,0.08468156845337789,0.0714490351199371,0.09756865959648459,0.2579893022414663,2.1362388298137884,2.7930900243309003,20031,qwen
hmsfmlsh,values,-0.0024130993371367982,0.7348815148560237,-0.005257146443173205,0.46066089843634883,-0.0024919983476599183,-0.01656825987285144,0.010705001674279709,0.010681373362178533,3.8118399675060926,3.0008272506082725,19696,qwen
hmsacld,values,0.0560075760856184,2.8888568536655983e-15,0.06816352061389554,7.051528345669302e-22,0.05621927089510542,0.0407771774410938,0.07093363646822369,0.03300354407475709,2.852607709750567,3.0106569343065694,19845,qwen
health,health,0.13876171531717535,9.310340497790161e-89,0.13625507720729435,1.2816665408417456e-85,0.13886362459842708,0.12684356369903163,0.15108988722539568,0.6112716049526251,2.185986454222092,2.6464548153194802,20522,qwen
rlgatnd,religion,0.10784405591359618,6.82884763684535e-54,0.11753812921161118,9.624895525730828e-64,0.1076821107565695,0.09362867957670268,0.12084824161444312,0.873198083143529,5.397963180571876,5.472068126520681,20424,qwen
aesfdrk,safety,0.07309289132777039,1.699683390002122e-25,0.07352121583648549,8.894740266161937e-26,0.07277504469573698,0.05912004400131102,0.08667334882548611,0.38078053760032143,1.89283430875916,1.9879318734793188,20333,qwen
hincfel,income,0.38346760247543554,0.0,0.37842883342022815,0.0,0.38360337593115684,0.3714977080549628,0.39521035519837455,0.5461760826754748,1.948062206862503,2.1355717761557176,20255,qwen
