variable,domain,r_pearson,p_pearson,r_spearman,p_spearman,r_boot_mean,r_ci_lo,r_ci_hi,var_ratio,human_mean,silicon_mean,n_valid,model
ppltrst,social_trust,0.08946439233021543,6.886816804039402e-36,0.13092406339670362,3.6567564609695503e-75,0.08918322822909103,0.07492721449975748,0.10382857584397533,0.1719943052501672,5.072474377745242,7.364221687240691,19466,qwen
pplfair,social_trust,0.08502849736350655,1.3488603890601726e-33,0.09171193488656926,7.913119168007722e-39,0.08519192106817093,0.07142069276099722,0.09857146372458755,0.11252922383760744,5.636777892106424,7.408946822692935,20113,qwen
pplhlp,social_trust,0.08366775663356528,2.5930688214609995e-32,0.08680570998988564,1.161972256892519e-34,0.08369576300540711,0.0694563087775805,0.09783794362383805,0.11930701619807789,5.043355141099502,7.347213335999201,19939,qwen
sclmeet,social_trust,0.02833120945771751,5.972385767424115e-05,0.026700248784894156,0.00015510917192050372,0.02843607235564039,0.014461076964252594,0.04240232852417917,0.27602003084804977,4.801034348165496,3.8028937889596897,20067,qwen
inprdsc,social_trust,-0.004705975804400056,0.5050479591770715,0.006189984482498897,0.3806109582602016,-0.004827471483801341,-0.018403802883342556,0.00906887032903997,0.19068763563239408,2.73557362594298,3.148190325295836,20065,qwen
stfdem,political,0.1373543695150128,2.5085773852720957e-82,0.15560069700951124,2.1695623312135296e-105,0.1378912438079842,0.12434549161213107,0.15292506111861626,0.11031299247551603,5.042601462062011,7.212143674444057,19398,qwen
polintr,political,-0.010847240930374018,0.12147771332711724,-0.009919795220774505,0.15672056525927794,-0.01106074911213711,-0.02463808146511763,0.0015955214891184013,0.1976205272708952,2.634170119424811,2.954500930551474,20383,qwen
psppipla,political,0.06845475235460081,2.3789417810965193e-22,0.07342566318002489,1.768945454851735e-25,0.06820540402083464,0.05353849928573555,0.08202664622776941,0.2746369773300542,2.1431972620405735,3.528887789434726,20134,qwen
psppsgva,political,0.05552533050788125,3.409672049492531e-15,0.060570879620781934,8.56413290583344e-18,0.055544649720940927,0.04242174077772476,0.06943020690350034,0.246273322660004,2.198478217624826,3.6737214255369945,20086,qwen
vote,political,-0.012078802638752282,0.08604601279031487,-0.010802306182945275,0.12473275678885185,-0.01210709030091308,-0.026418005846111783,0.0010723604133563685,1.1948446743254044,1.327316545347236,2.192554494244428,20199,qwen
actrolga,efficacy,0.0427426567727949,1.3152082868871234e-09,0.044289792938122095,3.27240023247445e-10,0.042503935074340464,0.02852399445150669,0.055547665878497944,0.2409199961610776,2.096441669144613,3.4882807925043924,20122,qwen
cptppola,efficacy,0.04458253572436835,2.542842435854993e-10,0.04350505883186132,6.770278077850897e-10,0.04475586308092535,0.03024884986036129,0.057985550312969814,0.44589460053151464,2.1460947185717827,3.594358498853155,20106,qwen
trstprl,inst_trust,0.14410663257747502,2.55873904955099e-92,0.1479194894848075,3.216197389945592e-97,0.14410064673709524,0.1290205282803233,0.1581471627576868,0.10619951994678686,4.434262156658223,7.111889081455806,19793,qwen
trstplt,inst_trust,0.1531150324970812,1.9325299136058195e-103,0.16229864402107122,3.788977243191287e-116,0.15324072272493083,0.14033850571897177,0.1667458429608482,0.29738061526160536,3.5989611674499136,6.521119783848694,19663,qwen
trstlgl,inst_trust,0.17073985200284503,4.0222224482325133e-128,0.16552744315051346,1.9718111562384605e-120,0.17059078616481724,0.15646846814476517,0.18545492482411896,0.11411276273116726,5.292433537832311,7.489866042527763,19602,qwen
trstprt,inst_trust,0.12970583440722708,1.0460112607390057e-74,0.13775962073680623,4.0315088249570315e-84,0.12959415502522964,0.11493770422538183,0.14273136704463255,0.1837646679074848,3.5845290700561043,7.011912693282952,19713,qwen
trstplc,inst_trust,0.12910753198793254,2.6813168087553223e-74,0.12319116518195988,9.226043223728794e-68,0.12925775044685256,0.11326495831286824,0.1448201857452588,0.10694898503749514,6.281821317695758,7.668294995259717,19786,qwen
trstep,inst_trust,0.042234722845226426,9.517950545516102e-09,0.047881940177007004,7.650890231592318e-11,0.04206548286484119,0.027499533743993766,0.056565161242852616,0.09915724953270179,4.614031413612565,7.03679544653201,18451,qwen
trstun,inst_trust,0.06427414189630691,2.9594767203206524e-18,0.058704890857231865,1.7674283761363607e-15,0.06452192358312371,0.04908538790600329,0.07942340573222174,0.10270115449845611,4.969870950750592,7.249564209783869,18341,qwen
happy,wellbeing,0.02299643134387086,0.0013353042466166306,0.03920487083975664,4.47663033572046e-08,0.023231414468867232,0.008154443475012686,0.03909379672609024,0.3056578192644297,7.3663588841663,7.378962811325486,19461,qwen
stflife,wellbeing,0.07091120961369647,1.9334557765774942e-23,0.074588290598086,9.094425649983028e-26,0.07108429861219243,0.056502514510231173,0.08514783055010407,0.13023481963032402,7.055620838229534,7.687221299511804,19746,qwen
stfeco,wellbeing,0.10763234572760846,2.2836254438476406e-52,0.10238107019369239,1.5836760847941995e-47,0.10729889735297708,0.09363648714929039,0.12132271482906418,0.12306612220712759,4.443766433497048,6.837905968163225,19905,qwen
stfgov,wellbeing,0.0719552224411694,8.137409577278462e-24,0.08692215601359678,4.94514088707792e-34,0.07211309592039376,0.05718758936385862,0.08650540547600746,0.15417772780632585,4.079756759473314,7.05933297698281,19506,qwen
stfhlth,wellbeing,0.14941320310723974,6.632245407301372e-101,0.1650985035492761,4.487984971510758e-123,0.1495971077641824,0.13572517919869814,0.1632347844617613,0.10144609578053086,5.169177174819685,7.399003003298705,20145,qwen
stfedu,wellbeing,0.1283055762146901,4.3453423287691137e-72,0.14135552401488904,3.009709349267951e-87,0.12827474211404624,0.11451444710085652,0.14328809509029825,0.10944675766817248,5.295611891671757,7.4301579879909445,19425,qwen
imueclt,immigration,0.02617712942630609,0.00022906972135094993,0.038625609813300564,5.391553422246745e-08,0.026206327553295876,0.011358222407621514,0.03960088764331218,0.09881645817774756,5.450468977278427,7.644974529780564,19808,qwen
imwbcnt,immigration,0.04045627135432968,2.0885459063775138e-08,0.04749400437678071,4.6894615607845047e-11,0.040756719060864484,0.02635674977035145,0.055868024409870924,0.1924796229889278,5.119836997534839,7.033215654629816,19178,qwen
imbgeco,immigration,0.011569345832215298,0.10638619090310174,0.021799762042860944,0.002344676769569701,0.01184760508454481,-0.002140258124991135,0.025742531461927634,0.10869228429256322,5.385114081817268,7.245851354710415,19479,qwen
imsmetn,immigration,-0.000869875498124402,0.9023395654292341,0.0010432872391344977,0.8829992050887437,-0.0009736907179098983,-0.015108553882858491,0.012811710411829208,0.06188802936178506,2.028021102926538,2.976887557105664,19901,qwen
impcntr,immigration,-0.003056182337931989,0.6678240834974428,-0.005554757518960931,0.4354027526966914,-0.0031240877940813543,-0.016582799916538334,0.010314203737034126,0.03939268942749694,2.4483532934131738,2.9827194066749074,19719,qwen
imdfetn,immigration,0.003030553750308631,0.6690329528128762,0.0035034110316421877,0.6211825955407555,0.002738897378031212,-0.011145834079944203,0.017624291617474638,0.02065591445886305,2.3755915317559153,2.992023365403495,19899,qwen
gincdif,values,0.010073426953715816,0.15287446373173216,0.008904459432080477,0.20638642179143218,0.0100727570117586,-0.003681497531065146,0.024009904307349755,0.26779129717693906,2.0931963674259344,3.393436237035594,20138,qwen
freehms,values,-0.11648601754040382,5.1759034874608116e-61,-0.12006274404948303,9.93339647561664e-65,-0.11667317931615884,-0.13075499610306826,-0.10359447211146319,0.3349060984311937,2.1362388298137884,3.642541924095322,19880,qwen
hmsfmlsh,values,-0.028135017108558737,8.225883594846998e-05,-0.03366904173164699,2.445082001118822e-06,-0.0282086092630208,-0.04266007676936493,-0.013518485738416396,0.1521442269537779,3.8118399675060926,3.00408752692383,19583,qwen
hmsacld,values,-0.03551743425987074,5.808064475925889e-07,-0.04158172200606158,4.8729190747251406e-09,-0.03555916456370044,-0.049439866591095144,-0.021524167039195515,0.10867547847406962,2.852607709750567,3.2217179111761833,19788,qwen
euftf,values,-0.0026586999047223817,0.7162172851110985,0.0009332614318293878,0.89846328357443,-0.0024688933172291472,-0.015802910200337243,0.011861789199333615,0.09454707948388609,5.438139140571186,7.057011595911949,18697,qwen
atchctr,attachment,0.018988018843897062,0.007172211313519453,0.01837093203501883,0.009285902367197226,0.01904662646827358,0.004940195470529333,0.034016427987115294,0.16214893545292647,7.8790843279201725,7.460548774436836,20050,qwen
atcherp,attachment,0.026455836480296775,0.0002013293896462778,0.024964484478969574,0.00045195848764006827,0.026624729188818665,0.011269794811628545,0.040145973318463736,0.14325927631943294,5.796030217745519,7.3314814814814815,19739,qwen
health,health,-0.030913343098430142,1.100325164787154e-05,-0.03294000095377404,2.801832832432446e-06,-0.03099062076259348,-0.045477638712763745,-0.016379432593341858,0.3087933449509091,2.185986454222092,3.8242761716491893,20219,qwen
rlgatnd,religion,-0.022221969725847165,0.0015759176009305738,-0.018208715158136005,0.009612318703861289,-0.02209479654830925,-0.035459443568510815,-0.007435711012127802,0.17203897693320647,5.397963180571876,3.2256106551334347,20223,qwen
aesfdrk,safety,-0.03398839962126164,1.321992229944454e-06,-0.04066674537307249,7.1465515472156e-09,-0.03366742820967616,-0.0470645144906088,-0.020480290112760244,0.09511949839111448,1.89283430875916,3.026827181618186,20239,qwen
hincfel,income,-0.03542847950037866,4.898673629522733e-07,-0.04537370490267395,1.1668152183863807e-10,-0.03564573851662971,-0.04912191429469667,-0.02201205928952211,0.09576319885265262,1.948062206862503,2.957637937781256,20149,qwen
