variable,domain,r_pearson,p_pearson,r_spearman,p_spearman,r_boot_mean,r_ci_lo,r_ci_hi,var_ratio,human_mean,silicon_mean,n_valid,model
ppltrst,social_trust,0.014187881154224223,0.04579329490373763,0.0026376232758106052,0.7104197707488036,0.014499144401093315,0.000217599366757628,0.02920640699120802,0.22655436422036243,5.072474377745242,7.066492251962166,19818,qwen
pplfair,social_trust,0.0023323094388100463,0.74009007670531,0.0045119183660858484,0.5210346795750511,0.0022987671778247044,-0.012305305833323154,0.017236011406461013,0.0974952097477179,5.636777892106424,7.194068129386934,20233,qwen
pplhlp,social_trust,-0.004304793358134496,0.5418206938072087,-0.004878212809238566,0.4893605603241491,-0.0041994311025299715,-0.019062747365189044,0.01120532323892469,0.16551274920340017,5.043355141099502,7.178057857390959,20086,qwen
sclmeet,social_trust,0.006044114475887766,0.3891198345597129,0.007436884923060277,0.2892934377503103,0.00583219135277306,-0.008828899294046483,0.019584389172135556,0.4130634788991282,4.801034348165496,3.6439728853521958,20305,qwen
inprdsc,social_trust,0.007872902856090745,0.26191120163398734,0.010671023387919181,0.12835119699518088,0.007956601608895213,-0.006079435048255353,0.022886475641130274,0.18172194099564717,2.73557362594298,2.995450988064958,20308,qwen
stfdem,political,-0.0016826654019523454,0.8132259551442924,-0.002387728639305708,0.7374244551217409,-0.0018204326625923892,-0.0152885849757842,0.01236989689205904,0.08641892843074903,5.042601462062011,7.006555049689137,19718,qwen
polintr,political,-0.0031899580851260205,0.6478024463360955,0.0004877810546684013,0.9443111421170127,-0.003128854937152848,-0.017651908104905314,0.01151152608015996,0.24218918617878693,2.634170119424811,2.897517644195668,20510,qwen
psppipla,political,0.0029062616973146464,0.6798824733598691,0.004990025214591438,0.4786510932911389,0.0032272886036378073,-0.010527512281561298,0.017275364381016938,0.28599117849082295,2.1431972620405735,3.467857316657745,20160,qwen
psppsgva,political,0.008005601446966605,0.2563068802353685,0.00890540060018483,0.20667680900941596,0.0076969884291591345,-0.007088567634387968,0.021628259313251477,0.286849566922505,2.198478217624826,3.6334257907542575,20108,qwen
vote,political,-0.03752777555269185,8.890968906756872e-08,-0.034164689073286104,1.1245956627272266e-06,-0.03738608567727144,-0.051215798186126114,-0.023579732540106067,0.942028948492326,1.327316545347236,1.8823730135517207,20297,qwen
