variable,domain,r_pearson,p_pearson,r_spearman,p_spearman,r_boot_mean,r_ci_lo,r_ci_hi,var_ratio,human_mean,silicon_mean,n_valid,model
ppltrst,social_trust,0.13313634357696652,1.9977280534776016e-81,0.1332317384313295,1.5328227167422365e-81,0.13311112109123183,0.11827714953137736,0.14749726364213803,0.43767347889255787,5.072474377745242,6.872567969932153,20427,qwen
pplfair,social_trust,0.0775645427210434,1.29845419966532e-28,0.08737299052366461,6.986466326184587e-36,0.07793875491914812,0.06411506922248197,0.09223342487171951,0.14920694136537777,5.636777892106424,7.15434976648343,20409,qwen
pplhlp,social_trust,0.046740497336259255,2.409196977799936e-11,0.04720578731245094,1.5265686933009713e-11,0.04679110241615083,0.03257525139300842,0.06161717538814463,0.3317899859967483,5.043355141099502,6.774391673995896,20398,qwen
sclmeet,social_trust,0.0249710883413713,0.00035028492716442534,0.01817229494612743,0.009283735019386053,0.02506608784444949,0.011149101917246046,0.03961539360627901,0.20227399755186593,4.801034348165496,3.813648989905237,20492,qwen
inprdsc,social_trust,0.04262094227854861,1.1163234975110222e-09,0.043481176978399816,5.136014663168883e-10,0.04250054430669225,0.027449489348914297,0.05678870474919895,0.12146990461113577,2.73557362594298,2.8560757214462993,20413,qwen
stfdem,political,0.13067179849427812,3.0366844172036496e-76,0.14003844969386114,2.1429618194338346e-87,0.13119420611897958,0.11660773965126334,0.14551966149823087,0.32211513952932225,5.042601462062011,6.416052567534679,19830,qwen
polintr,political,-0.11867599348408832,3.084686989939372e-65,-0.12468359364674134,7.205990630794411e-72,-0.11872667386254435,-0.13233873128060644,-0.10572969040324198,0.22275914393876836,2.634170119424811,2.8411435523114354,20515,qwen
psppipla,political,0.10281857511806662,1.629857827810087e-48,0.10871071135571828,4.682597261329397e-54,0.1031602888869536,0.09073033146916737,0.11691331286022076,0.3191071754400615,2.1431972620405735,3.320355717761557,20161,qwen
psppsgva,political,0.08492478360943796,1.6441363993161887e-33,0.09318367038645815,5.0401067610597746e-40,0.08510490737326516,0.0719385631989988,0.0977859695319797,0.4198781335420497,2.198478217624826,3.512126520681265,20108,qwen
vote,political,-0.006939788064200333,0.3224673077251833,-0.010149295211882767,0.14789770988051737,-0.007224076451736397,-0.0210863931309024,0.006575894375062216,1.1274095273306912,1.327316545347236,2.1713958921444565,20328,qwen
actrolga,efficacy,0.13038438068040925,3.2550464540507654e-77,0.14190346247135274,2.9815661770757294e-91,0.13093541456037047,0.11769895427829977,0.14530196312464633,0.15888507931801168,2.096441669144613,3.099871046228711,20178,qwen
cptppola,efficacy,0.12939452837716614,5.1235204936787485e-76,0.13483148311642548,1.9505405063095032e-82,0.12941526915897295,0.11622413060936679,0.14322266413444099,0.21309034236112742,2.1460947185717827,3.1482214111922144,20165,qwen
trstprl,inst_trust,0.15094733295570884,9.90800536879446e-103,0.1555964399571007,4.115808322111452e-109,0.15059615904273335,0.13698593298850528,0.16466361035873792,0.5459016465585363,4.434262156658223,5.160647955211822,20097,qwen
trstplt,inst_trust,0.13982851232227375,1.3567141699818973e-88,0.14611146271600362,1.2072194048158085e-96,0.13956826943606848,0.12623600335570964,0.15226664538232665,0.6489462202260637,3.5989611674499136,4.974671999219625,20169,qwen
trstlgl,inst_trust,0.1809734982064447,6.128170107553561e-147,0.18564190942313993,1.2028084964462814e-154,0.18128298911409638,0.16720163108492161,0.1952920211324908,0.33978836397043166,5.292433537832311,6.717345822110858,20014,qwen
trstprt,inst_trust,0.16360232911590628,1.2502392669830683e-120,0.17188527347473495,3.9185491496898646e-133,0.16324414679412175,0.15035297190876482,0.17643510960886896,0.6692805341033713,3.5845290700561043,5.457004972214098,20106,qwen
trstplc,inst_trust,0.1410178023031695,1.6985681133054443e-90,0.13582464519148074,4.952893025293948e-84,0.14113665014350188,0.12541707030680938,0.15639406073024792,0.2765106490888244,6.281821317695758,7.178552233123995,20262,qwen
trstep,inst_trust,0.09193798121669389,4.930767016320121e-37,0.08765332237373778,8.343773176994176e-34,0.09222947456951947,0.07729095982932115,0.10673280691706412,0.4509984905924901,4.614031413612565,6.061943790102929,19046,qwen
trstun,inst_trust,0.08803287216334628,6.900712342781318e-34,0.07523139723710025,3.5843724746978466e-25,0.08821298536764759,0.07304017453937243,0.10259003173820669,0.2974420266154457,4.969870950750592,6.697098175075631,18930,qwen
happy,wellbeing,0.19970913757670747,5.523123205131409e-183,0.17221199796987383,7.032522665935215e-136,0.19919894843318164,0.18215209474273394,0.21553447311703747,0.2828326754621384,7.3663588841663,7.2783671878805585,20448,qwen
