variable,domain,r_pearson,p_pearson,r_spearman,p_spearman,r_boot_mean,r_ci_lo,r_ci_hi,var_ratio,human_mean,silicon_mean,n_valid,model
ppltrst,social_trust,0.12356040829478201,2.4800966836817408e-70,0.1318626788580445,6.334062789183305e-80,0.12351700637031762,0.10905003457122805,0.1374747679591233,0.5277519799305904,5.072474377745242,6.6519420318141895,20434,qwen
pplfair,social_trust,0.0702551531332871,9.331549489618591e-24,0.07769899948631781,1.0462029816811568e-28,0.07040733537668059,0.05687274797240751,0.0839392302387129,0.14725726900466532,5.636777892106424,7.195357664233577,20409,qwen
pplhlp,social_trust,0.0460433305253984,4.723846136134182e-11,0.04608249787268767,4.5490975536479325e-11,0.04566702595706449,0.03162332920364028,0.05985220971825538,0.32229903368239093,5.043355141099502,6.813328121946453,20400,qwen
sclmeet,social_trust,0.038753362758195305,2.8703721699747934e-08,0.028763174078838216,3.822469236685908e-05,0.038824053266321226,0.02518309296866917,0.053215157034277843,0.20411557126765348,4.801034348165496,3.8532481503115266,20491,qwen
inprdsc,social_trust,0.04038496753935654,7.828622372710616e-09,0.03898075529570146,2.5291537110766532e-08,0.0406608078032268,0.027545811314148835,0.05472215372784152,0.11949384176122743,2.73557362594298,2.8902676399026763,20414,qwen
stfdem,political,0.1261831261908281,3.4502808962545506e-71,0.12990754197978305,2.2376025820735613e-75,0.12604503189236094,0.11230906007813181,0.14110771349081178,0.26791035501168103,5.042601462062011,6.550446462673255,19832,qwen
polintr,political,-0.10465199552065105,4.6886363534123907e-51,-0.11524606475443444,1.334493087074416e-61,-0.10502932876888238,-0.11791747399033822,-0.09195828264827235,0.186302292143905,2.634170119424811,2.8753771289537715,20515,qwen
psppipla,political,0.07367343166750562,1.1321007852384794e-25,0.0831095795076814,3.06210218039652e-32,0.0739230242945997,0.06075345185416902,0.08752702617612378,0.3477810302905066,2.1431972620405735,3.3677666937010002,20161,qwen
psppsgva,political,0.08067163256276427,2.158513994840363e-30,0.08942647772945338,5.505446785953209e-37,0.08090564096075684,0.06800408820532163,0.09474079127273131,0.48916268459141504,2.198478217624826,3.607384428223844,20108,qwen
vote,political,-0.04108243000179248,4.630721257386613e-09,-0.04598408162383897,5.388341933879045e-11,-0.04111959890114206,-0.05404335301466609,-0.02842545250031097,1.0922561724793887,1.327316545347236,2.1647038785342354,20331,qwen
actrolga,efficacy,0.11041740728845538,9.14766302140445e-56,0.11665084691957611,4.52304954710364e-62,0.11036040551535149,0.097903974299584,0.1231467911973238,0.1647199547762319,2.096441669144613,3.0928564476885643,20178,qwen
cptppola,efficacy,0.10305771657582347,9.638427197606675e-49,0.11432654420704115,1.21692331150684e-59,0.10323534135200049,0.08859008113839663,0.11776069516214664,0.1859708352459865,2.1460947185717827,3.148844282238443,20165,qwen
trstprl,inst_trust,0.16419466249388476,1.7708401150320076e-121,0.1668009846746614,2.3442986364767096e-125,0.1641150460073163,0.1505954288582036,0.17750737215391504,0.5230750711037921,4.434262156658223,5.200063362089974,20102,qwen
trstplt,inst_trust,0.14581289828532537,3.0668702038458326e-96,0.1528611315408965,1.0927063358745865e-105,0.1453566873807268,0.13207399778010692,0.1583210130017206,0.6303868007750263,3.5989611674499136,4.932273170731707,20166,qwen
trstlgl,inst_trust,0.19011406768288475,2.6802358962003014e-162,0.1783277409124883,9.981932782769704e-143,0.19009108470628427,0.17616436383548378,0.20432581468847863,0.286466318773146,5.292433537832311,6.825998830637302,20023,qwen
trstprt,inst_trust,0.16143028006607418,1.783035530564275e-117,0.16816433412287704,1.870916382867273e-127,0.16157328748329777,0.14845052489768723,0.17483156082909912,0.651422744708965,3.5845290700561043,5.402257119851829,20109,qwen
trstplc,inst_trust,0.14548089208573753,2.759045561169137e-96,0.13451363809850894,1.8174147885763422e-82,0.14566070545117502,0.13061993167017447,0.16129031435958568,0.19963218377046288,6.281821317695758,7.3291108404384895,20269,qwen
