variable,domain,r_pearson,p_pearson,r_spearman,p_spearman,r_boot_mean,r_ci_lo,r_ci_hi,var_ratio,human_mean,silicon_mean,n_valid,model
ppltrst,social_trust,0.10247553333696247,6.86379651147764e-49,0.10193833616224154,2.1468323059400613e-48,0.10190835597287132,0.08757279021383618,0.11623709365624177,0.5540483952606806,5.072474377745242,6.519785575048733,20460,qwen
pplfair,social_trust,0.05959200807802861,1.5904525610737945e-17,0.06350174964000628,1.0810317182033937e-19,0.05983749472586031,0.046512953224337954,0.07547998745048623,0.1475656592925753,5.636777892106424,7.216311435523115,20409,qwen
pplhlp,social_trust,0.030879526904890004,1.0134347869629996e-05,0.033975037997012035,1.191534834536074e-06,0.03110697703798376,0.01689653171886416,0.04507070834824572,0.31099155600002015,5.043355141099502,6.82370218579235,20428,qwen
sclmeet,social_trust,0.030004571834452078,1.73764800256776e-05,0.02299308174527526,0.0009949841313301835,0.0303244839495578,0.016736538801507446,0.04397826490380531,0.2073701306668413,4.801034348165496,3.855669375638717,20495,qwen
inprdsc,social_trust,0.04729020729271258,1.3791733581033744e-11,0.04753921694372118,1.0777742820563939e-11,0.04684285502662845,0.03199933242226495,0.06042654983722099,0.12472966717556212,2.73557362594298,2.901897810218978,20414,qwen
stfdem,political,0.09527587996904882,3.202461280055974e-41,0.08994032365587208,6.643884201729107e-37,0.09523792117612145,0.08026680578063324,0.11015630321231125,0.2534094419988566,5.042601462062011,6.669908015768725,19832,qwen
polintr,political,-0.09133438274761446,2.944235005668636e-39,-0.10079214233780812,1.8076930848255497e-47,-0.09153254079992423,-0.10481636069428356,-0.07833744706454726,0.19349973002610604,2.634170119424811,2.8758637469586374,20515,qwen
psppipla,political,0.06846334689911904,2.2046059311215834e-22,0.07737046820798486,3.7540544423074145e-28,0.06832320340794522,0.05371618434961591,0.08139117259159255,0.32012820530758324,2.1431972620405735,3.3399297150484326,20161,qwen
psppsgva,political,0.06020143287830484,1.2971769068335361e-17,0.06437473747494585,6.395942085511616e-20,0.06004286086444546,0.046507570866828024,0.07384053627746137,0.45549911563063006,2.198478217624826,3.5458564476885646,20108,qwen
vote,political,-0.0009666712429184732,0.8903778312080112,-0.003639582712211417,0.6038121226719521,-0.0010316518211869296,-0.013952335250051974,0.011480532293595335,1.0596589874785851,1.327316545347236,2.0548445179814103,20331,qwen
actrolga,efficacy,0.10986942968113028,3.1728983851630577e-55,0.1170208352436957,1.8752175997104299e-62,0.10940941720772085,0.095855944612015,0.12425404019501439,0.15284283175486504,2.096441669144613,3.0891381575745775,20177,qwen
cptppola,efficacy,0.10083926728766142,9.877533453144223e-47,0.09830900716950854,1.7135888757669868e-44,0.10077587955435574,0.08769772212361991,0.11545762457633539,0.18921621132608293,2.1460947185717827,3.1421873479318734,20165,qwen
trstprl,inst_trust,0.10464018244807419,4.694606458570976e-50,0.104827698435879,3.1439881404365734e-50,0.10462708237777066,0.0904383334581992,0.11812060805701455,0.5530880864991355,4.434262156658223,5.2702690189580395,20103,qwen
trstplt,inst_trust,0.1014814868167064,2.5065152970672765e-47,0.10660993892736181,4.490581829535556e-52,0.10132594394412482,0.08776128557010902,0.11431027407125921,0.6775122155144014,3.5989611674499136,4.901150770431052,20173,qwen
trstlgl,inst_trust,0.11641938788228594,2.1383834685119718e-61,0.10676129648773443,7.262763633467886e-52,0.1166134990265202,0.10176125731347857,0.13029440886383362,0.2559878156931575,5.292433537832311,6.975084011104076,20032,qwen
trstprt,inst_trust,0.14327452845237176,9.830794403641545e-93,0.14737952964436501,4.530354083754923e-98,0.1429873657691753,0.1299303316644665,0.15669478988404723,0.6844173296384731,3.5845290700561043,5.521951575973108,20118,qwen
trstplc,inst_trust,0.08960261401918752,2.044501247149807e-37,0.07308548100996998,2.0212946111933677e-25,0.08952949064997606,0.07525338413728795,0.10516625503543119,0.2211857990643208,6.281821317695758,7.304003896736484,20273,qwen
trstep,inst_trust,0.08335318621153029,9.93345470142427e-31,0.08117717121102488,3.1587636005916997e-29,0.0836689388650077,0.06773849572296974,0.09779691670232633,0.41529620042155824,4.614031413612565,6.267021224688949,19052,qwen
trstun,inst_trust,0.0761236856651186,8.972232208631687e-26,0.06909925623424591,1.6440312743396059e-21,0.07620735226341645,0.06060796696672405,0.09135354836854896,0.24964036073229995,4.969870950750592,6.838755421275766,18960,qwen
happy,wellbeing,0.14683170072854415,5.387413183326027e-99,0.13112710416584436,3.634167722666508e-79,0.14690516267140175,0.13130687301382077,0.16240998283069205,0.17246482316935083,7.3663588841663,7.51527304584834,20465,qwen
stflife,wellbeing,0.15101529960065657,1.8516714742710384e-104,0.14140924745220174,1.0585825364701959e-91,0.15085968289789448,0.1356319735345092,0.16609307202885012,0.13775603150033114,7.055620838229534,7.579234999270038,20423,qwen
stfeco,wellbeing,0.0696572722645264,4.140399503114412e-23,0.05957205365897148,2.576151047265021e-17,0.06933307316573394,0.05451130705736447,0.08362821945156815,0.27940955661303635,4.443766433497048,6.365344559081176,20155,qwen
stfgov,wellbeing,0.05864197040083806,1.258846332056028e-16,0.06746026792653577,1.6538875069853774e-21,0.05825350321491423,0.044547356094381686,0.07326015368698448,0.28526602099991527,4.079756759473314,6.804483060747664,19892,qwen
stfhlth,wellbeing,0.03569616284565954,3.460027794231842e-07,0.03684891197113996,1.4312889404579777e-07,0.035668947331101895,0.021021111697015264,0.05027156052377431,0.13269137083975271,5.169177174819685,7.158306965876455,20374,qwen
stfedu,wellbeing,0.02672036148295739,0.00018114849391126216,0.028545516727303284,6.33997396770881e-05,0.026930705282552102,0.012350641759951857,0.04199977477042924,0.298043542263458,5.295611891671757,6.873916431284699,19628,qwen
imueclt,immigration,0.04271026630434654,1.6185286518917645e-09,0.031734046801842025,7.43041522400349e-06,0.04244277690255305,0.02869008841901662,0.0562054684505908,0.2696579168220761,5.450468977278427,7.042805685358255,19931,qwen
imwbcnt,immigration,0.06444975996423934,9.934492798364074e-20,0.0691132829000744,1.8646350229009764e-22,0.06432777086850254,0.05073586195318593,0.07878888253225157,0.9546615129974768,5.119836997534839,5.344165651644336,19852,qwen
imbgeco,immigration,0.06018199963836787,1.9909206450701074e-17,0.0520584950475882,2.0413545218694962e-13,0.060357086820997295,0.04495924488523397,0.0747561146699131,0.2122066343959505,5.385114081817268,6.864954476848921,19888,qwen
imsmetn,immigration,-0.0230774167911002,0.0010705881246558828,-0.018484262134336283,0.008791159414113441,-0.02335796201561196,-0.03841961314554417,-0.008493389010217504,0.3109856079100403,2.028021102926538,2.9352523237140495,20091,qwen
impcntr,immigration,-0.04779944543559208,1.2872326784482121e-11,-0.04603375951842026,7.04419199774993e-11,-0.04773962475840674,-0.061201441835834716,-0.03378121733971563,0.670322783035458,2.4483532934131738,2.705425790754258,20040,qwen
imdfetn,immigration,-0.05262486320487158,8.591637679729961e-14,-0.05347614423659692,3.408229314795186e-14,-0.05240876267740788,-0.06706678214273072,-0.03716219601173014,0.45859815488528394,2.3755915317559153,2.829537712895377,20075,qwen
gincdif,values,0.04321776817737365,8.386645589083511e-10,0.04986909069101658,1.4096932426978582e-12,0.04342009045092199,0.029676013007016278,0.05816576937489565,0.35557762702919105,2.0931963674259344,3.4653138686131384,20151,qwen
freehms,values,-0.06385663514366358,1.499722368035623e-19,-0.06339336166135642,2.7317832304262315e-19,-0.06367249070621495,-0.07651256385119531,-0.05095195643186656,0.5249627440084049,2.1362388298137884,3.794784111376138,20024,qwen
hmsfmlsh,values,-0.004830186799821405,0.4978724333026092,-0.003991172809797122,0.5754128640038287,-0.005020252243792881,-0.018659767195849313,0.009371332230732577,0.11259002425889429,3.8118399675060926,2.9708029197080292,19696,qwen
hmsacld,values,-0.01998994355438016,0.00486270240612259,-0.025774197522257656,0.00028225790050518036,-0.020072488110872484,-0.03330810403883852,-0.006309959312250323,0.2472740799888025,2.852607709750567,3.148335604438388,19843,qwen
euftf,values,0.004470515652417431,0.5391914300639455,0.0047927333824200335,0.510349206023723,0.004579767963338812,-0.010380673506830213,0.01915143719282289,0.2632978670795517,5.438139140571186,6.5591871501581895,18868,qwen
atchctr,attachment,0.03606675394805292,2.4939928464319944e-07,0.03514565756449943,4.999367579112168e-07,0.0361516713667314,0.022023817606804556,0.05040175424905591,0.2216014370416319,7.8790843279201725,7.344225996398851,20443,qwen
atcherp,attachment,0.04104626693103562,5.124194854962772e-09,0.031744305651791524,6.238122275270753e-06,0.04149886904462464,0.02634868882925117,0.055608685204210834,0.29451377000459805,5.796030217745519,6.639830632209082,20250,qwen
health,health,-0.09308159433342247,1.0131548050298669e-40,-0.11058194257585253,7.668697000207701e-57,-0.09296262741601069,-0.10675450024601586,-0.08023157108866757,0.4265589319628517,2.185986454222092,3.3116993424198395,20519,qwen
rlgatnd,religion,0.0312141671916588,8.130796986889987e-06,0.030079529194173935,1.7122078844552154e-05,0.031347250132514416,0.017433157676725514,0.045382452612054744,0.16092745598315153,5.397963180571876,3.113138686131387,20424,qwen
aesfdrk,safety,-0.05637646342659621,8.649798055232492e-16,-0.055445564621843156,2.541000258477219e-15,-0.056413922281941906,-0.07087272552878776,-0.04219575168388082,0.4300078654509639,1.89283430875916,2.7493941311012704,20332,qwen
hincfel,income,-0.18298778365213486,5.042750937824588e-152,-0.17123329159222278,4.3303931104567254e-133,-0.1829542911213792,-0.19798418890833663,-0.16825926529101085,0.342955716784851,1.948062206862503,2.8285158150851584,20255,qwen
