variable,domain,r_pearson,p_pearson,r_spearman,p_spearman,r_boot_mean,r_ci_lo,r_ci_hi,var_ratio,human_mean,silicon_mean,n_valid,model
sclmeet,social_trust,0.09296691982228064,1.3985605676546554e-40,0.06841851814777446,1.061126789980453e-22,0.09294381688250766,0.07919338979376922,0.1076817343671243,0.14327764623627343,4.801034348165496,4.570515815085159,20496,qwen
inprdsc,social_trust,0.059178881800964075,2.6277107955795162e-17,0.05069691806068142,4.2456004141319663e-13,0.059495370446292,0.04564042412822595,0.0732926892851588,0.07728208253061078,2.73557362594298,3.8740571317339043,20413,qwen
stfdem,political,0.11988678449016815,2.1269000423905335e-64,0.1308007089246303,2.08588763282663e-76,0.11979071967046716,0.10523375236489746,0.13345950947199264,0.2072989801827589,5.042601462062011,6.762275536522458,19834,qwen
polintr,political,0.17369393753764337,3.34183131988356e-138,0.1730225374154124,3.8993732342679447e-137,0.17364480684615882,0.16053049949469284,0.1871873713043225,0.21988119104437764,2.634170119424811,2.236534987059915,20444,qwen
psppipla,political,0.157756924286448,1.69470642428381e-112,0.16432856968008236,5.00192605344963e-122,0.15794816715402857,0.14527450273502834,0.1715890141970901,0.2879339774314134,2.1431972620405735,3.624734793187348,20161,qwen
psppsgva,political,0.10972930054121004,6.617595117665489e-55,0.11399923975511046,3.8066338709263996e-59,0.10974653914192505,0.09564421904540374,0.12397759158892055,0.254094149901792,2.198478217624826,3.831367396593674,20108,qwen
actrolga,efficacy,0.22204122099025964,7.8490885802844e-224,0.22986986263471948,3.513032893798559e-240,0.22249164804716817,0.20969931154628219,0.23483998892481514,0.23784553531849517,2.096441669144613,3.0665571776155716,20178,qwen
cptppola,efficacy,0.17962358479892032,7.942349126340433e-146,0.18778524813306915,1.9621338660922202e-159,0.1794780020569141,0.16566028431660276,0.1933010056460219,0.22251759024585185,2.1460947185717827,3.125138686131387,20165,qwen
trstplc,inst_trust,0.1343647592431812,2.2494444652026453e-82,0.12924358492385662,2.6404360404257397e-76,0.13400831225176807,0.11866779056320445,0.14913366045737353,0.2913100839535683,6.281821317695758,7.16830348452404,20291,qwen
happy,wellbeing,0.18300081833099824,1.246714078472149e-153,0.15716748352547832,2.4426217944721477e-113,0.1826897812272741,0.16596546038537635,0.19820139110281254,0.1431864827948066,7.3663588841663,7.593649635036496,20469,qwen
stflife,wellbeing,0.19128104343895713,1.4706147695428367e-167,0.16784186841860937,6.335031553243575e-129,0.19142340014645917,0.17603797852818479,0.20607396430544214,0.12394518753810921,7.055620838229534,7.646793187347931,20424,qwen
imsmetn,immigration,0.06003010565488991,1.6488328030136823e-17,0.05899029031247118,5.839593174811805e-17,0.059852769754967276,0.04535098704321772,0.07317628782700608,0.15236547274620202,2.028021102926538,1.9416058394160585,20092,qwen
impcntr,immigration,0.06424198879967605,8.778456913790147e-20,0.061687304784843286,2.3228356612903644e-18,0.06442346488579687,0.05082645914673423,0.07935243951746229,0.18239701971145286,2.4483532934131738,2.0393187347931874,20040,qwen
imdfetn,immigration,0.05111480982489092,4.275122977476527e-13,0.04449236391611911,2.8507032483130735e-10,0.05147719468420043,0.03676915779532192,0.06565601810466735,0.21251582066778166,2.3755915317559153,1.9064720194647202,20075,qwen
gincdif,values,0.0006143301345131265,0.9305114644615111,0.003606840265351472,0.6086677415267993,0.00046812072593959173,-0.014504752860838521,0.014140897845242315,0.014946922343993833,2.0931963674259344,3.00330900243309,20151,qwen
freehms,values,0.01802794535604719,0.010724194329335373,0.022034388333897367,0.0018163161694353602,0.017687012660285915,0.0036504624815829004,0.03138269339901792,0.32476400908343156,2.1362388298137884,2.7264233576642334,20031,qwen
hmsfmlsh,values,0.00027748782076481737,0.9689375504300569,-0.006183764798248912,0.38550500894376105,0.00017228278070636856,-0.014394479614157843,0.01537335099883084,0.012689327149454043,3.8118399675060926,3.0036496350364965,19696,qwen
hmsacld,values,0.01645056460210287,0.020479807598802007,0.027104941832535496,0.0001341045718753853,0.016465292426606687,0.0014480813286126266,0.030657438648908998,0.029908201488822818,2.852607709750567,2.9991727493917275,19845,qwen
health,health,0.12352791605091744,1.3571991339251672e-70,0.11722668601659345,1.0346545450408196e-63,0.12372436372961523,0.11123319132928927,0.1354314340476227,0.6326531673667073,2.185986454222092,2.6217031630170315,20523,qwen
rlgatnd,religion,0.04309669106927087,7.203901237603878e-10,0.04611361016099541,4.301037427939718e-11,0.04312648369491705,0.029703788007373742,0.05606024479542105,0.9994542638209919,5.397963180571876,5.300924574209246,20424,qwen
aesfdrk,safety,0.061159221411798984,2.5792980122167873e-18,0.058795658670547514,4.834967059554969e-17,0.06097489723234157,0.04589768000683756,0.07476487974953006,0.38864795373008915,1.89283430875916,2.045596107055961,20333,qwen
hincfel,income,0.3419178137212402,0.0,0.3345858132528177,0.0,0.34175826157761247,0.329573243659996,0.35352965498381306,0.5325089601605515,1.948062206862503,2.0997080291970804,20255,qwen
