variable,domain,r_pearson,p_pearson,r_spearman,p_spearman,r_boot_mean,r_ci_lo,r_ci_hi,var_ratio,human_mean,silicon_mean,n_valid,model
ppltrst,social_trust,0.12453796438286045,1.9106451977273218e-71,0.1268270535943845,4.773238352250569e-74,0.12424252427292351,0.11067270970808106,0.13817369690776188,0.4675302919651289,5.072474377745242,6.867982242169967,20439,qwen
pplfair,social_trust,0.06673393869468512,1.3848761389401203e-21,0.07022628333172563,9.780430839937056e-24,0.06715900808626651,0.052758965102663355,0.08134898192478085,0.14645854055674462,5.636777892106424,7.2080835117773026,20407,qwen
pplhlp,social_trust,0.03644363830973962,1.9259338947783851e-07,0.037804469057588774,6.630991465231247e-08,0.03621667357227669,0.022238593604882072,0.0501504402438559,0.3186811228079633,5.043355141099502,6.798802892602365,20398,qwen
sclmeet,social_trust,0.03968791871888634,1.3217529984322944e-08,0.03475626076012009,6.472151611398539e-07,0.03958761063215446,0.02444902690867128,0.05323612553125374,0.19339581163254846,4.801034348165496,3.8294655894091307,20492,qwen
inprdsc,social_trust,0.042008869047748525,1.9203122703531295e-09,0.03959482424968345,1.5218227133071686e-08,0.041859978493442314,0.029137450134870346,0.05515662296136494,0.12720985283879524,2.73557362594298,2.8703649635036497,20414,qwen
stfdem,political,0.1300142541613688,1.675822847628717e-75,0.13500298256482857,2.587578977802081e-81,0.1301060665831889,0.11601080871857612,0.14397344003126,0.24756892595706612,5.042601462062011,6.614079229122056,19833,qwen
polintr,political,-0.09296270624129846,1.2978012001972625e-40,-0.10381107031510686,2.9103859174206392e-50,-0.09337132501429533,-0.10746515975573859,-0.0799170020960231,0.19926330652458954,2.634170119424811,2.863698296836983,20515,qwen
psppipla,political,0.07445151153791037,3.484190675950548e-26,0.08217938430435705,1.4740377339399251e-31,0.07425466280247216,0.06100426377828304,0.08957876105098614,0.32519722991245736,2.1431972620405735,3.3307764260610977,20161,qwen
psppsgva,political,0.08403968080121998,7.551862289216038e-33,0.09041723346498019,8.949328754796826e-38,0.08375804550621266,0.0698551351132817,0.09728050081360268,0.4506209578593661,2.198478217624826,3.5426569343065695,20108,qwen
vote,political,-0.021329699314098616,0.0023540812189070523,-0.02230669834349882,0.0014684806393847867,-0.02089294876905253,-0.033972002864076985,-0.00866325445450663,1.1124640373797425,1.327316545347236,2.12066280597596,20331,qwen
