variable,domain,r_pearson,p_pearson,r_spearman,p_spearman,r_boot_mean,r_ci_lo,r_ci_hi,var_ratio,human_mean,silicon_mean,n_valid,model
ppltrst,social_trust,0.1450936382133273,1.5429420366232419e-96,0.13722563016344402,1.8526826344973783e-86,0.14483501217706055,0.13037807147790662,0.15931380042887447,0.3548645030060213,5.072474377745242,7.210559703313327,20433,qwen
pplfair,social_trust,0.08673186547343882,2.242751395428642e-35,0.08670571795491337,2.350474855328957e-35,0.08676412441886353,0.07225738038525419,0.10094370921815937,0.12809030306640135,5.636777892106424,7.265741957463377,20406,qwen
pplhlp,social_trust,0.046468846098789436,3.107210717609753e-11,0.04782805544274978,8.15042664185404e-12,0.04593779542481714,0.03067790047053818,0.06063341931951383,0.24858476407089847,5.043355141099502,6.988664224664224,20407,qwen
sclmeet,social_trust,0.04493432460413727,1.2291391169304527e-10,0.03504406010166344,5.216624096519251e-07,0.04457301411144072,0.02975010242591594,0.058049592915495316,0.22386735959662757,4.801034348165496,3.9954571998637403,20495,qwen
inprdsc,social_trust,0.05054150136300848,5.001977252418767e-13,0.04557257339275536,7.311477322265541e-11,0.05058713122651152,0.03652008638014533,0.06416670097684084,0.10835943173392948,2.73557362594298,2.906029490486155,20413,qwen
stfdem,political,0.12313305451646511,7.54884128630195e-68,0.12927362850069804,1.1888398358584442e-74,0.12382489702102988,0.110203082260974,0.1388469021549127,0.24955530948471652,5.042601462062011,6.642869658327655,19831,qwen
polintr,political,-0.0808889252538322,3.9289093164026545e-31,-0.08950150374954287,9.25205181604382e-38,-0.08076202672682763,-0.09396327034703798,-0.06780482308532747,0.20407182658638817,2.634170119424811,2.863625304136253,20515,qwen
psppipla,political,0.08243550269162335,9.579864201020826e-32,0.08998830891989067,1.5859915668219913e-37,0.08273298463869833,0.06897791692854727,0.09658535343509687,0.3127602066369254,2.1431972620405735,3.2953868613138693,20161,qwen
psppsgva,political,0.06435896949986296,6.529917647770103e-20,0.0780568479385972,1.4852124391937172e-28,0.06448728585311125,0.05182255620696675,0.0775393115622347,0.4697467084082673,2.198478217624826,3.5084841849148423,20108,qwen
vote,political,-0.044456131402770854,2.2761615079251906e-10,-0.044889070304433454,1.5208764107649856e-10,-0.044593148379695635,-0.05746787765525334,-0.030604827722360915,1.1443888953029173,1.327316545347236,2.1490671229922778,20330,qwen
actrolga,efficacy,0.11074823814841993,4.346907318180588e-56,0.12304439748186434,6.663073519578181e-69,0.11075188322799437,0.09591674889930557,0.12441439123904287,0.17625029671634712,2.096441669144613,3.0923159277823737,20177,qwen
cptppola,efficacy,0.11523455728027064,1.4549726047963596e-60,0.12355761465672006,2.022010910604615e-69,0.11544860227630936,0.10192385939623105,0.12853148194855843,0.20130037280471128,2.1460947185717827,3.137748199338135,20163,qwen
trstprl,inst_trust,0.1644659208298008,1.0484346068973512e-121,0.1669774323213669,1.9209692056139105e-125,0.16415332547429234,0.15038903035040888,0.1778834375643914,0.5222143036371792,4.434262156658223,5.3749572941578405,20073,qwen
trstplt,inst_trust,0.1334316210680167,1.2761396069804722e-80,0.13848824236865256,9.265254002895219e-87,0.13324319090697978,0.1193851786977114,0.14612811484709726,0.6332097580521033,3.5989611674499136,5.070533620015637,20130,qwen
trstlgl,inst_trust,0.17503870524713266,1.952569273333013e-137,0.16970915173123657,3.407605757967237e-129,0.17474836297218355,0.16129800580661885,0.1894952433440049,0.25106711295671413,5.292433537832311,6.99357024471093,20013,qwen
trstprt,inst_trust,0.1626394332159178,3.687468610884706e-119,0.16920042455015213,6.035021199717494e-129,0.1624527913860117,0.14777493289553587,0.1761299451897099,0.6552066744547723,3.5845290700561043,5.436528800663318,20096,qwen
trstplc,inst_trust,0.14754016119352584,7.004913505885343e-99,0.12799543999523724,1.0886556353857001e-74,0.14742347968017372,0.13230051184201108,0.16237702107810448,0.18575508072989114,6.281821317695758,7.405912483535782,20243,qwen
trstep,inst_trust,0.09217176674334666,3.7481731072764987e-37,0.0916083922457066,1.0174431542469053e-36,0.09237774530600185,0.07730690581669188,0.10821425795430772,0.39547731546366605,4.614031413612565,6.273734115347019,19013,qwen
trstun,inst_trust,0.09101684447617304,4.745875643834651e-36,0.07639724434652229,7.298606578978421e-26,0.09058978946088021,0.0760419642035841,0.10593926239443614,0.2172630080940377,4.969870950750592,6.945255438768028,18894,qwen
happy,wellbeing,0.15150848810283216,2.9360991559864428e-105,0.13355439319359413,5.216413641707447e-82,0.1514333646815423,0.13537894742309703,0.16854960565811578,0.18050611972951217,7.3663588841663,7.52345089633671,20447,qwen
stflife,wellbeing,0.1812294513336219,2.6401682859699265e-150,0.17208797375201476,1.6821861517859703e-135,0.18152166272996711,0.1666036795414868,0.19665703998390038,0.12842830529839783,7.055620838229534,7.629592134722087,20420,qwen
stfeco,wellbeing,0.11579980991531355,4.136156434496223e-61,0.11433936507583425,1.2952837310141839e-59,0.11598283184311467,0.10235944036940017,0.13006024247761905,0.29454712133659444,4.443766433497048,6.266189641744549,20151,qwen
stfgov,wellbeing,0.0646927606731502,6.636493575174266e-20,0.07271598747680179,9.72077490342626e-25,0.06459880045845723,0.04945268158430939,0.08003838865697623,0.3097954380485228,4.079756759473314,6.678449744463373,19893,qwen
stfhlth,wellbeing,0.10214947648785319,2.3120883393222224e-48,0.10415047316639289,3.243806563141688e-50,0.1021661733860333,0.08836669515880508,0.11666185568973972,0.13392015408935098,5.169177174819685,7.120482221139795,20361,qwen
stfedu,wellbeing,0.04996840205259691,2.4977040186382004e-12,0.0563107608342805,2.933791014742644e-15,0.04980792507425836,0.03471211244517068,0.06479705661839183,0.2940415753706029,5.295611891671757,6.807259439707674,19622,qwen
imueclt,immigration,0.06522445327736696,3.109003532244824e-20,0.06616447175856427,8.912752975283032e-21,0.06547560970602843,0.05156319082594091,0.07937899600381945,0.25867492125424685,5.450468977278427,7.044803740138307,19921,qwen
imwbcnt,immigration,0.10656846304905661,3.6183022740929245e-51,0.10607107558297123,1.0495113800132939e-50,0.10642174515992495,0.09186901510535792,0.12086782797282825,0.8769138316040839,5.119836997534839,5.391398741279212,19825,qwen
imbgeco,immigration,0.06852320236223429,4.0590647202444285e-22,0.0579740394016519,2.8802780291121605e-16,0.06883136295253331,0.05491867646136726,0.0839019260295075,0.2202278746819759,5.385114081817268,6.823489278752437,19869,qwen
imsmetn,immigration,-0.054979804706969046,6.260022315375641e-15,-0.05021682550873249,1.062969819994453e-12,-0.05535377588633927,-0.07004407597794764,-0.040685965494264204,0.42011349692831446,2.028021102926538,2.9223114355231146,20092,qwen
impcntr,immigration,-0.06601867133747567,8.346361186419008e-21,-0.06813778704542596,4.629343599622342e-22,-0.06615062542363374,-0.08054374154094522,-0.052484467095794615,0.6704269461441235,2.4483532934131738,2.7344396320988857,20039,qwen
