variable,domain,r_pearson,p_pearson,r_spearman,p_spearman,r_boot_mean,r_ci_lo,r_ci_hi,var_ratio,human_mean,silicon_mean,n_valid,model
ppltrst,social_trust,0.11365527667376366,9.099346228678725e-60,0.11454242564813971,1.1089145223628742e-60,0.11331840225570883,0.09869839688124166,0.12679773033334013,0.4800376620994539,5.072474377745242,6.685884245940807,20450,qwen
pplfair,social_trust,0.051269349555400995,2.3237166082716307e-13,0.057334905506788006,2.4623494138183424e-16,0.051914711388346454,0.03775250027091935,0.06588726485046875,0.1418186758703086,5.636777892106424,7.167187347931874,20409,qwen
pplhlp,social_trust,0.026105925297882367,0.00019190231090661827,0.028893418240513485,3.66220180988138e-05,0.026090156094549982,0.012556523658159893,0.03986585430673819,0.3268228533618999,5.043355141099502,6.670432786244627,20404,qwen
sclmeet,social_trust,0.018268348054584875,0.008914773347331845,0.013524780243275844,0.0528504491556714,0.018401590319072486,0.0048509472964602144,0.03156399498999743,0.20198536412450419,4.801034348165496,3.8417607553046524,20494,qwen
inprdsc,social_trust,0.024367892099002274,0.0004978156798073498,0.022876020724060968,0.0010804362436007352,0.024263185066106273,0.010125086383663376,0.0380449435506744,0.12402179828651685,2.73557362594298,2.8657907542579077,20414,qwen
stfdem,political,0.11160720268160698,5.375008138448285e-56,0.1169483420157588,2.421380438735899e-61,0.11132709366202079,0.09743160565124767,0.12459390362893337,0.21066866622143754,5.042601462062011,6.60880420499343,19832,qwen
polintr,political,-0.09075078908207619,8.892333673904322e-39,-0.10319864281446318,1.0897511681667562e-49,-0.09070851605388708,-0.10516357241916585,-0.0774054498434647,0.20239498059712355,2.634170119424811,2.867299270072993,20515,qwen
psppipla,political,0.059505276449032404,2.7698960184667874e-17,0.0698594241353411,3.064901511314973e-23,0.05923637122657477,0.04520295647008268,0.07270264693915615,0.3544241354666924,2.1431972620405735,3.3423256606160883,20160,qwen
psppsgva,political,0.04980190205923644,1.594764376722898e-12,0.054904146359930836,6.6508457904557805e-15,0.049878431135650915,0.0359262358311748,0.06330962709601842,0.47987844051698386,2.198478217624826,3.5898637469586374,20108,qwen
vote,political,-0.0230570262519079,0.001009220086730564,-0.022387363499943712,0.0014108348984965323,-0.022967106706235547,-0.03608239657085363,-0.008723241580092907,1.113024298088245,1.327316545347236,2.1290997566909975,20332,qwen
actrolga,efficacy,0.08574300944613021,3.0532620781707704e-34,0.09516147186239995,8.193681737366517e-42,0.0857660883378407,0.07207884729078919,0.09978290926690146,0.12576595002407676,2.096441669144613,3.0616058394160586,20178,qwen
cptppola,efficacy,0.0826064435477268,7.081686535872079e-32,0.08857721395227022,2.0514720764601745e-36,0.08248954983444515,0.06813978581292131,0.09648332613127594,0.15194720000699025,2.1460947185717827,3.102065693430657,20165,qwen
trstprl,inst_trust,0.1499131010204576,3.000558458045589e-101,0.15203462468518497,4.104188066744824e-104,0.14978668126916375,0.13562639266219229,0.16293445202817913,0.487762607652995,4.434262156658223,4.782079246572,20079,qwen
trstplt,inst_trust,0.12129093594278681,6.545928094992978e-67,0.1265956425120475,8.995725987004143e-73,0.12111255389540528,0.10740288105461207,0.13507644767696125,0.5435615551950195,3.5989611674499136,4.373057209801816,20152,qwen
trstlgl,inst_trust,0.15040837489303038,1.516523521369827e-101,0.14795129664783743,2.7842839308282165e-98,0.15006548324793956,0.13533546766146054,0.1640088589724553,0.21854532603867521,5.292433537832311,6.797571205618415,20005,qwen
trstprt,inst_trust,0.14022020948840444,8.115378003412123e-89,0.1447458773967348,1.4078016674731574e-94,0.14027459928395417,0.12562162702725518,0.15441230991945504,0.6092526679180889,3.5845290700561043,5.011547085201793,20107,qwen
trstplc,inst_trust,0.11130180930560146,7.332478045442902e-57,0.10161512832837136,1.206065505773712e-47,0.1114066732972455,0.09525319642203955,0.12825053071855574,0.13584863677808395,6.281821317695758,7.407438459663661,20260,qwen
trstep,inst_trust,0.05823429332006198,9.259772508471406e-16,0.05090437889938007,2.16593855234788e-12,0.05860444688600171,0.04403273549805155,0.07476196531211171,0.38963092482068606,4.614031413612565,6.031009873887966,19014,qwen
trstun,inst_trust,0.037349121607376225,2.7706210880359275e-07,0.01825717955836999,0.01203490784525028,0.03760805016155852,0.023274144805760236,0.05264173452585611,0.19325481172495668,4.969870950750592,6.82189663779818,18917,qwen
happy,wellbeing,0.132202945134506,2.2127437981898636e-80,0.11219748290935026,2.8423239967454132e-58,0.13248282315222554,0.11647609839346845,0.14827857500242508,0.15404011620056574,7.3663588841663,7.507365549493375,20447,qwen
stflife,wellbeing,0.11600650165247615,3.982901026893694e-62,0.12058116481700935,5.200293278299498e-67,0.11611266225916006,0.1015466451078993,0.13083145303140767,0.0942067624208863,7.055620838229534,7.65290281765536,20423,qwen
stfeco,wellbeing,0.09365489550880102,1.6601905998551496e-40,0.09243351186875998,1.6950030542093018e-39,0.09386091458531956,0.07977226134594047,0.10817592131280374,0.28721717662521795,4.443766433497048,6.115626064528688,20156,qwen
stfgov,wellbeing,0.05494999422207893,8.775036589864626e-15,0.06083002425390935,8.907526211671324e-18,0.05482529421753577,0.0397379501499326,0.07003130056485629,0.25073521240993357,4.079756759473314,6.627472500730068,19894,qwen
stfhlth,wellbeing,0.07036519319891842,8.966310140707766e-24,0.07283262272776105,2.3325415112213845e-25,0.07056046535987663,0.05664783255737847,0.08451702248137781,0.11899632457006674,5.169177174819685,7.011602532878714,20361,qwen
stfedu,wellbeing,0.03175406308426529,8.653864666403309e-06,0.0411955591058241,7.835411061990102e-09,0.0320521163364223,0.01776435958040319,0.04663900773622494,0.2723402997809121,5.295611891671757,6.823936455338433,19617,qwen
imueclt,immigration,0.04604335287515884,7.96001310749124e-11,0.030441669824935593,1.730457895369006e-05,0.0465213658188724,0.03282163720359104,0.06048701206366763,0.26386635483205867,5.450468977278427,6.958423846865715,19919,qwen
imwbcnt,immigration,0.0719546533520806,3.4751895168238664e-24,0.07729368376017773,1.1485374920729638e-27,0.07152963442965685,0.057696579436452275,0.08559843339968969,0.9068906725850591,5.119836997534839,4.9383163439496665,19831,qwen
imbgeco,immigration,0.06699733995042982,3.245203140146529e-21,0.047072646130376074,3.158112717905277e-11,0.06681336100317865,0.05321699080304679,0.07976738664009168,0.19976929240945143,5.385114081817268,6.778784778053891,19872,qwen
imsmetn,immigration,-0.02662115948665258,0.00016072578471825017,-0.021523237753959736,0.0022807915470778356,-0.026678606869806516,-0.040698057464310856,-0.013120446007141063,0.41284522974424476,2.028021102926538,2.936934306569343,20092,qwen
impcntr,immigration,-0.03893958036207483,3.5076430303211716e-08,-0.03422535474521728,1.2595624166035436e-06,-0.03903273178938083,-0.052037555012285845,-0.026097049147210973,0.6591006019601465,2.4483532934131738,2.71373302837121,20039,qwen
imdfetn,immigration,-0.03789273544091283,7.852961538628594e-08,-0.03809644369696454,6.687646528623663e-08,-0.037993869372860624,-0.05152382751628458,-0.023279692026553316,0.45803612517954545,2.3755915317559153,2.819829683698297,20075,qwen
gincdif,values,0.035960284982785626,3.289647492283197e-07,0.03828908221190373,5.419938808425251e-08,0.03592333050706901,0.0217014367424992,0.049977729846319555,0.3493915957371788,2.0931963674259344,3.461846715328467,20151,qwen
freehms,values,-0.14771882261322952,4.823936895049154e-98,-0.15532291675377993,2.5702317326358564e-108,-0.14769667018759858,-0.16039336067339702,-0.1341076795178115,0.6006820165686747,2.1362388298137884,3.876677378517869,20019,qwen
hmsfmlsh,values,-0.0010218341554209414,0.8859790275678919,-0.008541366745904473,0.23067123035799458,-0.0014465255502965338,-0.015907861374879696,0.01255675393902029,0.12226338525551593,3.8118399675060926,2.957710837510341,19695,qwen
hmsacld,values,-0.03368718359884437,2.074371436747628e-06,-0.04201925100739792,3.2029358394156943e-09,-0.03398378415579902,-0.04738811320802912,-0.0199089558984731,0.21760711225543605,2.852607709750567,3.0983694329520564,19840,qwen
euftf,values,-0.013422264670235612,0.06533335935727613,-0.014540594469529926,0.04587514595552565,-0.01334366565357054,-0.027556077305733565,0.0013846154952329866,0.24999261474472828,5.438139140571186,6.4598782269849,18854,qwen
atchctr,attachment,0.05110586477820911,2.657901463328524e-13,0.06924747057364941,3.719270672907912e-23,0.05111884488647963,0.03660988373653842,0.06488280434987309,0.1705021713524922,7.8790843279201725,7.491375030421026,20439,qwen
atcherp,attachment,0.05606328065914648,1.435718205559377e-15,0.042243540912821204,1.8253189037203824e-09,0.05583922175752842,0.041130488473867584,0.07082703022825274,0.2468769065009888,5.796030217745519,6.798023369036027,20243,qwen
health,health,-0.07706731507913567,2.073957523311979e-28,-0.08028187048846115,1.0762468500233127e-30,-0.07695785824668731,-0.0895342154260653,-0.06434119954983124,0.2933208055607659,2.185986454222092,3.243720230448669,20518,qwen
rlgatnd,religion,0.006607518118066282,0.34506561269808983,0.008176360223908294,0.24264732164981823,0.006527012580141009,-0.007406818190077079,0.021184565456018958,0.1592370877010102,5.397963180571876,3.02545259879307,20422,qwen
aesfdrk,safety,-0.03386527496646694,1.366496139856606e-06,-0.03357944375592978,1.6757938521202648e-06,-0.03419357830348722,-0.049189000670230826,-0.01994995376251068,0.48931717574317357,1.89283430875916,2.6879355655051587,20331,qwen
hincfel,income,-0.05127526329928589,2.8383464407378286e-13,-0.0555779268480458,2.4629323335137868e-15,-0.051069821032515575,-0.06486832357816863,-0.036800914379117505,0.37511656460514775,1.948062206862503,2.7317031630170314,20255,qwen
