variable,domain,r_pearson,p_pearson,r_spearman,p_spearman,r_boot_mean,r_ci_lo,r_ci_hi,var_ratio,human_mean,silicon_mean,n_valid,model
ppltrst,social_trust,0.10046667693305568,5.107550214699184e-47,0.09805751717178923,7.293214344470579e-45,0.10057042468212725,0.08689793892128002,0.11499419753737261,0.3224903724602704,5.072474377745242,7.211792245793708,20445,qwen
pplfair,social_trust,0.06424270396893028,4.061324348134248e-20,0.0647845775752457,1.9678813419259807e-20,0.06443398167809462,0.05069303025459242,0.0791626091320741,0.15889812558080219,5.636777892106424,7.274704365175922,20408,qwen
pplhlp,social_trust,0.022356841230226236,0.0013977235349350086,0.026552535967672996,0.00014767804702936637,0.022722727074151173,0.010184202014352462,0.03698171350665142,0.26362039612116583,5.043355141099502,6.909189848706686,20422,qwen
sclmeet,social_trust,0.04348651110762991,4.720416872198058e-10,0.0366877159617328,1.4908245976297754e-07,0.04389504163776999,0.029815839037227867,0.05877381134486307,0.20434066152686778,4.801034348165496,3.86927344396321,20495,qwen
inprdsc,social_trust,0.02802227834654207,6.220240352895556e-05,0.025810583333752492,0.00022589759687106773,0.027805002381200254,0.014451083288355687,0.041828310234899045,0.12180988718455762,2.73557362594298,2.9189294403892942,20414,qwen
stfdem,political,0.14852984399911648,3.320091509406853e-98,0.14027788950838663,1.0637651719928976e-87,0.14860025013230954,0.13361883896626342,0.16403830895625757,0.1952900724081224,5.042601462062011,6.80447753930014,19832,qwen
polintr,political,-0.07960598340114262,3.3437432028342775e-30,-0.09144275923605666,2.3959913627934074e-39,-0.07945396472646059,-0.09302307664380521,-0.06491618049228333,0.15871926215743623,2.634170119424811,2.896570316301703,20515,qwen
psppipla,political,0.0965966415475335,5.35821318125007e-43,0.10465292275838066,3.351689753631776e-50,0.09646344314207168,0.08333829916681858,0.11021324452787493,0.355013115683836,2.1431972620405735,3.473776306966885,20159,qwen
psppsgva,political,0.08195558973210373,2.603658140449835e-31,0.09424035298103522,6.808604953597659e-41,0.0823730503758572,0.06916166748359583,0.09580517863847818,0.4829452761881161,2.198478217624826,3.6725810376715664,20104,qwen
vote,political,-0.032530771655658985,3.505786602036109e-06,-0.03331349256130514,2.030245302909959e-06,-0.032566664746626915,-0.04583620826466563,-0.01931769560922412,1.0448241791769828,1.327316545347236,2.1284622499148127,20325,qwen
