variable,domain,r_pearson,p_pearson,r_spearman,p_spearman,r_boot_mean,r_ci_lo,r_ci_hi,var_ratio,human_mean,silicon_mean,n_valid,model
ppltrst,social_trust,0.11555876622791086,1.1380185119602865e-61,0.11374672909464986,8.51915001487864e-60,0.11551655190763103,0.10092864816212115,0.13001880683060965,0.4427116529338715,5.072474377745242,6.685737296822376,20427,qwen
pplfair,social_trust,0.05151438005841984,1.7900751085861804e-13,0.0598416289209701,1.1693837777736987e-17,0.05122307366255558,0.03703033949055552,0.06590296488874445,0.1462646385754339,5.636777892106424,7.074645968173633,20408,qwen
pplhlp,social_trust,0.033689149457747224,1.496786204653912e-06,0.028243821695795146,5.493039734334102e-05,0.033737536482872484,0.019351018884956578,0.04741571706707181,0.34727277111027954,5.043355141099502,6.678008602991495,20390,qwen
sclmeet,social_trust,0.02706426886283531,0.00010695007440738041,0.02323053295913436,0.0008832433707927182,0.027382110161813696,0.01373289067509735,0.04107215828961127,0.22562522867088505,4.801034348165496,3.8515432549535076,20487,qwen
inprdsc,social_trust,0.03881904008254123,2.88755099730942e-08,0.0351662212553329,5.015709725791005e-07,0.03880989337821254,0.024506283389613283,0.05187749519313268,0.13963713254644364,2.73557362594298,2.8368369829683697,20414,qwen
stfdem,political,0.13426373881219672,2.01422596699968e-80,0.13764342984179515,1.8296638184571043e-84,0.13421113639065863,0.11967970095848567,0.14862120886746474,0.2612427335447564,5.042601462062011,6.577740459501558,19829,qwen
polintr,political,-0.1101579421003058,2.085190357945742e-56,-0.1221446941183413,5.025306255690318e-69,-0.11018075653018491,-0.12361112820795654,-0.09632124383221327,0.19693154403483706,2.634170119424811,2.8752311435523112,20515,qwen
psppipla,political,0.10442989037683093,5.342750571032477e-50,0.11406494400396265,2.3052545191078608e-59,0.10461496256671833,0.0905880970690475,0.11751172905293376,0.3811066963084789,2.1431972620405735,3.444211678832117,20161,qwen
psppsgva,political,0.08145681122202153,5.9156614882663025e-31,0.09190256751924668,5.680839916455646e-39,0.08138604604674668,0.06762379580500806,0.09412435279824831,0.5285601463153726,2.198478217624826,3.6557815845824413,20107,qwen
vote,political,-0.015988189881831424,0.022628185332403662,-0.015338606379913428,0.028740814009795407,-0.015718186565243573,-0.028961246492456388,-0.0024259757005434556,1.189462325449858,1.327316545347236,2.11035137239634,20330,qwen
